BIC: 729 phiên, campaigns=141
CRE: 729 phiên, campaigns=141
DHG: 729 phiên, campaigns=141
DRI: 729 phiên, campaigns=141
G36: 729 phiên, campaigns=141
GSP: 729 phiên, campaigns=141
HAP: 729 phiên, campaigns=141
HTI: 703 phiên, campaigns=136
LDP: 679 phiên, campaigns=131
NCT: 728 phiên, campaigns=141
NHA: 729 phiên, campaigns=141
NHH: 729 phiên, campaigns=141
OGC: 729 phiên, campaigns=141
PDN: 605 phiên, campaigns=117
PGB: 723 phiên, campaigns=140
S99: 729 phiên, campaigns=141
SAM: 729 phiên, campaigns=141
SIP: 729 phiên, campaigns=141
TNH: 729 phiên, campaigns=141
TV1: 724 phiên, campaigns=140
VIP: 729 phiên, campaigns=141
VPG: 729 phiên, campaigns=141
VSF: 725 phiên, campaigns=141
ACB: 729 phiên, campaigns=141
DCM: 729 phiên, campaigns=141
FPT: 729 phiên, campaigns=141
HDB: 729 phiên, campaigns=141
MBB: 729 phiên, campaigns=141
PVT: 729 phiên, campaigns=141
VGC: 729 phiên, campaigns=141

wrote /home/trido/thanhdt/WorkingClaude/mike/agents/Taylor/research/ceiling_ab_pacing_20260814/out/campaigns_mech.csv  rows=104365
