event_code,icb_code_lv1,n_rows,n_ticker
DIV,2000,6160,578
ISS,2000,3561,531
DIV,3000,2851,225
DIV,7000,2188,149
ISS,3000,1831,219
DIV,1000,1793,167
ISS,8600,1519,131
AIS,2000,1372,381
DIV,5000,1262,109
ISS,1000,1170,151
DIV,8600,935,110
DIV,4000,775,55
AIS,3000,749,167
AIS,8600,705,105
ISS,8700,696,51
ISS,5000,672,98
ISS,8301,668,28
AIS,1000,549,122
ISS,7000,533,107
ISS,4000,510,61
NLIS,2000,487,484
DIV,9000,349,30
ISS,9000,324,29
AIS,8700,321,46
SUSP,2000,300,252
AIS,5000,249,68
AIS,8301,247,27
AIS,7000,229,76
AIS,4000,220,48
DIV,8700,219,36
NLIS,3000,207,204
DIV,8500,190,12
MOVE,2000,181,171
NLIS,1000,155,154
AIS,9000,151,21
NLIS,7000,137,137
DIV,8301,124,18
DIV,1,120,12
NLIS,8600,120,117
ISS,8500,107,14
DIV,6000,101,9
SUSP,3000,97,82
NLIS,5000,96,96
SUSP,1000,76,59
ISS,1,74,11
MOVE,3000,62,53
SUSP,8600,55,43
NLIS,4000,51,49
MOVE,1000,51,44
NLIS,8700,49,47
ISS,6000,49,8
SUSP,7000,48,45
AIS,8500,46,12
MOVE,8600,39,37
SUSP,5000,38,36
AIS,1,31,9
SUSP,8700,29,22
MOVE,8700,27,19
NLIS,8301,26,26
MOVE,7000,24,23
MOVE,5000,17,17
NLIS,9000,16,16
SUSP,4000,14,13
AIS,6000,12,4
SUSP,8301,10,10
SUSP,9000,10,9
MOVE,8301,10,10
MOVE,9000,8,8
NLIS,8500,8,8
MA,2000,8,7
MOVE,4000,8,8
NLIS,6000,7,7
NLIS,1,7,7
ISS,0001,4,4
ISS,<NULL>,4,1
DIV,3000.0,3,1
MA,8301,2,2
MOVE,1,2,2
MA,1000,2,2
MA,8600,2,2
SUSP,1,2,2
NLIS,<NULL>,2,2
MOVE,6000,1,1
MOVE,8500,1,1
MA,3000,1,1
MA,8700,1,1
SUSP,8500,1,1
MA,7000,1,1
SUSP,6000,1,1
