event_code,event_status,n_rows,n_ticker,n_with_exright,year
ISS,executed,6,6,6,2000
ISS,executed,10,9,10,2001
DIV,executed,15,13,15,2002
ISS,executed,13,11,13,2002
DIV,executed,21,12,21,2003
ISS,executed,28,22,28,2003
DIV,executed,30,18,30,2004
ISS,executed,37,30,37,2004
NLIS,executed,1,1,0,2004
DIV,executed,43,24,43,2005
ISS,executed,55,42,54,2005
DIV,announced,1,1,0,2006
DIV,executed,69,45,69,2006
ISS,executed,170,107,169,2006
DIV,executed,219,138,219,2007
ISS,executed,707,357,703,2007
ISS,not_executed,2,1,2,2007
DIV,executed,413,258,413,2008
ISS,announced,12,7,12,2008
ISS,executed,386,281,386,2008
ISS,not_executed,6,4,6,2008
DIV,executed,428,301,428,2009
ISS,announced,3,3,3,2009
ISS,executed,571,359,571,2009
ISS,not_executed,9,7,9,2009
MOVE,executed,11,11,0,2009
NLIS,executed,78,74,15,2009
SUSP,executed,17,17,3,2009
AIS,executed,209,170,0,2010
DIV,executed,616,417,616,2010
ISS,announced,29,22,29,2010
ISS,executed,785,465,785,2010
ISS,not_executed,104,61,103,2010
MA,executed,2,1,0,2010
MOVE,executed,5,5,0,2010
NLIS,executed,189,186,0,2010
SUSP,executed,1,1,0,2010
AIS,executed,264,215,0,2011
DIV,executed,788,546,788,2011
ISS,announced,52,34,51,2011
ISS,executed,458,332,458,2011
ISS,not_executed,116,70,115,2011
MOVE,executed,9,9,0,2011
NLIS,executed,64,64,0,2011
SUSP,executed,10,10,0,2011
AIS,executed,147,131,0,2012
DIV,executed,727,501,727,2012
ISS,announced,30,20,30,2012
ISS,executed,311,237,311,2012
ISS,not_executed,48,33,45,2012
MOVE,executed,7,7,0,2012
NLIS,executed,22,22,0,2012
SUSP,executed,13,13,0,2012
AIS,executed,151,117,0,2013
DIV,executed,691,505,691,2013
ISS,announced,10,8,10,2013
ISS,executed,305,230,305,2013
ISS,not_executed,32,26,30,2013
MA,executed,4,4,0,2013
MOVE,executed,5,5,0,2013
NLIS,executed,17,17,0,2013
SUSP,executed,19,19,0,2013
AIS,executed,219,158,0,2014
DIV,executed,818,624,818,2014
ISS,executed,475,305,475,2014
ISS,not_executed,71,58,1,2014
MA,executed,3,3,0,2014
MOVE,executed,18,18,0,2014
NLIS,executed,38,38,0,2014
SUSP,executed,21,21,0,2014
AIS,executed,317,208,0,2015
DIV,announced,8,7,0,2015
DIV,executed,954,721,954,2015
ISS,announced,2,2,0,2015
ISS,executed,515,354,515,2015
ISS,not_executed,93,68,0,2015
MA,executed,1,1,0,2015
MOVE,executed,27,27,0,2015
NLIS,executed,103,103,0,2015
SUSP,executed,31,31,0,2015
AIS,executed,320,241,0,2016
DIV,executed,980,729,980,2016
ISS,executed,550,383,543,2016
ISS,not_executed,91,72,2,2016
MOVE,executed,24,24,0,2016
NLIS,executed,166,166,0,2016
SUSP,executed,21,21,0,2016
AIS,executed,292,221,0,2017
DIV,executed,1083,842,1083,2017
ISS,announced,2,2,0,2017
ISS,executed,478,343,478,2017
ISS,not_executed,83,69,0,2017
MOVE,executed,28,28,0,2017
NLIS,executed,281,281,0,2017
SUSP,executed,25,25,0,2017
AIS,executed,352,257,0,2018
DIV,executed,1211,902,1211,2018
ISS,executed,485,343,485,2018
ISS,not_executed,121,103,0,2018
MA,executed,1,1,0,2018
MOVE,executed,34,34,0,2018
NLIS,executed,125,125,0,2018
SUSP,executed,36,36,0,2018
AIS,executed,348,244,0,2019
DIV,executed,1146,883,1146,2019
ISS,announced,1,1,0,2019
ISS,executed,400,285,400,2019
ISS,not_executed,137,113,1,2019
MA,executed,1,1,0,2019
MOVE,executed,35,35,0,2019
NLIS,executed,73,72,0,2019
SUSP,executed,46,46,0,2019
AIS,executed,286,210,0,2020
DIV,executed,1097,864,1097,2020
ISS,executed,368,268,368,2020
ISS,not_executed,82,73,0,2020
MOVE,executed,31,31,0,2020
NLIS,executed,58,58,0,2020
SUSP,executed,37,37,0,2020
AIS,executed,415,239,0,2021
DIV,announced,3,3,0,2021
DIV,executed,1062,846,1062,2021
ISS,executed,484,324,484,2021
ISS,not_executed,157,129,0,2021
MOVE,executed,63,48,0,2021
NLIS,executed,38,38,0,2021
SUSP,executed,64,63,0,2021
AIS,announced,1,1,0,2022
AIS,executed,459,307,0,2022
DIV,announced,45,41,0,2022
DIV,executed,1006,777,1006,2022
ISS,announced,81,59,0,2022
ISS,executed,447,318,447,2022
ISS,not_executed,251,182,2,2022
MOVE,executed,23,23,0,2022
NLIS,executed,31,30,0,2022
SUSP,executed,77,77,0,2022
AIS,announced,7,7,0,2023
AIS,executed,272,229,0,2023
DIV,announced,9,9,0,2023
DIV,executed,1027,788,1027,2023
ISS,executed,323,240,323,2023
ISS,not_executed,170,129,0,2023
MA,executed,1,1,0,2023
MOVE,executed,36,36,0,2023
NLIS,executed,16,16,0,2023
SUSP,executed,63,63,0,2023
AIS,announced,10,10,0,2024
AIS,executed,233,194,0,2024
DIV,executed,998,777,998,2024
ISS,announced,44,39,0,2024
ISS,executed,301,231,301,2024
ISS,not_executed,133,99,0,2024
MOVE,executed,33,33,0,2024
NLIS,executed,25,25,0,2024
SUSP,executed,51,51,0,2024
AIS,announced,27,27,0,2025
AIS,executed,331,263,0,2025
DIV,executed,936,767,936,2025
ISS,announced,60,51,0,2025
ISS,executed,382,288,382,2025
ISS,not_executed,74,63,0,2025
MA,executed,1,1,0,2025
MOVE,executed,27,27,0,2025
NLIS,executed,24,24,0,2025
SUSP,executed,77,77,0,2025
AIS,announced,50,50,0,2026
AIS,executed,171,149,0,2026
DIV,announced,57,56,37,2026
DIV,executed,569,506,569,2026
ISS,announced,313,231,10,2026
ISS,executed,250,212,249,2026
ISS,not_executed,3,3,0,2026
MA,executed,3,3,0,2026
MOVE,announced,1,1,0,2026
MOVE,executed,14,14,0,2026
NLIS,announced,2,2,0,2026
NLIS,executed,17,17,0,2026
SUSP,announced,4,4,0,2026
SUSP,executed,68,68,0,2026
