event_code,event_status,max_pub,min_pub,n_rows,n_ticker
AIS,executed,2026-08-07,2010-04-26,4786,1070
AIS,announced,2026-08-12,2022-07-07,95,94
DIV,executed,2026-08-07,2002-07-03,16947,1508
DIV,announced,2026-08-13,2006-07-27,123,114
ISS,executed,2026-08-13,2000-03-31,9300,1380
ISS,not_executed,2026-01-28,2007-12-14,1783,644
ISS,announced,2026-08-13,2008-02-22,639,439
MA,executed,2026-03-12,2010-04-09,17,16
MOVE,executed,2026-07-20,2009-05-05,430,393
MOVE,announced,2026-05-04,2026-05-04,1,1
NLIS,executed,2026-08-03,2004-03-09,1366,1352
NLIS,announced,2026-08-11,2026-07-28,2,2
SUSP,executed,2026-07-10,2009-04-23,677,572
SUSP,announced,2026-08-13,2026-07-28,4,4
