ticker,ex_date,ratio_total,issue_volume,listing_date,subtype_list,n_subtypes,n_components,ledger_components,ledger_ratio_total,in_universe_pit,univ_backfilled,n_other_adjust_21,n_other_adjust_90,c_m250,d_m250,c_m230,d_m230,c_m40,d_m40,c_m21,d_m21,c_m20,d_m20,c_m1,p_m1,d_m1,icb,c_0,d_0,v_0,c_1,p_1,c_2,p_2,c_3,p_3,c_5,d_5,c_10,d_10,c_20,d_20,c_60,d_60,avol_pre,avol_0_5,adtv_pre,adtv_post,zero_pre,zero_post,rvol60,mom6m,ais_link_tier,ais_conflict,n_ais_candidates,ais_date,n_other_ais_21,n_adjust_at_ais_21,ais_trading_date,ais_shares_delta,ais_shares_total_after,ais_c_m1,ais_d_m1,ais_c_0,ais_d_0,ais_c_5,ais_d_5,ais_c_20,ais_d_20,ais_c_60,ais_d_60,ais_v_0,ais_avol_pre,ais_avol_0_5,BHAR_EX_5,BHAR_EX_10,BHAR_EX_20,BHAR_EX_60,AR_EX,PLACEBO_20,PRETREND_20,FARBASE_20,r_m1,r_p1,r_stable,factor_err,p_hat_0,p_ref,raw_ref_gap,DLOG_ADTV_EX,BHAR_AIS_5,BHAR_AIS_20,BHAR_AIS_60,AIS_AVOL0,AIS_AVOL0_5,supply_intensity
AAA,2015-09-28,0.25,9899988.0,2015-11-05,STOCK_DIVIDEND,1,1,1,0.25,1,1,0,0,6040.0,2014-09-24,5860.0,2014-10-22,5040.0,2015-07-31,4630.0,2015-08-27,4660.0,2015-08-28,4960.0,13300.0,2015-09-25,1353.0,4940.0,2015-09-28,90906.0,4800.0,10300.0,4800.0,10300.0,4760.0,10200.0,4990.0,2015-10-05,4990.0,2015-10-12,4850.0,2015-10-26,5130.0,2015-12-21,198887.5818181818,157563.8,1725435000.0,2284618000.0,0.0,0.0,0.0207058363172045,-0.0453608247422684,A,0,2,2015-11-05,0,0,2015-11-05,9899988.0,49499988.0,5130.0,2015-11-04,5080.0,2015-11-05,4940.0,2015-11-12,5040.0,2015-12-03,6340.0,2016-01-29,411176.0,206071.41818181807,375689.3333333334,-0.0018774763414337592,-0.02734790800556164,-0.06943176201285284,-0.00861267832902679,0.006527968314943622,-0.015681235897944457,0.04860197644807096,-0.06427490650148115,2.681451612903226,2.1458333333333335,0.001388888888888884,-0.0003131850923896451,10600.416666666668,10640.0,-0.0037202380952380265,0.2807196405217347,-0.03354267691467494,-0.010365323379980529,0.2847065887026763,0.9953082461790839,0.8231025760295414,0.19999980606055903
AAA,2020-10-19,0.05,10559998.0,2020-11-27,STOCK_DIVIDEND,1,1,1,0.05,1,1,0,0,11150.0,2019-10-21,11080.0,2019-11-18,9110.0,2020-08-21,9480.0,2020-09-18,9410.0,2020-09-21,9520.0,12300.0,2020-10-16,1353.0,9670.0,2020-10-19,1699360.0,9630.0,11850.0,9510.0,11700.0,9510.0,11700.0,9390.0,2020-10-26,8940.0,2020-11-02,9110.0,2020-11-16,12600.0,2021-01-12,2570899.6363636367,1124930.0,28959994000.0,33580056000.0,0.0,0.0,0.0185713309299859,0.0452039691289958,A,0,4,2020-11-27,0,0,2020-11-27,10559998.0,221759974.0,9920.0,2020-11-26,9960.0,2020-11-27,10410.0,2020-12-04,11380.0,2020-12-25,12070.0,2021-03-01,1975170.0,1813168.0,3416095.0,-0.027453973491810224,-0.054337038860182374,-0.07795042264520025,-0.06778536593755313,0.012799859496346322,-0.05695727842813891,-0.01572622224215503,0.0016725791984982807,1.2920168067226891,1.2305295950155763,0.000199696461378851,-3.0391903596993508e-05,11899.221183800624,11714.285714285714,0.015787174226882694,0.14801695897214984,0.01828482531002229,0.004970784872847078,-0.07693447583681379,0.08934748462359798,0.8840476999373472,0.0476190441833295
AAA,2021-09-01,0.1,29674522.0,2021-10-12,BONUS,1,1,1,0.1,1,1,1,1,9290.0,2020-09-03,9480.0,2020-10-01,14060.0,2021-07-07,13210.0,2021-08-03,13170.0,2021-08-04,14430.0,17750.0,2021-08-31,1353.0,14910.0,2021-09-01,10066400.0,15320.0,16650.0,14720.0,16000.0,14630.0,15900.0,15000.0,2021-09-10,15230.0,2021-09-17,14310.0,2021-10-01,15550.0,2021-11-26,9407120.000000002,6612360.0,115098900000.0,93289625000.0,0.0,0.0,0.0306126051054536,0.098088113050706,A,0,2,2021-10-12,0,0,2021-10-12,29674522.0,326434496.0,14910.0,2021-10-11,14950.0,2021-10-12,14810.0,2021-10-19,15730.0,2021-11-09,19280.0,2022-01-05,5740900.0,6291238.181818182,5699316.666666667,-0.020392782783696495,-0.055397629551830585,-0.1048331218024614,-0.28984594994125734,0.019350504451147055,-0.06811155484587739,-0.050317046922378594,-0.033564534532817714,1.23007623007623,1.0868146214099217,0.00013672409078480108,0.028925353249677377,16204.406005221932,16136.363636363634,0.004216710182767702,-0.2100828575337843,-0.03508762683944888,-0.10052472645805621,0.03689744246817983,-0.08747692678504393,-0.09408664845374648,0.09090498205189687
AAM,2019-04-11,0.3,2410710.0,2019-05-27,BONUS,1,1,1,0.3,0,1,0,1,6280.0,2018-04-11,6250.0,2018-05-14,8210.0,2019-02-14,8900.0,2019-03-13,8900.0,2019-03-14,11310.0,17800.0,2019-04-10,3573.0,11980.0,2019-04-11,30740.0,11980.0,14500.0,11900.0,14400.0,11650.0,14100.0,11240.0,2019-04-19,11280.0,2019-04-26,9920.0,2019-05-15,10270.0,2019-07-10,2864.5454545454545,9948.0,21465000.0,32430000.0,1.0,0.0,0.0283562015066884,0.0974106041923552,A,1,1,2019-05-27,0,0,2019-05-27,-2410710.0,12346411.0,10910.0,2019-05-24,10160.0,2019-05-27,10160.0,2019-06-03,9170.0,2019-06-24,10230.0,2019-08-19,2940.0,5794.363636363637,6211.666666666666,-0.046489104410945004,-0.046269779060742255,-0.15786835856483372,-0.1441469621360244,0.05767737166588427,0.021139897732984858,0.2780446781425181,0.04461570711082852,1.5738284703801946,1.2103505843071787,0.00022027453162687394,0.00023687401351346615,14500.0,13692.307692307691,0.0589887640449438,0.41266021864270286,-0.046065083866033696,-0.15911616521546224,-0.08096473149810945,-0.4926103737174057,0.0720187852353904,-0.19525593308047173
AAS,2023-06-27,0.5,39999969.0,2023-09-26,STOCK_DIVIDEND,1,1,1,0.5,1,1,1,1,10180.0,2022-06-27,11480.0,2022-07-25,6330.0,2023-04-27,7180.0,2023-05-29,7290.0,2023-05-30,9100.0,16100.000000000002,2023-06-26,8777.0,10350.0,2023-06-27,1906196.0,10610.0,12200.0,10170.0,11700.0,9740.0,11200.0,10000.0,2023-07-04,9740.0,2023-07-11,9480.0,2023-07-25,10090.0,2023-09-21,638061.6545454544,1058997.8,7742850000.0,17957613600.0,0.0,0.0,0.0280917881297335,0.1867768595041314,A,1,2,2023-09-26,1,0,,,,,,,,,,,,,,,,,-0.028011789694010303,-0.06558484975672407,-0.13707684885116633,-0.11476856512850708,0.13406987454294073,0.034042503252468936,0.1937736971104631,0.09900277756507148,1.7692307692307694,1.1498586239396795,0.0005077614971711331,0.025767129045817683,11901.036757775682,10733.333333333334,0.1087922445132623,0.841244344113786,,,,,,
AAS,2023-11-14,0.15,29999552.0,2023-12-26,STOCK_DIVIDEND,1,1,1,0.15,1,1,0,0,4410.0,2022-11-14,5880.0,2022-12-12,10440.0,2023-09-19,8440.0,2023-10-16,8350.0,2023-10-17,8260.0,9500.0,2023-11-13,8777.0,8600.0,2023-11-14,1838187.0,8700.0,8700.0,8800.0,8800.0,8400.0,8400.0,8600.0,2023-11-21,8300.0,2023-11-28,8700.0,2023-12-12,8300.0,2024-02-07,2534215.2545454544,1460052.2,19989238000.0,6656245200.0,0.0,0.0,0.0384391515887477,0.2126436781609193,A,0,1,2023-12-26,0,0,2023-12-26,29999552.0,229999521.0,8600.0,2023-12-25,8400.0,2023-12-26,8600.0,2024-01-03,8300.0,2024-01-24,9600.0,2024-03-27,531638.0,1605403.3454545457,734879.3333333334,-0.012388958205911793,-0.02785776189082878,-0.013228114406451441,-0.08532067204718052,0.035269374781299545,-0.11958214933069788,0.023942391467285162,0.13071637922178936,1.1501210653753027,1.0,0.0,0.0001052742393936601,8600.0,8260.869565217392,0.04105263157894723,-1.099638486943551,-0.019014911790093736,-0.0510870321991056,0.004072483050843179,-0.6688445919181296,-0.5422462925506963,0.13043310642373032
AAT,2021-10-14,0.115,4001489.0,2021-12-01,STOCK_DIVIDEND,1,1,1,0.115,1,1,1,1,,,,,14820.0,2021-08-17,17070.0,2021-09-15,16880.0,2021-09-16,17740.0,23700.0,2021-10-13,3763.0,17960.0,2021-10-14,1355600.0,17520.0,20100.0,17000.0,19500.0,16470.0,18900.0,16910.0,2021-10-21,17650.0,2021-10-28,18390.0,2021-11-11,15120.0,2022-01-07,882294.5454545453,1247480.0,15860790000.0,14188440000.0,0.0,0.0,0.022405662641193,0.4564846416382255,A,0,1,2021-12-01,0,0,2021-12-01,4001489.0,38801489.0,17080.0,2021-11-30,17300.0,2021-12-01,16780.0,2021-12-08,15300.0,2021-12-29,12250.0,2022-03-03,1028700.0,1071223.6363636362,685066.6666666666,-0.08251092335589016,-0.09524977759803954,-0.13755814307281833,-0.4121753164816512,0.0016407921395731329,0.014225092841217535,-0.017976816971295495,,1.3359639233370912,1.1472602739726028,0.0004203446826398505,0.04437846359528974,20604.794520547945,21255.60538116592,-0.030618316860297035,-0.11142247725764776,0.016804705610197423,-0.11903359076890863,-0.31331088555330866,-0.03969632009613466,-0.3604821221158018,0.10312720215453587
AAT,2023-07-04,0.11,7017614.0,2023-08-16,STOCK_DIVIDEND,1,1,1,0.11,1,1,0,0,8350.0,2022-07-04,10950.0,2022-08-01,4600.0,2023-05-09,5590.0,2023-06-05,5760.0,2023-06-06,5710.0,6340.0,2023-07-03,3763.0,5940.0,2023-07-04,590631.0,5850.0,5850.0,5750.0,5750.0,5650.0,5650.0,5890.0,2023-07-11,6050.0,2023-07-18,6110.0,2023-08-01,5140.0,2023-09-28,1087579.909090909,631223.4,5389964250.0,3411968560.0,0.0,0.0,0.026203652930686,0.2939814814814809,A,0,1,2023-08-16,0,0,2023-08-16,7017614.0,70819103.0,6330.0,2023-08-15,6220.0,2023-08-16,5390.0,2023-08-23,5810.0,2023-09-15,4850.0,2023-11-10,887672.0,1232840.4727272734,876079.1666666667,-0.020942498534716636,-0.018108334570379414,-0.03682361442232662,-0.14882134850901774,0.02703747615909613,0.11759113555015444,0.0005528992970911251,0.2452021851831485,1.1103327495621715,1.0,0.0,0.00029977438033457204,5940.0,5711.711711711711,0.03996845425867512,-0.4572493371957975,-0.07592129137202897,-0.06604726038868225,-0.10922596922617622,-0.2799782132100971,-0.2893815655413907,0.09909210513440138
AAV,2018-10-04,0.15,1874996.0,2018-11-22,STOCK_DIVIDEND,1,1,1,0.15,1,1,0,0,,,,,14590.0,2018-08-08,11040.0,2018-09-05,12100.0,2018-09-06,8680.0,13200.0,2018-10-03,8633.0,8700.0,2018-10-04,52600.0,9070.0,12000.0,8700.0,11500.0,8850.0,11700.0,7860.0,2018-10-11,7860.0,2018-10-18,7110.0,2018-11-01,7710.0,2018-12-27,246974.36363636365,433170.0,3103800000.0,525000000.0,0.0,0.0,0.0624275659789779,0.0625601539942253,A,0,2,2018-11-22,0,0,2018-11-22,1874996.0,14374996.0,8170.0,2018-11-21,8010.0,2018-11-22,7710.0,2018-11-29,7710.0,2018-12-20,7180.0,2019-02-25,90058.0,217328.00000000003,91191.66666666669,-0.03461592544437542,-0.057725737916848874,-0.09197789727132877,-0.01195228614555599,-0.004471586721193299,-0.18684656509223863,-0.2890298340859948,,1.5207373271889402,1.3230429988974641,0.0009107904702554404,-0.0005009016229210461,11510.474090407937,11478.260869565218,0.002806454846145945,-1.7769841836459008,-0.04237493234792278,-0.04263566381161876,-0.13441917124482594,-0.5856125303688435,-0.5803961446906672,0.13043454064265478
AAV,2021-07-08,0.15,4781184.0,2021-09-09,STOCK_DIVIDEND,1,1,1,0.15,1,1,0,0,4790.0,2020-07-09,4280.0,2020-08-06,12350.0,2021-05-13,13270.0,2021-06-09,12850.0,2021-06-10,12770.0,15200.0,2021-07-07,8633.0,13240.0,2021-07-08,289500.0,13240.0,13700.0,12170.0,12600.0,12370.0,12800.0,11980.0,2021-07-15,12080.0,2021-07-22,12370.0,2021-08-05,29950.0,2021-10-04,436932.12727272726,220391.2,5493293000.0,9886231600.0,0.0,0.0,0.027396766756371,0.0744939271255058,A,0,1,2021-09-09,0,0,2021-09-09,4781184.0,36656180.0,23190.0,2021-09-08,24160.0,2021-09-09,24830.0,2021-09-16,29950.0,2021-10-07,26090.0,2021-12-02,1096917.0,360493.52727272734,1008719.8333333334,-0.05868871621238059,-0.053734346966620605,-0.08383364989974063,1.0241821173599162,0.03619591726528171,-0.013867418493289874,-0.040743549958542014,-0.07557229326002901,1.1902897415818323,1.0347432024169185,0.0005697868996992206,0.0002815727415714786,13700.000000000002,13217.391304347828,0.03651315789473686,0.5876151481256855,0.012168199933022539,0.18551488107830338,-0.23113210820764896,2.042820236742114,1.7981635092443633,0.13043323117684386
