rebal_date,effective_from,effective_to,ticker,liq_rank,rating_8l,weight,quarter
2014-08-05,2014-08-05,2014-11-04,VNH,1,3,0.001961,2014-07-01
2014-08-05,2014-08-05,2014-11-04,FDC,2,2,0.020418,2014-07-01
2014-08-05,2014-08-05,2014-11-04,LAF,3,3,0.007316,2014-07-01
2014-08-05,2014-08-05,2014-11-04,CSM,4,2,0.065616,2014-07-01
2014-08-05,2014-08-05,2014-11-04,PGS,5,2,0.023309,2014-07-01
2014-08-05,2014-08-05,2014-11-04,SRC,6,3,0.006389,2014-07-01
2014-08-05,2014-08-05,2014-11-04,TDC,7,3,0.023336,2014-07-01
2014-08-05,2014-08-05,2014-11-04,MBB,8,3,0.1,2014-07-01
2014-08-05,2014-08-05,2014-11-04,LAS,9,2,0.052455,2014-07-01
2014-08-05,2014-08-05,2014-11-04,PPC,10,3,0.1,2014-07-01
2014-08-05,2014-08-05,2014-11-04,BMC,11,1,0.010638,2014-07-01
2014-08-05,2014-08-05,2014-11-04,TRC,12,3,0.028966,2014-07-01
2014-08-05,2014-08-05,2014-11-04,AAA,13,3,0.005908,2014-07-01
2014-08-05,2014-08-05,2014-11-04,KMR,14,3,0.011046,2014-07-01
2014-08-05,2014-08-05,2014-11-04,SMA,15,3,0.002777,2014-07-01
2014-08-05,2014-08-05,2014-11-04,VIC,16,3,0.1,2014-07-01
2014-08-05,2014-08-05,2014-11-04,SBA,17,3,0.014337,2014-07-01
2014-08-05,2014-08-05,2014-11-04,DPM,18,2,0.1,2014-07-01
2014-08-05,2014-08-05,2014-11-04,TCM,19,3,0.025916,2014-07-01
2014-08-05,2014-08-05,2014-11-04,PGD,20,2,0.036236,2014-07-01
2014-08-05,2014-08-05,2014-11-04,CNG,21,2,0.019277,2014-07-01
2014-08-05,2014-08-05,2014-11-04,CMI,22,3,0.008706,2014-07-01
2014-08-05,2014-08-05,2014-11-04,PVS,23,1,0.1,2014-07-01
2014-08-05,2014-08-05,2014-11-04,MHC,24,3,0.003593,2014-07-01
2014-08-05,2014-08-05,2014-11-04,PXS,25,3,0.041754,2014-07-01
2014-08-05,2014-08-05,2014-11-04,HDG,26,2,0.015023,2014-07-01
2014-08-05,2014-08-05,2014-11-04,KHP,27,3,0.010348,2014-07-01
2014-08-05,2014-08-05,2014-11-04,BTP,28,3,0.014955,2014-07-01
2014-08-05,2014-08-05,2014-11-04,VHG,29,3,0.039587,2014-07-01
2014-08-05,2014-08-05,2014-11-04,NTL,30,3,0.010132,2014-07-01
2014-11-05,2014-11-05,2015-02-04,MBB,1,2,0.1,2014-10-01
2014-11-05,2014-11-05,2015-02-04,SRC,2,2,0.008641,2014-10-01
2014-11-05,2014-11-05,2015-02-04,TDC,3,2,0.019924,2014-10-01
2014-11-05,2014-11-05,2015-02-04,SD9,4,3,0.012797,2014-10-01
2014-11-05,2014-11-05,2015-02-04,PGS,5,2,0.021249,2014-10-01
2014-11-05,2014-11-05,2015-02-04,CSM,6,2,0.058055,2014-10-01
2014-11-05,2014-11-05,2015-02-04,CMI,7,3,0.007565,2014-10-01
2014-11-05,2014-11-05,2015-02-04,KMR,8,3,0.011217,2014-10-01
2014-11-05,2014-11-05,2015-02-04,SBA,9,3,0.015071,2014-10-01
2014-11-05,2014-11-05,2015-02-04,VCS,10,3,0.007133,2014-10-01
2014-11-05,2014-11-05,2015-02-04,LAS,11,2,0.039718,2014-10-01
2014-11-05,2014-11-05,2015-02-04,CNG,12,1,0.016658,2014-10-01
2014-11-05,2014-11-05,2015-02-04,SMA,13,3,0.002522,2014-10-01
2014-11-05,2014-11-05,2015-02-04,MHC,14,3,0.004567,2014-10-01
2014-11-05,2014-11-05,2015-02-04,LAF,15,3,0.00708,2014-10-01
2014-11-05,2014-11-05,2015-02-04,PVB,16,3,0.039026,2014-10-01
2014-11-05,2014-11-05,2015-02-04,FMC,17,3,0.00602,2014-10-01
2014-11-05,2014-11-05,2015-02-04,VKC,18,3,0.002902,2014-10-01
2014-11-05,2014-11-05,2015-02-04,VTO,19,3,0.012267,2014-10-01
2014-11-05,2014-11-05,2015-02-04,DBC,20,3,0.01365,2014-10-01
2014-11-05,2014-11-05,2015-02-04,PXS,21,3,0.052957,2014-10-01
2014-11-05,2014-11-05,2015-02-04,VSH,22,3,0.072297,2014-10-01
2014-11-05,2014-11-05,2015-02-04,STB,23,2,0.1,2014-10-01
2014-11-05,2014-11-05,2015-02-04,PVS,24,1,0.1,2014-10-01
2014-11-05,2014-11-05,2015-02-04,DPM,25,2,0.1,2014-10-01
2014-11-05,2014-11-05,2015-02-04,BMC,26,2,0.008083,2014-10-01
2014-11-05,2014-11-05,2015-02-04,TCM,27,3,0.028655,2014-10-01
2014-11-05,2014-11-05,2015-02-04,SD6,28,3,0.017679,2014-10-01
2014-11-05,2014-11-05,2015-02-04,HDG,29,2,0.014267,2014-10-01
