rebal_date,src_q,n_pick,n_pool,n_fin,n_fin_pool,n_bank,fin_names
2014-02-06,2013-10-01,0,0,0,0,0,
2014-05-05,2014-01-01,0,0,0,0,0,
2014-08-05,2014-04-01,30,60,1,4,0,BVH
2014-11-05,2014-07-01,30,60,1,4,1,BID
2015-02-05,2014-10-01,30,60,4,8,2,SHS|STB|BID|VND
2015-05-05,2015-01-01,30,60,3,7,0,VND|SSI|HCM
2015-08-05,2015-04-01,30,60,2,8,0,VND|HCM
2015-11-05,2015-07-01,30,60,0,7,0,
2016-02-05,2015-10-01,30,60,0,10,0,
2016-05-05,2016-01-01,30,60,0,10,0,
2016-08-05,2016-04-01,30,60,2,8,0,VIX|BVH
2016-11-07,2016-07-01,30,60,2,7,0,SSI|HCM
2017-02-06,2016-10-01,30,60,0,10,0,
2017-05-05,2017-01-01,30,60,1,7,0,TVC
2017-08-07,2017-04-01,30,60,1,10,1,BID
2017-11-06,2017-07-01,30,60,1,11,1,ACB
2018-02-05,2017-10-01,30,60,0,13,0,
2018-05-07,2018-01-01,30,60,2,14,1,VPB|BVH
2018-08-06,2018-04-01,30,60,3,15,2,BID|VCI|VIB
2018-11-05,2018-07-01,30,60,2,16,1,VCI|TPB
2019-02-11,2018-10-01,30,60,3,14,2,BID|SSI|VCB
2019-05-06,2019-01-01,30,60,2,12,1,SHS|TCB
2019-08-05,2019-04-01,30,60,4,12,3,SHB|MBB|HDB|SSI
2019-11-05,2019-07-01,30,60,5,12,4,ACB|TCB|BVH|VCB|BID
2020-02-05,2019-10-01,30,60,4,12,3,MBB|VCB|TCB|HCM
2020-05-05,2020-01-01,30,60,6,11,6,SHB|TCB|VPB|CTG|HDB|VCB
2020-08-05,2020-04-01,30,60,2,12,1,VPB|SSI
2020-11-05,2020-07-01,30,60,3,14,2,VCI|HDB|TCB
2021-02-05,2020-10-01,30,60,3,18,1,SHS|VPB|SSI
2021-05-05,2021-01-01,30,60,7,17,4,MBB|TPB|VND|TCB|VIX|BVH|VPB
2021-08-05,2021-04-01,30,60,5,23,5,TPB|MSB|ACB|VCB|VPB
2021-11-05,2021-07-01,30,60,7,24,4,CTG|LPB|BID|VND|HCM|SSI|VPB
2022-02-07,2021-10-01,30,60,13,24,8,LPB|HDB|OCB|SHB|MBS|TCB|VCB|VPB|BCG|BVH|VND|MSB|ORS
2022-05-05,2022-01-01,30,60,12,22,8,ACB|HDB|MBB|VCB|SHS|BID|VCI|VND|SSB|VPB|BCG|MSB
2022-08-05,2022-04-01,30,60,16,21,9,LPB|ACB|TPB|HDB|MBB|SHS|BID|HCM|SSI|VIX|MSB|VND|BVH|BCG|VCB|VPB
2022-11-07,2022-07-01,30,60,13,21,8,LPB|ACB|TCB|TPB|MBB|BID|VND|CTG|SHS|VIX|VCB|SSI|BVH
2023-02-06,2022-10-01,30,60,7,19,6,MBB|CTG|SHB|BID|VPB|HCM|SSB
2023-05-05,2023-01-01,30,60,5,18,5,OCB|BID|HDB|VCB|VIB
2023-08-07,2023-04-01,30,60,7,16,6,MSB|LPB|TCB|TPB|MBS|SHB|MBB
2023-11-06,2023-07-01,30,60,13,16,11,SHB|MSB|HDB|CTG|VIB|TPB|STB|LPB|MBS|VCB|TCB|BID|BVH
2024-02-05,2023-10-01,30,60,13,20,9,MSB|VIB|HDB|ACB|STB|CTG|MBB|BID|VCB|FTS|SSI|VND|VIX
2024-05-06,2024-01-01,30,60,13,22,8,SHB|MSB|VIB|MBB|ACB|TPB|CTG|VCB|VND|FTS|CTS|VIX|HCM
2024-08-05,2024-04-01,30,60,14,21,9,HDB|MSB|VIB|STB|ACB|TCB|TPB|VCB|BID|SSI|HCM|FTS|SHS|VCI
2024-11-05,2024-07-01,30,60,15,20,11,MSB|STB|MBB|HDB|CTG|VIB|LPB|TPB|SHB|BID|SSI|HCM|MBS|FTS|VCB
2025-02-05,2024-10-01,30,60,13,22,8,HDB|STB|CTG|TCB|ACB|BID|MSB|TPB|ORS|SSI|HCM|MBS|VCI
2025-05-05,2025-01-01,30,60,12,20,10,SHB|STB|HDB|CTG|LPB|BID|MSB|VIB|ACB|EIB|HCM|FTS
2025-08-05,2025-04-01,30,60,14,20,11,TPB|HDB|STB|CTG|BID|MSB|LPB|ACB|MBB|TCB|EIB|SSI|MBS|FTS
2025-11-05,2025-07-01,30,60,14,23,9,TPB|HDB|OCB|VPB|CTG|LPB|VCB|MSB|VND|TCB|VIX|SSI|HCM|BSI
2026-02-05,2025-10-01,30,60,13,25,5,ABB|MSB|OCB|EVF|VCB|VIX|TCB|SHS|MBS|SSI|HCM|FTS|VCI
2026-05-05,2026-01-01,30,60,16,23,8,TPB|MSB|MBB|CTG|BID|VIB|VPB|VIX|TCB|SHS|VND|MBS|BVH|HCM|TCX|VCI
