rebal_date,src_q,n_pick,n_pool,n_fin,n_fin_pool,n_bank,fin_names
2014-02-06,2013-10-01,0,0,0,0,0,
2014-05-05,2014-01-01,0,0,0,0,0,
2014-08-05,2014-04-01,30,104,1,5,0,BVH
2014-11-05,2014-07-01,30,106,2,5,1,BID|BVH
2015-02-05,2014-10-01,30,120,5,10,1,BID|VND|BIC|HCM|SSI
2015-05-05,2015-01-01,30,120,4,9,2,MBB|STB|VND|BIC
2015-08-05,2015-04-01,30,118,3,9,0,SSI|BIC|TVC
2015-11-05,2015-07-01,30,120,1,9,0,PGI
2016-02-05,2015-10-01,30,120,3,15,0,TVS|VND|HCM
2016-05-05,2016-01-01,30,120,2,15,2,BID|VCB
2016-08-05,2016-04-01,30,120,4,13,0,BCG|VIX|PVI|HCM
2016-11-07,2016-07-01,30,120,2,14,0,SHS|VND
2017-02-06,2016-10-01,30,120,2,12,0,PVI|BVH
2017-05-05,2017-01-01,30,120,2,13,0,TVB|BMI
2017-08-07,2017-04-01,30,120,5,15,2,CTG|MBB|PGI|SSI|HCM
2017-11-06,2017-07-01,30,120,7,15,2,MBB|BID|TVB|VND|PGI|BVH|HCM
2018-02-05,2017-10-01,30,120,8,14,3,SHS|CTG|BID|VCB|VND|PVI|TVB|SSI
2018-05-07,2018-01-01,30,120,8,18,3,LPB|BSI|SHS|VIX|BID|PVI|CTG|SSI
2018-08-06,2018-04-01,30,120,7,20,3,SHS|PVI|VPB|ACB|VCI|BVH|VIB
2018-11-05,2018-07-01,30,120,10,20,5,MBB|BID|HCM|SHS|VCB|VND|SSI|TPB|HDB|BVH
2019-02-11,2018-10-01,30,120,8,20,2,VIX|CTS|VIB|VCI|SSI|BMI|TCB|HCM
2019-05-06,2019-01-01,30,120,9,16,7,VPB|VIB|HDB|HCM|VND|TPB|BID|MBB|VCB
2019-08-05,2019-04-01,30,120,9,16,4,ACB|VCI|MBB|TPB|TCB|SHS|SSI|HCM|TVB
2019-11-05,2019-07-01,30,120,7,18,4,ACB|MBB|TCB|VND|HDB|BVH|HCM
2020-02-05,2019-10-01,30,120,8,19,5,LPB|TPB|MBB|VCI|ACB|TCB|HCM|PVI
2020-05-05,2020-01-01,30,120,8,18,4,VIB|MBS|VCI|ACB|VPB|VND|MBB|PVI
2020-08-05,2020-04-01,30,120,8,16,6,VPB|HDB|SHB|ACB|MBB|BMI|SHS|VCB
2020-11-05,2020-07-01,30,120,11,17,6,VIB|VCI|HDB|SHB|SHS|VPB|TCB|SSI|HCM|VND|VCB
2021-02-05,2020-10-01,30,120,13,21,8,VIB|HDB|TPB|MBB|VND|SHB|LPB|VPB|TVB|SSI|HCM|OGC|VCB
2021-05-05,2021-01-01,30,120,10,24,5,LPB|VIB|TCB|SHB|BVH|VCI|BSI|VIX|HCM|VCB
2021-08-05,2021-04-01,30,120,15,29,6,SHS|CTS|MBB|FTS|ACB|VDS|OCB|BVH|BID|HCM|SSI|CTG|BMI|APG|VPB
2021-11-05,2021-07-01,30,120,14,33,6,HDB|CTG|VIX|VIB|VDS|SHS|CTS|BID|ACB|HCM|TVB|MBB|ORS|BMI
2022-02-07,2021-10-01,30,120,16,39,7,ABB|HDB|MBB|BVS|VIB|MBS|TPB|BVH|AAS|BCG|VCB|VPB|AGR|BSI|VND|TVB
2022-05-05,2022-01-01,30,120,17,36,6,HDB|FTS|OCB|TPB|APS|MBS|VDS|TVC|CTS|BVH|VCB|BSI|VND|HCM|CTG|VPB|BCG
2022-08-05,2022-04-01,30,120,17,33,7,ABB|LPB|MBS|TPB|VIB|APG|CTS|CTG|HDB|SHS|VCI|BSI|BMI|VND|BVH|MSB|BCG
2022-11-07,2022-07-01,30,120,18,31,9,LPB|ACB|TCB|VIB|MBS|TPB|MSB|BID|CTS|VND|VCI|HDB|SSB|SSI|BSI|FTS|MIG|OGC
2023-02-06,2022-10-01,30,120,15,26,7,OCB|TCB|MBS|SHB|HDB|BID|HCM|VND|VCI|STB|SSB|BMI|BVH|MIG|FTS
2023-05-05,2023-01-01,30,120,13,20,10,TCB|LPB|MSB|CTG|ACB|SHB|HDB|TPB|VCB|BVH|BMI|SSB|MIG
2023-08-07,2023-04-01,30,120,14,22,10,ACB|TCB|TPB|AAS|STB|VIB|VCB|OCB|BID|BMI|MBB|BVH|SSB|OGC
2023-11-06,2023-07-01,30,120,15,24,11,MSB|SHB|HDB|ACB|NAB|VIB|CTG|STB|VDS|BMI|VCB|MBS|BID|FTS|SSB
2024-02-05,2023-10-01,30,120,14,27,9,MSB|SHB|HDB|ACB|TPB|CTG|OCB|TCB|BVH|SSB|VND|CTS|OGC|VIX
2024-05-06,2024-01-01,30,120,15,27,6,SHB|HDB|VIB|NAB|STB|TCB|BVS|BVH|VDS|VND|FTS|SSI|VIX|CTS|MBS
2024-08-05,2024-04-01,30,120,16,29,11,SHB|MSB|HDB|OCB|STB|ACB|NAB|LPB|BVH|SSB|VDS|BID|VCB|CTS|SHS|VCI
2024-11-05,2024-07-01,30,120,15,29,8,MSB|STB|MBB|CTG|TCB|ACB|TVC|SSB|BVH|VDS|ORS|MIG|CTS|VCI|VCB
2025-02-05,2024-10-01,30,120,16,25,9,NAB|HDB|CTG|MBB|SSB|VIB|BID|TPB|VND|ORS|SSI|HCM|MBS|CTS|VCI|VCB
2025-05-05,2025-01-01,30,120,16,25,11,NAB|SHB|HDB|CTG|BID|MBB|MSB|VIB|ACB|EIB|VCB|HCM|MBS|CTS|FTS|VCI
2025-08-05,2025-04-01,30,120,15,24,11,SHB|TPB|NAB|SSB|VPB|LPB|ACB|VIB|TCB|VCB|EIB|BVH|SSI|CTS|FTS
2025-11-05,2025-07-01,30,120,14,28,7,SHB|SSB|STB|LPB|ACB|VIB|BVH|MSB|CTS|VIX|MBS|SSI|FTS|HCM
2026-02-05,2025-10-01,30,120,18,32,10,NAB|TPB|ABB|SHB|BID|EVF|VAB|KLB|MBB|LPB|CTS|TCB|VND|MBS|BSI|HCM|FTS|VCI
2026-05-05,2026-01-01,30,120,18,35,11,TPB|KLB|MSB|OCB|HDB|ACB|ABB|VIB|LPB|VIX|EVF|VCB|BMI|VND|MIG|BVB|FTS|PVI
