quarter,rebal_date,ticker,qmult,rating,liq_rank,score
2014-07-01,2014-08-05,MBB,1.0,3.0,1,1.453140479492768
2014-07-01,2014-08-05,VNH,1.0,3.0,2,1.939270853972657
2014-07-01,2014-08-05,NBC,1.0,2.0,3,1.9106399841489994
2014-07-01,2014-08-05,FDC,1.0,2.0,4,1.9081632653061225
2014-07-01,2014-08-05,LAF,1.0,3.0,5,1.8387160689518525
2014-07-01,2014-08-05,TYA,1.0,3.0,6,1.8145432930453733
2014-07-01,2014-08-05,HLD,1.0,2.0,7,1.7682781850604319
2014-07-01,2014-08-05,LHC,1.0,3.0,8,1.7662968099861303
2014-07-01,2014-08-05,DCL,1.0,3.0,9,1.7276599960372498
2014-07-01,2014-08-05,CMS,1.0,3.0,10,1.703784426391916
2014-07-01,2014-08-05,PGS,1.0,2.0,11,1.5852981969486823
2014-07-01,2014-08-05,SRC,1.0,3.0,12,1.58232613433723
2014-07-01,2014-08-05,CSM,1.0,2.0,13,1.5785615216960571
2014-07-01,2014-08-05,DPR,1.0,2.0,14,1.5656825837130968
2014-07-01,2014-08-05,C32,1.0,2.0,15,1.5549831583118685
2014-07-01,2014-08-05,TDC,1.0,3.0,16,1.5504259956409747
2014-07-01,2014-08-05,DHC,1.0,3.0,17,1.5163463443629879
2014-07-01,2014-08-05,DXP,1.0,1.0,18,1.4613631860511194
2014-07-01,2014-08-05,SJD,1.0,3.0,19,1.4564097483653655
2014-07-01,2014-08-05,TCO,1.0,3.0,20,1.450663760649891
2014-07-01,2014-08-05,PTB,1.0,3.0,21,1.4447196354269862
2014-07-01,2014-08-05,TRC,1.0,3.0,22,1.4320388349514563
2014-07-01,2014-08-05,GSP,1.0,3.0,23,1.4274816722805626
2014-07-01,2014-08-05,LAS,1.0,2.0,24,1.4230235783633842
2014-07-01,2014-08-05,KSB,1.0,1.0,25,1.4160887656033285
2014-07-01,2014-08-05,KKC,1.0,3.0,26,1.4096492966118486
2014-07-01,2014-08-05,PLC,1.0,3.0,27,1.3749752328115714
2014-07-01,2014-08-05,PPC,1.0,3.0,28,1.3369328313849813
2014-07-01,2014-08-05,BMC,1.0,1.0,29,1.325242718446602
2014-07-01,2014-08-05,SVC,1.0,3.0,30,1.3226669308500099
2014-10-01,2014-11-05,MBB,1.0,2.0,1,1.649567610062893
2014-10-01,2014-11-05,STB,1.0,2.0,2,0.9508647798742138
2014-10-01,2014-11-05,FDC,1.0,2.0,3,1.8958333333333335
2014-10-01,2014-11-05,TYA,1.0,3.0,4,1.8838443396226414
2014-10-01,2014-11-05,SSM,1.0,3.0,5,1.8799135220125787
2014-10-01,2014-11-05,DCL,1.0,3.0,6,1.6961477987421383
2014-10-01,2014-11-05,NDN,1.0,3.0,7,1.6625393081761006
2014-10-01,2014-11-05,DPR,1.0,2.0,8,1.6432783018867925
2014-10-01,2014-11-05,DHP,1.0,3.0,9,1.6348270440251573
2014-10-01,2014-11-05,TDC,1.0,2.0,10,1.6053459119496853
2014-10-01,2014-11-05,SRC,1.0,2.0,11,1.599056603773585
2014-10-01,2014-11-05,TCO,1.0,3.0,12,1.552869496855346
2014-10-01,2014-11-05,DHC,1.0,3.0,13,1.5463836477987423
2014-10-01,2014-11-05,PGS,1.0,2.0,14,1.5288915094339623
2014-10-01,2014-11-05,DQC,1.0,3.0,15,1.528498427672956
2014-10-01,2014-11-05,SD9,1.0,3.0,16,1.5212264150943398
2014-10-01,2014-11-05,CSM,1.0,2.0,17,1.516509433962264
2014-10-01,2014-11-05,C32,1.0,1.0,18,1.4954795597484276
2014-10-01,2014-11-05,KKC,1.0,3.0,19,1.490566037735849
2014-10-01,2014-11-05,HLD,1.0,2.0,20,1.4811320754716981
2014-10-01,2014-11-05,TRC,1.0,3.0,21,1.4716981132075473
2014-10-01,2014-11-05,LHC,1.0,2.0,22,1.4622641509433962
2014-10-01,2014-11-05,KSB,1.0,1.0,23,1.4284591194968552
2014-10-01,2014-11-05,CMI,1.0,3.0,24,1.3976022012578617
2014-10-01,2014-11-05,GSP,1.0,3.0,25,1.3944575471698113
2014-10-01,2014-11-05,KMR,1.0,3.0,26,1.3903301886792452
2014-10-01,2014-11-05,INN,1.0,3.0,27,1.384630503144654
2014-10-01,2014-11-05,SMA,1.0,3.0,28,1.35750786163522
2014-10-01,2014-11-05,SVC,1.0,3.0,29,1.3457154088050314
2014-10-01,2014-11-05,SBA,1.0,3.0,30,1.3400157232704402
2015-01-01,2015-02-05,MBB,1.0,2.0,1,1.814102564102564
2015-01-01,2015-02-05,SHS,1.0,3.0,2,1.6125356125356125
2015-01-01,2015-02-05,STB,1.0,3.0,3,1.584045584045584
2015-01-01,2015-02-05,VDS,1.0,3.0,4,1.4857549857549857
2015-01-01,2015-02-05,BID,1.0,2.0,5,1.1923076923076923
2015-01-01,2015-02-05,TDC,1.0,3.0,6,1.7877492877492878
2015-01-01,2015-02-05,DPR,1.0,3.0,7,1.7549857549857548
2015-01-01,2015-02-05,CMI,1.0,3.0,8,1.7165242165242165
2015-01-01,2015-02-05,PGS,1.0,2.0,9,1.7136752136752138
2015-01-01,2015-02-05,DQC,1.0,3.0,10,1.6801994301994303
2015-01-01,2015-02-05,C32,1.0,1.0,11,1.631766381766382
2015-01-01,2015-02-05,FDC,1.0,3.0,12,1.6111111111111112
2015-01-01,2015-02-05,VSC,1.0,2.0,13,1.591880341880342
2015-01-01,2015-02-05,CSM,1.0,2.0,14,1.5598290598290598
2015-01-01,2015-02-05,PVB,1.0,2.0,15,1.5441595441595442
2015-01-01,2015-02-05,KSB,1.0,1.0,16,1.5227920227920229
2015-01-01,2015-02-05,LHC,1.0,1.0,17,1.5128205128205128
2015-01-01,2015-02-05,DHC,1.0,3.0,18,1.4935897435897436
2015-01-01,2015-02-05,SFI,1.0,1.0,19,1.4836182336182335
2015-01-01,2015-02-05,TRC,1.0,3.0,20,1.482905982905983
2015-01-01,2015-02-05,NDN,1.0,2.0,21,1.4772079772079771
2015-01-01,2015-02-05,TCO,1.0,3.0,22,1.4736467236467234
2015-01-01,2015-02-05,CNG,1.0,2.0,23,1.4665242165242165
2015-01-01,2015-02-05,HLD,1.0,2.0,24,1.465811965811966
2015-01-01,2015-02-05,DCL,1.0,3.0,25,1.443019943019943
2015-01-01,2015-02-05,HMH,1.0,3.0,26,1.4316239316239316
2015-01-01,2015-02-05,SBA,1.0,3.0,27,1.4195156695156694
2015-01-01,2015-02-05,SJD,1.0,3.0,28,1.4045584045584045
2015-01-01,2015-02-05,S55,1.0,2.0,29,1.3967236467236468
2015-01-01,2015-02-05,LAS,1.0,2.0,30,1.3888888888888888
2015-04-01,2015-05-05,VDS,1.0,3.0,1,1.9090909090909092
2015-04-01,2015-05-05,MBB,1.0,2.0,2,1.7583333333333333
2015-04-01,2015-05-05,STB,1.0,3.0,3,1.3174242424242424
2015-04-01,2015-05-05,VND,1.0,3.0,4,1.2234848484848484
2015-04-01,2015-05-05,L14,1.0,3.0,5,1.8954545454545455
2015-04-01,2015-05-05,NAG,1.0,3.0,6,1.7333333333333334
2015-04-01,2015-05-05,PVB,1.0,2.0,7,1.7295454545454545
2015-04-01,2015-05-05,SFG,1.0,3.0,8,1.7151515151515153
2015-04-01,2015-05-05,PGS,1.0,2.0,9,1.6553030303030303
2015-04-01,2015-05-05,DQC,1.0,3.0,10,1.6537878787878788
2015-04-01,2015-05-05,TDC,1.0,3.0,11,1.6462121212121212
2015-04-01,2015-05-05,VSC,1.0,2.0,12,1.6265151515151515
2015-04-01,2015-05-05,DPR,1.0,3.0,13,1.6257575757575757
2015-04-01,2015-05-05,PVS,1.0,1.0,14,1.6234848484848485
2015-04-01,2015-05-05,CVT,1.0,3.0,15,1.5742424242424242
2015-04-01,2015-05-05,SFI,1.0,1.0,16,1.5333333333333332
2015-04-01,2015-05-05,CMI,1.0,3.0,17,1.5106060606060607
2015-04-01,2015-05-05,MCG,1.0,3.0,18,1.5022727272727272
2015-04-01,2015-05-05,KSB,1.0,1.0,19,1.4856060606060606
2015-04-01,2015-05-05,NT2,1.0,3.0,20,1.4712121212121212
2015-04-01,2015-05-05,HLD,1.0,2.0,21,1.4666666666666668
2015-04-01,2015-05-05,TCL,1.0,2.0,22,1.4575757575757575
2015-04-01,2015-05-05,HUT,1.0,3.0,23,1.4386363636363635
2015-04-01,2015-05-05,PET,1.0,3.0,24,1.4310606060606061
2015-04-01,2015-05-05,SZL,1.0,2.0,25,1.4166666666666667
2015-04-01,2015-05-05,CNG,1.0,1.0,26,1.412121212121212
2015-04-01,2015-05-05,PVD,1.0,3.0,27,1.4090909090909092
2015-04-01,2015-05-05,VNS,1.0,3.0,28,1.375
2015-04-01,2015-05-05,PTB,1.0,3.0,29,1.3454545454545455
2015-04-01,2015-05-05,PGD,1.0,2.0,30,1.331060606060606
2015-07-01,2015-08-05,VDS,1.0,3.0,1,1.9629629629629628
2015-07-01,2015-08-05,MBB,1.0,2.0,2,1.7410546139359697
2015-07-01,2015-08-05,VND,1.0,3.0,3,1.1461079723791587
2015-07-01,2015-08-05,L14,1.0,3.0,4,1.9452291274325173
2015-07-01,2015-08-05,DHP,1.0,3.0,5,1.8250156936597615
2015-07-01,2015-08-05,TCL,1.0,2.0,6,1.7292843691148776
2015-07-01,2015-08-05,GIL,1.0,3.0,7,1.701820464532329
2015-07-01,2015-08-05,NT2,1.0,3.0,8,1.6991525423728815
2015-07-01,2015-08-05,CVT,1.0,3.0,9,1.668706842435656
2015-07-01,2015-08-05,PVS,1.0,2.0,10,1.6646264908976773
2015-07-01,2015-08-05,DPR,1.0,2.0,11,1.6585059635907093
2015-07-01,2015-08-05,CMS,1.0,3.0,12,1.6335530445699937
2015-07-01,2015-08-05,NAG,1.0,3.0,13,1.6247645951035783
2015-07-01,2015-08-05,SZL,1.0,2.0,14,1.5260514752040177
2015-07-01,2015-08-05,VNS,1.0,3.0,15,1.5235404896421847
2015-07-01,2015-08-05,PET,1.0,3.0,16,1.5106716886377902
2015-07-01,2015-08-05,PGS,1.0,3.0,17,1.509730069052103
2015-07-01,2015-08-05,PVD,1.0,3.0,18,1.5026679221594477
2015-07-01,2015-08-05,LAS,1.0,2.0,19,1.4956057752667922
2015-07-01,2015-08-05,MCG,1.0,3.0,20,1.491368487131199
2015-07-01,2015-08-05,DQC,1.0,3.0,21,1.4847771500313873
2015-07-01,2015-08-05,MHC,1.0,3.0,22,1.4830508474576272
2015-07-01,2015-08-05,DBC,1.0,3.0,23,1.4734777150031388
2015-07-01,2015-08-05,PVB,1.0,2.0,24,1.4692404268675454
2015-07-01,2015-08-05,HLD,1.0,2.0,25,1.4661016949152543
2015-07-01,2015-08-05,SFI,1.0,1.0,26,1.4615505335844319
2015-07-01,2015-08-05,KSB,1.0,1.0,27,1.4461707470182046
2015-07-01,2015-08-05,SJD,1.0,2.0,28,1.4340866290018832
2015-07-01,2015-08-05,CMI,1.0,3.0,29,1.4227871939736345
2015-07-01,2015-08-05,SCL,1.0,3.0,30,1.3882611424984306
2015-10-01,2015-11-05,MBB,1.0,2.0,1,1.193911526874901
2015-10-01,2015-11-05,HUT,1.0,3.0,2,1.9307119074044712
2015-10-01,2015-11-05,KHP,1.0,3.0,3,1.8488980497859522
2015-10-01,2015-11-05,GIL,1.0,3.0,4,1.8224988108450928
2015-10-01,2015-11-05,NAG,1.0,3.0,5,1.8194070080862534
2015-10-01,2015-11-05,TJC,1.0,3.0,6,1.8123513556365944
2015-10-01,2015-11-05,SFI,1.0,2.0,7,1.799667036625971
2015-10-01,2015-11-05,DPR,1.0,3.0,8,1.7964166798794992
2015-10-01,2015-11-05,NT2,1.0,3.0,9,1.768273347074679
2015-10-01,2015-11-05,LAS,1.0,2.0,10,1.7314095449500555
2015-10-01,2015-11-05,NDX,1.0,3.0,11,1.6461867765974314
2015-10-01,2015-11-05,PVS,1.0,2.0,12,1.6444426827334708
2015-10-01,2015-11-05,CVT,1.0,3.0,13,1.6019502140478834
2015-10-01,2015-11-05,SCL,1.0,3.0,14,1.5674647217377518
2015-10-01,2015-11-05,PVD,1.0,3.0,15,1.562470271127319
2015-10-01,2015-11-05,DBC,1.0,3.0,16,1.5478833042651021
2015-10-01,2015-11-05,HAH,1.0,2.0,17,1.5447915015062628
2015-10-01,2015-11-05,SJD,1.0,2.0,18,1.5393213889329318
2015-10-01,2015-11-05,KSB,1.0,1.0,19,1.5302045346440463
2015-10-01,2015-11-05,HHS,1.0,2.0,20,1.521484065324243
2015-10-01,2015-11-05,PET,1.0,3.0,21,1.5148247978436657
2015-10-01,2015-11-05,HTI,1.0,3.0,22,1.5137941969240527
2015-10-01,2015-11-05,VNS,1.0,3.0,23,1.4690026954177897
2015-10-01,2015-11-05,SZL,1.0,2.0,24,1.4331694942127795
2015-10-01,2015-11-05,HMH,1.0,3.0,25,1.4314254003488187
2015-10-01,2015-11-05,VSH,1.0,3.0,26,1.4250832408435072
2015-10-01,2015-11-05,C32,1.0,2.0,27,1.4181861423814808
2015-10-01,2015-11-05,VCS,1.0,3.0,28,1.4159663865546217
2015-10-01,2015-11-05,PVC,1.0,2.0,29,1.3904391945457428
2015-10-01,2015-11-05,VTO,1.0,3.0,30,1.372998255906136
2016-01-01,2016-02-05,TVS,1.0,2.0,1,1.2345132743362832
2016-01-01,2016-02-05,VIX,1.0,3.0,2,1.1902654867256637
2016-01-01,2016-02-05,BCG,1.0,3.0,3,1.0
2016-01-01,2016-02-05,VSI,1.0,3.0,4,1.9557522123893807
2016-01-01,2016-02-05,PIV,1.0,2.0,5,1.9385188635305077
2016-01-01,2016-02-05,BCC,1.0,3.0,6,1.878714485328365
2016-01-01,2016-02-05,HLD,1.0,2.0,7,1.8665114112715417
2016-01-01,2016-02-05,KHP,1.0,3.0,8,1.8340009315323709
2016-01-01,2016-02-05,SLS,1.0,3.0,9,1.7818351187703771
2016-01-01,2016-02-05,PVD,1.0,3.0,10,1.7325570563577084
2016-01-01,2016-02-05,LAS,1.0,3.0,11,1.7253842571029343
2016-01-01,2016-02-05,TCL,1.0,3.0,12,1.6849557522123895
2016-01-01,2016-02-05,LHG,1.0,2.0,13,1.6739636702375407
2016-01-01,2016-02-05,SJD,1.0,2.0,14,1.656730321378668
2016-01-01,2016-02-05,PVS,1.0,2.0,15,1.6433162552398697
2016-01-01,2016-02-05,NT2,1.0,3.0,16,1.6373544480670703
2016-01-01,2016-02-05,HTI,1.0,3.0,17,1.624965067536097
2016-01-01,2016-02-05,CVT,1.0,3.0,18,1.5823940381928272
2016-01-01,2016-02-05,HAH,1.0,3.0,19,1.552678155565906
2016-01-01,2016-02-05,DBC,1.0,3.0,20,1.534233814625058
2016-01-01,2016-02-05,HSG,1.0,2.0,21,1.511783884489986
2016-01-01,2016-02-05,VSH,1.0,3.0,22,1.4519795062878436
2016-01-01,2016-02-05,HPG,1.0,2.0,23,1.4258965999068467
2016-01-01,2016-02-05,GAS,1.0,2.0,24,1.3981369352585002
2016-01-01,2016-02-05,KSB,1.0,1.0,25,1.3787610619469026
2016-01-01,2016-02-05,C32,1.0,1.0,26,1.3784816022356776
2016-01-01,2016-02-05,PTB,1.0,1.0,27,1.3622729389846295
2016-01-01,2016-02-05,FCN,1.0,3.0,28,1.3495575221238938
2016-01-01,2016-02-05,PPC,1.0,3.0,29,1.320353982300885
2016-01-01,2016-02-05,KDC,1.0,2.0,30,1.305263157894737
2016-04-01,2016-05-05,HVA,1.0,3.0,1,1.295388349514563
2016-04-01,2016-05-05,TVS,1.0,2.0,2,1.1647249190938511
2016-04-01,2016-05-05,VSI,1.0,3.0,3,1.9583333333333335
2016-04-01,2016-05-05,SHN,1.0,3.0,4,1.9139967637540454
2016-04-01,2016-05-05,PVB,1.0,2.0,5,1.8959546925566344
2016-04-01,2016-05-05,HLD,1.0,3.0,6,1.870873786407767
2016-04-01,2016-05-05,PVD,1.0,3.0,7,1.8529126213592233
2016-04-01,2016-05-05,VGS,1.0,3.0,8,1.8305825242718448
2016-04-01,2016-05-05,LDG,1.0,2.0,9,1.8250809061488673
2016-04-01,2016-05-05,VPH,1.0,2.0,10,1.7861650485436893
2016-04-01,2016-05-05,PVS,1.0,3.0,11,1.753074433656958
2016-04-01,2016-05-05,PET,1.0,3.0,12,1.7320388349514564
2016-04-01,2016-05-05,SLS,1.0,3.0,13,1.7100323624595468
2016-04-01,2016-05-05,NHA,1.0,3.0,14,1.6919093851132687
2016-04-01,2016-05-05,CVT,1.0,3.0,15,1.6736245954692557
2016-04-01,2016-05-05,VNS,1.0,3.0,16,1.6516181229773461
2016-04-01,2016-05-05,FMC,1.0,3.0,17,1.6460355987055015
2016-04-01,2016-05-05,HPG,1.0,2.0,18,1.6003236245954693
2016-04-01,2016-05-05,TCL,1.0,3.0,19,1.5656148867313915
