n,median_pb,share_pb_lt1,p10,p20,p30,episode,label,date
52,3.3980549309843946,0.0,2.2198160352560343,2.311943350894964,2.5362521596640777,2007-04,arm,2007-04-23
224,0.7123755515691872,0.7723214285714286,0.41568586705245,0.45829075058172064,0.5660840909755489,2007-04,trough,2009-02-24
277,1.261373377454589,0.27075812274368233,0.7984662293362408,0.9037538705587498,1.0220386284834997,2007-04,end,2009-08-18
314,1.4308095058885102,0.1942675159235669,0.8485242403134419,1.0155826477411989,1.1409105732995826,2009-11,arm,2009-11-26
427,1.2757085682399394,0.2576112412177986,0.8075723927575383,0.9439447370364751,1.0367308245559184,2009-11,trough,2010-08-25
442,1.0107745655993057,0.4796380090497738,0.6437617840622009,0.747147259716635,0.8561335803286861,2009-11,end,2010-11-24
462,0.6844029486682431,0.7575757575757576,0.427812664431829,0.4986130823876679,0.5629835599073234,2011-05,arm,2011-05-23
406,0.47472714397322396,0.8645320197044335,0.2647428000841958,0.3095494100604687,0.3509554648047012,2011-05,trough,2012-01-06
470,0.5372694210575717,0.8404255319148937,0.2944583014497116,0.34461684976732015,0.40281041822010005,2011-05,end,2012-02-17
459,0.5838637468395024,0.8191721132897604,0.3034967775592765,0.3725418021005906,0.4202554312500738,2012-08,arm,2012-08-27
419,0.5164056201368078,0.8615751789976134,0.25227258396046953,0.30775680702413,0.3716575691965205,2012-08,trough,2012-11-02
449,0.5259685632272292,0.8329621380846325,0.2570380183337986,0.3235221711910565,0.3760836892941954,2012-08,end,2012-12-11
635,0.8995880931265346,0.5748031496062992,0.3127001958462914,0.45536465718383135,0.6037350150163279,2018-05,arm,2018-05-28
598,0.8955985990155426,0.5618729096989966,0.31364887145978476,0.45863784188388074,0.6100339083409514,2018-05,trough,2019-01-03
638,0.9138949928220772,0.5313479623824452,0.31090486801888967,0.47683922167844506,0.645023741098934,2018-05,end,2019-02-18
678,0.7820019258879449,0.6474926253687315,0.26602134543680256,0.4124281832955595,0.5311161435857331,2020-03,arm,2020-03-11
652,0.7038782571374175,0.6886503067484663,0.23950170716112676,0.3542784913208546,0.4810460617158339,2020-03,trough,2020-03-24
687,0.7985126107676098,0.636098981077147,0.2920430481778718,0.41889547472131494,0.5487102248186931,2020-03,end,2020-08-03
894,1.1590973419660784,0.3926174496644295,0.5653553268966534,0.7279377198214549,0.8800633368717958,2022-05,arm,2022-05-13
808,0.7215987645525883,0.6658415841584159,0.2789488840328131,0.3857069259898806,0.5033795305436709,2022-05,trough,2022-11-15
830,0.9005721895735723,0.5674698795180723,0.3656952286523012,0.5231330832445025,0.6490482030355,2022-05,end,2023-05-09
