ticker,time,Trading_Value_1M_P50,Trading_Value,Volume_1M_P50,Risk_Rating
AGR,2026-08-28,3209815000.0,6207175000.0,240450.0,4.0
ANV,2026-08-28,8037977500.0,8099480000.0,462700.0,4.0
BFC,2026-08-28,6415883300.0,3895170000.0,122454.5,3.0
BIC,2026-08-28,403340000.0,149385000.0,19150.0,2.0
BSI,2026-08-28,10078480000.0,16717000000.0,350750.0,4.0
CEO,2026-08-28,70828425000.0,85514000000.0,5903550.0,5.0
CMG,2026-08-28,3131290000.0,3762480000.0,127300.0,3.0
CSV,2026-08-28,5553855000.0,3154920000.0,251900.0,4.0
DCM,2026-08-28,70071372500.0,48940440000.0,2257900.0,3.0
DDV,2026-08-28,4872800000.0,6945200000.0,264100.0,5.0
DGC,2026-08-28,20397240000.0,60965400000.0,468250.0,3.0
DPM,2026-08-28,47551967750.0,33497200000.0,2204350.0,3.0
EIB,2026-08-28,84486202500.0,81181980000.0,4784000.0,3.0
ELC,2026-08-28,3936630000.0,3122575000.0,251250.0,3.0
GCF,2026-08-28,280560000.0,275040000.0,14650.0,4.0
GEX,2026-08-28,291333210000.0,401881300000.0,11173700.0,4.0
HVT,2026-08-28,197280000.0,414740000.0,8400.0,2.0
KDH,2026-08-28,86243797500.0,79171820000.0,4770050.0,3.0
L14,2026-08-28,1613620000.0,2488800000.0,75400.0,5.0
NNC,2026-08-28,1609272200.0,1466010000.0,39321.5,1.0
OIL,2026-08-28,15955995000.0,14006640000.0,1203600.0,3.0
PAC,2026-08-28,2168697500.0,3628530000.0,138800.0,2.0
PLC,2026-08-28,2055115000.0,2194920000.0,102300.0,4.0
PVB,2026-08-28,1630200000.0,932940000.0,74100.0,4.0
PXL,2026-08-28,208920000.0,170130000.0,18950.0,5.0
SGP,2026-08-28,459700000.0,334950000.0,22300.0,4.0
SHS,2026-08-28,149682420000.0,226791620000.0,9475250.0,5.0
SZC,2026-08-28,10006640000.0,5537670000.0,526600.0,4.0
TCO,2026-08-28,3059792500.0,3736125000.0,286450.0,2.0
THG,2026-08-28,624120000.0,449225000.0,21750.0,2.0
TNG,2026-08-28,6347189200.0,6533540000.0,354885.5,4.0
TV1,2026-08-28,440900000.0,426400000.0,21900.0,2.0
TV2,2026-08-28,2745700000.0,3933525000.0,104600.0,3.0
VCS,2026-08-28,1028720000.0,1068800000.0,31500.0,2.0
VDS,2026-08-28,9537592500.0,13841190000.0,778800.0,4.0
VIB,2026-08-28,64645875000.0,80845115000.0,4420250.0,2.0
VIX,2026-08-28,588374159300.0,597986640000.0,42705367.0,4.0
VND,2026-08-28,153859817500.0,183361455000.0,9077350.0,4.0
VRE,2026-08-28,143431480000.0,217869750000.0,5679750.0,3.0
