ticker,Close,Volume,PB,peak_400d,high_252s,washout_pct,dd52_pct,pb_pct_rank,qualify_abs,qualify_or,qualify_via
BOT,1500.0,85100.0,0.0,2500.0,2600.0,-0.4,-0.4230769230769231,0.0,True,True,absolute
POM,3500.0,5615700.0,0.0,7900.0,7900.0,-0.5569620253164558,-0.5569620253164558,0.0,True,True,absolute
BNA,2100.0,698400.0,0.1150657575383132,8400.0,8400.0,-0.75,-0.75,0.0056497175141242,True,True,absolute
DRH,1700.0,79700.0,0.1636657629931964,3580.0,3380.0,-0.5251396648044693,-0.4970414201183432,0.0084745762711864,True,True,absolute
VPG,1780.0,156000.0,0.1676402465367983,10050.0,9220.0,-0.8228855721393035,-0.806941431670282,0.0112994350282485,True,True,absolute
FIT,3080.0,241500.0,0.1736152124935427,5650.0,5650.0,-0.4548672566371681,-0.4548672566371681,0.0141242937853107,True,True,absolute
AAH,1900.0,174200.0,0.1894679923737652,4700.0,4400.0,-0.5957446808510638,-0.5681818181818181,0.0169491525423728,True,True,absolute
MBG,2300.0,72800.0,0.2109684969827266,4600.0,4100.0,-0.5,-0.4390243902439024,0.019774011299435,True,True,absolute
HQC,2170.0,966500.0,0.2275140914035922,4200.0,3910.0,-0.4833333333333333,-0.4450127877237851,0.0225988700564971,True,True,absolute
LIG,3200.0,27100.0,0.2300955094258359,5400.0,5300.0,-0.4074074074074074,-0.3962264150943396,0.0254237288135593,True,True,absolute
VNE,2200.0,406900.0,0.2424954367554566,8380.0,8380.0,-0.7374701670644391,-0.7374701670644391,0.0310734463276836,True,True,absolute
VHE,3000.0,114800.0,0.25925661698748,5400.0,5200.0,-0.4444444444444444,-0.4230769230769231,0.0338983050847457,True,True,absolute
ASM,5820.0,115400.0,0.2819103444347562,8480.0,8480.0,-0.3136792452830188,-0.3136792452830188,0.0367231638418079,True,True,absolute
HID,3390.0,112800.0,0.2839707769591231,11150.0,11150.0,-0.6959641255605381,-0.6959641255605381,0.03954802259887,True,True,absolute
HHS,11050.0,1423000.0,0.285826364103531,19700.0,19700.0,-0.4390862944162437,-0.4390862944162437,0.0423728813559322,True,True,absolute
DVM,4900.0,155100.0,0.2968199145602018,8500.0,8500.0,-0.4235294117647059,-0.4235294117647059,0.0451977401129943,True,True,absolute
GIL,7900.0,90700.0,0.3005309923157006,21400.0,21400.0,-0.6308411214953271,-0.6308411214953271,0.0480225988700565,True,True,absolute
IDJ,3600.0,252700.0,0.3285977945633526,8400.0,7600.0,-0.5714285714285714,-0.5263157894736843,0.0536723163841807,True,True,absolute
EVG,4330.0,592400.0,0.3312960572234288,11190.0,11190.0,-0.613047363717605,-0.613047363717605,0.0564971751412429,True,True,absolute
HPX,4150.0,1081900.0,0.3367400776595249,6150.0,5710.0,-0.3252032520325203,-0.2732049036777583,0.059322033898305,True,True,absolute
SJE,12600.0,17000.0,0.3381279712416227,25300.0,23300.0,-0.5019762845849802,-0.4592274678111587,0.0621468926553672,True,True,absolute
OGC,2190.0,525500.0,0.3429296048540094,5260.0,4900.0,-0.5836501901140685,-0.5530612244897959,0.0649717514124293,True,True,absolute
TLH,3950.0,72400.0,0.3470285689521903,6440.0,6300.0,-0.3866459627329193,-0.373015873015873,0.0677966101694915,True,True,absolute
ITC,10150.0,58200.0,0.3498428814901925,18000.0,16500.0,-0.4361111111111111,-0.3848484848484849,0.0706214689265536,True,True,absolute
SCR,4570.0,876200.0,0.3658669858245562,10400.0,10200.0,-0.5605769230769231,-0.5519607843137255,0.0734463276836158,True,True,absolute
IDI,5000.0,199600.0,0.3660950677018714,9100.0,8730.0,-0.4505494505494505,-0.427262313860252,0.0762711864406779,True,True,absolute
FIR,3960.0,143900.0,0.3746988982215077,9500.0,9000.0,-0.5831578947368421,-0.56,0.0790960451977401,True,True,absolute
DL1,4400.0,184200.0,0.3799071822662997,7210.0,6400.0,-0.3897364771151179,-0.3125,0.0819209039548022,True,True,absolute
DXS,6070.0,2296500.0,0.3878796473787825,13850.0,13850.0,-0.5617328519855596,-0.5617328519855596,0.0847457627118644,True,True,absolute
VTD,4500.0,124800.0,0.3996596504367369,9900.0,9500.0,-0.5454545454545454,-0.5263157894736843,0.0903954802259887,True,True,absolute
NRC,4900.0,701800.0,0.4008829298466743,7000.0,7000.0,-0.3,-0.3,0.0932203389830508,True,True,absolute
KHG,4850.0,803300.0,0.4094911645034508,8700.0,8700.0,-0.4425287356321838,-0.4425287356321838,0.096045197740113,True,True,absolute
BIG,4700.0,336800.0,0.431829609522921,8490.0,8490.0,-0.4464075382803297,-0.4464075382803297,0.1016949152542373,True,True,absolute
HHV,10050.0,2514300.0,0.442845516153844,15580.0,15580.0,-0.3549422336328626,-0.3549422336328626,0.1045197740112994,True,True,absolute
EVS,5500.0,320000.0,0.4489750347082943,9000.0,9000.0,-0.3888888888888888,-0.3888888888888888,0.1101694915254237,True,True,absolute
GDA,12300.0,30700.0,0.4490187660722725,19000.0,19000.0,-0.3526315789473684,-0.3526315789473684,0.1129943502824858,True,True,absolute
CRC,5290.0,262400.0,0.4549702978991281,12650.0,11800.0,-0.5818181818181818,-0.5516949152542373,0.115819209039548,True,True,absolute
APG,4940.0,267500.0,0.4631418700045797,12950.0,12950.0,-0.6185328185328185,-0.6185328185328185,0.1186440677966101,True,True,absolute
NVL,13050.0,7703100.0,0.4805025626781183,19070.0,19070.0,-0.3156790770844258,-0.3156790770844258,0.1242937853107344,True,True,absolute
C4G,5600.0,130300.0,0.5005278203698974,10600.0,9700.0,-0.4716981132075472,-0.4226804123711341,0.1271186440677966,True,True,absolute
NDN,8500.0,149500.0,0.5008605267992189,14100.0,13900.0,-0.3971631205673759,-0.3884892086330935,0.1299435028248587,True,True,absolute
RYG,9050.0,12000.0,0.5031925793772034,14300.0,14300.0,-0.3671328671328671,-0.3671328671328671,0.1327683615819209,True,True,absolute
DTD,11300.0,91600.0,0.5043514523088856,20400.0,20130.0,-0.446078431372549,-0.438648782911078,0.135593220338983,True,True,absolute
JVC,2940.0,119000.0,0.5056412383733229,9000.0,9000.0,-0.6733333333333333,-0.6733333333333333,0.1384180790960452,True,True,absolute
AGG,11950.0,279100.0,0.510711455423712,21550.0,20350.0,-0.445475638051044,-0.4127764127764127,0.1412429378531073,True,True,absolute
SAM,6100.0,82600.0,0.5127737863380507,9900.0,8680.0,-0.3838383838383838,-0.2972350230414746,0.1440677966101695,True,True,absolute
TDC,7200.0,31800.0,0.521177133159653,13380.0,12230.0,-0.4618834080717489,-0.4112837285363859,0.1468926553672316,True,True,absolute
HTN,9300.0,221300.0,0.5262795350461363,13900.0,12450.0,-0.3309352517985612,-0.2530120481927711,0.1497175141242938,True,True,absolute
FCN,11450.0,313800.0,0.5321243577258862,19220.0,18730.0,-0.4042663891779396,-0.388681260010678,0.1553672316384181,True,True,absolute
CRE,6900.0,246900.0,0.5359230683713511,11600.0,11200.0,-0.4051724137931034,-0.3839285714285714,0.1581920903954802,True,True,absolute
API,5600.0,71600.0,0.5400454110351499,10400.0,9500.0,-0.4615384615384615,-0.4105263157894737,0.1638418079096045,True,True,absolute
SHN,6700.0,61800.0,0.5405945312756825,10500.0,10500.0,-0.3619047619047619,-0.3619047619047619,0.1666666666666666,True,True,absolute
KSB,13650.0,547700.0,0.5416244770752842,22250.0,22250.0,-0.3865168539325843,-0.3865168539325843,0.1694915254237288,True,True,absolute
DC4,6810.0,50600.0,0.5417843048812843,13450.0,11640.0,-0.4936802973977695,-0.4149484536082474,0.1723163841807909,True,True,absolute
TIG,6100.0,2627200.0,0.5429057942337304,10700.0,10500.0,-0.4299065420560748,-0.419047619047619,0.1751412429378531,True,True,absolute
CTP,6700.0,68200.0,0.5450873929488975,22000.0,18600.0,-0.6954545454545454,-0.6397849462365591,0.1779661016949152,True,True,absolute
LDG,2700.0,560700.0,0.5467138273681414,6050.0,5190.0,-0.5537190082644627,-0.4797687861271676,0.1807909604519774,True,True,absolute
VC7,7100.0,80800.0,0.5496779050467528,12730.0,12350.0,-0.4422623723487824,-0.4251012145748988,0.1864406779661017,True,True,absolute
LCG,7130.0,775800.0,0.5510637282200282,11880.0,11450.0,-0.3998316498316498,-0.377292576419214,0.1892655367231638,True,True,absolute
AAV,6000.0,249400.0,0.5555071627153032,9000.0,9000.0,-0.3333333333333333,-0.3333333333333333,0.192090395480226,True,True,absolute
SKG,7740.0,22900.0,0.5614947246000265,11200.0,10630.0,-0.3089285714285714,-0.2718720602069614,0.1949152542372881,True,True,absolute
SGR,10000.0,20800.0,0.5776382808104218,28960.0,26120.0,-0.6546961325966851,-0.6171516079632465,0.2033898305084746,True,True,absolute
IJC,7410.0,834800.0,0.5897226485935999,13460.0,13460.0,-0.4494799405646359,-0.4494799405646359,0.2146892655367231,True,True,absolute
NAG,6900.0,83200.0,0.5924573634725286,15970.0,13710.0,-0.5679398872886663,-0.4967177242888403,0.2203389830508474,True,True,absolute
CTI,17000.0,204600.0,0.5986831190359083,25140.0,24450.0,-0.3237867939538583,-0.3047034764826176,0.2259887005649717,True,True,absolute
DLG,2240.0,465200.0,0.6013110815005396,3720.0,3560.0,-0.3978494623655914,-0.3707865168539326,0.2288135593220339,True,True,absolute
QCG,11150.0,82900.0,0.6225828759921415,18800.0,18800.0,-0.4069148936170212,-0.4069148936170212,0.2344632768361582,True,True,absolute
APS,6200.0,404100.0,0.6475335238717667,13500.0,11500.0,-0.5407407407407407,-0.4608695652173913,0.2429378531073446,True,True,absolute
IPA,13600.0,20100.0,0.6571205481975366,22610.0,20870.0,-0.3984962406015038,-0.3483469094393867,0.2485875706214689,True,True,absolute
DST,8400.0,174900.0,0.6725539478620067,13600.0,13600.0,-0.3823529411764705,-0.3823529411764705,0.2542372881355932,True,True,absolute
AAS,7800.0,934900.0,0.6726896616692292,23000.0,23000.0,-0.6608695652173913,-0.6608695652173913,0.2570621468926554,True,True,absolute
HAX,9190.0,53300.0,0.6804147034898185,17600.0,14150.0,-0.477840909090909,-0.350530035335689,0.2598870056497175,True,True,absolute
BMI,14000.0,76200.0,0.6827613359895648,20950.0,20950.0,-0.3317422434367542,-0.3317422434367542,0.2627118644067797,True,True,absolute
HBC,4000.0,371700.0,0.6882355381380075,8600.0,8200.0,-0.5348837209302326,-0.5121951219512195,0.2655367231638418,True,True,absolute
NKG,10950.0,1292100.0,0.7045922660790923,18090.0,18090.0,-0.3946932006633499,-0.3946932006633499,0.2711864406779661,True,True,absolute
YEG,7520.0,343200.0,0.7128288500170488,14960.0,14020.0,-0.4973262032085561,-0.463623395149786,0.2768361581920904,True,True,absolute
SMC,10300.0,58400.0,0.7224782506379798,16800.0,16800.0,-0.3869047619047618,-0.3869047619047618,0.2796610169491525,True,True,absolute
DXG,12100.0,6620200.0,0.7267436348415334,21260.0,21260.0,-0.4308560677328316,-0.4308560677328316,0.2853107344632768,True,True,absolute
CTD,62800.0,202200.0,0.72757799898943,92750.0,92750.0,-0.322911051212938,-0.322911051212938,0.288135593220339,True,True,absolute
HSG,10900.0,2205700.0,0.7411900940626364,16090.0,16090.0,-0.3225605966438781,-0.3225605966438781,0.2909604519774011,True,True,absolute
NHA,7960.0,114900.0,0.7576399015089832,21850.0,19590.0,-0.6356979405034324,-0.5936702399183257,0.2937853107344633,True,True,absolute
VSC,14700.0,10164200.0,0.7579428237237632,36200.0,32800.0,-0.5939226519337016,-0.5518292682926829,0.2966101694915254,True,True,absolute
CII,14700.0,6320700.0,0.7624512895802203,30350.0,30350.0,-0.5156507413509062,-0.5156507413509062,0.3022598870056497,True,True,absolute
VOS,11000.0,239900.0,0.7681911428245193,18500.0,18500.0,-0.4054054054054054,-0.4054054054054054,0.307909604519774,True,True,absolute
HUT,13200.0,3108500.0,0.779849737514273,20500.0,20100.0,-0.3560975609756097,-0.3432835820895522,0.3135593220338983,True,True,absolute
BVS,29500.0,3305600.0,0.7882840139579611,42180.0,41010.0,-0.3006164058795637,-0.2806632528651548,0.3163841807909605,True,True,absolute
L40,21800.0,30200.0,0.7898447684031701,49810.0,49810.0,-0.5623368801445493,-0.5623368801445493,0.3192090395480226,True,True,absolute
