ceiling,episode,marginal_growth
1.2,2007-04,0.0
1.2,2009-11,0.5957446808510638
1.2,2011-05,0.0
1.2,2012-08,0.0
1.2,2018-05,0.19480519480519481
1.2,2020-03,0.1037037037037037
1.2,2022-05,0.04713804713804714
1.3,2007-04,0.0
1.3,2009-11,0.26595744680851063
1.3,2011-05,0.0
1.3,2012-08,0.0
1.3,2018-05,0.09090909090909091
1.3,2020-03,0.0
1.3,2022-05,0.0
1.4,2007-04,0.0
1.4,2009-11,0.18085106382978725
1.4,2011-05,0.0
1.4,2012-08,0.0
1.4,2018-05,0.06493506493506493
1.4,2020-03,0.0
1.4,2022-05,0.0
1.5,2007-04,0.0
1.5,2009-11,0.23404255319148937
1.5,2011-05,0.0
1.5,2012-08,0.0
1.5,2018-05,0.05194805194805195
1.5,2020-03,0.0
1.5,2022-05,0.0
1.6,2007-04,0.0
1.6,2009-11,0.14893617021276595
1.6,2011-05,0.0
1.6,2012-08,0.0
1.6,2018-05,0.0
1.6,2020-03,0.0
1.6,2022-05,0.0
1.7,2007-04,0.0
1.7,2009-11,0.0
1.7,2011-05,0.0
1.7,2012-08,0.0
1.7,2018-05,0.0
1.7,2020-03,0.0
1.7,2022-05,0.0
1.8,2007-04,0.0
1.8,2009-11,0.0
1.8,2011-05,0.0
1.8,2012-08,0.0
1.8,2018-05,0.0
1.8,2020-03,0.0
1.8,2022-05,0.0
