scope,y,grp,n,mean,median,pct_neg,t_welch,p_welch,boot_lo,boot_hi
FULL,bhar60_close,GROWING,5707,0.004493923422857439,-0.0083505651806863,52.269143157525846,,,,
FULL,bhar60_close,STABLE,3608,0.009658114920415274,-0.0139957975779712,53.51995565410199,,,,
FULL,bhar60_close,DECLINING,5612,0.006794212067110936,-0.01272416705072005,54.16963649322879,,,,
FULL,bhar60_close,GROWING-DECLINING,11319,-0.002300288644253497,,,-0.6886696319452762,0.49104549775770273,-0.00950438735361183,0.005091887996836604
FULL,bhar20_close,GROWING,5732,0.0009711835394800904,-0.0052639519492988,52.94836008374041,,,,
FULL,bhar20_close,STABLE,3636,0.0044360244617876535,-0.0059147793531476,53.74037403740374,,,,
FULL,bhar20_close,DECLINING,5647,0.003390832697554056,-0.0054264682873832,53.05471931999291,,,,
FULL,bhar20_close,GROWING-DECLINING,11379,-0.0024196491580739657,,,-1.3119854903603925,0.18955181004778673,-0.006530898988933305,0.0018658962176005321
IS,bhar60_close,GROWING,2516,-0.0029692124415481402,-0.012681436094196849,53.37837837837838,,,,
IS,bhar60_close,STABLE,1290,-0.0038361341508140897,-0.01321717713055055,53.100775193798455,,,,
IS,bhar60_close,DECLINING,2356,-0.00033536035192105896,-0.015673334699950248,55.34804753820034,,,,
IS,bhar60_close,GROWING-DECLINING,4872,-0.0026338520896270813,,,-0.5657017698907467,0.5716226768691222,-0.014038826621944278,0.00914655191843243
IS,bhar20_close,GROWING,2516,-0.0017114568502821974,-0.00589126289632755,53.85532591414945,,,,
IS,bhar20_close,STABLE,1290,-0.0005786181087873444,-0.0047705944124994,53.17829457364341,,,,
IS,bhar20_close,DECLINING,2356,-0.00014686900229886836,-0.0051665920872394,53.35314091680815,,,,
IS,bhar20_close,GROWING-DECLINING,4872,-0.001564587847983329,,,-0.6216812867956718,0.5341807657851233,-0.0074943649102819304,0.004364032690147834
OOS,bhar60_close,GROWING,3191,0.01037836398532827,-0.0060678767969424,51.394547163898466,,,,
OOS,bhar60_close,STABLE,2318,0.017167856638226262,-0.01448240837340385,53.75323554788611,,,,
OOS,bhar60_close,DECLINING,3256,0.011953079579162341,-0.0098987100532017,53.31695331695332,,,,
OOS,bhar60_close,GROWING-DECLINING,6447,-0.0015747155938340713,,,-0.3368638851875428,0.7362306847172885,-0.010447621047221783,0.00732069364632157
OOS,bhar20_close,GROWING,3216,0.0030699158842070525,-0.0046438576073077505,52.23880597014925,,,,
OOS,bhar20_close,STABLE,2346,0.007193436616963163,-0.00649449403879315,54.049445865302644,,,,
OOS,bhar20_close,DECLINING,3291,0.005923444427986597,-0.0058460780147595,52.841081738073534,,,,
OOS,bhar20_close,GROWING-DECLINING,6507,-0.002853528543779544,,,-1.0927687479466472,0.2745362440399009,-0.008330214435204625,0.002572086566729466
EX_REGIME,bhar60_close,GROWING,4758,0.0033047100616157717,-0.0098511038887794,52.690205968894496,,,,
EX_REGIME,bhar60_close,STABLE,2938,0.005423125714589596,-0.0111977805782541,52.99523485364194,,,,
EX_REGIME,bhar60_close,DECLINING,4736,0.006628768151039438,-0.0123230738568718,54.09628378378378,,,,
EX_REGIME,bhar60_close,GROWING-DECLINING,9494,-0.0033240580894236663,,,-0.9343173356869319,0.3501642267443096,-0.011726858729046158,0.004719010772546268
EX_REGIME,bhar20_close,GROWING,4783,0.0012335039690844333,-0.0043163487371224,52.686598369224335,,,,
EX_REGIME,bhar20_close,STABLE,2966,0.004985851808878325,-0.00448288358026305,53.03438975050573,,,,
EX_REGIME,bhar20_close,DECLINING,4771,0.004726689218671915,-0.0041023883086901,52.33703626074199,,,,
EX_REGIME,bhar20_close,GROWING-DECLINING,9554,-0.0034931852495874815,,,-1.7774118672948338,0.07553284179801528,-0.007881071690343426,0.0010243597101897135
EX_BANK,bhar60_close,GROWING,5674,0.00442714586698825,-0.0086169990339069,52.3440253789214,,,,
EX_BANK,bhar60_close,STABLE,3597,0.009819603099517618,-0.0139172827084306,53.4890186266333,,,,
EX_BANK,bhar60_close,DECLINING,5487,0.006595286235494548,-0.012744612786643,54.18261344997266,,,,
EX_BANK,bhar60_close,GROWING-DECLINING,11161,-0.0021681403685062982,,,-0.641225158969196,0.5213898242676207,-0.009484750909956912,0.005008093355288815
EX_BANK,bhar20_close,GROWING,5699,0.0009139378754792154,-0.0053154073032816,52.991752939112125,,,,
EX_BANK,bhar20_close,STABLE,3625,0.004467177606415417,-0.0058731747726632,53.71034482758621,,,,
EX_BANK,bhar20_close,DECLINING,5520,0.003325269315001037,-0.005580803541753,53.04347826086957,,,,
EX_BANK,bhar20_close,GROWING-DECLINING,11219,-0.0024113314395218218,,,-1.291683086087305,0.19649398686502162,-0.006550609427712675,0.0016675441236391215
