scope,prox_tercile,z_half,n,mean_bhar60,median_bhar60,t_welch,p_welch
FULL,T1_low_prox(BELOW),hi_z,2513,0.012101954106733905,-0.0027422038122553,,
FULL,T1_low_prox(BELOW),lo_z,1530,0.007085216333736095,-0.004883183832077051,,
FULL,T1_low_prox(BELOW),hi_z MINUS lo_z,4043,0.005016737772997809,0.002140980019821751,0.9851244329860054,0.32463512418422674
FULL,T2,hi_z,1908,0.0073174049979273315,-0.0097136759428299,,
FULL,T2,lo_z,2029,0.0029390174488714304,-0.0172592024831226,,
FULL,T2,hi_z MINUS lo_z,3937,0.004378387549055901,0.007545526540292698,0.7723888664229579,0.43993093033760466
FULL,T3_high_prox(ABOVE),hi_z,1468,0.0003688216126963715,-0.01186283817396825,,
FULL,T3_high_prox(ABOVE),lo_z,2510,0.0017767461251247778,-0.0195406456004464,,
FULL,T3_high_prox(ABOVE),hi_z MINUS lo_z,3978,-0.0014079245124284062,0.00767780742647815,-0.2218866023291763,0.8244151910313027
IS,T1_low_prox(BELOW),hi_z,962,0.00560245920854311,-0.0047860481630175,,
IS,T1_low_prox(BELOW),lo_z,622,-0.011248395404916421,-0.01596485024661025,,
IS,T1_low_prox(BELOW),hi_z MINUS lo_z,1584,0.01685085461345953,0.011178802083592749,2.2957263127823206,0.021832863965314916
IS,T2,hi_z,767,0.006130871580988098,-0.0062870933327807,,
IS,T2,lo_z,768,-0.015789198056439985,-0.028522348199498,,
IS,T2,hi_z MINUS lo_z,1535,0.021920069637428083,0.0222352548667173,2.5620234115858933,0.010503471567982137
IS,T3_high_prox(ABOVE),hi_z,565,-0.005330324352941871,-0.0051091454588501,,
IS,T3_high_prox(ABOVE),lo_z,986,0.0023663412005167496,-0.01437448261631415,,
IS,T3_high_prox(ABOVE),hi_z MINUS lo_z,1551,-0.007696665553458621,0.00926533715746405,-0.8413735982439098,0.4003012590173489
OOS,T1_low_prox(BELOW),hi_z,1551,0.016133233340814852,-0.0014589115700271,,
OOS,T1_low_prox(BELOW),lo_z,908,0.019644144198760174,-0.0007393242861059501,,
OOS,T1_low_prox(BELOW),hi_z MINUS lo_z,2459,-0.0035109108579453215,-0.0007195872839211499,-0.5074209590121996,0.6119197933450551
OOS,T2,hi_z,1141,0.008115013350944335,-0.0113124565530395,,
OOS,T2,lo_z,1261,0.014345258137276795,-0.0096088832681979,,
OOS,T2,hi_z MINUS lo_z,2402,-0.00623024478633246,-0.0017035732848415999,-0.8330184953240319,0.40491766773372634
OOS,T3_high_prox(ABOVE),hi_z,903,0.0039347324328354695,-0.018726868246875,,
OOS,T3_high_prox(ABOVE),lo_z,1524,0.0013952889438016225,-0.02347495150986505,,
OOS,T3_high_prox(ABOVE),hi_z MINUS lo_z,2427,0.002539443489033847,0.00474808326299005,0.29514528788609523,0.7679106965417473
