ym,pc,n,scope,y
2014-01,0.04631844218005893,37,FULL,bhar60_close
2014-02,0.2667670805016287,37,FULL,bhar60_close
2014-03,0.19541669431493677,45,FULL,bhar60_close
2014-04,-0.004269434652811241,40,FULL,bhar60_close
2014-05,-0.11728019944384521,51,FULL,bhar60_close
2014-06,-0.09480316348026162,46,FULL,bhar60_close
2014-07,0.055062082173401354,51,FULL,bhar60_close
2014-08,0.10305831723493529,55,FULL,bhar60_close
2014-09,0.20447933808728852,57,FULL,bhar60_close
2014-10,0.19544501460791636,65,FULL,bhar60_close
2014-11,0.1447641487397746,69,FULL,bhar60_close
2014-12,0.17464904940254922,59,FULL,bhar60_close
2015-01,-0.013349814062013262,59,FULL,bhar60_close
2015-02,-0.19984741932566735,55,FULL,bhar60_close
2015-03,-0.31760175109312316,51,FULL,bhar60_close
2015-04,-0.1682482150338773,45,FULL,bhar60_close
2015-05,0.17491195943799914,46,FULL,bhar60_close
2015-06,0.27203268141520154,44,FULL,bhar60_close
2015-07,0.32401970475222996,44,FULL,bhar60_close
2015-08,0.16051117880649485,46,FULL,bhar60_close
2015-09,0.10075995649316045,45,FULL,bhar60_close
2015-10,0.11458597391565427,53,FULL,bhar60_close
2015-11,0.006192332060637821,62,FULL,bhar60_close
2015-12,-0.0051713107993740445,47,FULL,bhar60_close
2016-01,-0.03026386335397355,43,FULL,bhar60_close
2016-02,-0.013358018098551167,41,FULL,bhar60_close
2016-03,0.13842749130761756,52,FULL,bhar60_close
2016-04,0.28066742419917023,51,FULL,bhar60_close
2016-05,0.2517999487562126,58,FULL,bhar60_close
2016-06,0.1517969177567065,58,FULL,bhar60_close
2016-07,-0.046459752823805794,65,FULL,bhar60_close
2016-08,-0.0936175321101151,81,FULL,bhar60_close
2016-09,-0.055548694291956795,94,FULL,bhar60_close
2016-10,-0.12552559701316698,91,FULL,bhar60_close
2016-11,-0.07522345160518004,90,FULL,bhar60_close
2016-12,0.08103997788333782,82,FULL,bhar60_close
2017-01,0.10933110661156416,81,FULL,bhar60_close
2017-02,0.10276599304016536,76,FULL,bhar60_close
2017-03,0.06570923838659408,88,FULL,bhar60_close
2017-04,0.08083565088304136,88,FULL,bhar60_close
2017-05,0.18133015326033108,64,FULL,bhar60_close
2017-06,-0.04391280969730844,72,FULL,bhar60_close
2017-07,0.1184728937939674,78,FULL,bhar60_close
2017-08,0.11234828776193267,75,FULL,bhar60_close
2017-09,0.048599248691602,90,FULL,bhar60_close
2017-10,-0.15306480708246398,90,FULL,bhar60_close
2017-11,-0.10944861331928053,92,FULL,bhar60_close
2017-12,-0.019736736610791995,89,FULL,bhar60_close
2018-01,0.04561903745178563,85,FULL,bhar60_close
2018-02,0.10203948479176857,86,FULL,bhar60_close
2018-03,0.031490513108052134,89,FULL,bhar60_close
2018-04,0.03023893228465168,88,FULL,bhar60_close
2018-05,-0.026503952199098815,78,FULL,bhar60_close
2018-06,-0.053853650122199455,76,FULL,bhar60_close
2018-07,-0.008240610356934389,73,FULL,bhar60_close
2018-08,0.062443777509218146,74,FULL,bhar60_close
2018-09,0.06278133423841499,72,FULL,bhar60_close
2018-10,0.1906974467869398,72,FULL,bhar60_close
2018-11,0.258225645905211,73,FULL,bhar60_close
2018-12,0.2720104103564148,61,FULL,bhar60_close
2019-01,0.1574770119872301,59,FULL,bhar60_close
2019-02,0.20708920223691932,58,FULL,bhar60_close
2019-03,0.24888499448121415,64,FULL,bhar60_close
2019-04,0.23230924547971252,63,FULL,bhar60_close
2019-05,0.17323843802679312,57,FULL,bhar60_close
2019-06,-0.12717321144859048,58,FULL,bhar60_close
2019-07,-0.07050101641948352,55,FULL,bhar60_close
2019-08,0.06287604165888412,66,FULL,bhar60_close
2019-09,0.12570718641067474,70,FULL,bhar60_close
2019-10,0.12914298018531892,66,FULL,bhar60_close
2019-11,0.132571847470304,67,FULL,bhar60_close
2019-12,0.11742007113095577,62,FULL,bhar60_close
2020-01,-0.14751117101993283,64,FULL,bhar60_close
2020-02,-0.07309453552515122,59,FULL,bhar60_close
2020-03,-0.22942036709726635,60,FULL,bhar60_close
2020-04,0.10544728856683243,57,FULL,bhar60_close
2020-05,0.1452598345836424,49,FULL,bhar60_close
2020-06,-0.0946665131244776,46,FULL,bhar60_close
2020-07,-0.1952087535291724,60,FULL,bhar60_close
2020-08,-0.013756598920430772,61,FULL,bhar60_close
2020-09,0.16708240543425026,69,FULL,bhar60_close
2020-10,0.05442178609012755,76,FULL,bhar60_close
2020-11,-0.14821295384862326,84,FULL,bhar60_close
2020-12,-0.09420333674350231,80,FULL,bhar60_close
2021-01,-0.009921508991511544,93,FULL,bhar60_close
2021-02,-0.002996319118900574,103,FULL,bhar60_close
2021-03,0.05344259896453423,114,FULL,bhar60_close
2021-04,0.07611260744158972,109,FULL,bhar60_close
2021-05,0.06042258560230481,91,FULL,bhar60_close
2021-06,-0.02400505149536486,89,FULL,bhar60_close
2021-07,-0.18564842648752533,106,FULL,bhar60_close
2021-08,-0.10793114088025106,109,FULL,bhar60_close
2021-09,0.011008187535223011,124,FULL,bhar60_close
2021-10,0.09644132584830557,134,FULL,bhar60_close
2021-11,0.01887878818107667,161,FULL,bhar60_close
2021-12,0.08141631014667093,168,FULL,bhar60_close
2022-01,0.05875401323303081,165,FULL,bhar60_close
2022-02,0.04574920302127335,165,FULL,bhar60_close
2022-03,0.02328148288284445,161,FULL,bhar60_close
2022-04,-0.025350407950203293,146,FULL,bhar60_close
2022-05,0.06966361485618884,112,FULL,bhar60_close
2022-06,0.08379103282324335,98,FULL,bhar60_close
2022-07,0.022709251278289138,107,FULL,bhar60_close
2022-08,-0.13325163804657003,97,FULL,bhar60_close
2022-09,0.07354289803040835,100,FULL,bhar60_close
2022-10,-0.019144617688224036,114,FULL,bhar60_close
2022-11,-0.11102809725331766,121,FULL,bhar60_close
2022-12,-0.16108509928999035,106,FULL,bhar60_close
2023-01,-0.15565671426259564,108,FULL,bhar60_close
2023-02,-0.03209327759307683,108,FULL,bhar60_close
2023-03,-0.09040079712799094,101,FULL,bhar60_close
2023-04,0.013579657650420277,99,FULL,bhar60_close
2023-05,0.12080932071926773,72,FULL,bhar60_close
2023-06,0.02855206198684723,65,FULL,bhar60_close
2023-07,-0.06531951565859537,77,FULL,bhar60_close
2023-08,0.05106011774819063,79,FULL,bhar60_close
2023-09,0.04496789490645146,79,FULL,bhar60_close
2023-10,0.10392331043287086,81,FULL,bhar60_close
2023-11,-0.060618929681431184,93,FULL,bhar60_close
2023-12,-0.12311639766167978,84,FULL,bhar60_close
2024-01,0.11772820564835852,92,FULL,bhar60_close
2024-02,0.07969536407154451,95,FULL,bhar60_close
2024-03,0.07640087955588477,99,FULL,bhar60_close
2024-04,-0.05430560672583199,101,FULL,bhar60_close
2024-05,0.08143005258195944,89,FULL,bhar60_close
2024-06,0.06806365692581101,88,FULL,bhar60_close
2024-07,-0.017601861084210836,84,FULL,bhar60_close
2024-08,0.11989705638195651,84,FULL,bhar60_close
2024-09,-0.0023874466678365934,84,FULL,bhar60_close
2024-10,-0.03427216408313138,79,FULL,bhar60_close
2024-11,-0.0610881444298719,91,FULL,bhar60_close
2024-12,-0.2819917136490091,86,FULL,bhar60_close
2025-01,-0.014885932005926293,92,FULL,bhar60_close
2025-02,-0.01200219009335866,95,FULL,bhar60_close
2025-03,0.12593951934741868,93,FULL,bhar60_close
2025-04,0.05636780264015822,100,FULL,bhar60_close
