ticker,dt,si,close,price,low,high,volume,pe,pb,dy,icb,ret,rvol60,advnd60,c_p20,d_p20,c_p60,d_p60,c_p120,d_p120,minc60,maxc60,n_fwd60,div0,n0,n1,n2,n3,n4,is_exdate,time,deposit_rate,ym,year,dt5g,first_dt,hist_days,stable3,stable5,nonpayer,yld,si_lag,yld_lag,price_lag,div0_lag,dep_lag,si_lag21,price_l21,div0_l21,dep_l21,eligible,trigger_ok,stale_px,pret60,icb_num,icb_ind,is_bank,bhar_20,bhar_60,bhar_120,mdd_60,mup_60,thr,thr_l21,cause
AAA,2014-09-29,580,5890.0,15800.0,5780.0,5970.0,306100.0,11.471577557311846,1.1063770959659804,0.0632911392405063,1353.0,-0.0134003350083752,0.0241181569528167,8746169853.333334,5670.0,2014-10-27,5340.0,2014-12-22,4850.0,2015-03-26,4920.0,6680.0,60,1000.0,1,1,1,1,0,0,2014-09-29,6.3,2014-09,2014,3,2010-07-15,1537,True,False,False,6.329113924050633,579.0,6.25,16000.0,1000.0,6.3,559.0,16500.0,1000.0,6.3,True,True,False,6.896551724137923,1353.0,1.0,False,-0.28984681763187803,-7.043314302108827,-16.69256265651574,-16.468590831918505,13.412563667232602,6.3,6.3,PRICE_DRIVEN
AAA,2017-05-15,1228,15870.0,30300.0,15820.0,16570.0,2671110.0,9.944904114696508,1.6986977991804209,0.066006600660066,1353.0,-0.0191594561186649,0.0208688061774278,33622337041.666668,16079.999999999998,2017-06-12,16890.0,2017-08-07,16120.000000000002,2017-10-31,15080.0,18430.0,60,2000.0,2,1,1,1,1,0,2017-05-15,6.5,2017-05,2017,3,2010-07-15,2496,True,True,False,6.600660066006601,1227.0,6.472491909385114,30900.0,2000.0,6.5,1207.0,26000.0,2000.0,6.5,True,True,False,,1353.0,1.0,False,-1.6011809944392885,-2.719549362738616,-2.4139198723318156,-4.977945809703844,16.13106490233145,6.5,6.5,OTHER
ABI,2020-10-27,2101,11390.0,34500.0,11390.0,11880.0,9700.0,4.629268479213216,1.34156033584977,0.0579710144927536,8536.0,-0.0223175965665236,0.0169241747265913,594610981.6666666,11550.0,2020-11-24,12870.0,2021-01-20,14060.0,2021-04-22,11220.0,14190.0,60,2000.0,2,1,1,1,1,0,2020-10-27,5.7,2020-10,2020,4,2009-07-17,4120,True,True,False,5.797101449275362,2100.0,5.665722379603399,35300.0,2000.0,5.7,2080.0,33100.0,2000.0,5.7,True,True,False,15.050505050505048,8536.0,8.0,False,-6.523716769664811,-22.029622569401198,-26.31601391102074,-1.4925373134328401,24.582967515364352,5.7,5.7,OTHER
ANV,2020-01-02,1897,8940.0,22900.0,8860.0,8940.0,177330.0,3.625441789324821,1.3303182775614646,0.0655021834061135,3573.0,0.0,0.0186607915503828,9326088266.666666,7340.0,2020-02-06,5420.0,2020-04-03,6910.0,2020-06-30,4900.0,8940.0,60,1500.0,2,2,1,0,1,0,2020-01-02,6.5,2020-01,2020,2,2007-12-07,4409,True,False,False,6.550218340611353,1896.0,6.550218340611353,22900.0,1500.0,7.0,1876.0,23850.0,1500.0,7.0,True,True,False,-10.330992978936814,3573.0,3.0,False,-12.417350816535489,-16.802647396757475,-20.453561648604733,-45.19015659955258,0.0,6.5,7.0,PRICE_DRIVEN
ANV,2020-07-01,2018,7120.0,17200.0,6890.0,7160.0,99790.0,3.9967832535788537,0.9000502593582242,0.0581395348837209,3573.0,0.0303907380607815,0.0330575464016991,5739290500.0,6340.0,2020-07-29,7870.0,2020-09-24,9850.0,2020-12-17,6170.0,8180.0,60,1000.0,1,2,2,1,0,0,2020-07-01,5.7,2020-07,2020,2,2007-12-07,4590,True,False,False,5.813953488372093,2017.0,5.9880239520958085,16700.0,1000.0,6.5,1997.0,18150.0,1300.0,6.5,True,True,False,22.758620689655174,3573.0,3.0,False,-3.902171737810034,-3.700580445017776,3.464425871889798,-13.34269662921348,14.8876404494382,5.7,6.5,OTHER
APC,2015-01-05,648,16270.0,17600.0,15990.0,16550.0,43490.0,9.400589274622414,1.2690226218637557,0.0568181818181818,4573.0,0.0,0.0317236654134895,2127139433.3333333,16920.0,2015-02-02,15900.0,2015-04-07,18380.0,2015-07-06,15620.0,17660.0,60,1000.0,1,1,1,1,1,0,2015-01-05,5.5,2015-01,2015,3,2010-02-05,1795,True,True,False,5.681818181818182,647.0,5.681818181818182,17600.0,1000.0,6.3,627.0,20800.0,1000.0,6.3,True,True,False,,4573.0,4.0,False,4.295639724596045,-2.0615826803061954,7.487859109754669,-3.995082974800246,8.54333128457283,5.5,6.3,PRICE_DRIVEN
APF,2021-03-26,953,23930.0,63300.0,23170.0,24150.0,68120.0,5.441418399723557,1.4491405672664537,0.0552922590837282,3577.0,-0.0078772802653399,0.033828791545369,2878425001.6666665,22530.0,2021-04-26,23790.0,2021-06-23,25330.0,2021-09-17,21520.0,24990.0,60,3500.0,3,2,1,1,2,0,2021-03-26,5.5,2021-03,2021,4,2017-06-08,1387,True,True,False,5.529225908372828,952.0,5.4858934169279,63800.0,3500.0,5.5,,,,,True,True,False,,3577.0,3.0,False,-6.313688382710336,-13.444373817796185,-28.76873479039439,-10.071040534893438,4.429586293355614,5.5,,OTHER
APF,2022-06-29,1267,33660.0,71700.0,33660.0,34510.0,39113.0,7.752710825545555,1.758598496542784,0.0557880055788005,3577.0,-0.0177998249197548,0.019003241951163,1758552355.0,33570.0,2022-07-27,36310.0,2022-09-23,32280.0,2022-12-16,31920.0,37440.0,60,4000.0,2,2,2,2,1,0,2022-06-29,5.5,2022-06,2022,2,2017-06-08,1847,True,True,False,5.578800557880056,1266.0,5.47945205479452,73000.0,4000.0,5.5,1246.0,64099.99999999999,4000.0,5.5,True,True,False,23.20644216691068,3577.0,3.0,False,-1.8919785849530246,4.756533695253395,16.328207237298187,-5.169340463458106,11.229946524064172,5.5,5.5,OTHER
APF,2023-03-16,1445,39550.0,75000.0,39290.0,39550.0,4076.0,4.615862564517253,1.5410785187914708,0.0733333333333333,3577.0,-0.0195835399107585,0.0165269337914073,786012235.0,38760.0,2023-04-13,39200.0,2023-06-13,37920.0,2023-09-07,37930.0,41550.0,60,5500.0,3,1,3,2,1,0,2023-03-16,7.2,2023-03,2023,2,2017-06-08,2107,True,True,False,7.333333333333333,1444.0,7.189542483660131,76500.0,5500.0,7.2,1424.0,73000.0,4000.0,7.5,True,True,False,23.51655215490318,3577.0,3.0,False,-7.492730283012894,-25.536269576834215,-41.824638942280615,-4.096080910240207,5.056890012642223,7.2,7.5,DIV_DRIVEN
ASP,2019-10-25,1849,5600.0,6880.0,5600.0,6010.0,348540.0,3.67229326896036,0.5111308340552418,0.0726744186046511,7573.0,-0.0682196339434276,0.0315945451023707,811294443.3333334,5650.0,2019-11-22,5780.0,2020-01-20,4080.0,2020-04-21,5240.0,6260.0,60,500.0,1,1,1,0,1,0,2019-10-25,7.0,2019-10,2019,3,2008-02-15,4270,True,False,False,7.267441860465116,1848.0,6.7658998646820026,7390.0,500.0,7.0,808.0,,,,True,True,False,,7573.0,7.0,False,3.6563257868765575,9.999095647718404,-10.209602593046974,-6.428571428571428,11.785714285714288,7.0,,OTHER
