ticker,entry,base_exit,ep,b_ret,b_hold,i0,ib,c_exit_i,c_ret,c_hold,c_reason,fwd
VNH,2014-08-05,2014-11-05,4400.0,-0.06818181818181823,64,142,206,206,-0.06818181818181823,64,TIME,
HLD,2014-08-05,2014-11-05,2500.0,0.040000000000000036,64,142,206,206,0.040000000000000036,64,TIME,
PGS,2014-08-05,2014-11-05,11040.0,0.0778985507246377,64,142,206,206,0.0778985507246377,64,TIME,
CSM,2014-08-05,2014-11-05,17550.0,0.04615384615384621,64,142,206,206,0.04615384615384621,64,TIME,
SRC,2014-08-05,2014-11-05,6310.0,0.5990491283676704,64,142,206,206,0.5990491283676704,64,TIME,
TDC,2014-08-05,2014-11-05,4550.0,0.01098901098901095,64,142,206,206,0.01098901098901095,64,TIME,
DPR,2014-08-05,2014-11-05,6860.0,0.06268221574344013,64,142,206,206,0.06268221574344013,64,TIME,
MBB,2014-08-05,2014-11-05,2230.0,0.03587443946188351,64,142,206,206,0.03587443946188351,64,TIME,
GSP,2014-08-05,2014-11-05,3490.0,0.16332378223495692,64,142,206,206,0.16332378223495692,64,TIME,
LAS,2014-08-05,2014-11-05,12130.0,-0.10469909315746084,64,142,206,206,-0.10469909315746084,64,TIME,
SVC,2014-08-05,2014-11-05,2900.0,0.096551724137931,64,142,206,206,0.096551724137931,64,TIME,
PPC,2014-08-05,2014-11-05,6370.0,0.11459968602825743,64,142,206,206,0.11459968602825743,64,TIME,
TRC,2014-08-05,2014-11-05,17900.0,-0.06201117318435756,64,142,206,206,-0.06201117318435756,64,TIME,
BMC,2014-08-05,2014-11-05,15450.0,-0.10161812297734629,64,142,206,206,-0.10161812297734629,64,TIME,
DQC,2014-08-05,2014-11-05,17110.0,0.5300993571011106,64,142,206,206,0.5300993571011106,64,TIME,
AAA,2014-08-05,2014-11-05,5600.0,0.08392857142857135,64,142,206,206,0.08392857142857135,64,TIME,
VIC,2014-08-05,2014-11-05,10810.0,-0.03700277520814066,64,142,206,206,-0.03700277520814066,64,TIME,
SBA,2014-08-05,2014-11-05,4280.0,0.2429906542056075,64,142,206,206,0.2429906542056075,64,TIME,
PXS,2014-08-05,2014-11-05,15030.0,0.49966733200266145,64,142,206,206,0.49966733200266145,64,TIME,
DPM,2014-08-05,2014-11-05,6210.0,0.04347826086956519,64,142,206,206,0.04347826086956519,64,TIME,
PGD,2014-08-05,2014-11-05,10870.0,-0.021159153633854677,64,142,206,206,-0.021159153633854677,64,TIME,
MHC,2014-08-05,2014-11-05,4770.0,0.5031446540880504,64,142,206,206,0.5031446540880504,64,TIME,
PVS,2014-08-05,2014-11-05,19310.0,0.20611082340756082,64,142,206,206,0.20611082340756082,64,TIME,
HDG,2014-08-05,2014-11-05,4150.0,0.12289156626506026,64,142,206,206,0.12289156626506026,64,TIME,
CMI,2014-08-05,2014-11-05,15670.0,0.027440970006381793,64,142,206,206,0.027440970006381793,64,TIME,
TCM,2014-08-05,2014-11-05,9500.0,0.3073684210526315,64,142,206,206,0.3073684210526315,64,TIME,
CNG,2014-08-05,2014-11-05,12850.0,0.021789883268482413,64,142,206,206,0.021789883268482413,64,TIME,
BTP,2014-08-05,2014-11-05,4450.0,0.13258426966292136,64,142,206,206,0.13258426966292136,64,TIME,
KHP,2014-08-05,2014-11-05,4890.0,0.036809815950920255,64,142,206,206,0.036809815950920255,64,TIME,
CTD,2014-08-05,2014-11-05,24280.0,-0.016062602965403627,64,142,206,206,-0.016062602965403627,64,TIME,
DCL,2014-11-05,2015-02-05,9670.0,0.280248190279214,64,206,270,270,0.280248190279214,64,TIME,
MBB,2014-11-05,2015-02-05,2310.0,0.03896103896103886,64,206,270,270,0.03896103896103886,64,TIME,
DPR,2014-11-05,2015-02-05,7290.0,-0.04252400548696844,64,206,270,270,-0.04252400548696844,64,TIME,
SRC,2014-11-05,2015-02-05,10090.0,-0.05847373637264619,64,206,270,270,-0.05847373637264619,64,TIME,
TDC,2014-11-05,2015-02-05,4600.0,-0.05652173913043479,64,206,270,270,-0.05652173913043479,64,TIME,
PGS,2014-11-05,2015-02-05,11900.0,-0.24033613445378155,64,206,270,270,-0.24033613445378155,64,TIME,
SD9,2014-11-05,2015-02-05,8910.0,-0.07968574635241299,64,206,270,270,-0.07968574635241299,64,TIME,
CSM,2014-11-05,2015-02-05,18360.0,-0.1122004357298475,64,206,270,270,-0.1122004357298475,64,TIME,
CMI,2014-11-05,2015-02-05,16100.000000000002,-0.08695652173913049,64,206,270,270,-0.08695652173913049,64,TIME,
SBA,2014-11-05,2015-02-05,5320.0,-0.13909774436090228,64,206,270,270,-0.13909774436090228,64,TIME,
TRC,2014-11-05,2015-02-05,16790.0,-0.1447290053603335,64,206,270,270,-0.1447290053603335,64,TIME,
LAS,2014-11-05,2015-02-05,10860.0,-0.006445672191528584,64,206,270,270,-0.006445672191528584,64,TIME,
VCS,2014-11-05,2015-02-05,3780.0,0.1534391534391535,64,206,270,270,0.1534391534391535,64,TIME,
MHC,2014-11-05,2015-02-05,7170.0,-0.12412831241283129,64,206,270,270,-0.12412831241283129,64,TIME,
CNG,2014-11-05,2015-02-05,13130.0,-0.13709063214013706,64,206,270,270,-0.13709063214013706,64,TIME,
PVB,2014-11-05,2015-02-05,38450.0,-0.3097529258777634,64,206,270,270,-0.3097529258777634,64,TIME,
VSC,2014-11-05,2015-02-05,5670.0,-0.10758377425044097,64,206,270,270,-0.10758377425044097,64,TIME,
VKC,2014-11-05,2015-02-05,4750.0,0.04421052631578948,64,206,270,270,0.04421052631578948,64,TIME,
VTO,2014-11-05,2015-02-05,3310.0,0.027190332326284095,64,206,270,270,0.027190332326284095,64,TIME,
PGD,2014-11-05,2015-02-05,10640.0,-0.14473684210526316,64,206,270,270,-0.14473684210526316,64,TIME,
DBC,2014-11-05,2015-02-05,4630.0,0.021598272138228847,64,206,270,270,0.021598272138228847,64,TIME,
PXS,2014-11-05,2015-02-05,22540.0,-0.34472049689441,64,206,270,270,-0.34472049689441,64,TIME,
VSH,2014-11-05,2015-02-05,7460.0,0.0013404825737264314,64,206,270,270,0.0013404825737264314,64,TIME,
BMC,2014-11-05,2015-02-05,13880.0,-0.19380403458213258,64,206,270,270,-0.19380403458213258,64,TIME,
STB,2014-11-05,2015-02-05,15670.0,-0.04786215698787488,64,206,270,270,-0.04786215698787488,64,TIME,
PVS,2014-11-05,2015-02-05,23290.0,-0.33404894804637186,64,206,270,270,-0.33404894804637186,64,TIME,
TCM,2014-11-05,2015-02-05,12420.0,-0.09500805152979064,64,206,270,270,-0.09500805152979064,64,TIME,
DPM,2014-11-05,2015-02-05,6480.0,0.004629629629629539,64,206,270,270,0.004629629629629539,64,TIME,
HDG,2014-11-05,2015-02-05,4660.0,0.0858369098712446,64,206,270,270,0.0858369098712446,64,TIME,
BIC,2014-11-05,2015-02-05,5230.0,-0.007648183556405397,64,206,270,270,-0.007648183556405397,64,TIME,
MBB,2015-02-05,2015-05-05,2400.0,-0.008333333333333304,53,270,323,323,-0.008333333333333304,53,TIME,
PGS,2015-02-05,2015-05-05,9040.0,0.0033185840707965486,53,270,323,323,0.0033185840707965486,53,TIME,
TDC,2015-02-05,2015-05-05,4340.0,-0.02995391705069128,53,270,323,323,-0.02995391705069128,53,TIME,
DQC,2015-02-05,2015-05-05,30870.0,0.0,53,270,323,323,0.0,53,TIME,
SHS,2015-02-05,2015-05-05,1920.0,-0.203125,53,270,323,323,-0.203125,53,TIME,
CMI,2015-02-05,2015-05-05,14700.0,-0.11564625850340138,53,270,323,323,-0.11564625850340138,53,TIME,
STB,2015-02-05,2015-05-05,14920.0,-0.02278820375335122,53,270,323,323,-0.02278820375335122,53,TIME,
CSM,2015-02-05,2015-05-05,16300.0,-0.039877300613496924,53,270,323,323,-0.039877300613496924,53,TIME,
PVB,2015-02-05,2015-05-05,26540.0,-0.03240391861341374,53,270,323,323,-0.03240391861341374,53,TIME,
DCL,2015-02-05,2015-05-05,12380.0,-0.054119547657512146,53,270,323,323,-0.054119547657512146,53,TIME,
NDN,2015-02-05,2015-05-05,4190.0,-0.021479713603818618,53,270,323,323,-0.021479713603818618,53,TIME,
CNG,2015-02-05,2015-05-05,11330.0,0.026478375992939007,53,270,323,323,0.026478375992939007,53,TIME,
PVS,2015-02-05,2015-05-05,15510.0,-0.07350096711798837,53,270,323,323,-0.07350096711798837,53,TIME,
SRC,2015-02-05,2015-05-05,9500.0,-0.13368421052631574,53,270,323,323,-0.13368421052631574,53,TIME,
BID,2015-02-05,2015-05-05,7430.0,0.09825033647375503,53,254,307,307,0.09825033647375503,53,TIME,
VNE,2015-02-05,2015-05-05,7420.0,0.30592991913746626,53,270,323,323,0.30592991913746626,53,TIME,
NT2,2015-02-05,2015-05-05,7260.0,0.15977961432506893,53,270,323,323,0.15977961432506893,53,TIME,
ITC,2015-02-05,2015-05-05,4230.0,0.1749408983451537,53,270,323,323,0.1749408983451537,53,TIME,
HPG,2015-02-05,2015-05-05,2600.0,-0.01538461538461533,53,270,323,323,-0.01538461538461533,53,TIME,
APC,2015-02-05,2015-05-05,16360.0,-0.03361858190709044,53,270,323,323,-0.03361858190709044,53,TIME,
HHS,2015-02-05,2015-05-05,6800.0,0.35882352941176476,53,270,323,323,0.35882352941176476,53,TIME,
DBC,2015-02-05,2015-05-05,4730.0,-0.07188160676532773,53,270,323,323,-0.07188160676532773,53,TIME,
CVT,2015-02-05,2015-05-05,7620.0,-0.040682414698162694,53,270,323,323,-0.040682414698162694,53,TIME,
VND,2015-02-05,2015-05-05,1510.0,-0.1258278145695364,53,270,323,323,-0.1258278145695364,53,TIME,
PET,2015-02-05,2015-05-05,7630.0,-0.053735255570117935,53,270,323,323,-0.053735255570117935,53,TIME,
ICG,2015-02-05,2015-05-05,4680.0,-0.12606837606837606,53,270,323,323,-0.12606837606837606,53,TIME,
SD6,2015-02-05,2015-05-05,10470.0,0.042979942693409656,53,270,323,323,0.042979942693409656,53,TIME,
MHC,2015-02-05,2015-05-05,6280.0,-0.1353503184713376,53,270,323,323,-0.1353503184713376,53,TIME,
DPM,2015-02-05,2015-05-05,6510.0,0.0,53,270,323,323,0.0,53,TIME,
PVD,2015-02-05,2015-05-05,30820.0,-0.07560025957170668,53,270,323,323,-0.07560025957170668,53,TIME,
MBB,2015-05-05,2015-08-05,2380.0,0.17647058823529416,66,323,389,389,0.17647058823529416,66,TIME,
PVB,2015-05-05,2015-08-05,25680.0,0.10280373831775691,66,323,389,389,0.10280373831775691,66,TIME,
PGS,2015-05-05,2015-08-05,9070.0,0.09922822491730976,66,323,389,389,0.09922822491730976,66,TIME,
PVS,2015-05-05,2015-08-05,14370.0,0.057063326374391155,66,323,389,389,0.057063326374391155,66,TIME,
DQC,2015-05-05,2015-08-05,30870.0,0.0019436345966958868,66,323,389,389,0.0019436345966958868,66,TIME,
TDC,2015-05-05,2015-08-05,4210.0,-0.016627078384798155,66,323,389,389,-0.016627078384798155,66,TIME,
CVT,2015-05-05,2015-08-05,7310.0,0.17236662106703138,66,323,389,389,0.17236662106703138,66,TIME,
CMI,2015-05-05,2015-08-05,13000.0,-0.2153846153846154,66,323,389,389,-0.2153846153846154,66,TIME,
HUT,2015-05-05,2015-08-05,8280.0,-0.09782608695652173,66,323,389,389,-0.09782608695652173,66,TIME,
NT2,2015-05-05,2015-08-05,8420.0,0.06413301662707838,59,323,382,382,0.06413301662707838,59,TIME,
PET,2015-05-05,2015-08-05,7220.0,0.1412742382271468,66,323,389,389,0.1412742382271468,66,TIME,
PVD,2015-05-05,2015-08-05,28490.0,-0.06949806949806947,66,323,389,389,-0.06949806949806947,66,TIME,
STB,2015-05-05,2015-08-05,14580.0,0.11454046639231819,66,323,389,389,0.11454046639231819,66,TIME,
GMD,2015-05-05,2015-08-05,8670.0,0.18685121107266434,66,323,389,389,0.18685121107266434,66,TIME,
HHS,2015-05-05,2015-08-05,9240.0,0.10497835497835495,66,323,389,389,0.10497835497835495,66,TIME,
CSM,2015-05-05,2015-08-05,15650.0,-0.015335463258785986,66,323,389,389,-0.015335463258785986,66,TIME,
SD6,2015-05-05,2015-08-05,10920.0,-0.03663003663003661,66,323,389,389,-0.03663003663003661,66,TIME,
VNE,2015-05-05,2015-08-05,9690.0,-0.02270381836945301,66,323,389,389,-0.02270381836945301,66,TIME,
PVE,2015-05-05,2015-08-05,6750.0,0.09481481481481491,66,323,389,389,0.09481481481481491,66,TIME,
VND,2015-05-05,2015-08-05,1320.0,0.49242424242424243,66,323,389,389,0.49242424242424243,66,TIME,
SRC,2015-05-05,2015-08-05,8230.0,0.06318347509112998,66,323,389,389,0.06318347509112998,66,TIME,
VTO,2015-05-05,2015-08-05,2910.0,0.04123711340206193,66,323,389,389,0.04123711340206193,66,TIME,
VSH,2015-05-05,2015-08-05,7990.0,0.028785982478097605,66,323,389,389,0.028785982478097605,66,TIME,
PXS,2015-05-05,2015-08-05,14560.0,0.012362637362637319,66,323,389,389,0.012362637362637319,66,TIME,
BID,2015-05-05,2015-08-05,8160.0,0.41666666666666674,66,307,373,373,0.41666666666666674,66,TIME,
PLC,2015-05-05,2015-08-05,15020.0,0.19640479360852203,66,323,389,389,0.19640479360852203,66,TIME,
HPG,2015-05-05,2015-08-05,2560.0,0.16796875,66,323,389,389,0.16796875,66,TIME,
APC,2015-05-05,2015-08-05,15810.0,0.14421252371916515,66,323,389,389,0.14421252371916515,66,TIME,
LAS,2015-05-05,2015-08-05,11140.0,0.004488330341113178,66,323,389,389,0.004488330341113178,66,TIME,
REE,2015-05-05,2015-08-05,9340.0,0.11670235546038543,66,323,389,389,0.11670235546038543,66,TIME,
MBB,2015-08-05,2015-11-05,2800.0,-0.03928571428571426,65,389,454,454,-0.03928571428571426,65,TIME,
NT2,2015-08-05,2015-11-05,8960.0,0.1540178571428572,65,382,447,447,0.1540178571428572,65,TIME,
PVS,2015-08-05,2015-11-05,15190.0,-0.1375905200789993,65,389,454,454,-0.1375905200789993,65,TIME,
CVT,2015-08-05,2015-11-05,8570.0,-0.03267211201866982,65,389,454,454,-0.03267211201866982,65,TIME,
CMS,2015-08-05,2015-11-05,7430.0,-0.020188425302826385,65,389,454,454,-0.020188425302826385,65,TIME,
NAG,2015-08-05,2015-11-05,2810.0,-0.1779359430604982,65,389,454,454,-0.1779359430604982,65,TIME,
PVD,2015-08-05,2015-11-05,26510.0,-0.1663523198792909,65,389,454,454,-0.1663523198792909,65,TIME,
PET,2015-08-05,2015-11-05,8240.0,-0.125,65,389,454,454,-0.125,65,TIME,
PGS,2015-08-05,2015-11-05,9970.0,-0.04212637913741224,65,389,454,454,-0.04212637913741224,65,TIME,
LAS,2015-08-05,2015-11-05,11190.0,0.14119749776586232,65,389,454,454,0.14119749776586232,65,TIME,
DQC,2015-08-05,2015-11-05,30930.0,0.33204009052699646,65,389,454,454,0.33204009052699646,65,TIME,
MHC,2015-08-05,2015-11-05,8520.0,-0.09037558685446012,65,389,454,454,-0.09037558685446012,65,TIME,
HLD,2015-08-05,2015-11-05,3050.0,-0.0721311475409836,65,389,454,454,-0.0721311475409836,65,TIME,
PVB,2015-08-05,2015-11-05,28320.0,-0.03177966101694918,65,389,454,454,-0.03177966101694918,65,TIME,
CMI,2015-08-05,2015-11-05,10200.0,0.05882352941176472,65,389,454,454,0.05882352941176472,65,TIME,
TIG,2015-08-05,2015-11-05,3930.0,0.06106870229007644,65,389,454,454,0.06106870229007644,65,TIME,
PGD,2015-08-05,2015-11-05,11540.0,0.31629116117850953,65,389,454,454,0.31629116117850953,65,TIME,
NDN,2015-08-05,2015-11-05,4480.0,-0.024553571428571397,65,389,454,454,-0.024553571428571397,65,TIME,
PVC,2015-08-05,2015-11-05,11130.0,-0.10781671159029649,65,389,454,454,-0.10781671159029649,65,TIME,
SD6,2015-08-05,2015-11-05,10520.0,-0.0598859315589354,65,389,454,454,-0.0598859315589354,65,TIME,
VSH,2015-08-05,2015-11-05,8220.0,0.24330900243308995,65,389,454,454,0.24330900243308995,65,TIME,
HHS,2015-08-05,2015-11-05,10210.0,0.014691478942213454,65,389,454,454,0.014691478942213454,65,TIME,
PLC,2015-08-05,2015-11-05,17970.0,0.02170283806343898,65,389,454,454,0.02170283806343898,65,TIME,
HPG,2015-08-05,2015-11-05,2990.0,-0.07692307692307687,65,389,454,454,-0.07692307692307687,65,TIME,
FMC,2015-08-05,2015-11-05,6760.0,0.25,65,389,454,454,0.25,65,TIME,
VND,2015-08-05,2015-11-05,1970.0,-0.035532994923857864,65,389,454,454,-0.035532994923857864,65,TIME,
CEO,2015-08-05,2015-11-05,5520.0,0.181159420289855,65,210,275,275,0.181159420289855,65,TIME,
CSM,2015-08-05,2015-11-05,15410.0,-0.15120051914341337,65,389,454,454,-0.15120051914341337,65,TIME,
PAC,2015-08-05,2015-11-05,6230.0,0.2086677367576244,65,389,454,454,0.2086677367576244,65,TIME,
APC,2015-08-05,2015-11-05,18090.0,0.047540077390823665,65,389,454,454,0.047540077390823665,65,TIME,
HUT,2015-11-05,2016-02-05,7400.0,-0.07972972972972969,65,454,519,519,-0.07972972972972969,65,TIME,
NT2,2015-11-05,2016-02-05,10340.0,-0.013539651837524147,65,447,512,512,-0.013539651837524147,65,TIME,
LAS,2015-11-05,2016-02-05,12770.0,-0.08379013312451056,65,454,519,519,-0.08379013312451056,65,TIME,
PVS,2015-11-05,2016-02-05,13100.0,-0.3480916030534351,65,454,519,519,-0.3480916030534351,65,TIME,
PVD,2015-11-05,2016-02-05,22100.0,-0.38280542986425337,65,454,519,519,-0.38280542986425337,65,TIME,
HHS,2015-11-05,2016-02-05,10360.0,-0.415057915057915,65,454,519,519,-0.415057915057915,65,TIME,
CVT,2015-11-05,2016-02-05,8290.0,-0.08082026537997589,65,454,519,519,-0.08082026537997589,65,TIME,
PET,2015-11-05,2016-02-05,7210.0,-0.17753120665742028,65,454,519,519,-0.17753120665742028,65,TIME,
VSH,2015-11-05,2016-02-05,10220.0,-0.06360078277886494,65,454,519,519,-0.06360078277886494,65,TIME,
PVC,2015-11-05,2016-02-05,9930.0,-0.3383685800604229,65,454,519,519,-0.3383685800604229,65,TIME,
NDN,2015-11-05,2016-02-05,4370.0,-0.21739130434782605,65,454,519,519,-0.21739130434782605,65,TIME,
VCS,2015-11-05,2016-02-05,8410.0,0.3151010701545778,65,454,519,519,0.3151010701545778,65,TIME,
CMS,2015-11-05,2016-02-05,7280.0,-0.22664835164835162,65,454,519,519,-0.22664835164835162,65,TIME,
SD6,2015-11-05,2016-02-05,9890.0,0.0,65,454,519,519,0.0,65,TIME,
DHA,2015-11-05,2016-02-05,7600.0,0.18157894736842106,65,454,519,519,0.18157894736842106,65,TIME,
PGS,2015-11-05,2016-02-05,9550.0,-0.07120418848167542,65,454,519,519,-0.07120418848167542,65,TIME,
HPG,2015-11-05,2016-02-05,2760.0,-0.13043478260869568,65,454,519,519,-0.13043478260869568,65,TIME,
PLC,2015-11-05,2016-02-05,18360.0,0.10294117647058831,65,454,519,519,0.10294117647058831,65,TIME,
MBB,2015-11-05,2016-02-05,2690.0,0.03345724907063197,65,454,519,519,0.03345724907063197,65,TIME,
