time,n,n_above_ma200,n_has_ma200,n_at_52wlow,n_has_52w,n_dd52_lt50,n_dd52_lt35,n_pe_pos,ey_med,pe_med,pb_med,tv_bn_vnd,tv20_bn_vnd
2007-01-02,31,14,21,0,27,1,5,0,,,2.427975797181285,161.856685,252.8002619090909
2007-01-03,31,14,21,0,27,1,5,0,,,2.461465118521717,175.622261,254.5181311904762
2007-01-04,31,15,21,0,27,1,5,0,,,2.5116991005323643,288.745288,260.60331811688314
2007-01-05,31,16,21,0,27,1,4,0,,,2.469837448856825,398.919891,267.5029719177489
2007-01-08,31,14,21,0,27,1,5,0,,,2.4865821095270406,473.783509,290.3447346
2007-01-09,32,15,21,0,28,1,5,0,,,2.5116991005323643,410.268955,297.2217787878788
2007-01-10,32,14,21,0,28,1,5,0,,,2.427975797181285,303.174019,300.2094131212121
2007-01-11,32,15,21,0,28,1,4,0,,,2.427975797181285,410.622421,299.05619004761905
2007-01-12,31,16,21,0,27,2,4,0,,,2.469837448856825,470.295419,283.4662203809524
2007-01-15,31,16,21,0,27,1,4,0,,,2.3545694003044195,360.711918,287.1510425
2007-01-16,31,18,21,0,28,1,4,0,,,2.3944773562417825,384.469784,291.78526828571427
2007-01-17,31,18,21,0,28,1,3,0,,,2.3944773562417825,423.996986,293.26665566666657
2007-01-18,31,17,21,0,28,1,3,0,,,2.458330085741564,657.724058,309.03380890476194
2007-01-19,31,18,21,0,28,1,3,0,,,2.4448472509398065,384.244496,312.1569991904762
2007-01-22,32,17,21,0,28,1,3,0,,,2.562800407783394,464.536113,329.49608525
2007-01-23,32,18,21,0,29,1,3,0,,,2.6456563858940902,345.977125,330.2808966666667
2007-01-24,31,17,20,0,28,1,3,0,,,2.7628690105856006,278.9255,329.7448108571429
2007-01-25,31,17,20,0,28,1,3,0,,,2.829847653266464,455.096338,338.6944444761904
2007-01-26,31,17,20,0,28,1,3,0,,,2.9303156172877585,622.343336,358.10404352380954
