ticker,entry_date,yr,ICB_Code,PB,PE,ROE_Min3Y,DE,NPM,adv_vnd,stock_dd,mkt_dd,r3m,r6m,r9m,r12m,r18m,r24m,r30m,r36m,ex3m,ex6m,ex9m,ex12m,ex18m,ex24m,ex30m,ex36m,mdd12,mdd24,mdd36,mfe24
DIC,2007-04-18,2007,2353.0,2.207,13.54,0.052,0.486,0.0225,5.0857275E8,-0.463,-0.145,0.036,0.7265,0.4112,0.0193,-0.5013,-0.6654,-0.3147,-0.2008,0.0558,0.6391,0.5783,0.4979,0.1192,0.0198,0.0892,0.2801,-0.0817,-0.6931,-0.6931,1.0689
FPT,2007-11-07,2007,9537.0,11.5,33.03,0.153,0.396,0.0206,6.2183156E10,-0.444,-0.119,-0.2416,-0.7247,-0.6629,-0.627,-0.5685,-0.4652,-0.427,-0.3472,-0.0401,-0.1604,-0.1371,0.032,0.0524,0.0263,0.1015,0.2152,-0.8011,-0.8011,-0.8011,0.0281
STP,2009-08-19,2009,2723.0,1.294,6.63,0.076,0.2,0.1444,1.179875E9,-0.462,-0.095,0.9582,0.546,0.8357,1.0251,0.3593,-0.1031,-0.2396,-0.2563,0.8823,0.543,0.8793,1.1293,0.435,0.0985,-0.0727,-0.1162,0.0,-0.2813,-0.5153,2.2981
NAV,2009-08-20,2009,2353.0,1.054,8.08,0.061,0.5,0.0877,4.886574E8,-0.445,-0.085,0.3545,0.097,0.2612,0.1306,-0.1007,-0.3881,-0.2799,-0.2575,0.2768,0.1313,0.3024,0.2507,-0.0167,-0.1689,-0.1126,-0.0686,0.0,-0.4403,-0.4515,0.6231
VNR,2009-08-21,2009,8538.0,1.062,11.44,0.023,0.5,0.382,2.770935E9,-0.484,-0.076,-0.063,-0.2407,-0.1977,-0.2178,-0.2006,-0.3266,-0.2923,-0.1862,-0.1418,-0.1933,-0.1553,-0.0937,-0.0891,-0.0907,-0.139,0.0236,-0.2751,-0.3983,-0.4384,0.1433
SFI,2009-08-25,2009,2773.0,0.79,3.56,0.022,1.1,0.2795,7.3880436E9,-0.744,-0.059,0.0128,-0.1707,-0.2376,-0.4438,-0.5917,-0.6671,-0.606,-0.5292,-0.0025,-0.1102,-0.1969,-0.2651,-0.4641,-0.4317,-0.4473,-0.2849,-0.4438,-0.7084,-0.7084,0.3855
L62,2010-03-12,2010,2757.0,1.138,7.31,0.041,1.6,0.0604,5.8984E7,-0.447,-0.148,0.1187,0.2255,-0.1513,-0.346,-0.5091,-0.5389,-0.4665,-0.7002,0.1623,0.384,-0.0177,-0.2279,-0.3922,-0.3552,-0.2087,-0.5931,-0.346,-0.5634,-0.7065,0.7391
VNR,2010-03-15,2010,8538.0,0.838,8.56,0.021,0.5,0.5073,5.76104E8,-0.44,-0.148,-0.0143,0.043,0.1756,-0.0215,-0.0358,-0.0717,0.0323,0.4409,0.0306,0.1989,0.2862,0.1069,0.0862,0.0976,0.2905,0.5359,-0.0645,-0.2975,-0.2975,0.3047
HAS,2010-05-04,2010,2357.0,0.883,17.77,0.022,0.6,0.0722,1.2162948E9,-0.442,-0.12,-0.0901,-0.3517,-0.441,-0.5862,-0.6695,-0.6117,-0.6822,-0.7069,0.0105,-0.176,-0.3564,-0.4471,-0.4359,-0.4792,-0.3693,-0.5912,-0.6058,-0.7324,-0.7324,0.1487
MCP,2010-05-04,2010,2723.0,0.983,9.83,0.044,0.5,0.0321,3.13443E8,-0.628,-0.12,-0.0355,-0.2259,-0.2107,-0.1878,0.0533,0.3122,0.0761,0.3147,0.065,-0.0501,-0.1262,-0.0487,0.2869,0.4447,0.3891,0.4304,-0.3401,-0.3401,-0.3401,0.5
HAX,2010-05-10,2010,3353.0,1.276,10.35,0.053,1.2,0.0122,1.8178916E9,-0.661,-0.144,-0.061,-0.2927,-0.2561,-0.3415,-0.5732,-0.5244,-0.6951,-0.7256,0.0292,-0.1329,-0.2295,-0.2436,-0.3415,-0.434,-0.4188,-0.6405,-0.3537,-0.6707,-0.7744,0.0427
PMC,2010-05-10,2010,4577.0,2.314,8.55,0.076,0.1,0.1445,1.277904E9,-0.596,-0.144,-0.0885,-0.2643,-0.2396,-0.3503,-0.3555,-0.1484,0.0313,0.8164,0.0017,-0.1045,-0.213,-0.2524,-0.1238,-0.058,0.3076,0.9015,-0.418,-0.4948,-0.4948,0.0273
VSH,2010-05-10,2010,7535.0,1.331,11.07,0.149,0.1,0.7937,1.203146105E10,-0.481,-0.144,-0.1586,-0.1729,-0.1658,-0.3155,-0.3155,0.1301,-0.0802,0.1515,-0.0685,-0.0131,-0.1392,-0.2176,-0.0838,0.2206,0.1962,0.2366,-0.3155,-0.4385,-0.4385,0.18
CMG,2010-12-10,2010,9533.0,1.702,10.06,0.113,2.03,0.006,3.8044419E9,-0.442,-0.139,-0.1252,-0.4486,-0.5196,-0.6056,-0.6748,-0.7626,-0.7402,-0.7327,-0.0999,-0.3843,-0.4955,-0.3914,-0.5955,-0.5856,-0.7411,-0.8042,-0.6467,-0.8037,-0.8037,0.1645
CSM,2010-12-10,2010,3357.0,2.02,7.72,0.04,0.7,0.0475,2.849848E9,-0.506,-0.139,-0.3188,-0.4358,-0.4697,-0.6643,0.1439,-0.031,0.7221,0.8674,-0.2934,-0.3716,-0.4455,-0.4501,0.2232,0.146,0.7212,0.7959,-0.6756,-0.6798,-0.6798,0.1961
TCT,2010-12-14,2010,5759.0,1.488,5.03,0.043,0.1,0.5489,3.17444E8,-0.4,-0.109,-0.0251,-0.1774,0.0078,-0.0361,0.6342,1.0361,2.8995,3.259,0.0257,-0.0653,0.0939,0.2196,0.7502,1.2373,2.917,3.2338,-0.2606,-0.2606,-0.2606,1.0597
CSC,2010-12-16,2010,2357.0,1.053,14.0,0.046,0.439,0.035,1.350375E8,-0.588,-0.126,-0.1351,0.1149,-0.0676,-0.4459,-0.3243,-0.4932,-0.5676,-0.4054,-0.0958,0.2105,0.0155,-0.211,-0.2139,-0.313,-0.5876,-0.4576,-0.4459,-0.5541,-0.6419,0.2095
DDM,2010-12-16,2010,2773.0,0.689,,0.008,11.6,0.0213,2.140368E8,-0.585,-0.126,0.1475,-0.1803,-0.2951,-0.541,-0.4754,,,,0.1869,-0.0847,-0.212,-0.3061,-0.365,,,,-0.5574,-0.8197,-0.8197,0.2295
DRC,2010-12-16,2010,3357.0,1.793,5.23,0.087,0.3,0.07,5.347407E9,-0.443,-0.126,-0.1742,-0.191,-0.1404,-0.309,0.6067,0.4747,1.8764,1.9382,-0.1348,-0.0954,-0.0574,-0.0741,0.7172,0.655,1.8563,1.886,-0.3708,-0.3708,-0.3708,0.986
HHC,2010-12-16,2010,3577.0,1.158,6.66,0.126,0.6,0.0259,3.47565E8,-0.632,-0.126,-0.1573,-0.3432,-0.1614,-0.3289,-0.1879,-0.1032,0.0153,0.1042,-0.1179,-0.2476,-0.0783,-0.094,-0.0775,0.0771,-0.0048,0.052,-0.4413,-0.4413,-0.4413,0.2646
HMC,2010-12-16,2010,1757.0,1.059,9.51,0.056,2.7,0.009,6.545187E8,-0.44,-0.126,-0.0496,-0.2066,-0.1736,-0.3058,-0.1157,-0.3512,-0.2355,-0.186,-0.0102,-0.111,-0.0905,-0.0709,-0.0053,-0.171,-0.2556,-0.2381,-0.3058,-0.3595,-0.3595,0.0661
HTV,2010-12-16,2010,2773.0,0.7,11.04,0.019,0.1,0.1403,1.4900256E9,-0.676,-0.126,-0.1899,-0.3478,-0.3135,-0.5515,-0.103,-0.0092,0.0778,0.2975,-0.1506,-0.2522,-0.2304,-0.3166,0.0075,0.1711,0.0577,0.2453,-0.5515,-0.5881,-0.5881,0.1487
ICG,2010-12-16,2010,2357.0,1.523,10.68,0.037,1.6,0.1978,9.706908E9,-0.443,-0.126,-0.1872,-0.3961,-0.2203,-0.4891,-0.424,-0.6929,-0.7094,-0.6319,-0.1478,-0.3005,-0.1372,-0.2542,-0.3136,-0.5126,-0.7295,-0.684,-0.4891,-0.7528,-0.7694,0.1138
MDC,2010-12-16,2010,1771.0,1.003,3.19,0.148,3.1,0.0101,2.0909E8,-0.444,-0.126,0.0653,0.049,0.0286,0.0163,0.3878,0.1755,0.3469,0.098,0.1047,0.1446,0.1117,0.2512,0.4982,0.3558,0.3269,0.0458,-0.1347,-0.1347,-0.1347,0.7469
MIC,2010-12-16,2010,1775.0,2.417,17.69,0.034,0.8,0.0839,2.18406E8,-0.544,-0.126,-0.0278,-0.4797,-0.242,-0.5176,-0.476,-0.5726,-0.4936,-0.6864,0.0116,-0.3841,-0.1589,-0.2827,-0.3655,-0.3924,-0.5137,-0.7386,-0.5694,-0.6656,-0.6864,0.3034
NAG,2010-12-16,2010,2733.0,0.814,8.26,0.022,0.566,0.0244,4.40589E8,-0.519,-0.126,-0.0206,-0.2237,-0.365,-0.5913,-0.581,-0.6761,-0.7738,-0.6992,0.0188,-0.1281,-0.2819,-0.3564,-0.4705,-0.4958,-0.7939,-0.7514,-0.6118,-0.6761,-0.8175,0.0874
NBC,2010-12-16,2010,1771.0,0.782,1.84,0.194,2.5,0.0259,9.1656E8,-0.419,-0.126,0.3274,-0.0774,-0.0952,-0.0833,0.5238,0.5,1.0536,0.7083,0.3667,0.0182,-0.0121,0.1516,0.6342,0.6803,1.0335,0.6562,-0.2798,-0.2798,-0.2798,0.8333
PVE,2010-12-16,2010,573.0,1.649,9.03,0.043,1.1,0.027,5.259906E9,-0.478,-0.126,-0.1686,-0.278,-0.1462,-0.3412,-0.0316,-0.3939,-0.4282,-0.3557,-0.1293,-0.1824,-0.0632,-0.1063,0.0788,-0.2137,-0.4483,-0.4079,-0.5494,-0.5494,-0.5494,0.1647
SBA,2010-12-16,2010,7535.0,0.753,,0.01,1.785,0.1698,3.8262455E8,-0.406,-0.126,-0.0928,-0.1435,-0.2827,-0.4641,-0.1139,-0.2911,0.1519,0.1772,-0.0535,-0.0479,-0.1996,-0.2292,-0.0035,-0.1109,0.1318,0.125,-0.4641,-0.4768,-0.4768,0.1392
SD5,2010-12-16,2010,2357.0,1.091,4.41,0.101,1.5,0.049,1.19625E9,-0.499,-0.126,0.0372,-0.2553,-0.2739,-0.508,-0.5053,-0.7367,-0.2367,0.0452,0.0766,-0.1597,-0.1908,-0.2731,-0.3949,-0.5564,-0.2568,-0.007,-0.5904,-0.7766,-0.7766,0.1968
VC9,2010-12-16,2010,2357.0,1.022,6.59,0.027,1.597,0.0476,3.920805E8,-0.613,-0.126,-0.1483,-0.3133,-0.3883,-0.4667,-0.4,-0.53,-0.3483,-0.31,-0.109,-0.2177,-0.3052,-0.2318,-0.2896,-0.3497,-0.3684,-0.3622,-0.5067,-0.6183,-0.6183,0.2333
VIP,2010-12-16,2010,2773.0,0.788,,0.019,1.477,0.0364,4.4727442E9,-0.61,-0.126,-0.0078,-0.25,-0.3125,-0.5625,-0.2383,-0.3594,-0.1523,0.293,0.0315,-0.1544,-0.2294,-0.3276,-0.1278,-0.1791,-0.1724,0.2408,-0.5742,-0.6055,-0.6055,0.1133
TPP,2010-12-17,2010,2723.0,0.751,4.06,0.006,2.6,0.0138,8.8641E7,-0.468,-0.117,-0.1421,-0.3661,-0.3333,-0.3934,-0.0492,0.4153,1.2568,1.071,-0.0852,-0.2569,-0.2285,-0.1469,0.0769,0.6047,1.2526,1.0278,-0.4481,-0.4481,-0.4481,0.8525
THT,2010-12-20,2010,1771.0,0.848,2.94,0.264,2.4,0.0209,7.664265E8,-0.459,-0.13,-0.1222,-0.3278,-0.2667,-0.4667,0.0833,0.0222,0.1556,0.1778,-0.0829,-0.2364,-0.1813,-0.2355,0.2069,0.1889,0.1369,0.1231,-0.4667,-0.5167,-0.5167,0.7944
VNA,2010-12-20,2010,2773.0,0.796,4.21,0.016,2.5,0.1488,5.510381E8,-0.51,-0.13,-0.2325,-0.3756,-0.3854,-0.6878,-0.652,-0.7675,-0.7675,-0.6797,-0.1932,-0.2842,-0.3,-0.4566,-0.5284,-0.6008,-0.7861,-0.7343,-0.6976,-0.7854,-0.7854,0.0634
LUT,2010-12-21,2010,2357.0,2.246,23.93,0.06,1.9,0.0369,1.068249E9,-0.42,-0.123,0.4606,0.0126,-0.2588,-0.3779,-0.3845,-0.5367,-0.7088,-0.6426,0.5102,0.1149,-0.1595,-0.1259,-0.2522,-0.3663,-0.7168,-0.6984,-0.4705,-0.6956,-0.8081,0.7267
