ticker,entry_date,yr,ICB_Code,PB,ROE_Min3Y,DE,NPM,mkt_dd,ex12,ex24,r12,r24
BMI,2008-05-19,2008,8536.0,0.989,,0.0,0.1409,-0.591,0.1156,-0.3203,-0.0265,-0.1982
BMI,2008-05-20,2008,8536.0,0.971,,0.0,0.1409,-0.596,0.1491,-0.3282,0.0415,-0.1968
BMI,2008-05-21,2008,8536.0,0.953,,0.0,0.1409,-0.603,0.1849,-0.2913,0.114,-0.171
BMI,2008-05-22,2008,8536.0,0.935,,0.0,0.1409,-0.609,0.1317,-0.3513,0.0805,-0.1929
BMI,2008-05-23,2008,8536.0,0.917,,0.0,0.1409,-0.615,0.2113,-0.2693,0.1565,-0.1393
BMI,2008-05-26,2008,8536.0,0.899,,0.0,0.1409,-0.622,0.1217,-0.2517,0.1248,-0.0955
BMI,2008-05-27,2008,8536.0,0.899,,0.0,0.1409,-0.622,0.079,-0.2364,0.0897,-0.0799
BMI,2008-05-28,2008,8536.0,0.899,,0.0,0.1409,-0.622,0.0337,-0.2087,0.0448,-0.037
BMI,2008-05-29,2008,8536.0,0.899,,0.0,0.1409,-0.62,0.0412,-0.198,0.0292,-0.0156
BMI,2008-05-30,2008,8536.0,0.885,,0.0,0.1409,-0.626,0.0991,-0.2468,0.0931,-0.0079
BMI,2008-06-02,2008,8536.0,0.87,,0.0,0.1409,-0.631,0.1197,-0.2841,0.165,-0.0402
BMI,2008-06-03,2008,8536.0,0.856,,0.0,0.1409,-0.637,0.0899,-0.3068,0.1881,-0.0389
BMI,2008-06-04,2008,8536.0,0.841,,0.0,0.1409,-0.642,0.105,-0.2928,0.2292,-0.0021
BMI,2008-06-05,2008,8536.0,0.827,,0.0,0.1409,-0.647,0.1347,-0.2808,0.3093,0.0297
BMI,2008-06-06,2008,8536.0,0.812,,0.0,0.1409,-0.653,0.1529,-0.3326,0.3987,-0.0043
BMI,2008-06-09,2008,8536.0,0.798,,0.0,0.1409,-0.657,0.1684,-0.2844,0.4912,0.0263
BMI,2008-06-10,2008,8536.0,0.784,,0.0,0.1409,-0.657,0.0956,-0.2645,0.4474,0.047
BMI,2008-06-11,2008,8536.0,0.798,,0.0,0.1409,-0.657,0.1746,-0.2862,0.4868,0.0263
BMI,2008-06-12,2008,8536.0,0.794,,0.0,0.1409,-0.657,0.1988,-0.287,0.5475,0.0331
BMI,2008-06-13,2008,8536.0,0.809,,0.0,0.1409,-0.663,0.0742,-0.3402,0.4416,0.013
BMI,2008-06-16,2008,8536.0,0.823,,0.0,0.1409,-0.658,0.0419,-0.3568,0.3468,-0.0128
BMI,2008-06-17,2008,8536.0,0.838,,0.0,0.1409,-0.652,0.1622,-0.3498,0.3891,-0.0293
BMI,2008-06-18,2008,8536.0,0.823,,0.0,0.1409,-0.655,0.2463,-0.3601,0.483,-0.0234
BMI,2008-06-19,2008,8536.0,0.802,,0.0,0.1409,-0.663,0.3098,-0.375,0.5939,-0.0066
BMI,2008-06-20,2008,8536.0,0.78,,0.0,0.1409,-0.669,0.2995,-0.3247,0.5978,0.0719
BMI,2008-06-23,2008,8536.0,0.758,,0.0,0.1409,-0.667,0.3196,-0.3399,0.5612,0.0554
BMI,2008-06-24,2008,8536.0,0.776,,0.0,0.1409,-0.66,0.4339,-0.3363,0.6005,0.0271
BMI,2008-06-25,2008,8536.0,0.791,,0.0,0.1409,-0.653,0.3058,-0.3317,0.4945,0.0044
BMI,2008-06-26,2008,8536.0,0.812,,0.0,0.1409,-0.651,0.2073,-0.3628,0.3815,-0.0388
BMI,2008-06-27,2008,8536.0,0.791,,0.0,0.1409,-0.645,0.1773,-0.2776,0.3525,0.0089
BMI,2008-06-30,2008,8536.0,0.769,,0.0,0.1409,-0.639,0.1707,-0.2292,0.3235,0.041
BMI,2008-07-01,2008,8536.0,0.791,,0.0,0.1409,-0.63,0.1295,-0.2135,0.2239,0.0333
BMI,2008-07-02,2008,8536.0,0.773,,0.0,0.1409,-0.621,0.242,-0.1981,0.2676,0.0113
BMI,2008-07-03,2008,8536.0,0.794,,0.0,0.1409,-0.611,0.1833,-0.1874,0.1921,-0.0155
BMI,2008-07-04,2008,8536.0,0.816,,0.0,0.1409,-0.603,0.2265,-0.2057,0.2167,-0.0601
