ticker,quarter,eff_date,fiinpro_quarter_used,roe,npl_pct,llr_pct,rating_proxy,rating_aq,kind
ABB,2021Q2,2021-08-02,2021Q1,0.1755,2.064,53.3,2,3,rating_only
ABB,2021Q3,2021-10-21,2021Q2,0.1748,2.353,55.5,2,3,rating_only
ABB,2021Q4,2022-01-20,2021Q3,0.1577,2.948,45.6,2,3,rating_only
ABB,2022Q1,2022-04-21,2021Q4,0.1448,2.372,50.2,2,3,rating_only
ABB,2022Q2,2022-08-01,2022Q1,0.166,2.342,47.8,2,3,rating_only
ABB,2025Q4,2026-02-02,2025Q3,0.166,2.673,60.1,2,3,rating_only
ABB,2026Q1,2026-04-17,2025Q4,0.2098,0.885,120.4,1,2,rating_only
ABB,2026Q2,2026-07-21,2026Q1,0.2102,0.829,122.6,1,2,rating_only
ACB,2009Q4,2010-02-01,,0.2537,,,1,3,rating_only
ACB,2010Q1,2010-05-04,,0.2538,,,1,3,rating_only
ACB,2010Q4,2011-02-08,2010Q3,0.2251,,,1,3,rating_only
ACB,2011Q3,2011-11-01,2011Q2,0.2273,0.793,113.8,1,2,rating_only
ACB,2011Q4,2012-02-01,2011Q3,0.2508,1.08,93.8,1,2,rating_only
ACB,2012Q1,2012-05-02,2011Q4,0.2636,0.902,107.5,1,2,rating_only
ACB,2012Q2,2012-08-01,2012Q1,0.2745,1.213,88.1,1,3,rating_only
ACB,2012Q3,2012-11-01,2012Q2,0.1817,1.58,80.1,1,3,rating_only
ACB,2018Q2,2018-08-01,2018Q1,0.2109,0.705,134.7,1,2,rating_only
ACB,2018Q3,2018-10-23,2018Q2,0.2425,0.791,130.8,1,2,rating_only
ACB,2018Q4,2019-01-25,2018Q3,0.2706,0.846,129.6,1,2,rating_only
ACB,2020Q2,2020-08-03,2020Q1,0.2185,0.659,148.3,1,2,rating_only
ACB,2020Q3,2020-10-23,2020Q2,0.2205,0.683,144.1,1,2,rating_only
ACB,2020Q4,2021-01-26,2020Q3,0.2366,0.842,117.5,1,2,rating_only
ACB,2021Q2,2021-08-02,2021Q1,0.2645,0.921,120.4,1,2,rating_only
ACB,2022Q4,2023-01-30,2022Q3,0.2574,1.023,137.8,1,2,rating_only
ACB,2023Q2,2023-08-01,2023Q1,0.2411,0.984,116.6,1,2,rating_only
ACB,2023Q3,2023-10-24,2023Q2,0.2372,1.077,107.6,1,2,rating_only
ACB,2023Q4,2024-01-26,2023Q3,0.2445,1.215,94.6,1,2,rating_only
ACB,2024Q1,2024-04-25,2023Q4,0.2306,1.221,91.2,1,2,rating_only
ACB,2024Q2,2024-07-23,2024Q1,0.2288,1.469,78.6,1,3,rating_only
ACB,2024Q3,2024-10-24,2024Q2,0.2175,1.494,77.8,1,3,rating_only
ACB,2024Q4,2025-01-22,2024Q3,0.2155,1.509,80.5,1,3,rating_only
ACB,2025Q1,2025-04-23,2024Q4,0.2055,1.507,77.9,1,3,rating_only
ACB,2025Q2,2025-07-24,2025Q1,0.2018,1.493,72.1,1,3,rating_only
ACB,2025Q3,2025-10-22,2025Q2,0.1995,1.269,76.3,1,3,rating_only
ACB,2025Q4,2026-02-02,2025Q3,0.1745,1.105,84.0,2,3,rating_only
BID,2013Q3,2014-01-27,2013Q3,0.1557,2.393,83.5,2,3,rating_only
BID,2014Q1,2014-05-05,2013Q4,0.1416,2.297,69.5,2,3,rating_only
BID,2015Q1,2015-05-04,2014Q4,0.1588,2.063,73.1,2,3,rating_only
BID,2015Q2,2015-08-03,2015Q1,0.1645,2.269,73.2,2,3,rating_only
BID,2015Q3,2015-11-02,2015Q2,0.1658,2.853,63.6,2,3,rating_only
BID,2015Q4,2016-02-01,2015Q3,0.1677,2.202,72.4,2,3,rating_only
BID,2016Q1,2016-05-04,2015Q4,0.1527,1.701,74.8,2,3,rating_only
BID,2016Q2,2016-08-01,2016Q1,0.1575,1.83,77.7,2,3,rating_only
BID,2016Q3,2016-10-25,2016Q2,0.1501,2.034,75.3,2,3,rating_only
BID,2017Q1,2017-05-03,2016Q4,0.1419,2.022,69.7,2,3,rating_only
BID,2017Q4,2018-02-01,2017Q3,0.1487,2.12,84.0,2,3,rating_only
BID,2018Q1,2018-05-02,2017Q4,0.1481,1.644,80.7,2,3,rating_only
BID,2018Q2,2018-07-31,2018Q1,0.1651,1.638,80.7,2,3,rating_only
BID,2018Q3,2018-10-29,2018Q2,0.1669,1.508,85.0,2,3,rating_only
BID,2018Q4,2019-01-31,2018Q3,0.1423,1.787,87.0,2,3,rating_only
BID,2022Q3,2022-10-28,2022Q2,0.1755,1.058,260.8,2,1,rating_only
BID,2022Q4,2023-01-30,2022Q3,0.1888,1.386,213.8,1,2,rating_only
BID,2023Q2,2023-08-01,2023Q1,0.1922,1.591,171.3,1,2,rating_only
BID,2023Q4,2024-01-30,2023Q3,0.1893,1.638,158.4,1,2,rating_only
BID,2024Q1,2024-04-26,2023Q4,0.1845,1.28,181.8,1,2,rating_only
BID,2024Q2,2024-07-29,2024Q1,0.1844,1.54,152.8,1,2,rating_only
