time,cpi_yoy,cpi_real,cpi_new
2007-01-01,6.74,,6.74
2007-02-01,7.03,,7.03
2007-03-01,6.73,,6.73
2007-04-01,7.13,,7.13
2007-05-01,7.14,,7.14
2007-06-01,7.82,,7.82
2007-07-01,8.27,,8.27
2007-08-01,8.27,,8.27
2007-09-01,8.73,,8.73
2007-10-01,8.84,,8.84
2007-11-01,9.37,,9.37
2007-12-01,12.63,,12.63
2008-01-01,14.11,14.1131,14.1131
2008-02-01,15.74,15.6656,15.6656
2008-03-01,19.39,19.3866,19.3866
2008-04-01,21.42,21.4182,21.4182
2008-05-01,25.2,25.2016,25.2016
2008-06-01,26.84,26.8031,26.8031
2008-07-01,27.04,27.0417,27.0417
2008-08-01,28.32,28.3178,28.3178
2008-09-01,27.9,27.8965,27.8965
2008-10-01,26.74,26.7158,26.7158
2008-11-01,24.22,24.2248,24.2248
2008-12-01,19.89,19.8913,19.8913
2009-01-01,17.49,17.4789,17.4789
2009-02-01,14.81,14.7809,14.7809
2009-03-01,11.19,11.2463,11.2463
2009-04-01,9.23,9.2326,9.2326
2009-05-01,5.65,5.5848,5.5848
2009-06-01,3.67,3.9412,3.9412
2009-07-01,3.31,3.3142,3.3142
2009-08-01,2.27,1.9714,1.9714
2009-09-01,0.68,2.4193,2.4193
2009-10-01,-0.02,2.994,2.994
2009-11-01,4.35,4.3535,4.3535
2009-12-01,6.52,6.5179,6.5179
2010-01-01,7.62,7.6222,7.6222
2010-02-01,8.46,8.4625,8.4625
2010-03-01,9.46,9.4621,9.4621
2010-04-01,9.23,9.233,9.233
2010-05-01,9.09,9.0481,9.0481
2010-06-01,8.69,8.6903,8.6903
2010-07-01,8.19,8.1929,8.1929
2010-08-01,8.23,8.1821,8.1821
2010-09-01,7.57,8.9239,8.9239
2010-10-01,7.89,9.6619,9.6619
2010-11-01,8.84,11.0906,11.0906
2010-12-01,11.75,11.7481,11.7481
2011-01-01,12.2,12.167,12.167
2011-02-01,14.025555555555554,12.31,12.31
2011-03-01,15.674444444444443,13.893,13.893
2011-04-01,17.5,17.5097,17.5097
