date,retail_net_share_m,n_days
2016-04-01,0.24328499780964247,20
2016-05-01,0.43400271085780695,20
2016-06-01,0.4131366017735432,22
2016-07-01,0.3729530101200585,21
2016-08-01,0.3473954635548802,23
2016-09-01,0.2887126801160982,21
2016-10-01,0.4474169980472376,21
2016-11-01,0.3287270544458303,22
2016-12-01,0.319939847271753,22
2017-01-01,0.44613423805829383,17
2017-02-01,0.4134750667636739,19
2017-03-01,0.3523071339517363,23
2017-04-01,0.5056347704749331,19
2017-05-01,0.3073041810187596,21
2017-06-01,0.35294477223415327,22
2017-07-01,0.4532552675178871,20
2017-08-01,0.3864183771545445,23
2017-09-01,0.3443455143284787,20
2017-10-01,0.469338876341293,22
2017-11-01,0.33426769803386724,21
2017-12-01,0.39741001923623737,21
2018-01-01,0.3484956147193389,20
2018-02-01,0.2948437412925503,14
2018-03-01,0.34302320669549197,22
2018-04-01,0.3553608163951991,18
2018-05-01,0.25140847314258113,20
2018-06-01,0.2447251268201362,20
2018-07-01,0.2664575826141793,22
2018-08-01,0.3089960108128365,23
2018-09-01,0.3938767592046344,19
2018-10-01,0.22604805596947022,22
2018-11-01,0.29575853942441954,21
2018-12-01,0.38197426185954425,20
2019-01-01,0.33391929357867245,22
2019-02-01,0.33723418948799344,14
2019-03-01,0.3885858255732105,21
2019-04-01,0.3950496031126446,19
2019-05-01,0.24567980473985293,21
2019-06-01,0.3035977474810849,20
2019-07-01,0.29225458267217447,23
2019-08-01,0.30827995018551657,21
2019-09-01,0.3554130019546467,20
2019-10-01,0.23740897565565572,23
2019-11-01,0.33019877045254775,21
2019-12-01,0.35557758605090933,22
2020-01-01,0.3250451533422671,17
2020-02-01,0.31831871247003685,20
2020-03-01,0.25558003648031546,22
2020-04-01,0.26995078324658056,20
2020-05-01,0.29371674673911713,18
2020-06-01,0.2811166378342567,21
2020-07-01,0.36715537972099027,23
2020-08-01,0.22919780017589325,20
2020-09-01,0.2731858976633261,20
2020-10-01,0.29036565157373584,22
2020-11-01,0.2988458497461721,21
2020-12-01,0.2727465952255805,22
2021-01-01,0.2645976717809398,18
2021-02-01,0.3671982404384139,14
2021-03-01,0.38597575384379806,23
2021-04-01,0.29222682465395805,19
2021-05-01,0.33318321634391534,20
2021-06-01,0.32434685505545763,21
2021-07-01,0.33442242882906215,20
2021-08-01,0.3522327838407345,22
2021-09-01,0.36210906597781056,20
2021-10-01,0.33416032703164816,20
2021-11-01,0.3572040964177351,22
2021-12-01,0.324703307955102,23
2022-01-01,0.32801444194515184,18
2022-02-01,0.34700272900259876,16
2022-05-01,0.3691006619410446,10
2022-06-01,0.34485892867241935,22
2022-07-01,0.3527425854372069,21
2022-08-01,0.36390211923969873,23
2022-09-01,0.355197235343646,20
2022-10-01,0.276967297383747,20
2022-11-01,0.3793589950984734,22
2022-12-01,0.2964042391978378,20
2023-01-01,0.3942264100877812,15
2023-02-01,0.3189454821923518,20
2023-03-01,0.3034339322207309,23
2023-04-01,0.2998592004856707,20
2023-05-01,0.32180029122802034,19
2023-06-01,0.34633744499533686,22
2023-07-01,0.32187349902763596,20
2023-08-01,0.29448228233674223,23
2023-09-01,0.355485136315224,19
2023-10-01,0.34920543929717046,21
2023-11-01,0.27782412568443177,22
2023-12-01,0.35665939363756505,21
2024-01-01,0.2958849429921005,22
2024-02-01,0.2844856680276724,16
2024-03-01,0.3665038065553947,21
2024-04-01,0.3035050397976276,19
2024-05-01,0.3863505506458527,22
2024-06-01,0.3196529995510567,20
2024-07-01,0.3393285137746668,19
2024-08-01,0.2837469598571466,22
2024-09-01,0.3217660136549114,18
2024-10-01,0.30431756831242085,21
2024-11-01,0.26698880780196443,21
2024-12-01,0.3623277285350424,22
2025-01-01,0.31259943558988285,16
2025-02-01,0.30930008763809547,20
2025-03-01,0.2614974501026164,21
2025-04-01,0.28678882518232873,19
2025-05-01,0.1982308355041458,20
2025-06-01,0.2376890098355672,20
2025-07-01,0.2702996807690639,22
2025-08-01,0.25737191332488996,19
2025-09-01,0.29292175626476163,20
2025-10-01,0.27462760346771226,23
2025-11-01,0.23600159360829168,20
2025-12-01,0.21439797370959718,20
2026-01-01,0.20933124216556317,20
2026-02-01,0.2037904516022669,14
2026-03-01,0.24706524318925474,21
2026-04-01,0.2369678495111449,15
2026-05-01,0.3175555988869629,18
2026-06-01,0.2273304161984201,18
2026-07-01,0.29770120413329215,20
2026-08-01,0.2648191937216801,20
