ticker,id,event_code,event_status,public_date,exright_date,record_date,fd,sid,ingested_at,title_vi,news_title,lead_ex_naive
PBC,6708f3f50ec61045ab80006a,ISS,executed,2020-09-29,2020-09-22,2020-09-22,2020-09-29 16:47:00,5834572,2026-09-13 18:14:27,Phát hành cổ phiếu - Phát hành riêng lẻ,PBC: Báo cáo kết quả chào bán cổ phiếu riêng lẻ,-7.0
AMS,6708f3f40ec61045ab7ffcb3,ISS,executed,2019-03-11,2019-12-16,2019-12-16,2018-12-19 08:56:00,4142381,2026-09-13 18:13:53,Phát hành cổ phiếu - Phát hành riêng lẻ,,362.0
TLG,6708f3f40ec61045ab7ffca9,ISS,executed,2019-03-06,2019-03-05,2019-03-05,2019-03-06 17:29:00,,2026-09-13 18:14:40,Phát hành cổ phiếu - Phát hành riêng lẻ,,-1.0
VTL,6708f3f70ec61045ab8007f1,ISS,executed,2023-04-17,2023-04-13,2023-04-13,2023-04-17 09:47:00,10754040,2026-09-13 18:14:54,Phát hành cổ phiếu - Phát hành riêng lẻ,VTL: Báo cáo kết quả đợt chào bán cổ phiếu riêng lẻ,-4.0
GDT,6708f3f70ec61045ab800887,ISS,executed,2023-12-06,2023-12-04,2023-12-04,2023-12-06 17:27:00,,2026-09-13 18:14:03,Phát hành cổ phiếu - Phát hành riêng lẻ,,-2.0
DNM,6708f3f10ec61045ab7ff1ba,ISS,executed,2015-11-05,2015-09-23,2015-09-23,2015-09-28 10:59:00,,2026-09-13 18:13:34,Phát hành cổ phiếu - Phát hành cho CBCNV,,-5.0
MWG,6708f3f60ec61045ab80033e,ISS,executed,2022-03-28,2022-03-26,2022-03-26,2022-03-28 16:56:00,10262646,2026-09-13 18:14:13,Phát hành cổ phiếu - Phát hành cho CBCNV,MWG: Báo cáo kết quả phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,-2.0
TMS,6708f3f10ec61045ab7ff2f8,ISS,executed,2016-04-22,2016-09-30,2016-09-30,2016-03-01 14:16:00,,2026-09-13 18:14:43,Phát hành cổ phiếu - Phát hành cho CBCNV,,213.0
VJC,6774882c7eee280b39c6bd8d,ISS,executed,2025-06-16,2025-06-12,2025-06-12,2025-06-16 14:53:51,11599800,2026-09-13 18:15:02,Phát hành cổ phiếu - Phát hành riêng lẻ tỉ lệ 9.2%,VJC: Báo cáo kết quả đợt chào bán cổ phiếu riêng lẻ và các tài liệu liên quan,-4.0
DID,6708f3f40ec61045ab7ffe2f,ISS,executed,2019-11-01,2019-10-30,2019-10-30,2019-11-01 09:38:00,,2026-09-13 18:13:48,Phát hành cổ phiếu - Phát hành riêng lẻ,,-2.0
