ticker,id,event_code,event_status,public_date,exright_date,record_date,fd,sid,ingested_at,title_vi,news_title,lead_ex_naive,lead_rec_naive
KDH,6708f3690ec61045ab7e48e9,AIS,executed,2020-09-08,,,2020-09-09 08:39:21,5720030,2026-09-13 18:14:17,KDH- Niêm yết bổ sung 26.228.110 cổ phiếu,,,
KDH,6708f3690ec61045ab7e48ea,AIS,executed,2020-09-08,,,2020-09-09 08:39:21,5720030,2026-09-13 18:14:17,KDH- Niêm yết bổ sung 8.000.000 cổ phiếu,,,
PET,6708f33e0ec61045ab7dc8aa,AIS,executed,2016-05-06,,,2016-05-09 08:43:00,,2026-09-13 18:14:16,PET-Niêm yết thêm 2.000.000 cổ phiếu,,,
GMC,6708f3660ec61045ab7e40e6,AIS,executed,2020-02-18,,,2020-02-19 10:11:45,4484731,2026-09-13 18:14:10,GMC - Niêm yết bổ sung 8.137.570 cổ phiếu,,,
PDR,6708f3640ec61045ab7e3a20,AIS,executed,2019-05-14,,,2019-05-15 09:46:13,3161297,2026-09-13 18:14:33,PRD - Niêm yết thêm 61.268.965 chứng chỉ quỹ,,,
DC4,6708f36a0ec61045ab7e4a9c,AIS,executed,2020-11-20,,,2020-11-23 10:12:04,6248168,2026-09-13 18:13:34,DC4 - Niêm yết bổ sung 1.499.758 cổ phiếu,,,
DC4,6708f36a0ec61045ab7e4a9e,AIS,executed,2020-11-20,,,2020-11-23 10:12:04,6248168,2026-09-13 18:13:34,DC4 - Niêm yết bổ sung 500.000 cổ phiếu,,,
AAA,6708f36a0ec61045ab7e4a9b,AIS,executed,2020-11-20,,,2020-11-23 09:52:04,6248169,2026-09-13 18:13:32,AAA - Niêm yết bổ sung 10.559.998 cổ phiếu,,,
HII,6708f36a0ec61045ab7e4a9f,AIS,executed,2020-11-20,,,2020-11-23 10:22:04,6248167,2026-09-13 18:14:01,HII - Niêm yết bổ sung 4.177.500 cổ phiếu,,,
VNE,6708f3360ec61045ab7dae20,AIS,executed,2016-01-15,,,2016-01-18 08:48:00,,2026-09-13 18:14:53,VNE-Niêm yết thêm 18.636.444 cổ phiếu,,,
TTB,6708f3370ec61045ab7db10e,AIS,executed,2016-01-29,,,2016-01-30 10:15:00,,2026-09-13 18:14:42,TTB-Niêm yết thêm 7.000.000 CP,,,
GIL,6708f3690ec61045ab7e486f,AIS,executed,2020-08-12,,,2020-08-13 09:41:47,5599679,2026-09-13 18:14:07,GIL- Niêm yết bổ sung 9.589.907 cổ phiếu,,,
DNP,6708f3310ec61045ab7d9f81,AIS,executed,2015-08-24,,,2015-08-25 08:59:00,,2026-09-13 18:13:35,Niêm yết thêm,,,
