event_code,yr,hr_utc,has_sid,ing_date,n,n_sec0
AIS,2016,15,false,2026-09-13,4,4
ISS,2017,11,true,2026-09-13,7,6
DIV,2017,14,true,2026-09-13,62,42
DIV,2022,16,false,2026-09-13,7,7
DIV,2022,16,true,2026-09-13,142,142
ISS,2024,16,false,2026-09-13,8,8
SUSP,2016,16,false,2026-09-13,2,2
DIV,2018,17,false,2026-09-13,110,110
DIV,2018,17,true,2026-09-13,41,41
DIV,2017,18,false,2026-09-13,14,4
ISS,2018,13,false,2026-09-13,19,17
ISS,2021,16,false,2026-09-13,13,13
ISS,2021,15,false,2026-09-13,9,8
AIS,2021,8,true,2026-09-13,4,4
DIV,2021,13,true,2026-09-13,44,40
DIV,2025,13,true,2026-09-13,50,44
ISS,2025,10,true,2026-09-16,6,5
ISS,2020,10,true,2026-09-13,18,15
ISS,2025,14,true,2026-09-16,3,3
DIV,2019,13,false,2026-09-13,26,21
ISS,2019,18,false,2026-09-13,4,4
DIV,2015,17,false,2026-09-13,5,5
SUSP,2019,9,true,2026-09-13,2,2
ISS,2020,17,false,2026-09-13,5,5
AIS,2020,15,true,2026-09-13,23,12
ISS,2021,12,false,2026-09-13,2,2
SUSP,2023,18,true,2026-09-13,1,1
SUSP,2023,11,true,2026-09-13,2,2
MOVE,2021,13,true,2026-09-13,1,1
SUSP,2018,14,true,2026-09-13,2,1
MOVE,2021,16,true,2026-09-13,1,1
SUSP,2024,8,true,2026-09-13,1,1
ISS,2017,12,false,2026-09-13,3,0
DIV,2021,11,false,2026-09-13,3,2
ISS,2021,19,false,2026-09-13,1,1
ISS,2023,6,false,2026-09-13,1,1
MOVE,2023,13,true,2026-09-13,1,1
ISS,2020,15,false,2026-09-13,6,5
DIV,2016,9,false,2026-09-13,43,35
AIS,2015,9,false,2026-09-13,21,21
ISS,2017,15,true,2026-09-13,17,12
ISS,2016,15,true,2026-09-13,17,4
DIV,2023,6,true,2026-09-13,1,1
ISS,2023,17,true,2026-09-13,55,55
DIV,2022,13,true,2026-09-13,34,34
ISS,2022,17,false,2026-09-13,18,18
ISS,2024,16,true,2026-09-13,51,51
DIV,2024,9,true,2026-09-13,49,49
DIV,2018,9,false,2026-09-13,15,10
DIV,2018,13,false,2026-09-13,29,21
DIV,2018,10,true,2026-09-13,59,51
AIS,2018,13,false,2026-09-13,1,1
ISS,2025,10,true,2026-09-13,31,23
ISS,2021,17,false,2026-09-13,11,11
DIV,2025,8,true,2026-09-13,37,35
DIV,2020,16,false,2026-09-13,6,6
AIS,2020,10,true,2026-09-13,19,4
DIV,2018,7,true,2026-09-13,15,11
ISS,2017,8,false,2026-09-13,12,1
ISS,2023,14,false,2026-09-13,5,5
AIS,2016,12,true,2026-09-13,2,0
ISS,2019,14,true,2026-09-13,17,16
DIV,2025,0,true,2026-09-13,1,1
SUSP,2019,17,true,2026-09-13,3,3
AIS,2023,10,true,2026-09-13,8,8
ISS,2025,12,false,2026-09-13,1,1
DIV,2023,13,false,2026-09-13,2,2
ISS,2019,7,false,2026-09-13,2,1
MA,2026,10,true,2026-09-13,1,1
SUSP,2018,9,false,2026-09-13,1,1
DIV,2026,21,true,2026-09-13,4,4
ISS,2026,19,true,2026-09-16,1,1
DIV,2015,7,false,2026-09-13,1,1
NLIS,2017,14,false,2026-09-13,2,0
DIV,2026,17,true,2026-09-15,3,0
DIV,2026,15,true,2026-09-16,5,5
ISS,2026,22,true,2026-09-13,1,1
ISS,2017,20,false,2026-09-13,1,0
ISS,2017,17,false,2026-09-13,32,16
DIV,2023,15,true,2026-09-13,116,116
ISS,2024,17,true,2026-09-13,80,80
AIS,2024,14,true,2026-09-13,6,6
SUSP,2024,15,true,2026-09-13,4,4
AIS,2021,18,true,2026-09-13,8,3
DIV,2021,19,true,2026-09-13,13,9
SUSP,2018,15,true,2026-09-13,3,3
ISS,2019,8,false,2026-09-13,3,3
DIV,2018,18,true,2026-09-13,4,4
ISS,2023,9,false,2026-09-13,3,3
AIS,2016,17,true,2026-09-13,4,1
DIV,2017,18,true,2026-09-13,5,4
ISS,2021,18,true,2026-09-13,6,6
DIV,2023,18,false,2026-09-13,3,3
SUSP,2026,15,true,2026-09-13,1,1
ISS,2026,19,true,2026-09-13,3,0
SUSP,2017,10,false,2026-09-13,3,0
DIV,2018,7,false,2026-09-13,2,0
MOVE,2018,7,false,2026-09-13,1,0
SUSP,2023,17,true,2026-09-13,2,2
AIS,2018,10,false,2026-09-13,2,2
ISS,2026,6,true,2026-09-16,2,2
NLIS,2016,11,true,2026-09-13,2,1
DIV,2026,10,true,2026-09-14,3,1
DIV,2024,14,false,2026-09-13,1,1
ISS,2017,13,true,2026-09-13,3,3
DIV,2017,15,true,2026-09-13,63,36
ISS,2016,15,false,2026-09-13,8,2
AIS,2016,16,true,2026-09-13,25,3
ISS,2023,16,true,2026-09-13,59,59
ISS,2016,11,true,2026-09-13,4,2
DIV,2024,19,true,2026-09-13,2,2
DIV,2018,16,true,2026-09-13,111,107
DIV,2018,19,true,2026-09-13,2,2
ISS,2025,15,true,2026-09-13,53,37
DIV,2021,18,true,2026-09-13,50,22
DIV,2021,15,true,2026-09-13,140,110
DIV,2021,0,true,2026-09-13,3,3
DIV,2025,15,true,2026-09-13,111,90
DIV,2025,19,true,2026-09-13,7,3
ISS,2019,16,true,2026-09-13,26,26
AIS,2019,15,false,2026-09-13,2,2
ISS,2023,6,true,2026-09-13,1,1
AIS,2020,11,false,2026-09-13,2,0
SUSP,2026,10,true,2026-09-13,1,1
DIV,2026,13,false,2026-09-13,2,2
DIV,2021,17,false,2026-09-13,5,4
ISS,2021,9,false,2026-09-13,2,2
ISS,2018,12,true,2026-09-13,2,2
ISS,2022,6,true,2026-09-13,1,1
DIV,2018,21,true,2026-09-13,4,4
ISS,2026,14,true,2026-09-16,7,4
MOVE,2021,17,true,2026-09-13,2,2
DIV,2018,12,false,2026-09-13,3,3
NLIS,2017,10,false,2026-09-13,3,0
DIV,2026,8,false,2026-09-16,2,2
DIV,2026,11,false,2026-09-14,1,1
SUSP,2023,8,true,2026-09-13,1,1
ISS,2020,13,false,2026-09-13,4,3
ISS,2017,16,true,2026-09-13,9,7
AIS,2022,13,false,2026-09-13,2,2
DIV,2024,17,false,2026-09-13,5,5
ISS,2018,17,true,2026-09-13,8,8
ISS,2016,11,false,2026-09-13,3,1
ISS,2025,9,true,2026-09-16,1,1
DIV,2019,16,false,2026-09-13,40,40
DIV,2019,7,true,2026-09-13,14,10
SUSP,2017,11,false,2026-09-13,1,0
AIS,2023,10,false,2026-09-13,2,2
ISS,2024,22,true,2026-09-13,2,2
AIS,2016,13,true,2026-09-13,3,1
DIV,2025,14,false,2026-09-13,5,5
MOVE,2020,9,false,2026-09-13,1,0
DIV,2021,7,true,2026-09-13,8,8
DIV,2021,12,true,2026-09-13,9,7
ISS,2023,8,true,2026-09-13,3,3
NLIS,2017,16,false,2026-09-13,2,0
ISS,2021,20,false,2026-09-13,3,3
ISS,2015,11,false,2026-09-13,2,2
AIS,2026,12,true,2026-09-16,1,1
AIS,2025,11,true,2026-09-13,7,7
AIS,2025,14,true,2026-09-13,11,11
SUSP,2017,18,true,2026-09-13,1,1
AIS,2015,11,false,2026-09-13,7,7
ISS,2025,11,false,2026-09-13,1,0
DIV,2021,2,true,2026-09-13,1,1
SUSP,2024,17,false,2026-09-13,1,1
SUSP,2017,16,false,2026-09-13,1,0
NLIS,2018,15,true,2026-09-13,1,1
DIV,2022,7,true,2026-09-13,2,2
ISS,2026,8,true,2026-09-15,1,0
SUSP,2020,8,true,2026-09-13,1,1
SUSP,2020,12,true,2026-09-13,1,1
AIS,2016,13,false,2026-09-13,3,3
DIV,2023,21,true,2026-09-13,7,7
DIV,2024,17,true,2026-09-13,166,166
AIS,2026,14,true,2026-09-13,3,3
ISS,2026,17,true,2026-09-16,26,2
DIV,2026,14,true,2026-09-13,96,79
DIV,2025,22,true,2026-09-13,4,4
ISS,2025,12,true,2026-09-13,2,2
AIS,2018,8,true,2026-09-13,3,3
DIV,2019,15,true,2026-09-13,113,106
DIV,2019,17,false,2026-09-13,99,99
ISS,2019,16,false,2026-09-13,40,37
AIS,2019,9,true,2026-09-13,4,3
SUSP,2019,15,true,2026-09-13,6,6
SUSP,2019,8,true,2026-09-13,1,1
ISS,2022,8,true,2026-09-13,10,10
ISS,2022,18,true,2026-09-13,13,13
SUSP,2023,16,true,2026-09-13,5,5
AIS,2023,11,true,2026-09-13,1,1
ISS,2015,17,false,2026-09-13,1,1
ISS,2015,10,false,2026-09-13,2,2
SUSP,2024,17,true,2026-09-13,1,1
ISS,2019,15,true,2026-09-13,12,11
AIS,2020,18,true,2026-09-13,14,2
ISS,2022,20,true,2026-09-13,8,8
ISS,2022,18,false,2026-09-13,1,1
ISS,2026,18,true,2026-09-13,19,5
AIS,2021,21,true,2026-09-13,5,5
DIV,2026,23,true,2026-09-13,4,4
MOVE,2026,13,true,2026-09-13,1,1
AIS,2021,16,false,2026-09-13,3,3
MOVE,2021,9,true,2026-09-13,1,1
AIS,2026,16,true,2026-09-16,1,1
SUSP,2017,14,true,2026-09-13,1,0
ISS,2021,21,true,2026-09-13,1,1
AIS,2017,13,true,2026-09-13,1,1
ISS,2026,9,true,2026-09-15,1,0
DIV,2017,23,false,2026-09-13,2,0
DIV,2020,17,true,2026-09-13,145,140
DIV,2017,17,false,2026-09-13,46,24
DIV,2017,9,false,2026-09-13,54,5
AIS,2017,9,true,2026-09-13,6,2
DIV,2016,11,true,2026-09-13,34,4
DIV,2022,10,true,2026-09-13,71,71
AIS,2022,9,true,2026-09-13,6,6
DIV,2017,13,false,2026-09-13,22,8
ISS,2018,17,false,2026-09-13,54,53
DIV,2025,16,true,2026-09-13,159,128
DIV,2025,9,false,2026-09-13,5,5
DIV,2019,14,true,2026-09-13,125,116
ISS,2019,13,false,2026-09-13,11,6
ISS,2018,18,true,2026-09-13,1,1
ISS,2019,10,false,2026-09-13,15,14
DIV,2022,21,true,2026-09-13,6,6
DIV,2023,19,true,2026-09-13,7,7
ISS,2024,6,true,2026-09-13,2,2
AIS,2020,8,true,2026-09-13,3,1
SUSP,2020,14,true,2026-09-13,4,3
ISS,2022,21,false,2026-09-13,1,1
AIS,2026,17,true,2026-09-13,3,2
ISS,2026,10,true,2026-09-16,5,3
ISS,2021,11,false,2026-09-13,1,1
SUSP,2016,15,true,2026-09-13,1,0
ISS,2021,7,true,2026-09-13,2,2
SUSP,2023,10,true,2026-09-13,3,3
MOVE,2021,10,true,2026-09-13,1,1
NLIS,2021,19,true,2026-09-13,1,1
NLIS,2024,15,true,2026-09-13,1,1
SUSP,2024,10,true,2026-09-13,2,2
ISS,2023,7,false,2026-09-13,1,1
DIV,2020,7,true,2026-09-13,14,13
SUSP,2020,20,true,2026-09-13,1,1
ISS,2015,16,false,2026-09-13,5,5
ISS,2015,15,true,2026-09-13,1,1
ISS,2017,10,true,2026-09-13,11,7
AIS,2017,16,true,2026-09-13,13,12
ISS,2023,16,false,2026-09-13,12,12
ISS,2022,16,true,2026-09-13,62,62
AIS,2022,15,false,2026-09-13,2,2
AIS,2024,9,true,2026-09-13,4,4
DIV,2024,23,true,2026-09-13,2,2
AIS,2018,16,false,2026-09-13,5,5
ISS,2021,22,true,2026-09-13,1,1
ISS,2025,9,true,2026-09-13,12,9
SUSP,2025,9,true,2026-09-13,2,2
ISS,2019,13,true,2026-09-13,7,6
AIS,2019,15,true,2026-09-13,16,16
ISS,2019,11,true,2026-09-13,7,7
ISS,2023,13,false,2026-09-13,5,5
AIS,2015,14,false,2026-09-13,13,13
AIS,2015,16,false,2026-09-13,8,8
ISS,2020,10,false,2026-09-13,3,2
ISS,2017,18,false,2026-09-13,2,0
AIS,2017,15,false,2026-09-13,4,3
AIS,2020,19,true,2026-09-13,5,0
ISS,2021,14,false,2026-09-13,4,4
DIV,2026,22,true,2026-09-13,6,6
DIV,2017,7,false,2026-09-13,1,0
DIV,2026,8,true,2026-09-14,2,2
DIV,2017,23,true,2026-09-13,1,1
AIS,2019,18,true,2026-09-13,1,1
ISS,2026,7,false,2026-09-16,1,0
AIS,2016,14,true,2026-09-13,17,2
AIS,2023,16,false,2026-09-13,1,1
ISS,2022,10,false,2026-09-13,2,2
ISS,2022,11,true,2026-09-13,14,14
ISS,2022,14,true,2026-09-13,38,38
ISS,2024,14,true,2026-09-13,37,37
DIV,2024,14,true,2026-09-13,127,127
SUSP,2024,14,true,2026-09-13,1,1
SUSP,2024,9,true,2026-09-13,2,2
ISS,2018,8,false,2026-09-13,16,14
ISS,2018,19,true,2026-09-13,1,1
SUSP,2018,16,true,2026-09-13,1,1
ISS,2026,11,true,2026-09-13,9,6
DIV,2021,8,true,2026-09-13,36,35
DIV,2021,16,false,2026-09-13,6,6
ISS,2021,6,true,2026-09-13,1,1
SUSP,2025,14,true,2026-09-13,2,2
ISS,2025,18,true,2026-09-16,1,1
ISS,2019,15,false,2026-09-13,20,18
AIS,2018,14,false,2026-09-13,1,1
ISS,2019,9,true,2026-09-13,13,13
ISS,2023,15,false,2026-09-13,8,8
AIS,2023,9,false,2026-09-13,3,3
ISS,2019,9,false,2026-09-13,8,7
DIV,2025,16,false,2026-09-13,6,5
DIV,2023,8,false,2026-09-13,1,1
AIS,2017,16,false,2026-09-13,3,1
DIV,2022,19,true,2026-09-13,7,7
DIV,2026,11,false,2026-09-13,2,2
ISS,2026,16,true,2026-09-16,13,8
AIS,2020,7,true,2026-09-13,1,1
MOVE,2019,11,true,2026-09-13,2,0
AIS,2026,13,true,2026-09-16,1,1
DIV,2016,18,false,2026-09-13,1,1
AIS,2025,15,true,2026-09-13,4,4
ISS,2026,9,true,2026-09-16,3,3
ISS,2026,8,true,2026-09-16,1,0
NLIS,2017,17,false,2026-09-13,1,0
ISS,2020,14,true,2026-09-13,28,27
ISS,2020,15,true,2026-09-13,37,37
SUSP,2017,15,true,2026-09-13,2,2
DIV,2016,9,true,2026-09-13,97,3
DIV,2023,14,true,2026-09-13,110,110
DIV,2022,22,true,2026-09-13,5,5
AIS,2016,9,false,2026-09-13,2,2
SUSP,2016,14,false,2026-09-13,2,2
AIS,2024,15,true,2026-09-13,5,5
DIV,2018,15,false,2026-09-13,28,24
DIV,2018,8,false,2026-09-13,18,11
DIV,2025,17,true,2026-09-13,149,83
AIS,2017,10,true,2026-09-13,3,1
DIV,2021,11,true,2026-09-13,80,54
DIV,2025,11,true,2026-09-13,59,53
ISS,2025,18,true,2026-09-13,13,6
NLIS,2018,8,true,2026-09-13,1,1
ISS,2023,11,true,2026-09-13,8,8
DIV,2015,8,false,2026-09-13,14,14
DIV,2025,11,false,2026-09-13,3,2
DIV,2020,12,true,2026-09-13,2,2
NLIS,2020,17,true,2026-09-13,1,1
SUSP,2022,10,true,2026-09-13,2,2
ISS,2022,15,false,2026-09-13,4,4
MOVE,2020,17,true,2026-09-13,1,0
SUSP,2026,9,true,2026-09-13,3,0
MOVE,2025,14,false,2026-09-13,1,1
SUSP,2026,11,true,2026-09-13,1,1
NLIS,2017,13,false,2026-09-13,1,0
ISS,2026,2,true,2026-09-16,1,1
MOVE,2017,8,false,2026-09-13,1,0
DIV,2020,10,true,2026-09-13,89,83
AIS,2015,15,false,2026-09-13,7,7
DIV,2017,14,false,2026-09-13,41,13
AIS,2017,14,true,2026-09-13,8,7
AIS,2023,17,true,2026-09-13,5,5
ISS,2023,17,false,2026-09-13,19,19
