ticker,Close,OShares,mktcap
FMC,33300.0,6.5388889E7,2.1774500037E12
QCG,10650.0,2.75129141E8,2.93012535165E12
NHA,7560.0,7.1266847E7,5.3877736332E11
NTC,129300.0,2.399998E7,3.103197414E12
NDN,8600.0,7.1657936E7,6.162582496E11
PSI,8300.0,5.98413E7,4.9668279E11
DHC,36600.0,1.0624962E8,3.888736092E12
HDC,11450.0,2.29712443E8,2.63020747235E12
HHP,17100.0,8.6554343E7,1.4800792653E12
MSB,12950.0,3.12E9,4.0404E13
BAF,32200.000000000004,3.64824906E8,1.1747361973200002E13
VC7,7100.0,9.6090556E7,6.822429476E11
VNM,61600.0,2.089955445E9,1.28741255412E14
LSS,7990.0,9.0026592E7,7.1931247008E11
NHH,9800.0,1.12964E8,1.1070472E12
TVN,9300.0,6.78E8,6.3054E12
VLC,11800.0,2.12491611E8,2.5074010098E12
NKG,10650.0,4.92323961E8,5.24325018465E12
POW,12850.0,3.067845688E9,3.94218170908E13
HCM,26300.0,1.349945838E9,3.55035755394E13
MVN,64400.00000000001,1.200588E9,7.731786720000002E13
MWG,72900.0,1.475765646E9,1.075833155934E14
NAB,11250.0,2.158822282E9,2.42867506725E13
SHS,14900.0,8.9946222E8,1.3401987078E13
DGW,44750.0,2.23361E8,9.99540475E12
HQC,2010.0,6.26599274E8,1.25946454074E12
LAS,11800.0,1.128564E8,1.33170552E12
AAS,8700.0,2.29999521E8,2.0009958327E12
CSV,21300.0,1.1049991E8,2.353648083E12
FOX,62300.0,7.38763463E8,4.60249637449E13
PAN,18500.0,2.50673166E8,4.637453571E12
TTA,11350.0,1.78559087E8,2.02664563745E12
VHM,73100.0,4.107412004E9,3.002518174924E14
VIX,13800.0,2.450287772E9,3.38139712536E13
KSF,81300.0,8.99787308E8,7.31527081404E13
KSV,108000.0,2.99999812E8,3.2399979696E13
MBB,20100.0,8.054999909E9,1.619054981709E14
MML,26800.0,3.45109429E8,9.2489326972E12
TSA,15650.0,4.1224994E7,6.451711561E11
AGG,10400.0,1.62528081E8,1.6902920424E12
DRC,10050.0,1.54429283E8,1.55201429415E12
L14,19900.0,3.0859315E7,6.141003685E11
NNC,39700.0,2.192E7,8.70224E11
CMG,23750.0,2.32891908E8,5.531182815E12
HAG,13950.0,1.267399283E9,1.768021999785E13
PPT,15100.0,1.9644923E7,2.966383373E11
TV2,25900.0,6.7526165E7,1.7489276735E12
HNM,8600.0,4.44E7,3.8184E11
HPX,4060.0,3.04168581E8,1.23492443886E12
IPA,13200.0,2.13835775E8,2.82263223E12
MBS,17100.0,1.00093341E9,1.7115961311E13
OCB,10200.0,3.062510126E9,3.12376032852E13
ABW,14000.0,3.0115E8,4.2161E12
NVB,11900.0,2.924632751E9,3.48031297369E13
VGR,115000.0,8.2224959E7,9.455870285E12
FCN,11050.0,1.57439005E8,1.73970100525E12
PPC,8870.0,3.20613054E8,2.84383778898E12
SJD,13950.0,6.899862E7,9.62530749E11
TDP,33150.0,9.3699574E7,3.1061408781E12
VGI,85800.0,3.0438112E9,2.6115900096E14
EVF,11850.0,7.60565802E8,9.0127047537E12
SAB,44850.0,1.282562372E9,5.75229223842E13
TCB,32400.0,7.086240414E9,2.295941894136E14
TCO,10600.0,5.7320622E7,6.075985932E11
TRC,83100.0,3.0E7,2.493E12
HNG,6400.0,1.108553895E9,7.094744928E12
VTP,50800.0,2.01885171E8,1.02557666868E13
ACV,39900.0,3.582324023E9,1.429347285177E14
MBG,2300.0,1.2021854E8,2.76502642E11
ODE,46100.0,1.0E7,4.61E11
SBS,4400.0,1.561076E8,6.8687344E11
SCL,26500.0,3.8836815E7,1.0291755975E12
TDC,7180.0,1.27228E8,9.1349704E11
L18,14900.0,5.7174652E7,8.519023148E11
TCH,12100.0,9.12109224E8,1.10365216104E13
KDC,51500.0,2.763453E8,1.423178295E13
PXL,10300.0,1.759977E8,1.81277631E12
APS,6000.0,8.3E7,4.98E11
HTN,6650.0,8.9116411E7,5.9262413315E11
LDG,2610.0,2.55615849E8,6.6715736589E11
SBG,13800.0,5.9999917E7,8.279988546E11
HAH,47100.0,1.91840401E8,9.0356828871E12
HID,4060.0,7.6756321E7,3.1163066326E11
TCI,9600.0,1.15620964E8,1.1099612544E12
D2D,29750.0,3.0259742E7,9.002273245E11
HAX,8500.0,1.07439681E8,9.132372885E11
NAG,6800.0,5.2593726E7,3.576373368E11
SJE,11900.0,4.0E7,4.76E11
ASP,14000.0,3.7339542E7,5.22753588E11
DSE,22300.0,4.28249806E8,9.5499706738E12
EVS,5000.0,1.64800618E8,8.2400309E11
IDC,30800.0,4.17446864E8,1.28573634112E13
TLG,49850.0,9.652834E7,4.811937749E12
TV1,20000.0,2.6691319E7,5.3382638E11
VAB,9050.0,8.16360672E8,7.3880640816E12
APF,44700.0,3.6021756E7,1.6101724932E12
DTD,10900.0,7.3353788E7,7.995562892E11
BMI,13700.0,1.50547626E8,2.0625024762E12
DVP,73800.0,4.0E7,2.952E12
HII,10550.0,7.3663016E7,7.771448188E11
SVN,3400.0,2.1E7,7.14E10
VC3,23700.0,1.38414258E8,3.2804179146E12
API,5600.0,8.4083976E7,4.708702656E11
ELC,13800.0,1.10047218E8,1.5186516084E12
TIP,16300.0,6.5007857E7,1.0596280691E12
DXG,11250.0,1.268104965E9,1.426618085625E13
SCG,65000.0,8.5E7,5.525E12
APG,4730.0,2.23621942E8,1.05773178566E12
MSR,47600.0,1.10497342E9,5.2596734792E13
PAT,70600.0,2.5E7,1.765E12
VTD,4600.0,2.4E7,1.104E11
CAP,42400.0,1.5269965E7,6.47446516E11
PVI,65700.0,2.34241867E8,1.53896906619E13
SMC,10250.0,7.3606837E7,7.5447007925E11
VRE,26450.0,2.27231841E9,6.01028219445E13
VVS,88700.0,4.305E7,3.818535E12
ABT,50100.0,1.1777257E7,5.900405757E11
IDI,4840.0,2.73172668E8,1.32215571312E12
NAF,48000.0,6.1181992E7,2.936735616E12
NTP,55100.0,2.05245204E8,1.13090107404E13
SGN,53200.0,3.3498591E7,1.7821250412E12
SIP,49000.0,2.42112943E8,1.1863534207E13
DVM,4600.0,4.7057787E7,2.164658202E11
VJC,125200.0,7.69092961E8,9.62904387172E13
VLB,47700.0,4.672056E7,2.228570712E12
