book,ticker,play_type,ta,close_bq_stale_DO_NOT_USE_AS_REFPRICE,sector,weight_pct,weight_base,status,capit_cap_total_vnd,due_diligence
LAG,APF,LAG_HI,,,3.0,10.0,LAG_book,UPCOMING T+2 phiên tới,,"DD APF [LAG] (data 2026-07-31): ⚠ thanh khoản mỏng (ADV3T 1.16 tỷ/phiên < sàn 2 tỷ) · nền YoY dương (surprise không phồng do nền âm) | FA: ROE5Y 21.7% · ROE_Min3Y 14.0% · FSCORE 7 · D/E 1.96 · PE 7.01 | 🟢 DCF: CHEAP (giá trị hợp lý ~74,126đ vs giá 46,300đ, MoS +37.5%, robust)"
LAG,BVB,LAG_HI,,,8.0,10.0,LAG_book,UPCOMING T+3 phiên tới,,"DD BVB [LAG] (data 2026-07-31): thanh khoản OK (ADV3T 17.66 tỷ/phiên) · nền YoY dương (surprise không phồng do nền âm) | FA: ROE5Y 5.1% · ROE_Min3Y 1.0% · FSCORE 4 · D/E 16.92 · PE 10.11 | DCF: NOT_COMPUTED (financial_sector_excluded) → thay thế: 🔴 Gordon P/B (ngân hàng): P/B 1.00 vs hợp lý 0.02 (ROE5Y 5.1%, COE 13%/g 5%) — RICH [đã validate (bank_compounder_screen)]"
LAG,DCM,LAG_HI,,,1.0,10.0,LAG_book,UPCOMING T+3 phiên tới,,"DD DCM [LAG] (data 2026-07-31): thanh khoản OK (ADV3T 63.35 tỷ/phiên) · nền YoY dương (surprise không phồng do nền âm) | FA: ROE5Y 22.5% · ROE_Min3Y 10.8% · FSCORE 6 · D/E 0.63 · PE 6.21 | DCF: NOT_COMPUTED (fcfe_negative_buildout) → thay thế: 8L (fallback rộng): 8L rating 3/5, earnings yield 15.8% (1/PE) [FALLBACK — gate chất lượng + trục value, không phải giá trị hợp lý]"
LAG,DGW,LAG_HI,,,5.0,10.0,LAG_book,UPCOMING T+3 phiên tới,,"DD DGW [LAG] (data 2026-07-31): thanh khoản OK (ADV3T 26.29 tỷ/phiên) · nền YoY dương (surprise không phồng do nền âm) | FA: ROE5Y 23.6% · ROE_Min3Y 14.2% · FSCORE 6 · D/E 1.73 · PE 9.69 | 🔴 DCF: RICH (giá trị hợp lý ~8,688đ vs giá 36,600đ, MoS -321.3%, robust) ⚠ cần dcf_override_reason"
LAG,DHD,LAG_LO,,,4.0,8.0,LAG_book,UPCOMING T+1 phiên tới,,"DD DHD [LAG] (data 2026-07-31): 🔴 thanh khoản ~0 (ADV3T 59 tr/phiên) — NGOÀI mô hình backtest · 🔴 NGOÀI universe_pit · nền YoY dương (surprise không phồng do nền âm) | FA: ROE5Y 8.9% · ROE_Min3Y 7.7% · FSCORE 5 · D/E 0.94 · PE 20.53 | DCF: NOT_COMPUTED (fcfe_negative_buildout) → thay thế: 8L (fallback rộng): 8L rating 3/5, earnings yield 4.7% (1/PE) [FALLBACK — gate chất lượng + trục value, không phải giá trị hợp lý] | 🔴 DD cờ đỏ: THANH_KHOAN_CHET, NGOAI_UNIVERSE ⚠ cần dd_override_reason"
LAG,MAC,LAG_HI,,,2.0,10.0,LAG_book,UPCOMING T+2 phiên tới,,"DD MAC [LAG] (data 2026-07-30): 🔴 thanh khoản ~0 (ADV3T 7 tr/phiên) — NGOÀI mô hình backtest · 🔴 NGOÀI universe_pit · nền YoY dương (surprise không phồng do nền âm) | FA: ROE5Y 12.8% · ROE_Min3Y 14.5% · FSCORE 6 · D/E 0.33 · PE 7.58 | DCF: NOT_COMPUTED (CF_OA_3Y <= 0 (operating cash gate fails) — DCF not meaningful) → thay thế: 8L (fallback rộng): 8L rating 3/5, earnings yield 13.2% (1/PE) [FALLBACK — gate chất lượng + trục value, không phải giá trị hợp lý] | 🔴 DD cờ đỏ: THANH_KHOAN_CHET, NGOAI_UNIVERSE ⚠ cần dd_override_reason"
LAG,PRE,LAG_LO,,,8.0,8.0,LAG_book,UPCOMING T+3 phiên tới,,"DD PRE [LAG] (data 2026-07-31): ⚠ thanh khoản mỏng (ADV3T 128 tr/phiên < sàn 2 tỷ) · 🔴 NGOÀI universe_pit · nền YoY dương (surprise không phồng do nền âm) | FA: ROE5Y 14.9% · ROE_Min3Y 11.9% · FSCORE 6 · D/E 3.56 · PE 10.36 | DCF: NOT_COMPUTED (financial_sector_excluded) → thay thế: P/B thô (bảo hiểm): P/B 1.62, ROE5Y 14.9% [THÔ — chưa có lens chuyên biệt (combined-ratio/EV không có trong BQ)] | 🔴 DD cờ đỏ: NGOAI_UNIVERSE ⚠ cần dd_override_reason"
LAG,PVT,LAG_HI,,,2.0,10.0,LAG_book,UPCOMING T+3 phiên tới,,"DD PVT [LAG] (data 2026-07-31): thanh khoản OK (ADV3T 50.68 tỷ/phiên) · nền YoY dương (surprise không phồng do nền âm) | FA: ROE5Y 13.6% · ROE_Min3Y 12.7% · FSCORE 4 · D/E 0.87 · PE 6.75 | DCF: NOT_COMPUTED (fcfe_negative_buildout) → thay thế: 🟢 P/B trough (vận tải biển): P/B 0.77 (trough buy <0.9 — chu kỳ sâu, không có moat) — CHEAP [framework (logistics_port_screen)]"
LAG,TV2,LAG_LO,,,2.0,8.0,LAG_book,UPCOMING T+2 phiên tới,,"DD TV2 [LAG] (data 2026-07-31): thanh khoản OK (ADV3T 4.24 tỷ/phiên) · nền YoY dương (surprise không phồng do nền âm) | FA: ROE5Y 8.9% · ROE_Min3Y 3.9% · FSCORE 3 · D/E 2.22 · PE 10.61 | 🟢 DCF: CHEAP (giá trị hợp lý ~97,824đ vs giá 25,700đ, MoS +73.7%, robust)"
LAG,TV3,LAG_LO,,,2.0,8.0,LAG_book,UPCOMING T+2 phiên tới,,"DD TV3 [LAG] (data 2026-07-30): 🔴 thanh khoản ~0 (ADV3T 2 tr/phiên) — NGOÀI mô hình backtest · 🔴 NGOÀI universe_pit · nền YoY dương (surprise không phồng do nền âm) | FA: ROE5Y 11.3% · ROE_Min3Y 7.7% · FSCORE 5 · D/E 0.85 · PE 8.69 | 🔴 DCF: RICH (giá trị hợp lý ~7,709đ vs giá 15,700đ, MoS -103.6%, robust) ⚠ cần dcf_override_reason | 🔴 DD cờ đỏ: THANH_KHOAN_CHET, NGOAI_UNIVERSE ⚠ cần dd_override_reason"
LAG,AMC,LAG_HI,,,1.0,10.0,LAG_book,WINDOW_PASSED 2026-07-29,,"DD AMC [LAG] (data 2026-07-31): 🔴 thanh khoản ~0 (ADV3T 1 tr/phiên) — NGOÀI mô hình backtest · 🔴 NGOÀI universe_pit · nền YoY dương (surprise không phồng do nền âm) | FA: ROE5Y 12.8% · ROE_Min3Y 11.9% · FSCORE 8 · D/E 1.18 · PE 5.75 | DCF: NOT_COMPUTED (fcfe_negative_buildout) → chưa có lăng kính định giá cho ngành này | 🔴 DD cờ đỏ: THANH_KHOAN_CHET, NGOAI_UNIVERSE ⚠ cần dd_override_reason"
LAG,BMS,LAG_HI,,,8.0,10.0,LAG_book,WINDOW_PASSED 2026-07-27,,"DD BMS [LAG] (data 2026-07-31): ⚠ thanh khoản mỏng (ADV3T 1.62 tỷ/phiên < sàn 2 tỷ) · ⚠ cờ chất lượng FLOOR_FAIL · nền YoY dương (surprise không phồng do nền âm) | FA: ROE5Y 8.2% · ROE_Min3Y 6.9% · FSCORE 2 · D/E 0.31 · PE 17.05 | DCF: NOT_COMPUTED (financial_sector_excluded) → thay thế: 🔴 P/B band + ROE (chứng khoán): P/B 1.24 (band cheap <1.8), ROE_TTM n/a (cần >8%) — RICH [framework (screen gate, KHÔNG phải giá trị hợp lý)]"
