ticker,issue_method_name_vi,exercise_ratio,exright_date,public_date
AAS,Trả Cổ tức bằng Cổ phiếu,0.5,2023-06-27,2023-06-14
ACB,Trả Cổ tức bằng Cổ phiếu,0.55,2008-09-11,2008-08-30
ACG,Trả Cổ tức bằng Cổ phiếu,0.82,2019-01-02,2019-01-02
ACG,Trả Cổ tức bằng Cổ phiếu,0.5,2022-04-13,2022-04-07
ACL,Cổ phiếu thưởng,0.65,2011-10-17,2011-04-20
ACL,Trả Cổ tức bằng Cổ phiếu,1.2,2020-08-05,2020-07-23
ACV,Trả Cổ tức bằng Cổ phiếu,0.6458,2025-08-07,2025-07-30
ADG,Cổ phiếu thưởng,0.734,2020-07-16,2020-04-27
ADP,Cổ phiếu thưởng,0.5,2015-07-06,2015-04-25
ADP,Cổ phiếu thưởng,0.6,2016-09-23,2016-09-13
ADP,Cổ phiếu thưởng,0.5,2021-06-11,2021-06-03
AGG,Cổ phiếu thưởng,0.596,2018-10-26,2018-10-26
AGM,Cổ phiếu thưởng,2.0,2011-02-14,2011-02-14
ALV,Trả Cổ tức bằng Cổ phiếu,0.7,2025-09-08,2025-09-03
AMC,Cổ phiếu thưởng,0.5,2025-12-01,2025-11-21
ANV,Cổ phiếu thưởng,0.9,2017-08-09,2017-07-31
ANV,Cổ phiếu thưởng,1.0,2024-11-07,2024-10-04
API,Cổ phiếu thưởng,1.2,2022-09-06,2022-08-26
APL,Cổ phiếu thưởng,1.72727,2012-10-10,2012-10-10
APL,Cổ phiếu thưởng,1.0,2016-02-19,2016-02-19
APP,Trả Cổ tức bằng Cổ phiếu,0.5,2010-06-01,2010-06-01
ASG,Cổ phiếu thưởng,0.7,2018-02-07,2018-02-07
ASM,Cổ phiếu thưởng,1.0,2009-11-14,2009-11-13
ASM,Cổ phiếu thưởng,1.0,2011-01-18,2010-11-07
ASP,Cổ phiếu thưởng,0.667,2008-12-29,2008-12-18
BBT,Cổ phiếu thưởng,5.0,2003-03-31,2003-03-31
BCF,Cổ phiếu thưởng,0.5,2012-04-16,2012-04-16
BCF,Cổ phiếu thưởng,1.0,2015-05-02,2015-05-02
BDG,Cổ phiếu thưởng,1.01666667,2022-09-16,2022-09-15
BIC,Cổ phiếu thưởng,0.723,2025-09-09,2025-08-14
BKC,Cổ phiếu thưởng,0.61,2009-10-27,2009-10-20
BKC,Cổ phiếu thưởng,1.0,2025-08-07,2025-08-01
BMC,Cổ phiếu thưởng,2.0,2007-05-22,2007-05-11
BMC,Cổ phiếu thưởng,0.5,2012-04-19,2012-03-17
BMF,Cổ phiếu thưởng,0.6,2015-08-31,2015-08-31
BMF,Cổ phiếu thưởng,2.8100093,2023-09-27,2023-09-22
BMG,Trả Cổ tức bằng Cổ phiếu,1.0,2004-06-28,2004-06-28
BMK,Trả Cổ tức bằng Cổ phiếu,1.1747,2023-06-05,2023-06-05
BMP,Cổ phiếu thưởng,1.0,2009-12-28,2009-11-10
BMP,Cổ phiếu thưởng,0.8,2017-06-13,2017-06-02
BT6,Cổ phiếu thưởng,2.0,2011-02-24,2010-09-07
BTB,Cổ phiếu thưởng,0.5,2009-11-30,2009-11-30
BTN,Cổ phiếu thưởng,0.5,2018-10-17,2018-10-09
BVS,Cổ phiếu thưởng,0.6,2009-11-18,2009-11-13
C21,Trả Cổ tức bằng Cổ phiếu,1.0,2004-02-18,2004-02-18
C32,Cổ phiếu thưởng,1.0,2025-12-26,2025-12-22
CAP,Trả Cổ tức bằng Cổ phiếu,0.55,2011-05-24,2010-09-18
CAP,Cổ phiếu thưởng,1.0,2013-05-14,2013-03-26
CAP,Trả Cổ tức bằng Cổ phiếu,0.5,2022-06-14,2022-06-06
CAP,Trả Cổ tức bằng Cổ phiếu,0.5,2024-03-18,2024-03-13
CBS,Trả Cổ tức bằng Cổ phiếu,3.2,2011-11-01,2011-11-01
CBS,Trả Cổ tức bằng Cổ phiếu,0.5,2023-04-17,2023-04-12
CCI,Cổ phiếu thưởng,0.5,2009-10-23,2009-09-25
CDC,Cổ phiếu thưởng,0.5,2008-09-30,2008-04-07
CE1,Cổ phiếu thưởng,1.0,2016-12-31,2016-12-31
CGV,Cổ phiếu thưởng,0.9,2011-12-31,2011-12-31
CHC,Cổ phiếu thưởng,0.7,2013-08-31,2013-08-31
CHC,Cổ phiếu thưởng,0.65,2021-06-14,2021-06-07
CII,Cổ phiếu thưởng,0.5,2010-01-14,2009-12-11
CII,Cổ phiếu thưởng,0.5,2012-08-24,2012-06-06
CLC,Cổ phiếu thưởng,0.5,2018-01-29,2017-01-23
CMC,Cổ phiếu thưởng,0.5,2011-08-01,2011-07-29
CMM,Cổ phiếu thưởng,0.5,2023-07-17,2023-07-07
CMN,Cổ phiếu thưởng,2.0,2026-06-11,2026-06-04
CNC,Cổ phiếu thưởng,1.0,2011-01-31,2010-12-17
CNC,Cổ phiếu thưởng,0.5,2014-07-09,2014-07-02
COM,Cổ phiếu thưởng,0.5,2010-08-27,2010-03-26
CSC,Cổ phiếu thưởng,0.7,2014-06-25,2014-04-15
CSC,Cổ phiếu thưởng,1.0,2018-12-04,2018-11-29
CSV,Cổ phiếu thưởng,1.5,2024-07-01,2024-06-13
CTB,Cổ phiếu thưởng,0.5,2017-04-25,2017-04-20
CTB,Cổ phiếu thưởng,0.5,2025-11-04,2025-10-31
CTD,Cổ phiếu thưởng,1.0,2006-10-24,2006-10-24
CTD,Cổ phiếu thưởng,0.5,2007-06-05,2007-06-05
CTD,Cổ phiếu thưởng,0.5,2009-09-07,2009-09-07
CTD,Cổ phiếu thưởng,0.6667,2010-05-25,2010-04-15
CTX,Cổ phiếu thưởng,1.99416,2019-09-05,2019-08-28
D2D,Cổ phiếu thưởng,1.0,2019-07-04,2019-06-21
DBC,Cổ phiếu thưởng,1.0,2022-04-05,2022-03-30
DBM,Cổ phiếu thưởng,0.5,2014-07-25,2014-04-26
DBT,Cổ phiếu thưởng,1.3333,2014-08-20,2014-04-26
DCG,Cổ phiếu thưởng,1.0,2014-12-31,2014-12-31
DCG,Cổ phiếu thưởng,0.5,2015-12-31,2015-12-31
DCL,Cổ phiếu thưởng,1.0,2016-04-19,2016-03-07
DDN,Cổ phiếu thưởng,0.5,2014-07-08,2014-06-27
DGC,Trả Cổ tức bằng Cổ phiếu,0.5227,2013-12-02,2013-12-02
DGC,Trả Cổ tức bằng Cổ phiếu,1.17,2022-06-03,2022-05-27
DGW,Cổ phiếu thưởng,1.2,2015-05-22,2015-05-22
DGW,Cổ phiếu thưởng,1.0,2021-08-24,2021-08-18
DGW,Cổ phiếu thưởng,0.8,2022-07-01,2022-06-23
DHA,Cổ phiếu thưởng,0.5,2010-07-19,2010-07-07
DHD,Trả Cổ tức bằng Cổ phiếu,1.0,2016-08-31,2016-08-23
DHG,Cổ phiếu thưởng,1.0,2007-11-13,2007-11-01
DHG,Cổ phiếu thưởng,1.4,2011-06-28,2011-04-29
DHG,Cổ phiếu thưởng,0.5,2017-05-26,2017-05-17
DHN,Cổ phiếu thưởng,2.0,2012-11-06,2012-11-06
DHP,Trả Cổ tức bằng Cổ phiếu,0.6,2012-06-30,2012-04-14
DHP,Trả Cổ tức bằng Cổ phiếu,0.8,2012-07-15,2012-06-24
DHT,Cổ phiếu thưởng,1.0,2017-05-23,2017-05-17
DHT,Cổ phiếu thưởng,0.5,2018-05-02,2018-04-24
DHT,Cổ phiếu thưởng,1.8,2023-06-23,2023-06-07
DMC,Cổ phiếu thưởng,0.5,2014-01-17,2014-01-06
DMX,Trả Cổ tức bằng Cổ phiếu,1.5,2025-12-09,2025-12-09
DNP,Cổ phiếu thưởng,0.78,2014-12-26,2014-05-04
DP3,Cổ phiếu thưởng,1.5,2023-07-11,2023-06-29
DPG,Trả Cổ tức bằng Cổ phiếu,0.5,2010-12-31,2010-12-31
DPG,Cổ phiếu thưởng,1.53,2018-02-02,2018-01-29
DPG,Cổ phiếu thưởng,0.5,2019-05-08,2019-05-04
DPG,Cổ phiếu thưởng,0.6,2025-06-11,2025-05-27
DPM,Cổ phiếu thưởng,0.737476,2025-08-07,2025-07-23
DPR,Cổ phiếu thưởng,1.0,2023-09-27,2023-09-14
DRC,Cổ phiếu thưởng,1.0,2010-05-19,2010-04-05
DRC,Cổ phiếu thưởng,0.5,2011-05-16,2011-03-30
DTC,Trả Cổ tức bằng Cổ phiếu,1.0,2008-10-10,2008-10-14
DTC,Trả Cổ tức bằng Cổ phiếu,1.0,2011-04-27,2010-03-17
DTP,Trả Cổ tức bằng Cổ phiếu,1.0,2025-06-11,2025-06-05
DVP,Cổ phiếu thưởng,1.0,2013-10-07,2013-06-19
DXP,Cổ phiếu thưởng,0.5,2007-12-21,2007-12-11
DXP,Cổ phiếu thưởng,0.5,2011-05-12,2011-03-18
DXP,Cổ phiếu thưởng,1.5,2016-07-28,2016-03-15
DXP,Trả Cổ tức bằng Cổ phiếu,0.5,2016-07-28,2016-03-15
EBS,Cổ phiếu thưởng,1.5,2007-06-18,2007-04-24
EMS,Cổ phiếu thưởng,0.6378,2020-11-05,2020-11-02
EVE,Cổ phiếu thưởng,0.5,2008-08-27,2008-08-27
EVE,Cổ phiếu thưởng,0.5,2011-05-23,2011-04-16
EVE,Trả Cổ tức bằng Cổ phiếu,0.5,2016-07-19,2016-04-15
EVS,Cổ phiếu thưởng,0.6,2023-07-31,2023-07-25
F88,Cổ phiếu thưởng,12.0,2026-01-20,2026-01-15
F88,Cổ phiếu thưởng,1.0,2026-06-08,2026-06-15
FIR,Cổ phiếu thưởng,0.6,2020-01-13,2020-01-08
FOX,Cổ phiếu thưởng,2.292,2007-08-13,2007-08-13
FOX,Trả Cổ tức bằng Cổ phiếu,0.5,2018-04-19,2018-04-13
FOX,Cổ phiếu thưởng,0.5,2023-10-19,2023-10-13
FOX,Cổ phiếu thưởng,0.5,2025-06-09,2025-05-13
FPT,Trả Cổ tức bằng Cổ phiếu,0.5,2007-05-21,2007-05-10
