subtype,yr,n,n_eq,pct_eq
PRIVATE_PLACEMENT,2000,6,6,100.0
PRIVATE_PLACEMENT,2001,10,10,100.0
PRIVATE_PLACEMENT,2002,10,10,100.0
PRIVATE_PLACEMENT,2003,18,18,100.0
PRIVATE_PLACEMENT,2004,25,25,100.0
PRIVATE_PLACEMENT,2005,30,29,96.7
PRIVATE_PLACEMENT,2006,70,63,91.3
PRIVATE_PLACEMENT,2007,235,190,81.2
PRIVATE_PLACEMENT,2008,127,108,85.0
PRIVATE_PLACEMENT,2009,149,127,85.2
PRIVATE_PLACEMENT,2010,212,168,79.2
PRIVATE_PLACEMENT,2011,111,91,82.0
PRIVATE_PLACEMENT,2012,82,63,76.8
PRIVATE_PLACEMENT,2013,78,52,66.7
PRIVATE_PLACEMENT,2014,114,64,57.1
PRIVATE_PLACEMENT,2015,133,87,65.9
PRIVATE_PLACEMENT,2016,136,99,72.8
PRIVATE_PLACEMENT,2017,128,87,68.5
PRIVATE_PLACEMENT,2018,108,62,58.5
PRIVATE_PLACEMENT,2019,94,55,59.8
PRIVATE_PLACEMENT,2020,81,42,53.2
PRIVATE_PLACEMENT,2021,99,41,41.8
PRIVATE_PLACEMENT,2022,62,27,44.3
PRIVATE_PLACEMENT,2023,42,13,31.7
PRIVATE_PLACEMENT,2024,37,9,25.7
PRIVATE_PLACEMENT,2025,51,5,10.4
PRIVATE_PLACEMENT,2026,27,1,5.6
RIGHTS,2002,2,2,100.0
RIGHTS,2003,2,2,100.0
RIGHTS,2004,7,6,85.7
RIGHTS,2005,11,7,63.6
RIGHTS,2006,42,25,61.0
RIGHTS,2007,181,70,39.5
RIGHTS,2008,75,42,56.0
RIGHTS,2009,64,27,42.2
RIGHTS,2010,211,58,27.5
RIGHTS,2011,82,25,30.9
RIGHTS,2012,45,18,40.0
RIGHTS,2013,45,18,40.0
RIGHTS,2014,78,32,41.0
RIGHTS,2015,99,24,24.5
RIGHTS,2016,87,23,26.7
RIGHTS,2017,78,21,27.3
RIGHTS,2018,68,18,27.7
RIGHTS,2019,44,7,16.3
RIGHTS,2020,47,8,17.0
RIGHTS,2021,90,10,11.4
RIGHTS,2022,61,3,4.9
RIGHTS,2023,28,0,0.0
RIGHTS,2024,36,2,5.6
RIGHTS,2025,61,0,0.0
RIGHTS,2026,23,0,0.0
