start,end,span,vni_start,vni_end,1M,2M,3M,6M,maxdd_6m
2009-06-11,2009-06-11,1,511.3,511.3,-0.14179542343047136,-0.03931155877175829,0.048503813807940555,,
2009-08-18,2009-08-25,6,499.7,528.9,0.08678389109472495,0.1631688409907357,0.015314804310833763,-0.060502930610701444,
2009-09-23,2009-09-23,1,582.1,582.1,0.07215255110805696,-0.045181240336712,-0.2080398556948978,-0.1319360934547329,
2009-10-08,2009-11-09,23,571.8,534.1,-0.08537727017412478,-0.001497846845160189,-0.07695188167009925,-0.04268863508706233,
2009-12-16,2009-12-18,3,442.1,443.3,0.11775321452740806,0.11572298669072856,0.1355741033160387,0.1394089781186556,-0.11974522292993628
2010-08-24,2010-08-30,5,434.4,444.6,0.022267206477732726,0.017993702204228468,0.004048582995951344,0.05308142150247397,-0.13451970914657485
2010-11-12,2010-11-22,7,441.6,426.2,0.13045518535898637,0.20131393711872358,0.08259033317691222,0.022290004692632648,-0.26061997703788753
2011-01-12,2011-01-12,1,478.5,478.5,0.053082549634273724,-0.02131661442006272,-0.038035527690700066,-0.1366771159874608,-0.26061997703788753
2011-03-03,2011-03-10,6,452.3,482.5,-0.03772020725388603,-0.005803108808290158,-0.08248704663212436,-0.046797927461139865,-0.22456069480912944
2011-04-26,2011-04-26,1,461.9,461.9,-0.11063000649491228,-0.05975319333189,-0.1136609655769647,-0.10270621346611819,-0.21101520756267977
2011-05-25,2011-05-30,4,386.4,412.1,0.04901722882795445,-0.006551807813637622,-0.025357922834263635,-0.05709779179810737,-0.19446746127860293
2011-06-23,2011-08-03,30,434.8,391.47,0.11193705775666074,0.07829463304978668,0.05709249750938761,0.02109995657393915,-0.2845730554316187
2011-11-21,2011-11-29,7,379.14,382.9,-0.08419952990336887,0.04920344737529381,0.194071559153826,0.09955601984852436,-0.1463314688466819
2011-12-15,2012-01-12,20,364.48,348.11,0.15854184022291795,0.2584240613599149,0.35635287696417794,0.20315417540432623,-0.16940193005101734
2012-03-21,2012-03-22,2,445.77,445.67,0.04375434738708006,-0.04207148787219239,-0.041510534700563206,-0.12652859739268973,-0.2095805929477329
2012-05-02,2012-05-07,4,472.46,486.31,-0.13425592728917768,-0.15541527009520673,-0.14437293084657932,-0.20129135736464387,-0.21257196713586168
2012-07-10,2012-07-10,1,405.39,405.39,0.04484570413675715,-0.019438071980068528,-0.029453119218530333,0.07104269962258569,-0.14183132089279182
2012-09-07,2012-09-25,13,397.51,391.77,0.009393266457360161,-0.02182402940500794,0.012788115475917072,0.2533884677234093,-0.06610351029646544
2013-06-12,2013-06-12,1,518.24,518.24,-0.06516285890707008,-0.03399969126273539,-0.08434316146958942,-0.015668416177832656,-0.09588221673355979
2013-07-01,2013-07-01,1,480.04,480.04,0.0177068577618531,-0.014040496625281285,0.01368635947004404,0.05078743438046818,-0.08310829321748658
2013-07-19,2013-07-25,5,503.76,491.78,-0.010085810728374445,-0.01821952905770874,0.024950180975232827,0.13853755744438567,-0.08310829321748658
2013-10-23,2013-11-26,25,504.05,509.16,-0.009309450860240376,0.10022389818524635,0.12919318092544585,0.09796527614109496,-0.15412723232655745
2014-01-27,2014-01-27,1,556.52,556.52,0.03960324876015231,0.06562208006900017,-0.02526414145044198,0.09016746927334163,-0.15412723232655745
2014-02-26,2014-04-23,40,589.81,569.36,-0.029173106646058766,0.0051110018266122825,0.05743290712378801,0.04245117324715464,-0.11229530850549296
2014-09-25,2014-10-20,18,605.1,589.24,0.008502477767972305,-0.12052813794039774,-0.03008960695132712,-0.03983096870545111,-0.14234645747480257
2015-01-16,2015-01-19,2,574.81,571.51,0.037007226470227916,-0.026858672639148984,-0.010043568791447188,0.10491504960543119,-0.11898932360632242
2015-03-18,2015-05-08,34,578.68,554.51,0.04566193576310629,0.13662512849182162,0.0948044219220574,0.10315413608411039,-0.1749831686733785
2016-02-03,2016-03-08,20,539.07,574.71,-0.012040855387934868,0.052791842842476955,0.09249882549459731,0.1551913138800438,-0.07069854248133667
2016-06-08,2016-06-14,5,627.87,625.43,0.07944933885486805,0.05565770749724197,0.05489023551796368,0.053499192555521935,-0.07069854248133667
2016-07-01,2016-07-28,20,640.3,657.14,0.01614572237270595,0.04222844447149776,0.025063152448489,0.052074139452780166,-0.05429023501574992
2017-07-05,2017-08-07,24,778.32,792.98,0.0007188075361295176,0.015448056697520807,0.06399909203258591,0.38675628641327653,-0.05419475887095104
2017-08-25,2017-08-25,1,771.63,771.63,0.043699700633723415,0.07653927400438043,0.210035898034032,0.45778417117012027,-0.10012190312287117
2017-10-06,2017-10-10,3,807.8,810.65,0.06050700055511027,0.1578979830999816,0.26182692900758653,0.4470116573120335,-0.10012190312287117
2017-11-08,2018-01-30,59,859.7,1110.56,0.0015307592565914074,0.07438589540412055,-0.04825493444748585,-0.13536414061374435,-0.2583760265043634
2018-08-03,2018-08-28,18,959.6,995.19,0.02027753494307616,-0.094826113606447,-0.07451843366593325,-0.0012057998975070205,-0.14204489947441434
2018-09-19,2018-09-27,7,995.54,1015.37,-0.11281601780631689,-0.09291194342948883,-0.1156524222697144,-0.02911254025626131,-0.14204489947441434
2019-11-27,2019-12-10,10,978.17,960.3,-0.00015620118712900144,-0.023794647505987587,-0.2212225346245964,-0.10847651775486822,-0.33511185524378184
2020-02-03,2020-02-10,6,928.14,930.73,-0.10016868479580543,-0.18308209684871013,-0.1025109322789638,-0.09591396000988472,-0.2973972544338336
2020-02-28,2020-03-30,22,882.19,662.26,0.16134146709751462,0.32677498263521865,0.2459004016549391,0.3778576389937487,-0.12758888888888897
2020-04-17,2020-04-20,2,789.6,794.97,0.0852359208523592,0.09256953092569531,0.08356290174471992,0.1865856573204019,-0.12758888888888897
2020-06-22,2020-06-22,1,871.28,871.28,-0.011006794601046588,-0.02303507483243039,0.034053346800110296,0.2246235423744376,-0.10453565685480659
2020-07-27,2020-07-27,1,785.17,785.17,0.11328756829731157,0.1571761529350333,0.2242699033330362,0.48274895882420377,-0.052922458549656715
2020-12-21,2021-02-03,32,1081.08,1111.29,0.06338579488702334,0.1083155611946478,0.13560816708509926,0.22598961567187703,-0.1244552092207819
2021-03-01,2021-03-11,9,1186.17,1181.73,0.04225161415890266,0.06791737537339326,0.1438653499530349,0.1384241747268835,-0.1244552092207819
2021-04-20,2021-04-20,1,1268.28,1268.28,0.023417541867726488,0.08806414987226807,0.0019790582521210798,0.09896868199451214,-0.1244552092207819
2021-06-02,2021-06-08,5,1340.78,1319.88,0.0520274570415491,0.019448737764039103,0.01668333484862261,0.09352365366548465,-0.1244552092207819
2021-08-30,2021-10-12,30,1328.14,1394.8,0.05034413535990834,0.052466303412675774,0.07808287926584456,0.045712646974476634,-0.05863650339860127
2022-01-21,2022-01-27,5,1472.89,1470.76,0.0235048546329788,0.03667491636976794,-0.09620876281650304,-0.15026244934591637,-0.2460090509608448
2022-03-09,2022-03-10,2,1473.74,1479.08,0.0019742001784894825,-0.16242529139735518,-0.13183871054980123,-0.15570489763907291,-0.2460090509608448
2022-04-05,2022-06-10,46,1520.03,1284.08,-0.10029748925300597,-0.019648308516603374,-0.027490499034328097,-0.1892872718210703,-0.292486499906896
2022-08-23,2022-08-30,6,1270.81,1279.39,-0.11511736061716926,-0.196538975605562,-0.19324052868945352,-0.19713300869945838,-0.28786186753715315
2022-11-11,2022-11-18,6,954.53,969.33,0.0712554032166548,0.1330300310523762,0.08699823589489641,0.09741780405022027,-0.09917068219846936
2023-03-07,2023-03-09,3,1037.84,1055.95,0.013030920024622361,0.0011080070079074744,0.04884700980160028,0.17569960698896714,-0.056866624841143465
2023-09-21,2023-09-21,1,1212.74,1212.74,-0.08634167257614989,-0.0899450830351105,-0.09601398486072865,0.04545079736794366,-0.1521760641192671
2024-01-04,2024-01-04,1,1150.72,1150.72,0.018970731368186833,0.0736669215795327,0.09741726918798665,0.11564933259176846,-0.08939062766435701
2024-04-08,2024-04-09,2,1250.35,1262.82,-0.015473305775961732,0.029592499326903443,0.016613610807557633,0.01864081975261711,-0.08716029842260153
2024-05-10,2024-06-07,21,1244.7,1287.58,-0.0031221361002811143,-0.060035104614858836,-0.010577983503937571,-0.036634616878174486,-0.08716029842260153
2024-08-05,2024-08-06,2,1188.07,1210.28,0.05261592358793021,0.04928611560961116,0.02931553029051126,0.04377499421621445,-0.06736573285869052
2024-12-20,2024-12-20,1,1257.5,1257.5,-0.009073558648111435,0.036151093439363846,0.052731610337972024,0.09429025844930417,-0.1522682711448371
2025-04-08,2025-05-12,22,1132.79,1283.26,0.02569237722675055,0.11537802160123434,0.23264965790252945,0.28005236662874244,-0.08481195347652593
2025-06-13,2025-06-30,12,1315.49,1376.07,0.08527182483449258,0.2156212983351138,0.21104304286845887,0.2665416730253547,-0.10544754789597299
2025-07-17,2025-09-04,34,1490.01,1696.29,-0.029753167206079123,-0.046743186601347575,0.012244368592634558,-0.011531047167642305,-0.13144992196244742
2025-10-30,2025-10-30,1,1669.57,1669.57,0.01282965074839626,0.05107303078038061,0.08709428176117218,0.14722353659924403,-0.16383156500764606
2025-12-29,2026-03-06,43,1754.84,1767.84,-0.05252172142275313,0.08345212236401478,0.012834871934111813,,-0.1345529425189581
