t0,px0,trough_date,trough_px,lag_sessions,lag_calendar_days,peak_after_signal_pct,sessions_to_peak,dd_from_t0,truncated,window_sessions
2009-09-01,547.7,2009-12-07,,68,97,,68,,False,126
2009-10-01,569.0,2009-12-07,,47,67,,47,,False,126
2009-10-30,587.1,2009-12-07,,26,38,,26,,False,126
2009-11-30,504.1,2009-12-07,,5,7,,5,,False,126
2009-12-29,484.5,2010-01-22,477.6,17,24,0.10319917440660475,5,-0.014241486068111375,False,126
2010-01-28,481.8,2010-01-28,481.8,0,0,0.0,0,0.0,False,126
2010-03-05,513.4,2010-08-25,423.89,120,173,0.0703155434359175,41,-0.1743474873393066,False,126
2010-04-05,514.8,2010-08-25,423.89,99,142,0.06740481740481741,20,-0.17659285159285154,False,126
2010-05-07,542.0,2010-08-25,423.89,78,110,0.0,0,-0.21791512915129152,False,126
2010-06-07,496.9,2010-08-25,423.89,57,79,0.036023344737371676,10,-0.1469309720265647,False,126
2010-07-06,500.8,2010-08-25,423.89,36,50,0.01657348242811496,5,-0.1535742811501598,False,126
2010-08-04,486.7,2010-08-25,423.89,15,21,0.0,0,-0.12905280460242452,False,126
2010-09-06,466.0,2010-11-17,425.5,52,72,0.0,0,-0.08690987124463523,False,126
2010-10-05,451.0,2010-11-17,425.5,31,43,0.02461197339246124,2,-0.05654101995565408,False,126
2010-11-03,444.2,2010-11-17,425.5,10,14,0.02949122017109418,2,-0.04209815398469152,False,126
2010-12-02,457.4,2011-05-25,386.4,113,174,0.14254481853957168,42,-0.15522518583296896,False,126
2010-12-31,484.7,2011-05-25,386.4,92,145,0.07819269651330729,21,-0.20280585929440897,False,126
2011-02-09,522.6,2011-08-10,386.0,126,182,0.0,0,-0.26138538078836593,False,126
2011-03-10,482.5,2011-08-12,383.92,107,155,0.026113989637305712,1,-0.2043108808290155,False,126
2011-04-08,464.3,2011-08-12,383.92,86,126,0.048029291406418206,14,-0.17312082705147536,False,126
2011-05-13,479.7,2011-08-12,383.92,65,91,0.0,0,-0.19966645820304352,False,126
2011-06-13,442.7,2011-11-21,379.14,114,161,0.06318048339733462,67,-0.14357352608990293,False,126
2011-07-12,417.3,2012-01-06,336.73,126,178,0.12789360172537734,46,-0.19307452671938652,False,126
2011-08-10,386.0,2012-01-06,336.73,105,149,0.2193523316062176,25,-0.12764248704663206,False,126
2011-09-09,459.92,2012-01-06,336.73,84,119,0.023373630196555917,4,-0.26785093059662546,False,126
2011-10-10,419.66,2012-01-06,336.73,63,88,0.005742744126197241,14,-0.1976123528570748,False,126
2011-11-08,408.6,2012-01-06,336.73,42,59,0.0,0,-0.17589329417523247,False,126
2011-12-07,387.21,2012-01-06,336.73,21,30,0.0,0,-0.1303685338705094,False,126
2012-01-06,336.73,2012-01-06,336.73,0,0,0.0,0,0.0,False,126
2012-02-13,395.54,2012-02-13,395.54,0,0,0.0,0,0.0,False,126
2012-03-13,429.39,2012-08-28,385.78,117,168,0.13665898134562982,37,-0.10156268194415341,False,126
2012-04-12,465.26,2012-10-02,384.32,120,173,0.049026350857585,16,-0.1739672441215664,False,126
2012-05-15,455.65,2012-11-02,375.26,122,171,0.0,0,-0.17642927685723686,False,126
2012-06-13,427.61,2012-11-02,375.26,101,142,0.022614064217394203,48,-0.12242463927410496,False,126
2012-07-12,408.72,2012-11-02,375.26,80,113,0.06987668819729875,27,-0.08186533568212961,False,126
2012-08-10,425.56,2012-11-02,375.26,59,84,0.02754018234796507,6,-0.11819719898486702,False,126
2012-09-11,386.62,2012-11-02,375.26,38,52,0.039134033417826286,4,-0.029382856551652847,False,126
2012-10-10,394.66,2012-11-02,375.26,17,23,0.011554249227182956,4,-0.049156235747225496,False,126
2012-11-08,385.6,2012-11-28,375.79,14,20,0.007831950207468852,2,-0.025440871369294626,False,126
2012-12-07,383.8,2012-12-07,383.8,0,0,0.0,0,0.0,False,126
2013-01-09,448.77,2013-01-22,442.85,9,13,0.03672259732156791,5,-0.013191612630077731,False,126
2013-02-07,490.62,2013-03-05,462.12,13,26,0.008580979169214409,4,-0.05808976397211696,False,126
2013-03-15,481.35,2013-04-22,468.43,25,38,0.06053807001142619,17,-0.026841175859561694,False,126
2013-04-15,480.02,2013-04-22,468.43,4,7,0.008270488729636316,2,-0.02414482729886247,False,126
2013-05-20,492.27,2013-08-29,468.55,73,101,0.07252117740264508,14,-0.04818493915940436,False,126
2013-06-18,498.88,2013-08-29,468.55,52,72,0.024334509300833806,44,-0.060796183450930075,False,126
2013-07-17,497.5,2013-08-29,468.55,31,43,0.02717587939698496,23,-0.058190954773869374,False,126
2013-08-15,508.22,2013-08-29,468.55,10,14,0.00550942505214258,2,-0.07805674707803711,False,126
2013-09-16,475.57,2013-09-18,474.26,2,2,0.004541918119309596,1,-0.0027545892297663466,False,126
2013-10-15,495.72,2013-10-15,495.72,0,0,0.0,0,0.0,False,126
2013-11-13,496.12,2013-11-13,496.12,0,0,0.0,0,0.0,False,126
2013-12-12,506.92,2013-12-30,500.35,12,18,0.0034719482364080623,7,-0.012960624950682509,False,126
2014-01-13,521.11,2014-05-13,513.91,75,120,0.16587668630423513,43,-0.013816660589894725,False,126
2014-02-20,571.04,2014-05-13,513.91,54,82,0.06393597646399551,22,-0.10004553096105351,False,126
2014-03-21,601.75,2014-05-13,513.91,33,53,0.009638554216867323,1,-0.14597424179476537,False,126
2014-04-22,569.87,2014-05-13,513.91,12,21,0.015880814922701658,3,-0.09819783459385478,False,126
2014-05-26,544.06,2014-05-26,544.06,0,0,0.0,0,0.0,False,126
2014-06-24,569.74,2014-12-17,518.22,124,176,0.12463579878541098,49,-0.09042721241267948,False,126
2014-07-23,597.5,2014-12-17,518.22,103,147,0.07238493723849371,28,-0.13268619246861924,False,126
2014-08-21,612.94,2014-12-17,518.22,82,118,0.04537148823702153,7,-0.15453388586158523,False,126
