t0,px0,trough_date,trough_px,lag_sessions,lag_calendar_days,peak_after_signal_pct,sessions_to_peak,dd_from_t0,truncated,window_sessions
2016-09-26,677.04,2016-12-06,651.49,51,71,0.01750265863169087,17,-0.037737799834573926,False,126
2017-10-09,808.96,2017-10-09,808.96,0,0,0.0,0,0.0,False,126
2017-12-28,976.72,2018-07-05,899.4,126,189,0.23303505610615116,66,-0.07916291260545505,False,126
2018-02-27,1119.61,2018-07-11,893.16,93,134,0.07566920624145901,29,-0.2022579291003117,False,126
2019-10-30,1000.89,2020-03-24,659.21,98,146,0.023998641209323823,5,-0.3413761752040684,False,126
2021-04-20,1268.28,2021-04-26,1215.77,3,6,0.0,0,-0.041402529409909516,False,126
2021-05-12,1269.09,2021-07-19,1243.51,48,68,0.11912472716670996,37,-0.02015617489697341,False,126
2021-06-25,1390.12,2021-07-19,1243.51,16,24,0.021688775069778288,5,-0.10546571519005543,False,126
2022-01-06,1528.57,2022-07-06,1149.61,121,181,0.0,0,-0.24791798870840065,False,126
2025-05-27,1339.81,2025-06-09,1310.57,9,13,0.005553026175353359,5,-0.02182398996872692,False,126
2025-10-16,1766.85,2025-11-10,1580.54,17,25,0.0,0,-0.10544754789597299,False,126
2025-12-23,1772.15,2026-03-23,1591.17,57,90,0.0737973647828909,13,-0.10212453799057641,False,126
2026-05-07,1909.01,2026-07-22,1668.53,54,76,0.009916134540940202,7,-0.12597105305891532,True,82
