start,end,span,vni_start,vni_end,1M,2M,3M,6M,maxdd_6m,lag_t0,lag_px0,lag_trough_date,lag_trough_px,lag_lag_sessions,lag_lag_calendar_days,lag_peak_after_signal_pct,lag_dd_from_t0,lag_truncated
2011-02-08,2011-02-09,2,520.7,522.6,-0.07673172598545741,-0.11155759663222353,-0.08208955223880599,-0.26138538078836593,-0.26138538078836593,2011-02-08,520.7,2011-05-25,386.4,72,106,0.003648934127136405,-0.2579220280391782,False
2013-04-01,2013-04-02,2,505.81,509.43,-0.04681703079912847,0.010227116581277063,-0.04359774650099124,-0.029523192587794234,-0.11254427334886452,2013-04-01,505.81,2013-04-22,468.43,14,21,0.009252486111385627,-0.07390126727427293,False
2014-01-08,2014-01-08,1,513.9,513.9,0.10955438801323236,0.16725043782837146,0.1292274761626775,0.16026464292663944,-0.15412723232655745,2014-01-08,513.9,2014-01-08,513.9,0,0,0.0,0.0,False
2014-08-05,2014-08-05,1,607.73,607.73,0.05087785694305036,0.011008177973771183,-0.015368667006730008,-0.08270119954585098,-0.19122902848224732,2014-08-05,607.73,2014-12-17,518.22,94,134,0.05433333881822522,-0.14728580126042812,False
2016-06-23,2016-07-04,8,632.27,647.96,-0.018380764244706582,0.04115994814494717,0.05829063522439659,0.02398296191122906,-0.07069854248133667,2016-06-23,632.27,2016-06-24,620.77,1,1,0.0,-0.01818843215714805,False
2016-09-26,2016-09-29,4,677.04,688.55,-0.00914966233389003,-0.03378113426766394,-0.03585796238472139,0.04913223440563508,-0.05429023501574992,2016-09-26,677.04,2016-12-06,651.49,51,71,0.01750265863169087,-0.037737799834573926,False
2017-09-06,2017-09-18,9,793.55,807.87,0.02527634396623224,0.09249012836223658,0.15841657692450517,0.44746060628566453,-0.10012190312287117,2017-09-06,793.55,2017-09-06,793.55,0,0,0.0,0.0,False
2017-10-09,2017-11-09,24,808.96,860.4,0.0927010692701069,0.20125523012552304,0.20937935843793576,0.1978614597861461,-0.14769207775277537,2017-10-09,808.96,2017-10-09,808.96,0,0,0.0,0.0,False
2017-12-28,2017-12-29,2,976.72,984.24,0.1283426806469965,0.13006990165000398,0.21227546126960917,-0.06779850442981383,-0.2531947223767572,2017-12-28,976.72,2018-07-05,899.4,126,189,0.23303505610615116,-0.07916291260545505,False
2024-06-10,2024-06-10,1,1290.67,1290.67,0.0023553658177535297,-0.05794664786506232,-0.017773714427390508,-0.017928672704874304,-0.08716029842260153,2024-06-10,1290.67,2024-08-05,1188.07,40,56,0.00839873863962115,-0.07949359634918307,False
2026-05-18,2026-05-18,1,1927.94,1927.94,-0.06224260091081668,-0.07563513387346088,-0.08418830461528881,,-0.1345529425189581,2026-05-18,1927.94,2026-07-22,1668.53,47,65,0.0,-0.1345529425189581,True
