time,vnindex,n_uni,n_pe,n_dy_null,n_dy_pos,ey_med,ey_p75,ey_agg,dy_med_all,dy_p75_all,dy_med_payers,dy_ew,dy_agg,n_dy_ge7,n_dy_ge10,top1_w,mcap_tn_vnd,deposit,refi,dd52,state,deposit_src,deposit_use,margin_rate,ey_med_pct,ey_p75_pct,ey_agg_pct,dy_med_all_pct,dy_p75_all_pct,dy_med_payers_pct,dy_ew_pct,dy_agg_pct,spread1_ey_dep,spread1m_eymed_dep,spread2_dy_dep,spread2p_dypay_dep,spread3_ey_mgn,spread3m_eymed_mgn,fwd6m,fwd12m,fwd24m,n,n_dy04,n_dy05,n_dy06,n_dy07,n_dy08,n_dy10,n_dy12,n_dy15,n_ey10,n_ey125,n_ey15,n_ey20,breadth_dy_ge_dep_pct
2008-01-31,844.11,130,52,4,17,0.046324,0.073892,0.039252,0.0,0.0,0.020548,0.00265,0.000823,0,0,0.1124,221.4,,6.5,-0.2789513697284461,,refi_proxy,7.0,12.0,4.6324,7.3892,3.9252,0.0,0.0,2.0548,0.265,0.0823,-3.0748,-2.3676000000000004,-6.9177,-4.9452,-8.0748,-7.3676,-0.4652829607515608,-0.6407932615417422,-0.428984374074469,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0
2008-02-29,663.3,143,125,4,27,0.069878,0.089411,0.057986,0.0,0.0,0.023377,0.005399,0.001249,1,0,0.0899,236.8,,7.5,-0.4334013855313624,,refi_proxy,8.0,13.0,6.9878,8.9411,5.7986,0.0,0.0,2.3377,0.5399,0.1248999999999999,-2.2014,-1.0122,-7.8751,-5.6623,-7.2014,-6.0122,-0.174295190713101,-0.629519071310116,-0.2508668777325493,151.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,5.0,2.0,1.0,0.0
2008-03-31,516.85,156,125,5,62,0.097859,0.123165,0.07635,0.0,0.029412,0.033175,0.015541,0.006941,7,0,0.1027,186.1,,7.5,-0.5357036983803304,,refi_proxy,8.0,13.0,9.7859,12.3165,7.635,0.0,2.9412000000000003,3.3175000000000003,1.5541,0.6941,-0.3650000000000002,1.7858999999999998,-7.3059,-4.682499999999999,-5.365,-3.2141,-0.116378059398278,-0.4569023894747025,-0.0341491728741415,165.0,26.0,19.0,12.0,7.0,3.0,0.0,0.0,0.0,60.0,30.0,18.0,4.0,1.8181818181818181
2008-04-29,522.36,163,125,6,87,0.102551,0.129528,0.074627,0.011111,0.036649,0.033818,0.020423,0.011918,10,0,0.1213,193.7,,7.5,-0.5307539593420709,,refi_proxy,8.0,13.0,10.2551,12.9528,7.4627,1.1111,3.6649,3.3818,2.0423,1.1918,-0.5373000000000001,2.2551000000000005,-6.8082,-4.6182,-5.5373,-2.7448999999999995,-0.3651504709395818,-0.3843326441534573,0.0383643464277509,173.0,34.0,24.0,18.0,11.0,4.0,0.0,0.0,0.0,65.0,41.0,21.0,6.0,2.3121387283236996
2008-05-30,414.1,147,119,6,100,0.13888,0.189614,0.092653,0.029126,0.0625,0.047619,0.03701,0.021873,29,13,0.119,159.1,,7.5,-0.625790710283752,,refi_proxy,8.0,13.0,13.888,18.9614,9.2653,2.9126,6.25,4.7619,3.701,2.1873,1.2653,5.888,-5.8127,-3.2381,-3.7347,0.8879999999999999,-0.2399420429847862,-0.0060371890847621,0.23883120019319,154.0,59.0,49.0,40.0,30.0,26.0,14.0,4.0,0.0,84.0,71.0,51.0,25.0,16.883116883116884
2008-06-30,399.4,138,111,6,102,0.151037,0.195053,0.098566,0.033333,0.074074,0.047945,0.044107,0.023645,38,18,0.122,152.3,,15.0,-0.6390746430507862,,refi_proxy,15.5,20.5,15.1037,19.5053,9.8566,3.3333000000000004,7.4074,4.7945,4.4107,2.3645,-5.6434,-0.3963000000000001,-13.1355,-10.7055,-10.6434,-5.3963,-0.2080120180270405,0.1224336504757137,0.2696544817225841,144.0,61.0,53.0,46.0,39.0,30.0,19.0,7.0,1.0,86.0,72.0,58.0,25.0,0.6944444444444444
2008-07-31,451.36,142,114,6,109,0.140407,0.173901,0.094978,0.034483,0.066282,0.047431,0.043679,0.021967,33,19,0.1221,178.9,,15.0,-0.5921200072293511,,refi_proxy,15.5,20.5,14.0407,17.3901,9.497800000000002,3.4483,6.6282,4.7431,4.367900000000001,2.1967,-6.002199999999998,-1.459299999999999,-13.3033,-10.7569,-11.002199999999998,-6.459299999999999,-0.3282302375044311,0.0342077277561148,0.0942484934420417,149.0,66.0,51.0,41.0,34.0,28.0,19.0,7.0,1.0,84.0,68.0,45.0,15.0,0.6711409395973155
2008-08-29,547.69,151,127,6,120,0.096637,0.133664,0.069513,0.027473,0.050505,0.035912,0.0355,0.0191,23,8,0.1069,231.2,,15.0,-0.50506958250497,,refi_proxy,15.5,20.5,9.6637,13.3664,6.951300000000001,2.7473,5.0505,3.5912,3.55,1.91,-8.5487,-5.8363,-13.59,-11.9088,-13.5487,-10.8363,-0.5513155252058647,-0.0204312658620753,-0.2165275977286421,158.0,54.0,41.0,29.0,23.0,15.0,8.0,4.0,1.0,57.0,36.0,19.0,5.0,0.6329113924050633
2008-09-30,456.7,162,135,6,130,0.122836,0.156528,0.084898,0.037037,0.063636,0.046036,0.043692,0.024733,35,14,0.1169,195.1,,15.0,-0.5872944153262245,,refi_proxy,15.5,20.5,12.2836,15.6528,8.4898,3.7037,6.3636,4.6036,4.3692,2.4733,-7.010199999999999,-3.2164,-13.0267,-10.8964,-12.0102,-8.2164,-0.3816947668053426,0.2719509524852199,-0.0048171666301729,169.0,79.0,58.0,47.0,36.0,28.0,14.0,8.0,1.0,89.0,63.0,40.0,17.0,0.591715976331361
2008-10-31,347.05,164,133,7,132,0.159209,0.200688,0.107473,0.04918,0.08,0.056338,0.055097,0.035854,52,27,0.1264,141.3,,13.0,-0.682328280609256,,refi_proxy,13.5,18.5,15.9209,20.0688,10.7473,4.918,8.0,5.6338,5.5097,3.5854,-2.752700000000001,2.4209,-9.9146,-7.8662,-7.752700000000001,-2.5791000000000004,-0.073332372856937,0.6916870767900878,0.3041348508860395,171.0,99.0,84.0,62.0,54.0,44.0,27.0,16.0,4.0,103.0,91.0,73.0,34.0,5.847953216374269
