event,date,panel_asof,dd52,ey_med,deposit,margin,sp_ey_mgn,sp_ey_dep,dy_payer,sp_dy_dep,dt5g
0,2014-05-08,2014-05-08,-0.13,10.06,7.0,12.0,-1.94,3.06,7.08,0.08,1
2,2015-08-24,2015-08-24,-0.18,11.15,5.5,10.5,0.65,5.65,6.67,1.17,3
3,2016-01-18,2016-01-18,-0.18,11.58,5.5,10.5,1.08,6.08,6.73,1.23,3
4,2018-05-28,2018-05-28,-0.23,10.23,6.8,11.8,-1.57,3.43,6.1,-0.7,1
5,2018-07-05,2018-07-05,-0.25,11.02,6.8,11.8,-0.78,4.22,6.48,-0.32,3
6,2020-02-03,2020-02-03,-0.09,12.11,6.5,11.5,0.61,5.61,6.25,-0.25,3
7,2020-03-11,2020-03-11,-0.21,12.32,6.5,11.5,0.82,5.82,6.74,0.24,2
8,2020-07-27,2020-07-27,-0.23,12.0,6.5,11.5,0.5,5.5,6.86,0.36,3
10,2022-06-15,2022-06-15,-0.21,8.12,5.5,10.5,-2.38,2.62,4.59,-0.91,2
12,2023-10-30,2023-10-30,-0.16,7.09,5.5,10.5,-3.41,1.59,5.49,-0.01,1
13,2024-04-17,2024-04-17,-0.08,6.5,5.0,10.0,-3.5,1.5,4.58,-0.42,4
14,2024-08-05,2024-08-05,-0.09,6.68,4.7,9.7,-3.02,1.98,4.61,-0.09,1
15,2025-04-03,2025-04-03,-0.08,7.17,4.8,9.8,-2.63,2.37,4.48,-0.32,4
16,2025-10-20,2025-10-20,-0.07,7.16,5.2,10.2,-3.04,1.96,4.77,-0.43,3
17,2026-03-09,2026-03-09,-0.13,8.16,6.0,11.0,-2.84,2.16,4.29,-1.71,3
