start,end,n_sessions,min_dd52_pct,cpi_yoy_at_start,deposit_at_start,bobby_label,verdict_th6.0_9.0,verdict_th5.5_9.0
2001-07-11,2003-11-13,522,-68.5,,,chua_phan_loai_(truoc_WTO_hoac_khac),FAIL_CLOSED_NaN_(coi_nhu_Loai1_block),FAIL_CLOSED_NaN_(coi_nhu_Loai1_block)
2004-08-09,2004-08-18,6,-23.6,,,chua_phan_loai_(truoc_WTO_hoac_khac),FAIL_CLOSED_NaN_(coi_nhu_Loai1_block),FAIL_CLOSED_NaN_(coi_nhu_Loai1_block)
2004-11-23,2004-11-26,4,-20.9,,,chua_phan_loai_(truoc_WTO_hoac_khac),FAIL_CLOSED_NaN_(coi_nhu_Loai1_block),FAIL_CLOSED_NaN_(coi_nhu_Loai1_block)
2006-06-20,2006-09-14,48,-36.8,,,chua_phan_loai_(truoc_WTO_hoac_khac),FAIL_CLOSED_NaN_(coi_nhu_Loai1_block),FAIL_CLOSED_NaN_(coi_nhu_Loai1_block)
2007-04-23,2007-05-02,4,-22.6,6.73,7.5,Loai1_MEGA_2007_2012,BLOCKED,BLOCKED
2007-07-30,2007-09-18,35,-24.5,7.82,7.5,Loai1_MEGA_2007_2012,BLOCKED,BLOCKED
2007-12-13,2009-07-23,377,-71.0,9.37,8.5,Loai1_MEGA_2007_2012,BLOCKED,BLOCKED
2009-11-26,2010-03-31,47,-30.3,-0.02,9.0,Loai1_MEGA_2007_2012,BLOCKED,BLOCKED
2010-05-19,2010-11-24,92,-32.1,9.23,10.0,Loai1_MEGA_2007_2012,BLOCKED,BLOCKED
2011-05-23,2011-05-30,6,-26.1,17.5,14.0,Loai1_MEGA_2007_2012,BLOCKED,BLOCKED
2011-07-12,2012-02-17,121,-35.6,20.25,14.0,Loai1_MEGA_2007_2012,BLOCKED,BLOCKED
2012-08-27,2012-12-11,44,-23.1,6.88360655737705,12.0,Loai1_MEGA_2007_2012,BLOCKED,BLOCKED
2018-05-28,2019-02-18,118,-27.1,3.996153846153846,6.8,Loai2_2018_ambiguous,PASS,PASS
2020-03-11,2020-05-08,40,-35.7,5.747368421052632,6.5,Loai2_2020_COVID,PASS,BLOCKED
2020-07-27,2020-08-03,6,-23.4,3.2,5.7,Loai2_2020_COVID,PASS,PASS
2022-05-13,2022-07-29,35,-24.8,2.7940397350993376,5.5,Loai2_2022_SCB,PASS,PASS
2022-09-19,2023-05-09,158,-40.3,3.783333333333333,5.5,Loai2_2022_SCB,PASS,PASS
