group,subset,entry,horizon,n,med_fwd,med_exc,mean_fwd,p_tail
RATING_OK,BASE_FORMED,a,60,45,-0.04224137931034477,-0.09146241431458524,-0.05406567080970171,0.4666666666666667
RATING_OK,BASE_FORMED,a,120,42,-0.09136166197428675,-0.12940551679501394,-0.06580906344869687,0.4666666666666667
RATING_OK,BASE_FORMED,a,250,41,-0.12676056338028174,-0.2279473203352298,-0.12412574334720991,0.4666666666666667
RATING_OK,BASE_FORMED,b,60,45,-0.0689001264222503,-0.059447460666163576,-0.06368026813762047,0.4444444444444444
RATING_OK,BASE_FORMED,b,120,42,-0.09136850616535275,-0.08803560501301705,-0.06291373807790797,0.4444444444444444
RATING_OK,BASE_FORMED,b,250,41,-0.13551401869158874,-0.20121946384371858,-0.11541177831842946,0.4444444444444444
RATING_OK,NO_BASE,a,60,837,-0.043749999999999956,-0.07216371258415721,-0.00645841839162595,0.49176470588235294
RATING_OK,NO_BASE,a,120,812,-0.08569799441371911,-0.10259150602095535,0.016267146020605246,0.49176470588235294
RATING_OK,NO_BASE,a,250,784,-0.098312491174117,-0.15227636986170706,0.11546831712708255,0.49176470588235294
RATING_OK,NO_BASE,b,60,833,-0.038461538461538436,-0.0739834889158042,0.009596142854654108,0.46705882352941175
RATING_OK,NO_BASE,b,120,805,-0.0951760104302477,-0.1134110122010068,0.014160631977601862,0.46705882352941175
RATING_OK,NO_BASE,b,250,780,-0.07831776190048395,-0.14305917933098744,0.12566312651530814,0.46705882352941175
RATING_BAD,BASE_FORMED,a,60,3,0.17647058823529416,0.16787491955925016,0.28435184140526776,0.0
RATING_BAD,BASE_FORMED,a,120,3,0.17647058823529416,0.030964894424974743,0.2614396025374019,0.0
RATING_BAD,BASE_FORMED,a,250,3,0.1470588235294117,0.057250830673863495,0.5524668112022165,0.0
RATING_BAD,BASE_FORMED,b,60,3,0.21875,0.19838771631893892,0.22153933564032846,0.0
RATING_BAD,BASE_FORMED,b,120,3,0.28125,0.10541825384865966,0.26221557359039843,0.0
RATING_BAD,BASE_FORMED,b,250,3,0.21875,-0.03238213650331567,0.4137614663151246,0.0
RATING_BAD,NO_BASE,a,60,100,-0.059714795008912636,-0.08258761481040766,-0.051978078874361656,0.45098039215686275
RATING_BAD,NO_BASE,a,120,99,-0.03888888888888886,-0.12010912243471594,0.030947319093064602,0.45098039215686275
RATING_BAD,NO_BASE,a,250,94,-0.10956521739130431,-0.2549845809496803,-0.0014919219090783126,0.45098039215686275
RATING_BAD,NO_BASE,b,60,100,0.0,-0.05057464002854167,0.043315763529371255,0.43137254901960786
RATING_BAD,NO_BASE,b,120,99,-0.04146341463414638,-0.13234345409293347,0.044782942349563426,0.43137254901960786
RATING_BAD,NO_BASE,b,250,93,-0.1009174311926605,-0.18854307277732063,0.015809077308657136,0.43137254901960786
RATING_NA,BASE_FORMED,a,60,8,-0.0015013157598794402,-0.0586532950077458,0.005640972284117279,0.375
RATING_NA,BASE_FORMED,a,120,8,-0.05715809603820304,-0.08969832679561218,0.017811087635329695,0.375
RATING_NA,BASE_FORMED,a,250,8,0.01831041312562337,0.06065654719712982,0.21316229021846533,0.375
RATING_NA,BASE_FORMED,b,60,8,0.07204184704184702,-0.02484159819664783,0.18746856520746863,0.25
RATING_NA,BASE_FORMED,b,120,8,0.04325396825396821,0.04357642331314593,0.1367620119153411,0.25
RATING_NA,BASE_FORMED,b,250,8,0.23435300765397848,0.16508672469632774,0.30635865234528237,0.25
RATING_NA,NO_BASE,a,60,606,-0.11120926580290541,-0.059518129552475485,-0.08296086306671464,0.6452145214521452
RATING_NA,NO_BASE,a,120,606,-0.14788813886210223,-0.05668100484877431,-0.08170053883393742,0.6452145214521452
RATING_NA,NO_BASE,a,250,606,-0.11459748904145528,-0.12854104239158648,-0.0012376822877572264,0.6452145214521452
RATING_NA,NO_BASE,b,60,606,-0.06824420095844491,-0.04044546999594373,0.0029903736781816664,0.5577557755775577
RATING_NA,NO_BASE,b,120,606,-0.018768548722993383,-0.021511781407408337,0.0106887425766169,0.5577557755775577
RATING_NA,NO_BASE,b,250,606,0.0,-0.08875546018334335,0.12540431233716356,0.5577557755775577
