ticker,t_peak,t_s,dd_shock,speed,idx_s,t_b,t_conf,base_formed,base_reason,vol_ratio,turn_ratio,higher_low,idx_b,idx_conf,entry_a,entry_px_a,idx_entry_a,fwd60_a,dd60_a,fwd120_a,dd120_a,fwd250_a,dd250_a,truncated_a,n_fwd_a,entry_b,entry_px_b,idx_entry_b,fwd60_b,dd60_b,fwd120_b,dd120_b,fwd250_b,dd250_b,truncated_b,n_fwd_b,rating_now,t_prev,rating_prev,rating_delta,rating_group,vni60_a,exc60_a,vni120_a,exc120_a,vni250_a,exc250_a,vni60_b,exc60_b,vni120_b,exc120_b,vni250_b,exc250_b,period,blk,ym
ITA,2008-02-12,2008-02-28,-0.27434754933163585,12,185,2008-03-05,2008-04-02,False,vol+turn+hl,0.8849101602214366,1.334719969769008,False,189.0,209.0,2008-02-29,23940.0,186,-0.227234753550543,-0.28028404344193814,-0.2222222222222222,-0.3015873015873016,-0.8078529657477026,-0.8224728487886382,False,4469,2008-04-03,18500.0,210.0,0.3145945945945945,-0.09621621621621623,-0.21945945945945944,-0.2810810810810811,-0.4897297297297297,-0.7702702702702703,False,4445.0,,2007-10-31,,,RATING_NA,-0.37569727121965923,0.14846251766911622,-0.2070254786672696,-0.015196743554952596,-0.6359716568671792,-0.17188130888052344,-0.18740434215747404,0.5019989367520685,-0.0858227991610453,-0.13363666029841414,-0.39081306804225013,-0.09891666168747959,IS,9,2008-02
PAC,2008-02-01,2008-03-03,-0.2674650698602794,15,187,2008-03-04,2008-04-01,False,vol+turn+hl,1.1429693694227783,0.638618330524875,False,188.0,208.0,2008-03-04,3490.0,188,-0.26361031518624645,-0.26361031518624645,-0.06017191977077363,-0.3753581661891118,-0.35243553008595985,-0.4240687679083095,False,4610,2008-04-02,3390.0,209.0,-0.23008849557522126,-0.3569321533923304,-0.06489675516224191,-0.3569321533923304,-0.23893805309734517,-0.4070796460176991,False,4589.0,,2007-11-04,,,RATING_NA,-0.3410852713178295,0.07747495613158306,-0.09957627118644063,0.039404351415667005,-0.5948626987255288,0.24242716863956892,-0.2015196815905239,-0.02856881398469735,-0.10413056312010815,0.03923380795786624,-0.4090761935594447,0.17013814046209952,IS,9,2008-03
TSC,2008-02-13,2008-03-03,-0.25712056184159193,13,99,2008-03-05,2008-04-02,False,vol+turn+hl,0.8914593437534425,0.5258068731646519,False,101.0,121.0,2008-03-04,18190.0,100,-0.4029686641011545,-0.4029686641011545,0.16767454645409563,-0.4562946673996702,-0.6443100604727873,-0.6981858163826278,False,4610,2008-04-03,13550.0,122.0,-0.04501845018450179,-0.2701107011070111,0.15276752767527668,-0.2701107011070111,-0.33357933579335797,-0.5948339483394833,False,4588.0,,2007-11-04,,,RATING_NA,-0.3410852713178295,-0.061883392783325,-0.09957627118644063,0.26725081764053626,-0.5948626987255288,-0.0494473617472585,-0.18740434215747404,0.14238589197297224,-0.0858227991610453,0.23859032683632198,-0.39081306804225013,0.057233732248892166,IS,9,2008-03
HJS,2008-02-12,2008-03-07,-0.25142857142857145,18,191,2008-03-25,2008-04-24,True,ok,0.42015641560605405,0.49973904981378875,True,203.0,223.0,2008-03-10,4160.0,192,-0.48317307692307687,-0.4903846153846154,-0.4158653846153846,-0.5216346153846154,-0.4783653846153846,-0.5600961538461539,False,4584,2008-04-25,2970.0,224.0,-0.18181818181818177,-0.2861952861952862,-0.22558922558922556,-0.32996632996633,-0.202020202020202,-0.38383838383838387,False,4552.0,,2007-11-08,,,RATING_NA,-0.42408361056677146,-0.05908946635630541,-0.16801105895577928,-0.2478543256596053,-0.6113415060231813,0.1329761214077967,-0.13625261688764834,-0.04556556493053343,-0.25445840117856866,0.0288691755893431,-0.3919128479491355,0.1898926459289335,IS,9,2008-03
AGF,2008-07-04,2008-07-24,-0.25038520801232667,14,285,2008-08-05,2008-09-04,False,vol+turn,1.8716055265887501,0.6177506021281224,True,293.0,313.0,2008-07-25,9460.0,286,-0.15010570824524327,-0.16596194503171247,-0.40909090909090906,-0.41331923890063427,-0.15010570824524327,-0.5380549682875264,False,4465,2008-09-05,12260.0,314.0,-0.5,-0.5032626427406199,-0.5815660685154975,-0.6435562805872757,-0.056280587275693295,-0.6435562805872757,False,4437.0,,2008-03-26,,,RATING_NA,-0.13659013645042606,-0.013515571794817216,-0.284846085782145,-0.12424482330876407,0.0587714804638384,-0.20887718870908167,-0.4365153251217415,-0.06348467487825848,-0.5566098539100544,-0.024956214605443172,-0.05381695789172147,-0.0024636293839718215,IS,14,2008-07
SCD,2008-07-04,2008-07-29,-0.2513247539742619,17,288,2008-07-30,2008-08-27,False,vol+turn,1.3054784385038118,1.4333420436486743,True,289.0,309.0,2008-07-30,9610.0,289,-0.01664932362122784,-0.01664932362122784,-0.12591050988553587,-0.25286160249739853,-0.11446409989594175,-0.3215400624349636,False,4460,2008-08-28,14700.0,310.0,-0.3945578231292517,-0.42108843537414964,-0.5489795918367346,-0.5489795918367346,-0.31564625850340133,-0.5564625850340136,False,4439.0,,2008-03-31,,,RATING_NA,-0.19595333169741447,0.17930400807618663,-0.31710799295067704,0.19119748306514117,0.021705668458741334,-0.13616976835468309,-0.4195073855648269,0.024949562435575223,-0.5700122331976119,0.021032641360877236,-0.020431265862075332,-0.295214992641326,IS,14,2008-07
SVC,2008-07-17,2008-07-30,-0.26865671641791045,9,289,2008-08-05,2008-09-04,False,vol+turn,3.6505786176717185,4.659742449385994,True,293.0,313.0,2008-07-31,2840.0,290,-0.3838028169014085,-0.3838028169014085,-0.47887323943661975,-0.5,0.8309859154929577,-0.5246478873239437,False,4489,2008-09-05,3510.0,314.0,-0.4786324786324786,-0.5327635327635327,-0.586894586894587,-0.6153846153846154,0.8974358974358974,-0.6153846153846154,False,4465.0,,2008-04-01,,,RATING_NA,-0.23539968096419706,-0.14840313593721144,-0.32430875576036866,-0.15456448367625109,0.0011963842609004072,0.8297895312320573,-0.4365153251217415,-0.04211715351073708,-0.5566098539100544,-0.030284732984532603,-0.05381695789172147,0.9512528553276188,IS,14,2008-07
HHC,2008-07-17,2008-07-30,-0.2522432701894317,9,168,2008-08-05,2008-09-04,False,vol+turn,2.1777166305070947,2.2934216385155906,True,172.0,192.0,2008-07-31,7250.0,169,-0.1724137931034483,-0.1724137931034483,-0.21241379310344832,-0.2510344827586207,0.19172413793103438,-0.3503448275862069,False,4489,2008-09-05,9280.0,193.0,-0.31896551724137934,-0.35775862068965514,-0.4612068965517241,-0.4730603448275862,-0.022629310344827624,-0.4924568965517241,False,4465.0,,2008-04-01,,,RATING_NA,-0.23539968096419706,0.06298588786074877,-0.32430875576036866,0.11189496265692034,0.0011963842609004072,0.19052775367013397,-0.4365153251217415,0.11754980788036218,-0.5566098539100544,0.09540295735833026,-0.05381695789172147,0.03118764754689385,IS,14,2008-07
HNM,2008-07-17,2008-07-31,-0.27048371174728525,10,290,2008-08-05,2008-09-04,False,vol+turn,5.783660146147447,2.264983246707921,True,293.0,313.0,2008-08-01,14220.0,291,-0.3136427566807314,-0.3987341772151899,-0.32067510548523204,-0.40506329113924056,-0.026019690576652654,-0.4704641350210971,False,4502,2008-09-05,16630.0,314.0,-0.4131088394467829,-0.48586891160553214,-0.48586891160553214,-0.5472038484666266,-0.044497895369813634,-0.5472038484666266,False,4479.0,,2008-04-02,,,RATING_NA,-0.2704714640198512,-0.043171292660880156,-0.3290056717476072,0.00833056626237516,0.0342077277561148,-0.06022741833276746,-0.4365153251217415,0.02340648567495862,-0.5566098539100544,0.07074094230452221,-0.05381695789172147,0.00931906252190784,IS,14,2008-07
EBS,2008-07-17,2008-08-01,-0.26108374384236455,11,291,2008-08-07,2008-09-08,False,vol+turn,3.1348805826786803,6.88834210678068,True,295.0,315.0,2008-08-04,2880.0,292,-0.20138888888888884,-0.21875,-0.28125,-0.3368055555555556,0.21527777777777768,-0.3784722222222222,False,4479,2008-09-09,5130.0,316.0,-0.5769980506822612,-0.5867446393762183,-0.5964912280701755,-0.6510721247563354,-0.2514619883040936,-0.6510721247563354,False,4455.0,,2008-04-03,,,RATING_NA,-0.2653785758175736,0.06398968692868479,-0.3171753032475365,0.03592530324753651,0.06483694044286636,0.15044083733491131,-0.44956674305356625,-0.12743130762869492,-0.5625179031796046,-0.03397332489057092,-0.03716700085935265,-0.21429498744474096,IS,14,2008-08
