group,horizon,kind,label,median,ci_lo,ci_hi,p_one_sided,n,bh_pass,bh_threshold
RATING_OK,60,exc,"(b) excess vs VNINDEX, H=60",-0.059447460666163576,-0.13144886179743454,-0.028167136496736078,0.973,45,False,
RATING_OK,60,paired,"(b)-(a) paired, H=60",-0.036276193214044294,-0.07939409463487335,-0.010901401119509657,0.9415,45,False,
RATING_OK,120,exc,"(b) excess vs VNINDEX, H=120",-0.08803560501301705,-0.15184332653104549,-0.019497541439604638,0.9907,42,False,
RATING_OK,120,paired,"(b)-(a) paired, H=120",0.004340391590378023,-0.027437924816201997,0.04241986351290605,0.301,42,False,
RATING_OK,250,exc,"(b) excess vs VNINDEX, H=250",-0.20121946384371858,-0.3214886166344033,-0.1162556637488446,0.9984,41,False,
RATING_OK,250,paired,"(b)-(a) paired, H=250",-0.020564761954647404,-0.03487096602582451,0.020002795368000148,0.9905,41,False,
RATING_BAD,60,exc,"(b) excess vs VNINDEX, H=60",0.19838771631893892,-0.29572195584493677,0.3981790263974143,0.2644,3,False,
RATING_BAD,60,paired,"(b)-(a) paired, H=60",0.04227941176470584,-0.30030407645350843,0.06958714739398464,0.7367,3,False,
RATING_BAD,120,exc,"(b) excess vs VNINDEX, H=120",0.10541825384865966,-0.011357806996308062,0.2764545932395277,0.2606,3,False,
RATING_BAD,120,paired,"(b)-(a) paired, H=120",-0.04931813936110596,-0.05313335924461016,0.10477941176470584,1.0,3,False,
RATING_BAD,250,exc,"(b) excess vs VNINDEX, H=250",-0.03238213650331567,-0.4792125048813458,0.7304249624322776,0.2554,3,False,
RATING_BAD,250,paired,"(b)-(a) paired, H=250",-0.12917989912198746,-0.3586273120098764,0.07169117647058831,0.7446,3,False,
