ticker,t0,subtype,n_components,ratio_total,issue_volume,total_value,c_m500,d_m500,c_m250,d_m250,c_0,d_0,c_250,d_250,c_500,d_500,c_750,d_750,icb,adv60,rvol60,mom6m,n_sessions_fwd
AAA,2012-08-31,RIGHTS,1,1.0,9900000.0,1.188E11,15210.0,2010-08-31,3220.0,2011-09-05,3580.0,2012-08-31,3590.0,2013-09-04,6230.0,2014-09-09,4590.0,2015-09-11,1353.0,2.7244327272727275E9,0.032663405596694985,0.01604278074866272,751
AAA,2014-08-26,RIGHTS,1,1.0,1.98E7,2.178E11,3820.0,2012-08-21,3670.0,2013-08-22,6380.0,2014-08-26,4630.0,2015-08-31,16090.0,2016-08-29,17050.0,2017-09-05,1353.0,5.64501138181818E9,0.0197235857401012,-0.18181818181818155,751
AAA,2015-09-28,STOCK_DIVIDEND,1,0.25,9899988.0,0.0,3530.0,2013-09-19,6040.0,2014-09-24,4940.0,2015-09-28,14530.0,2016-09-26,18010.0,2017-10-02,12460.0,2018-10-01,1353.0,2.5722699890909095E9,0.020705836317204546,-0.045360824742268435,751
AAA,2016-05-05,ESOP,2,0.0,2400000.0,2.6E10,5330.0,2014-04-29,4850.0,2015-05-07,9280.0,2016-05-05,16230.0,2017-05-11,13720.0,2018-05-10,12420.0,2019-05-13,1353.0,6.435053032727272E9,0.02150094118821842,0.6470588235294117,751
AAA,2016-12-16,CONVERTIBLE,1,0.0,5065000.0,5.82475E10,6080.0,2014-12-09,5180.0,2015-12-11,12600.0,2016-12-16,17150.0,2017-12-15,11880.0,2018-12-14,10330.0,2019-12-17,1353.0,9.022426527272728E9,0.015553195666553922,0.05052005943536386,751
AAA,2017-05-30,ESOP,1,0.0,1700000.0,1.7E10,4920.0,2015-05-26,11710.0,2016-05-24,16420.0,2017-05-30,14510.0,2018-05-29,13110.0,2019-05-30,9330.0,2020-05-28,1353.0,3.6751920318181816E10,0.023182464039684797,-0.04428571428571382,751
AAA,2017-06-02,CONVERTIBLE,1,0.0,585000.0,6.7275E9,4960.0,2015-05-29,12050.0,2016-05-27,16920.0,2017-06-02,15240.0,2018-06-01,12530.0,2019-06-04,9330.0,2020-06-02,1353.0,3.800260398181819E10,0.02611532389118099,-0.007022471910111849,751
AAA,2017-12-04,CONVERTIBLE,1,0.0,2.435E7,2.80025E11,5040.0,2015-11-30,13760.0,2016-12-05,17210.0,2017-12-04,11010.0,2018-12-03,10330.0,2019-12-04,10490.0,2020-12-02,1353.0,4.811557242727272E10,0.021699106210249747,-0.04700352526439533,751
AAA,2018-04-09,RIGHTS,1,1.0,8.3599988E7,1.170399832E12,7840.0,2016-04-04,13350.0,2017-04-11,15380.0,2018-04-09,13360.0,2019-04-09,8100.0,2020-04-09,13410.0,2021-04-07,1353.0,3.6851666390909096E10,0.029630718020344816,-0.18301369863013706,751
AAA,2018-09-14,ESOP,1,0.0,4000000.0,4.0E10,15990.0,2016-09-09,18780.0,2017-09-15,12170.0,2018-09-14,11900.0,2019-09-17,9480.0,2020-09-15,14810.0,2021-09-15,1353.0,3.1525707063636364E10,0.02007665714942204,-0.19277108433734913,751
AAA,2020-07-16,CONVERTIBLE,1,0.0,4.0E7,5.6E11,12890.0,2018-07-17,13430.0,2019-07-18,9260.0,2020-07-16,12970.0,2021-07-15,11000.0,2022-07-15,10900.0,2023-07-17,1353.0,2.9890995299999996E10,0.025863107080656755,0.05357142857142905,751
AAA,2020-10-19,STOCK_DIVIDEND,1,0.05,1.0559998E7,0.0,10830.0,2018-10-18,11150.0,2019-10-21,9670.0,2020-10-19,14810.0,2021-10-19,7640.0,2022-10-19,7770.0,2023-10-19,1353.0,3.140407502727273E10,0.018571330929985905,0.045203969128995825,751
AAA,2021-05-04,AUCTION,1,0.0,7.5E7,1.06771717E12,12600.0,2019-05-07,9000.0,2020-05-05,13010.0,2021-05-04,12700.0,2022-05-04,9890.0,2023-05-04,9660.0,2024-05-06,1353.0,5.903672854545454E10,0.02870289593155498,0.4376996805111819,751
AAA,2021-09-01,BONUS,1,0.1,2.9674522E7,0.0,11900.0,2019-09-05,9290.0,2020-09-03,14910.0,2021-09-01,10900.0,2022-09-05,10080.0,2023-09-05,9290.0,2024-09-05,1353.0,1.6821452054545453E11,0.0306126051054536,0.09808811305070608,751
AAA,2022-06-30,AUCTION,1,0.0,5.584E7,6.7008E11,9180.0,2020-07-01,15850.0,2021-06-30,10400.0,2022-06-30,9940.0,2023-06-30,10400.0,2024-07-02,6900.0,2025-07-03,1353.0,6.1311163000000015E10,0.036327503548070614,-0.37499999999999956,751
AAA,2025-08-29,ESOP,1,0.03,1.1468234E7,0.0,9750.0,2023-08-28,9340.0,2024-08-28,7780.0,2025-08-29,,,,,,,1353.0,2.90772807410909E10,0.020473060302922293,0.03690036900368954,239
AAS,2021-07-19,PRIVATE_PLACEMENT,1,0.0,4.9E7,4.9E11,,,,,6390.0,2021-07-19,11030.0,2022-07-19,9830.0,2023-07-19,8000.0,2024-07-19,8777.0,2.873978801090909E10,0.06279790952725467,0.41620626151012896,751
AAS,2023-06-27,STOCK_DIVIDEND,1,0.5,3.9999969E7,0.0,9440.0,2021-06-25,10180.0,2022-06-27,10350.0,2023-06-27,8200.0,2024-06-27,8900.0,2025-06-30,8500.0,2026-07-01,8777.0,8.590886687272728E9,0.027973506391206972,0.40843931425448887,1502
AAS,2023-11-14,STOCK_DIVIDEND,1,0.15,2.9999552E7,0.0,13740.0,2021-11-12,4410.0,2022-11-14,8600.0,2023-11-14,6500.0,2024-11-14,8900.0,2025-11-17,,,8777.0,2.7260817756363636E10,0.03843915158874776,0.21264367816091934,685
AAT,2021-10-14,STOCK_DIVIDEND,1,0.115,4001489.0,0.0,,,,,17960.0,2021-10-14,7390.0,2022-10-14,5160.0,2023-10-16,3480.0,2024-10-16,3763.0,1.8299822636363632E10,0.02240566264119309,0.45648464163822555,751
AAT,2021-12-20,PRIVATE_PLACEMENT,1,0.0,2.5E7,2.5E11,,,,,16120.000000000002,2021-12-20,4490.0,2022-12-20,4930.0,2023-12-20,3400.0,2024-12-20,3763.0,2.1203540272727276E10,0.018586585179420998,0.1756578947368428,751
AAT,2023-07-04,STOCK_DIVIDEND,1,0.11,7017614.0,0.0,14820.0,2021-07-02,8350.0,2022-07-04,5940.0,2023-07-04,4130.0,2024-07-04,3080.0,2025-07-07,2780.0,2026-07-08,3763.0,6.555603139272728E9,0.026203652930686064,0.29398148148148096,751
AAV,2018-10-04,STOCK_DIVIDEND,1,0.15,1874996.0,0.0,,,,,8700.0,2018-10-04,7650.0,2019-10-07,7560.0,2020-10-05,29950.0,2021-10-05,8633.0,5.191585890909089E9,0.06242756597897792,0.06256015399422532,751
AAV,2019-03-04,RIGHTS,1,1.2173913043,1.75E7,1.75E11,,,,,7110.0,2019-03-04,5630.0,2020-03-03,11510.0,2021-03-02,23670.0,2022-03-02,8633.0,6.9224162E8,0.01237815637863717,-0.4699221514508136,751
AAV,2021-07-08,STOCK_DIVIDEND,1,0.15,4781184.0,0.0,7730.0,2019-07-11,4790.0,2020-07-09,13240.0,2021-07-08,8500.0,2022-07-08,5900.0,2023-07-10,5800.0,2024-07-10,8633.0,6.884464349090908E9,0.02739676675637108,0.07449392712550584,751
AAV,2021-12-06,PRIVATE_PLACEMENT,1,0.0,3.0E7,3.66E11,7060.0,2019-12-06,7810.0,2020-12-04,23670.0,2021-12-06,5500.0,2022-12-06,4300.0,2023-12-06,7500.0,2024-12-06,8633.0,4.013102998909091E10,0.03785969820311691,0.902277736958119,751
AAV,2022-08-04,STOCK_DIVIDEND,1,0.035,2331481.0,0.0,4280.0,2020-08-05,12170.0,2021-08-04,9600.0,2022-08-04,6700.0,2023-08-04,5700.0,2024-08-06,6500.0,2025-08-07,8633.0,2.023660394545454E9,0.04882472364869756,-0.6230139624458354,751
ABB,2021-11-09,RIGHTS,1,0.2,1.14262271E8,1.14262271E12,,,,,11610.0,2021-11-09,5780.0,2022-11-09,6280.0,2023-11-09,5960.0,2024-11-11,8355.0,3.664405138181816E10,0.01779420216196229,0.18548387096774244,751
ABB,2021-12-31,ESOP,1,0.0,1.1426227E7,1.48540951E11,,,6550.0,2020-12-31,11770.0,2021-12-31,6070.0,2023-01-03,6600.0,2024-01-03,5800.0,2025-01-03,8355.0,5.4968371992727264E10,0.02372419133116689,0.02061855670103019,751
ABB,2022-02-10,BONUS,1,0.35,2.43947229E8,0.0,,,5970.0,2021-02-03,13150.0,2022-02-10,5780.0,2023-02-10,6520.0,2024-02-05,5880.0,2025-02-12,8355.0,6.219397161999999E10,0.023701096703807288,0.14965986394557684,751
ABB,2023-05-30,STOCK_DIVIDEND,1,0.1,9.408968E7,0.0,11010.0,2021-05-28,8740.0,2022-05-30,6910.0,2023-05-30,6910.0,2024-05-30,6440.0,2025-06-02,13830.0,2026-06-03,8355.0,8.780125652727274E9,0.014173953942702551,0.19688109161793355,751
ABB,2026-01-14,RIGHTS,1,0.3,3.10420123E8,3.10420123E12,6600.0,2024-01-10,5720.0,2025-01-10,13390.0,2026-01-14,,,,,,,8355.0,6.688195708181818E10,0.022218567181048723,0.7118881118881115,145
ABB,2026-03-03,ESOP,1,0.05,5.17518E7,5.17518E11,6600.0,2024-02-27,6120.0,2025-02-27,11910.0,2026-03-03,,,,,,,8355.0,6.779769889818181E10,0.016261972749745862,0.2567567567567568,116
ABI,2021-11-05,STOCK_DIVIDEND,1,0.14,5157815.0,0.0,9390.0,2019-11-07,11550.0,2020-11-05,24300.0,2021-11-05,14010.0,2022-11-07,17320.0,2023-11-07,17720.0,2024-11-07,8536.0,7.038036469090909E9,0.02324770298293777,0.4979338842975207,751
ABI,2022-11-15,STOCK_DIVIDEND,1,0.2,8399602.0,0.0,11590.0,2020-11-13,24340.0,2021-11-15,11890.0,2022-11-15,17120.0,2023-11-15,17440.0,2024-11-15,20200.0,2025-11-18,8536.0,3.409827018181819E8,0.04208316550639061,-0.21010209564750215,751
ABI,2023-11-03,STOCK_DIVIDEND,1,0.4134,2.0834333E7,0.0,23520.0,2021-11-03,13440.0,2022-11-03,18180.0,2023-11-03,17440.0,2024-11-05,20200.0,2025-11-06,,,8536.0,9.351166581818182E8,0.015880370750692395,0.23113854595336147,692
ABI,2025-09-11,STOCK_DIVIDEND,1,0.2,1.4477941E7,0.0,19370.0,2023-09-08,17370.0,2024-09-10,21400.0,2025-09-11,,,,,,,8536.0,1.7924095618181818E9,0.014698413699086824,-0.04123263888888862,464
ABS,2020-09-03,STOCK_DIVIDEND,1,0.25,7199873.0,0.0,,,,,10910.0,2020-09-03,18540.0,2021-09-01,11930.0,2022-09-05,7620.0,2023-09-05,1357.0,2.102918609090909E9,0.034941864893312156,-0.10486486486486546,751
ABS,2020-09-09,ESOP,1,0.0,1440000.0,0.0,,,,,10310.0,2020-09-09,17750.0,2021-09-09,11220.0,2022-09-09,7650.0,2023-09-11,1357.0,2.3213267454545455E9,0.03341095848831572,-0.09621621621621679,751
ABS,2021-01-12,PRIVATE_PLACEMENT,1,0.0,4.2560127E7,4.68161397E11,,,,,23110.0,2021-01-12,27470.0,2022-01-12,5640.0,2023-01-12,6050.0,2024-01-12,1357.0,3.212672645454546E9,0.024388160961398942,0.6758241758241765,751
ABT,2010-10-21,STOCK_DIVIDEND,1,0.2,2267572.0,0.0,4080.0,2008-10-22,12230.0,2009-10-21,10400.0,2010-10-21,11020.0,2011-10-24,13280.0,2012-10-22,14410.0,2013-10-23,3573.0,2.265312581818182E9,0.020254291722932142,-0.05491329479768847,751
ACB,2010-11-26,RIGHTS,1,0.2,1.56282751E8,1.56282751E12,2380.0,2008-11-27,2910.0,2009-11-26,2250.0,2010-11-26,2180.0,2011-11-29,1770.0,2012-11-27,1950.0,2013-11-28,8355.0,6.495572181818183E9,0.014166421432251955,-0.17957746478873238,751
ACB,2012-01-16,BONUS,1,0.0,2279294.0,0.0,3250.0,2010-01-13,2550.0,2011-01-13,2390.0,2012-01-16,2190.0,2013-01-15,2040.0,2014-01-15,2090.0,2015-01-21,8355.0,7.961065636363637E9,0.011256898973437346,-0.03913043478260858,751
ACB,2013-04-12,BONUS,1,0.0,391324.0,0.0,2440.0,2011-04-15,3170.0,2012-04-13,1990.0,2013-04-12,2100.0,2014-04-17,2150.0,2015-04-21,2430.0,2016-04-21,8355.0,8.145652000000001E9,0.012877357817336807,0.036458333333332815,751
ACB,2013-08-21,ESOP,1,0.0,251956.0,0.0,2300.0,2011-08-22,3120.0,2012-08-20,1960.0,2013-08-21,2030.0,2014-08-25,2580.0,2015-08-28,2460.0,2016-08-26,8355.0,6.062439921818181E9,0.006858346907796791,-0.04694835680751286,751
ACB,2016-12-01,STOCK_DIVIDEND,1,0.1,8.962739E7,0.0,2000.0,2014-12-01,2670.0,2015-12-03,2720.0,2016-12-01,5280.0,2017-11-30,5640.0,2018-11-29,5620.0,2019-12-02,8355.0,5.073318754545456E9,0.012588634751903556,0.02334630350194611,751
ACB,2018-03-20,STOCK_DIVIDEND,1,0.1,9.8590129E7,0.0,2600.0,2016-03-22,3780.0,2017-03-21,8050.000000000001,2018-03-20,5930.0,2019-03-20,5250.0,2020-03-19,10360.0,2021-03-25,8355.0,1.9357335675636365E11,0.02175921137344061,0.4906103286384964,751
ACB,2018-09-06,STOCK_DIVIDEND,1,0.15,1.62673713E8,0.0,2450.0,2016-09-08,4320.0,2017-09-07,6250.0,2018-09-06,5450.0,2019-09-09,6720.0,2020-09-07,12730.0,2021-09-14,8355.0,1.6652744301636365E11,0.029129166265820735,-0.13616398243045302,751
ACB,2019-07-25,STOCK_DIVIDEND,1,0.3,3.74149539E8,0.0,3800.0,2017-07-25,5850.0,2018-07-24,5890.0,2019-07-25,6020.0,2020-07-23,13800.0,2021-07-29,12430.0,2022-07-29,8355.0,2.917098988E10,0.00954139652627408,0.007259528130671766,751
ACB,2020-08-20,STOCK_DIVIDEND,1,0.3,4.98821183E8,0.0,6300.0,2018-08-21,5640.0,2019-08-22,6720.0,2020-08-20,12910.0,2021-08-26,12530.0,2022-08-26,13330.0,2023-08-28,8355.0,9.339325101818184E10,0.024696568102807407,-0.07469512195121852,751
ACB,2021-06-10,STOCK_DIVIDEND,1,0.25,5.40389615E8,0.0,5450.0,2019-06-06,6290.0,2020-06-04,13780.0,2021-06-10,12730.0,2022-06-10,12970.0,2023-06-12,17670.0,2024-06-12,8355.0,3.2796677263636365E11,0.02199995831176317,0.3238958097395246,751
ACB,2022-06-02,STOCK_DIVIDEND,1,0.25,6.75487019E8,0.0,5670.0,2020-05-27,14420.0,2021-06-02,12800.0,2022-06-02,13180.0,2023-06-02,17640.0,2024-06-04,18090.0,2025-06-05,8355.0,1.3142798145454543E11,0.023330979003691334,-0.10154061624649824,751
ACB,2023-06-01,STOCK_DIVIDEND,1,0.15,5.06615264E8,0.0,13610.0,2021-06-01,12570.0,2022-06-01,12940.0,2023-06-01,17850.0,2024-06-03,18180.0,2025-06-04,22530.0,2026-06-05,8355.0,1.0827507973090909E11,0.009692626914467907,0.17162032598274113,751
ACB,2024-05-31,STOCK_DIVIDEND,1,0.15,5.82607554E8,0.0,12750.0,2022-05-31,12830.0,2023-05-31,17740.0,2024-05-31,18310.0,2025-06-03,22620.0,2026-06-04,,,8355.0,2.6951008436909088E11,0.01335178556084942,0.18936635105608057,552
ACB,2025-05-23,STOCK_DIVIDEND,1,0.15,6.69998687E8,0.0,12650.0,2023-05-22,16900.0,2024-05-22,18610.0,2025-05-23,21370.0,2026-05-26,,,,,8355.0,2.876916349363637E11,0.019922020600396162,-0.03180803571428603,309
ACB,2026-06-15,STOCK_DIVIDEND,1,0.13,6.67765358E8,0.0,17380.0,2024-06-11,18140.0,2025-06-12,22750.0,2026-06-15,,,,,,,8355.0,4.0297728990818176E11,0.01709528559179276,-0.06386946386946402,45
ACC,2022-01-06,RIGHTS,1,2.5,7.4999993E7,7.4999993E11,5460.0,2020-01-08,7430.0,2021-01-06,18600.0,2022-01-06,11500.0,2023-01-06,12300.0,2024-01-08,14850.0,2025-01-08,2353.0,2.7706500909090905E9,0.028334664782355322,0.7384615384615372,751
ACG,2022-03-07,RIGHTS,1,0.05,4375430.0,4.37543E10,,,,,53910.0,2022-03-07,32510.0,2023-03-17,37440.0,2024-03-18,37610.0,2025-03-19,1733.0,8.107658272727271E9,0.01155986182019237,0.007668108533228191,751
ACG,2022-04-13,STOCK_DIVIDEND,1,0.5,4.3820348E7,0.0,,,,,55450.0,2022-04-13,32550.0,2023-04-24,35060.0,2024-04-24,33310.0,2025-04-25,1733.0,8.326577210909092E9,0.01409497881052707,-0.05619747899159677,751
ACG,2023-07-18,STOCK_DIVIDEND,1,0.11,1.4941824E7,0.0,,,52830.0,2022-07-06,37650.0,2023-07-18,42320.0,2024-07-18,36470.0,2025-07-21,31950.0,2026-07-23,1733.0,4.5215318454545456E8,0.015272243654884155,0.011428571428571344,751
ACL,2010-04-09,RIGHTS,1,0.2222,2000000.0,4.0E10,4490.0,2008-04-08,2800.0,2009-04-13,4250.0,2010-04-09,3630.0,2011-04-14,5450.0,2012-04-12,3560.0,2013-04-11,3573.0,1.7746858181818182E9,0.02717800966710809,-0.02558139534883741,751
ACL,2011-10-17,BONUS,1,0.65,7149675.0,0.0,4930.0,2009-10-14,4340.0,2010-10-14,4960.0,2011-10-17,4440.0,2012-10-15,2670.0,2013-10-16,3780.0,2014-10-21,3573.0,4.112628E8,0.02833764157410105,0.1338797814207653,751
ACL,2020-08-05,STOCK_DIVIDEND,1,1.2,2.7359344E7,0.0,4040.0,2018-08-06,12600.0,2019-08-07,12390.0,2020-08-05,9980.0,2021-08-04,17530.0,2022-08-04,12840.0,2023-08-04,3573.0,1.8904317909090905E9,0.03657522922341861,0.06100478468899517,751
ACV,2025-08-07,STOCK_DIVIDEND,1,0.6458,1.405674287E9,0.0,49340.0,2023-08-04,61980.0,2024-08-06,67100.0,2025-08-07,42300.0,2026-08-10,,,,,2777.0,5.090243017818183E10,0.015031343230957426,-0.22896072668982093,255
ADG,2020-07-16,STOCK_DIVIDEND,1,0.416,3447728.0,0.0,,,,,46110.0,2020-07-16,39250.0,2021-07-29,36840.0,2022-07-29,34300.0,2023-07-31,5555.0,1.4217417090909092E9,0.010560507106940358,0.3104138380144583,1502
ADG,2020-07-20,ESOP,1,0.0,184627.0,1.84627E9,,,,,45190.0,2020-07-20,39840.0,2021-08-02,38510.0,2022-08-02,33100.0,2023-08-02,5555.0,1.485387345454545E9,0.01194678096600948,0.16030092592592426,751
ADG,2021-08-06,STOCK_DIVIDEND,1,0.1,1799965.0,0.0,,,42680.0,2020-07-24,40740.0,2021-08-06,38700.0,2022-08-08,32500.0,2023-08-08,12800.0,2024-08-08,5555.0,3.8233724545454555E9,0.014153805430031903,-0.2815569297926519,751
ADG,2021-08-10,ESOP,1,0.0,88800.0,8.88E8,,,40250.0,2020-07-28,39390.0,2021-08-10,38700.0,2022-08-10,32500.0,2023-08-10,13500.0,2024-08-12,5555.0,3.8765166363636365E9,0.014039808775364288,-0.2859569648924122,751
ADS,2016-11-07,STOCK_DIVIDEND,1,0.05,803481.0,0.0,,,,,5350.0,2016-11-07,6810.0,2017-11-06,4880.0,2018-11-05,4240.0,2019-11-06,3763.0,1.2101965363636365E9,0.019129877336464575,0.23497267759562845,751
ADS,2017-10-30,RIGHTS,1,0.3333333333,4274320.0,7.266344E10,,,4970.0,2016-10-31,5910.0,2017-10-30,4970.0,2018-10-29,4280.0,2019-10-30,4190.0,2020-10-28,3763.0,2.239626881818182E9,0.01483398433716468,-0.023291925465839025,751
ADS,2017-12-06,PRIVATE_PLACEMENT,1,0.0,4370000.0,7.429E10,,,5810.0,2016-12-07,5810.0,2017-12-06,4720.0,2018-12-05,4500.0,2019-12-06,4550.0,2020-12-04,3763.0,1.803914881818182E9,0.020498901561137636,0.14046822742474907,751
ADS,2021-10-20,RIGHTS,1,0.35625921,1.0E7,1.0E11,4300.0,2019-10-22,4170.0,2020-10-20,19170.0,2021-10-20,8910.0,2022-10-20,10140.0,2023-10-20,8150.0,2024-10-22,3763.0,1.1236048363636364E10,0.01792092205436274,1.5879556259904892,751
ADS,2022-09-05,STOCK_DIVIDEND,1,0.15,5709584.0,0.0,4080.0,2020-09-03,16329.999999999998,2021-09-01,11190.0,2022-09-05,12260.0,2023-09-05,8670.0,2024-09-05,7840.0,2025-09-08,3763.0,1.161518127272727E10,0.034023799226822624,-0.3850183342063911,751
ADS,2023-03-21,CONVERTIBLE,1,0.0,7000000.0,7.0E10,8150.0,2021-03-19,20810.0,2022-03-21,8650.0,2023-03-21,10370.0,2024-03-20,7730.0,2025-03-21,7340.0,2026-03-25,3763.0,3.3964416961818185E9,0.027468384514020925,-0.19861660079051402,751
ADS,2023-07-14,STOCK_DIVIDEND,1,0.15,7615693.0,0.0,11640.0,2021-07-14,10780.0,2022-07-14,12560.0,2023-07-14,9790.0,2024-07-16,7230.0,2025-07-17,7800.0,2026-07-20,3763.0,9.384197697272728E9,0.021927976213410975,0.5461538461538455,751
ADS,2024-01-15,PRIVATE_PLACEMENT,1,0.0,1.5E7,1.5E11,17920.0,2022-01-13,6600.0,2023-01-13,9830.0,2024-01-15,6980.0,2025-01-15,7410.0,2026-01-19,,,3763.0,5.676602799090908E9,0.02286115922519812,-0.17642405063291144,642
ADS,2024-05-21,CONVERTIBLE,1,,3000000.0,3.0E10,16440.0,2022-05-19,9620.0,2023-05-19,11100.0,2024-05-21,6980.0,2025-05-22,7990.0,2026-05-25,,,3763.0,9.01849957090909E9,0.02099875001164926,-0.08049242424242442,560
AGF,2013-08-13,RIGHTS,1,1.0,1.2695162E7,1.52341944E11,7430.0,2011-08-12,12710.0,2012-08-10,18170.0,2013-08-13,15120.0,2014-08-15,14670.0,2015-08-20,9200.0,2016-08-18,3573.0,7.077470000000002E8,0.02925268740718267,0.8787878787878782,751
AGG,2020-08-27,STOCK_DIVIDEND,1,0.1,7492517.0,0.0,,,,,15220.0,2020-08-27,26340.0,2021-08-26,26840.0,2022-08-26,25720.0,2023-08-28,8633.0,9.19395470909091E9,0.010415729955100655,-0.05470914127423765,751
AGG,2021-01-12,ESOP,1,0.0,258060.0,2.5806E9,,,15030.0,2020-01-14,17070.0,2021-01-12,34360.0,2022-01-12,23840.0,2023-01-12,19960.0,2024-01-12,8633.0,3.092665039090908E10,0.01567528196288686,0.21992619926199275,751
AGG,2022-01-25,STOCK_DIVIDEND,1,0.1,8274973.0,0.0,15030.0,2020-02-03,20620.0,2021-01-25,34840.0,2022-01-25,23680.0,2023-02-01,19640.0,2024-01-25,15300.0,2025-02-03,8633.0,4.622595427272727E10,0.0277114354944656,-0.04370694561441413,1502
AGG,2022-12-07,STOCK_DIVIDEND,1,0.1,1.1170988E7,0.0,17150.0,2020-12-07,24690.0,2021-12-07,25280.0,2022-12-07,19720.0,2023-12-07,16550.0,2024-12-09,15100.0,2025-12-10,8633.0,4.768106509090909E9,0.019689383129689802,-0.13062409288824361,751
AGG,2022-12-14,ESOP,1,0.0,2234185.0,2.234185E10,16590.0,2020-12-14,27180.0,2021-12-14,24800.0,2022-12-14,19680.0,2023-12-14,15950.0,2024-12-16,14400.0,2025-12-17,8633.0,4.406702033636363E9,0.01975340491323971,-0.15351036740632928,751
AGG,2024-08-07,STOCK_DIVIDEND,1,0.25,3.1278913E7,0.0,27240.0,2022-08-05,24600.0,2023-08-07,18300.0,2024-08-07,21000.0,2025-08-08,11400.0,2026-08-11,,,8633.0,3.6004378281818184E10,0.025885552619853893,-0.016194331983806043,504
AGG,2024-10-18,ESOP,1,0.0392,6130800.0,0.0,25050.0,2022-10-18,22640.0,2023-10-18,15200.0,2024-10-18,16000.0,2025-10-21,,,,,8633.0,8.80670044E9,0.021934385203094143,-0.0011961722488031956,454
AGR,2010-05-07,RIGHTS,1,0.6667,8.0E7,8.0E11,,,,,12750.0,2010-05-07,7800.0,2011-05-11,8050.000000000001,2012-05-09,3870.0,2013-05-10,8777.0,1.6892021272727273E9,0.02422722223533046,-0.18725718725718765,751
