month,spread,n_q,n_serial,n_base
2010-01,-0.010147745916397898,5,145,81
2010-02,0.01622727571180915,5,145,76
2010-03,-0.028047647352621153,5,152,78
2010-04,-0.013063861116209052,5,160,83
2010-05,-0.03337452431018205,5,166,81
2010-06,-0.03997099411774284,5,180,89
2010-07,0.009143569591757475,5,192,90
2010-08,-0.01630790966700543,5,193,95
2010-09,-0.00018958737445004813,5,195,95
2010-10,0.011864346828480393,5,199,98
2010-11,0.013133270715425022,5,195,92
2010-12,-0.01622523740283436,5,199,98
2011-01,-0.019321652862657968,5,191,93
2011-02,0.017715226258869798,5,188,80
2011-03,0.003118670334611021,5,185,74
2011-04,-0.04365675864718531,5,174,69
2011-05,-0.009272879025600797,5,162,62
2011-06,-0.027060934756395937,5,162,58
2011-07,0.018472931307587682,5,152,49
2011-08,-0.034152925581088435,5,148,42
2011-09,-0.007374336583130338,5,145,38
2011-10,0.012316377651618072,5,141,36
2011-11,-0.032961915521684634,5,133,35
2011-12,0.04380015852152096,5,120,34
2012-01,-0.03317362187134868,4,111,32
2012-02,-0.03641452287222223,5,112,32
2012-03,0.022935022834056473,5,119,34
2012-04,0.0025874045904948073,5,132,37
2012-05,0.0044383917359926296,4,140,42
2012-06,0.007094802105290276,5,141,44
2012-07,0.010757886975304573,5,136,39
2012-08,-0.0167954612460736,5,129,36
2012-09,-0.011357787775993881,4,123,34
2012-10,-0.014657622587525686,5,110,30
2012-11,-0.020691034036390554,5,102,29
2012-12,0.031674943836290215,5,97,31
2013-01,-0.021583107195403288,5,95,32
2013-02,-0.01729773959529999,5,94,33
2013-03,-0.04815924594872339,5,91,37
2013-04,0.045955761768068114,5,90,38
2013-05,0.004520946888546531,5,90,41
2013-06,-0.03417260817106645,5,90,47
2013-07,-0.020457395869675907,5,86,52
2013-08,-0.010889569733428016,5,80,53
2013-09,-0.019539091179417944,5,77,50
2013-10,-0.010038403501633295,5,74,50
2013-11,0.013931602924924258,5,72,53
2013-12,0.03648122092742177,5,70,69
2014-01,0.037718199247509104,5,72,74
2014-02,-0.029652553138465276,5,71,77
2014-03,0.0496506071423603,5,74,90
2014-04,-0.008314034745377796,5,75,100
2014-05,0.0041551814226314385,5,76,104
2014-06,0.001743909651806086,5,80,101
2014-07,-0.004462609148864033,5,82,101
2014-08,-0.0373603925563369,5,85,101
2014-09,-0.011717279590303826,5,86,105
2014-10,0.01959348199239147,5,92,108
2014-11,0.019387767854982793,5,96,114
2014-12,0.014621729906024653,5,92,114
2015-01,-0.00433777099961071,5,96,108
2015-02,-0.020761513621107126,5,96,108
2015-03,-0.012745196963316347,5,99,102
2015-04,-0.04127233738296775,5,98,100
2015-05,-0.019006186707142624,5,96,94
2015-06,0.01926031981604116,5,102,92
2015-07,-0.015712573694079485,5,110,92
2015-08,0.0186204849931371,5,113,89
2015-09,-0.05567198062596564,5,113,82
2015-10,-0.006430936822342755,5,124,81
2015-11,-0.0454521275197056,5,131,76
2015-12,-0.01869141561430724,5,133,71
2016-01,-0.00019375656899330712,5,131,67
2016-02,0.00829918564390775,5,135,66
2016-03,-0.017962531226861166,5,135,69
2016-04,-0.0028154527830467897,5,142,75
2016-05,-0.023221023883116625,5,143,83
2016-06,0.004569297358417319,5,150,90
2016-07,0.00046368642156423555,5,153,90
2016-08,-0.041633464783076224,5,155,89
2016-09,0.004064128363579672,5,158,83
2016-10,-0.012172833792136049,5,161,78
2016-11,0.006450086907022709,5,161,71
2016-12,-0.021824291196792505,5,161,73
2017-01,0.06818594875001623,5,162,70
2017-02,0.001210685016038464,5,161,69
2017-03,-0.0030045745754526502,5,164,74
2017-04,0.025341048757837013,5,166,74
2017-05,0.012934146011468237,5,165,73
2017-06,-0.0051616106654135685,5,166,72
2017-07,-0.016205140514017773,5,167,75
2017-08,-0.023446486685836935,5,167,81
2017-09,-0.008854643834704592,5,170,80
2017-10,-0.03378371961343821,5,168,83
2017-11,-0.036157298870821045,5,169,82
2017-12,0.01413520910299822,5,168,83
2018-01,-0.008879024790496032,5,172,82
2018-02,0.013484717770750545,5,172,85
