month,spread,n_q,n_serial,n_base
2010-01,-0.013679810748626217,5,130,55
2010-02,0.019664551636386265,5,139,62
2010-03,-0.03418342393221992,5,144,61
2010-04,-0.01428929394050038,5,146,64
2010-05,-0.03827702697972938,5,152,70
2010-06,-0.05200097062467095,5,157,76
2010-07,-0.0017273265922779862,5,168,74
2010-08,-0.004656777524514775,5,172,82
2010-09,-0.0022393732499873765,5,172,81
2010-10,0.01282610487616533,5,176,82
2010-11,0.019500564432212104,5,175,77
2010-12,-0.0009381454554192759,5,175,77
2011-01,-0.014617575505372576,5,169,76
2011-02,0.010222552036763723,5,175,74
2011-03,0.006940986815254027,5,172,67
2011-04,-0.05241524209221175,5,160,62
2011-05,-0.003831559241359234,5,148,56
2011-06,-0.022890114414921447,5,147,52
2011-07,0.019770597683665646,5,140,44
2011-08,-0.028917765491100776,5,133,37
2011-09,-0.0024063478489019774,5,130,33
2011-10,0.03367152455038565,5,124,30
2011-11,0.01697900971574716,4,117,29
2011-12,0.04117961655477448,4,108,27
2012-01,-0.06790767499138899,4,102,26
2012-02,-0.05784385851977525,5,97,30
2012-03,0.014256102865196818,5,102,32
2012-04,0.0036503639346545935,5,112,34
2012-05,0.00448860533544578,5,114,34
2012-06,0.012915861528854355,5,115,36
2012-07,0.033384401536606156,5,115,30
2012-08,-0.007541101176528296,5,110,23
2012-09,-0.009212656306131047,5,105,22
2012-10,0.006389353204212344,4,93,19
2012-11,-0.04535470366562184,5,83,19
2012-12,0.05762666536360452,3,79,21
2013-01,-0.03679387944452982,4,76,22
2013-02,0.003706847952240669,5,82,25
2013-03,-0.05900213490925329,5,80,29
2013-04,0.05770663727357013,5,78,30
2013-05,0.020503568242753806,5,76,33
2013-06,-0.0208944160118291,5,78,36
2013-07,-0.0011208285104495439,5,76,42
2013-08,0.02139180453769553,5,67,42
2013-09,-0.0049022580799869845,5,65,40
2013-10,-0.033029277113761926,5,64,40
2013-11,0.011232783558067458,5,67,43
2013-12,0.05163249607111231,5,64,51
2014-01,-0.015982705396134816,5,67,58
2014-02,-0.07808700056200904,5,70,64
2014-03,0.043571925203799426,5,73,75
2014-04,0.0027462748437676555,5,74,85
2014-05,-0.0013933750750202965,5,74,85
2014-06,0.006431010350899914,5,78,79
2014-07,-0.0086834535368446,5,80,78
2014-08,-0.012598475373089413,5,82,80
2014-09,-0.013434771846789026,5,83,85
2014-10,0.005505814415205211,5,89,89
2014-11,0.018157653943137952,5,94,93
2014-12,0.017250247715920743,5,91,92
2015-01,0.007404881232736445,5,95,91
2015-02,-0.02464923429775602,5,95,99
2015-03,0.0014892007649295602,5,98,93
2015-04,-0.00868213854524811,5,97,91
2015-05,-0.007908226440502177,5,95,81
2015-06,0.01681688779969574,5,101,80
2015-07,-0.0004943836058245929,5,108,81
2015-08,0.02283649064452196,5,111,76
2015-09,-0.03131238648431454,5,112,72
2015-10,-0.014563979968589191,5,118,71
2015-11,-0.04375559895542418,5,123,65
2015-12,-0.007208220742097279,5,122,62
2016-01,0.008118170912781001,5,122,62
2016-02,0.0033774489359196637,5,134,63
2016-03,0.0052809468283712985,5,134,65
2016-04,-0.0029028875641194662,5,140,70
2016-05,-0.0059211323587859965,5,140,76
2016-06,0.00851255509478147,5,147,81
2016-07,0.0045388067307590855,5,151,77
2016-08,-0.023586196208821058,5,150,80
2016-09,-0.0005257304786456613,5,152,74
2016-10,-0.02535838128039894,5,154,69
2016-11,0.009694266412788304,5,154,62
2016-12,-0.025661518515163573,5,151,64
2017-01,0.07186737282327385,5,152,65
2017-02,-0.009438576255801977,5,156,66
2017-03,-0.00855451656920586,5,159,70
2017-04,0.02269611041464327,5,161,70
2017-05,0.017813630369544496,5,158,66
2017-06,-0.004156317899943406,5,159,65
2017-07,-0.0060914144302753334,5,160,66
2017-08,0.0026772431450756023,5,159,68
2017-09,-0.014583458780444744,5,162,67
2017-10,-0.04099838923338909,5,158,71
2017-11,-0.016939585048656988,5,159,74
2017-12,0.010461531678018582,5,158,76
2018-01,-0.008200233868708523,5,162,75
2018-02,0.018338982517701732,5,169,80
2018-03,0.0061159397668975645,5,171,82
2018-04,-0.003719373479006896,5,170,80
2018-05,0.01605323400196451,5,166,75
2018-06,-0.0031565196498807833,5,156,76
2018-07,0.004424717906264403,5,158,73
2018-08,-0.01205804914054973,5,153,65
2018-09,-0.0474540973140043,5,155,63
2018-10,-0.024007692701417345,5,154,64
2018-11,-0.024957204979671015,5,152,61
2018-12,-0.025129053705314947,5,153,56
2019-01,-0.0060855612532513675,5,152,55
2019-02,-0.07001231752083922,5,152,59
2019-03,0.004196349288042401,5,155,63
2019-04,-0.016435908170380875,5,152,62
2019-05,0.0033154615551635,5,151,62
2019-06,-0.030977612907416907,5,148,69
2019-07,0.02345598094174341,5,144,70
2019-08,0.06369741695891594,5,140,81
2019-09,-0.005584171091497796,5,138,84
2019-10,-0.009388109938432485,5,139,86
2019-11,-0.007431219596041813,5,137,85
2019-12,-0.021174869945899934,5,131,85
2020-01,-0.008062499381666746,5,136,84
2020-02,-0.020241517712114764,5,135,82
2020-03,-0.013708589584440123,5,136,81
2020-04,-0.011711956276204579,5,137,78
2020-05,-0.008038510371738665,5,129,86
2020-06,-0.007394652343370406,5,128,96
2020-07,-0.005993312239636945,5,132,100
2020-08,0.01797986162460797,5,130,97
2020-09,0.006280185652824605,5,124,96
2020-10,0.006693420028023281,5,124,104
2020-11,0.014950684163183325,5,133,104
2020-12,-0.008084221874234705,5,139,109
2021-01,0.04459335345232983,5,147,125
2021-02,-0.005772982314946595,5,157,135
2021-03,0.03313337744849488,5,160,145
2021-04,0.031240226526453852,5,163,160
2021-05,-0.030054121253574956,5,167,163
2021-06,0.008781751143907543,5,162,174
2021-07,-0.02264163583087856,5,165,175
2021-08,-0.07147472519025021,5,174,178
2021-09,0.029544645005556137,5,176,190
2021-10,0.041068076951941535,5,182,203
2021-11,-0.00018173362650589429,5,188,226
2021-12,0.011750970382079503,5,195,234
2022-01,-0.050237626166238246,5,197,240
2022-02,-0.023337684347233652,5,198,235
2022-03,0.0021805529804012763,5,201,228
2022-04,-0.02488273034488696,5,208,225
2022-05,-0.04147851705542353,5,200,219
2022-06,0.01727101420596939,5,200,209
2022-07,-0.006901697589604816,5,193,178
2022-08,-0.013155895135466916,5,189,169
