month,spread,n_q,n_serial,n_base
2010-01,-0.02026479434507828,5,87,129
2010-02,0.010279091335535985,5,86,128
2010-03,0.0010336736880356245,5,92,133
2010-04,-0.03249345419658649,5,95,137
2010-05,-0.013373322703311447,5,94,137
2010-06,-0.018676959063076464,5,101,149
2010-07,-0.00821378746424519,5,103,152
2010-08,-0.0011371010193047162,5,106,158
2010-09,-0.01485466352605889,5,102,162
2010-10,-0.001314825087966362,5,107,166
2010-11,0.0059627953780075306,5,98,163
2010-12,-0.030899388308710352,5,99,173
2011-01,-0.025043916128581156,5,92,167
2011-02,0.022140619990321964,5,93,155
2011-03,-0.020871053277347017,5,91,147
2011-04,-0.04844111401889303,5,87,135
2011-05,0.006837622878254429,5,85,122
2011-06,-0.032544499112875665,5,83,118
2011-07,0.009719894420842359,5,76,102
2011-08,-0.016719133281274532,5,73,92
2011-09,0.0049843353318912015,5,72,90
2011-10,-0.03342821460613933,5,69,85
2011-11,-0.0481123240154063,5,63,81
2011-12,0.001656719028724371,5,57,77
2012-01,-0.012650880716572804,5,54,73
2012-02,-0.030307464719327527,5,53,72
2012-03,-0.07073494565698737,5,56,74
2012-04,-0.006781359796435996,5,61,82
2012-05,-0.007975158755669214,5,65,95
2012-06,0.004470283592404709,5,64,95
2012-07,-0.019670792327370158,5,60,91
2012-08,-0.0032781708829855705,5,56,86
2012-09,-0.0039223020790172675,5,53,85
2012-10,-0.0004974448543366552,5,48,76
2012-11,0.00020593253760369524,5,44,71
2012-12,0.013862226089553831,5,37,74
2013-01,-0.037616901529180555,5,35,73
2013-02,-0.021010318425201853,5,32,75
2013-03,-0.04196482239062936,5,32,79
2013-04,-0.025323036582091625,5,31,81
2013-05,0.0019548236265617565,5,34,88
2013-06,-0.052975090257737015,5,33,93
2013-07,-0.004568106517882221,4,27,98
2013-08,0.004585378709014357,5,24,103
2013-09,-0.035113865607366915,4,19,104
2013-10,0.002068132580012554,4,20,105
2013-11,0.0005501460246934917,4,21,115
2013-12,0.019501275949895043,4,16,135
2014-01,0.027659361678366107,4,16,140
2014-02,-0.004492731638856985,3,16,143
2014-03,-8.865896527437273e-05,3,16,158
