hid,ticker,play,reason,trig,exec_,orig,days_saved,r_avoided
ACB_20171228_41,ACB,DEEP_VALUE_RECOVERY,TIME,2018-02-27,2018-02-28,2018-03-12,8,0.028714135239991334
ACV_20171227_40,ACV,DEEP_VALUE_RECOVERY_W,TIME,2018-02-27,2018-02-28,2018-03-09,7,-0.020925093378962645
AGG_20211028_3586,AGG,RE_BACKLOG_BUY,TIME,2021-12-27,2021-12-28,2021-12-31,3,-0.012214844491518217
ANV_20210907_3494,ANV,DEEP_VALUE_RECOVERY,TIME,2021-09-10,2021-09-13,2021-11-10,42,0.1257102272727273
ANV_20250813_5319,ANV,DEEP_VALUE_RECOVERY,TIME,2025-09-22,2025-09-23,2025-10-20,19,0.1290614294240744
APG_20211224_4237,APG,DEEP_VALUE_RECOVERY,TIME,2021-12-27,2021-12-28,2022-03-08,44,-0.030384909736509536
BAF_20250813_5333,BAF,DEEP_VALUE_RECOVERY_W,TIME,2025-09-22,2025-09-23,2025-10-20,19,-0.006967288161959573
BCE_20210907_3498,BCE,DEEP_VALUE_RECOVERY,TIME,2021-09-10,2021-09-13,2021-11-10,42,0.6467236467236468
BMP_20200204_404,BMP,CAPITB_E6,TIME,2020-02-20,2020-02-21,2020-05-04,48,0.04056171670307829
BSI_20240405_4831,BSI,DEEP_VALUE_RECOVERY_W,TIME,2024-05-14,2024-05-15,2024-06-14,22,0.05857934182531177
BSR_20250813_5337,BSR,DEEP_VALUE_RECOVERY_W,TIME,2025-09-22,2025-09-23,2025-10-20,19,-0.0075309183866902885
BVB_20260129_5714,BVB,DEEP_VALUE_RECOVERY_W,TIME,2026-02-13,2026-02-23,2026-04-10,34,-0.10334535805763156
BVH_20260203_5727,BVH,DEEP_VALUE_RECOVERY,TIME,2026-02-13,2026-02-23,2026-04-15,37,-0.08292640366940529
CEO_20180315_269,CEO,RE_BACKLOG_BUY,TIME,2018-05-09,2018-05-10,2018-05-23,9,0.15942909034317676
CMG_20240425_4861,CMG,DEEP_VALUE_RECOVERY,TIME,2024-05-14,2024-05-15,2024-07-03,35,0.02423206960600921
CRE_20211224_4236,CRE,RE_BACKLOG_BUY,STOP,2021-12-27,2021-12-28,2022-01-19,15,-0.2538186592388767
CTD_20260204_5739,CTD,DEEP_VALUE_RECOVERY_W,TIME,2026-02-13,2026-02-23,2026-04-16,38,-0.04260265434565147
CTG_20251003_5692,CTG,DEEP_VALUE_RECOVERY,TIME,2025-10-06,2025-10-07,2025-12-08,44,-0.005384623745352535
CTI_20180323_274,CTI,DEEP_VALUE_RECOVERY_W,TIME,2018-05-09,2018-05-10,2018-05-31,15,-0.03755896644984735
CVT_20200204_401,CVT,CAPITB_E6,TIME,2020-02-20,2020-02-21,2020-05-04,48,-0.1859446429953835
D2D_20191021_391,D2D,RE_BACKLOG_BUY,TIME,2019-12-11,2019-12-12,2019-12-24,8,-0.04478434766988537
DDV_20210701_3123,DDV,DEEP_VALUE_RECOVERY,TIME,2021-07-26,2021-07-27,2021-09-07,28,0.6117910498173793
DDV_20210909_3518,DDV,DEEP_VALUE_RECOVERY,TIME,2021-09-10,2021-09-13,2021-11-12,44,-0.026716931832021507
DGW_20180404_299,DGW,DEEP_VALUE_RECOVERY_W,TIME,2018-05-09,2018-05-10,2018-06-12,23,0.13236786217122654
DPG_20210721_3242,DPG,DEEP_VALUE_RECOVERY,TIME,2021-07-26,2021-07-27,2021-09-27,42,0.5347883829441882
