hid,ticker,play,reason,trig,exec_,orig,days_saved,r_avoided
AAA_20201210_1173,AAA,DEEP_VALUE_RECOVERY,TIME,2021-02-17,2021-02-18,2021-02-22,2,0.01826086956521733
AGG_20211028_3586,AGG,RE_BACKLOG_BUY,TIME,2021-12-06,2021-12-07,2021-12-31,18,0.14962320853508548
BFC_20201007_437,BFC,DEEP_VALUE_RECOVERY,TIME,2020-11-10,2020-11-11,2020-12-10,21,0.034939248926944
BFC_20250310_4963,BFC,DEEP_VALUE_RECOVERY,TIME,2025-04-10,2025-04-11,2025-05-19,23,0.16567442935327392
BMP_20200204_404,BMP,CAPITB_E6,TIME,2020-03-13,2020-03-16,2020-05-04,32,0.2903279956942799
BSI_20240405_4831,BSI,DEEP_VALUE_RECOVERY_W,TIME,2024-04-17,2024-04-19,2024-06-14,37,0.2570193536797416
BVB_20260129_5714,BVB,DEEP_VALUE_RECOVERY_W,TIME,2026-03-26,2026-03-27,2026-04-10,10,0.05978264536318734
BVH_20260203_5727,BVH,DEEP_VALUE_RECOVERY,TIME,2026-03-26,2026-03-27,2026-04-15,13,-0.11672465712814595
CEO_20180315_269,CEO,RE_BACKLOG_BUY,TIME,2018-04-13,2018-04-16,2018-05-23,24,0.07571722880853371
CEO_20190219_379,CEO,RE_BACKLOG_BUY,TIME,2019-04-02,2019-04-03,2019-04-25,15,-0.0101590559261161
CEO_20230802_4263,CEO,RE_BACKLOG_BUY,TIME,2023-10-02,2023-10-03,2023-10-09,4,0.011579328530530342
CMG_20240425_4861,CMG,DEEP_VALUE_RECOVERY,TIME,2024-04-26,2024-05-02,2024-07-03,44,0.38207761726707834
CRC_20250409_5125,CRC,DEEP_VALUE_RECOVERY_W,ABANDONED_REFUND,2025-04-10,2025-04-11,2025-04-15,2,-0.025000000000000022
CRC_20250416_5133,CRC,DEEP_VALUE_RECOVERY_W,ABANDONED_REFUND,2025-04-17,2025-04-18,2025-04-22,2,-0.03669724770642202
CTD_20260204_5739,CTD,DEEP_VALUE_RECOVERY_W,TIME,2026-03-26,2026-03-27,2026-04-16,14,-0.04397910764170898
CTG_20201008_446,CTG,DEEP_VALUE_RECOVERY,TIME,2020-11-10,2020-11-11,2020-12-11,22,0.13242434757396104
CTI_20180323_274,CTI,DEEP_VALUE_RECOVERY_W,TIME,2018-04-13,2018-04-16,2018-05-31,30,-0.11648800166438822
