year,base,A,B,dA,dB,dd_base,dd_A,dd_B
2014,0.09547478407704313,0.09547478407704313,0.09547478407704313,0.0,0.0,-0.08593010007518809,-0.08593010007518809,-0.08593010007518809
2015,0.14128598163544526,0.14890610336140253,0.14128598163544526,0.007620121725957274,0.0,-0.1157823467908018,-0.11489494822693747,-0.1157823467908018
2016,0.2540865648202575,0.26462393020494557,0.20860861341396908,0.01053736538468808,-0.04547795140628841,-0.07826911061377562,-0.06552805248546034,-0.07826911061377562
2017,0.3813079748642383,0.37522430166042375,0.3955181889164312,-0.0060836732038145325,0.014210214052192915,-0.06062877462049132,-0.05978091781552064,-0.0625960771950218
2018,0.2275299310890886,0.22089223713795758,0.23682942842426047,-0.006637693951131007,0.00929949733517188,-0.22487292679486715,-0.18390340679115236,-0.15883440483487288
2019,0.14363459505452392,0.13775098521630813,0.1362233637441017,-0.005883609838215786,-0.007411231310422206,-0.05194539432969547,-0.05207904189339563,-0.05368923101535528
2020,0.6149842854455809,0.6326088263934038,0.476040359987411,0.017624540947822842,-0.13894392545816991,-0.11972179194355481,-0.11174756885345227,-0.135352995435858
2021,1.171981838646305,0.7089517214506749,1.1779449114194955,-0.46303011719563014,0.005963072773190525,-0.1546784880580998,-0.15349247265126775,-0.17100987221991226
2022,-0.13762958894558575,-0.05057931658618908,-0.14217253640461325,0.08705027235939666,-0.004542947459027502,-0.16049859390295385,-0.0830708235376647,-0.1510385817217227
2023,0.12116207832413695,0.14015341165496698,0.13403179693506817,0.01899133333083003,0.012869718610931224,-0.14502405905722793,-0.16261016064481038,-0.16205084829093863
2024,0.26585169128431785,0.2470787279082851,0.06707485076425401,-0.018772963376032736,-0.19877684052006384,-0.14570478192469782,-0.1616770578241966,-0.20134578095379074
2025,0.5668928053799653,0.5956518958435435,0.5652892563861771,0.028759090463578163,-0.0016035489937882286,-0.16599070157348128,-0.18927080815504016,-0.214420789333987
2026,-0.05191529218321522,0.13944569791164452,-0.021179970776300183,0.19136099009485974,0.03073532140691504,-0.14783293011693666,-0.0871662749174601,-0.18981937571032925
