time,n_univ,n_above,breadth
2012-01-03,185,24,0.12972972972972974
2012-01-04,184,27,0.14673913043478262
2012-01-05,183,26,0.14207650273224043
2012-01-06,181,24,0.13259668508287292
2012-01-09,180,26,0.14444444444444443
2012-01-10,182,28,0.15384615384615385
2012-01-11,180,26,0.14444444444444443
2012-01-12,181,27,0.14917127071823205
2012-01-13,181,30,0.16574585635359115
2012-01-16,181,30,0.16574585635359115
2012-01-17,180,29,0.16111111111111112
2012-01-18,180,30,0.16666666666666666
2012-01-19,180,35,0.19444444444444445
2012-01-20,180,38,0.2111111111111111
2012-01-30,178,43,0.24157303370786518
2012-01-31,177,45,0.2542372881355932
2012-02-01,176,44,0.25
2012-02-02,177,54,0.3050847457627119
2012-02-03,176,50,0.2840909090909091
2012-02-06,176,47,0.26704545454545453
2012-02-07,177,49,0.2768361581920904
2012-02-08,178,55,0.3089887640449438
2012-02-09,178,59,0.33146067415730335
2012-02-10,177,49,0.2768361581920904
2012-02-13,177,45,0.2542372881355932
2012-02-14,177,51,0.288135593220339
2012-02-15,177,46,0.2598870056497175
2012-02-16,177,45,0.2542372881355932
2012-02-17,176,51,0.2897727272727273
2012-02-20,177,64,0.3615819209039548
2012-02-21,176,62,0.3522727272727273
2012-02-22,177,74,0.4180790960451977
2012-02-23,179,83,0.46368715083798884
2012-02-24,177,85,0.480225988700565
2012-02-27,179,98,0.547486033519553
2012-02-28,176,81,0.4602272727272727
2012-02-29,177,86,0.4858757062146893
2012-03-01,178,89,0.5
2012-03-02,179,101,0.5642458100558659
2012-03-05,180,128,0.7111111111111111
2012-03-06,180,121,0.6722222222222223
2012-03-07,180,121,0.6722222222222223
2012-03-08,179,99,0.553072625698324
2012-03-09,180,107,0.5944444444444444
2012-03-12,177,89,0.5028248587570622
2012-03-13,181,96,0.5303867403314917
2012-03-14,180,87,0.48333333333333334
2012-03-15,181,111,0.6132596685082873
2012-03-16,181,110,0.6077348066298343
2012-03-19,182,112,0.6153846153846154
2012-03-20,183,125,0.6830601092896175
2012-03-21,184,135,0.7336956521739131
2012-03-22,184,139,0.7554347826086957
2012-03-23,184,148,0.8043478260869565
2012-03-26,184,155,0.842391304347826
2012-03-27,184,151,0.8206521739130435
2012-03-28,184,149,0.8097826086956522
2012-03-29,184,140,0.7608695652173914
2012-03-30,184,126,0.6847826086956522
2012-04-03,185,140,0.7567567567567568
2012-04-04,187,130,0.6951871657754011
2012-04-05,191,143,0.7486910994764397
2012-04-06,192,148,0.7708333333333334
2012-04-09,192,157,0.8177083333333334
2012-04-10,194,158,0.8144329896907216
2012-04-11,195,167,0.8564102564102564
2012-04-12,197,173,0.8781725888324873
2012-04-13,198,171,0.8636363636363636
2012-04-16,200,177,0.885
2012-04-17,200,180,0.9
2012-04-18,200,179,0.895
2012-04-19,201,175,0.8706467661691543
2012-04-20,204,177,0.8676470588235294
2012-04-23,206,179,0.8689320388349514
2012-04-24,206,179,0.8689320388349514
2012-04-25,209,190,0.9090909090909091
2012-04-26,207,189,0.9130434782608695
2012-04-27,207,187,0.9033816425120773
2012-05-02,207,190,0.9178743961352657
2012-05-03,208,191,0.9182692307692307
2012-05-04,209,190,0.9090909090909091
2012-05-07,213,195,0.9154929577464789
2012-05-08,215,198,0.9209302325581395
2012-05-09,216,199,0.9212962962962963
2012-05-10,219,201,0.9178082191780822
2012-05-11,222,203,0.9144144144144144
2012-05-14,221,200,0.9049773755656109
2012-05-15,221,193,0.8733031674208145
2012-05-16,221,189,0.8552036199095022
2012-05-17,221,188,0.8506787330316742
2012-05-18,224,177,0.7901785714285714
2012-05-21,226,193,0.8539823008849557
2012-05-22,229,194,0.8471615720524017
2012-05-23,229,180,0.7860262008733624
2012-05-24,228,172,0.7543859649122807
2012-05-25,228,182,0.7982456140350878
2012-05-28,228,187,0.8201754385964912
2012-05-29,228,181,0.793859649122807
2012-05-30,228,187,0.8201754385964912
2012-05-31,228,177,0.7763157894736842
2012-06-01,228,177,0.7763157894736842
2012-06-04,228,164,0.7192982456140351
2012-06-05,228,173,0.7587719298245614
2012-06-06,228,177,0.7763157894736842
2012-06-07,227,187,0.8237885462555066
2012-06-08,227,188,0.8281938325991189
2012-06-11,227,189,0.8325991189427313
2012-06-12,228,184,0.8070175438596491
2012-06-13,228,182,0.7982456140350878
2012-06-14,229,177,0.7729257641921398
2012-06-15,229,185,0.8078602620087336
2012-06-18,229,190,0.8296943231441049
2012-06-19,228,179,0.7850877192982456
2012-06-20,228,182,0.7982456140350878
2012-06-21,229,176,0.7685589519650655
2012-06-22,230,174,0.7565217391304347
2012-06-25,229,159,0.6943231441048034
2012-06-26,227,142,0.6255506607929515
2012-06-27,227,134,0.5903083700440529
2012-06-28,227,144,0.6343612334801763
2012-06-29,227,143,0.6299559471365639
2012-07-02,226,129,0.5707964601769911
2012-07-03,223,118,0.5291479820627802
2012-07-04,223,106,0.47533632286995514
2012-07-05,225,121,0.5377777777777778
2012-07-06,222,123,0.5540540540540541
2012-07-09,221,107,0.4841628959276018
2012-07-10,220,106,0.4818181818181818
2012-07-11,222,114,0.5135135135135135
2012-07-12,223,123,0.5515695067264574
2012-07-13,222,141,0.6351351351351351
2012-07-16,222,131,0.5900900900900901
2012-07-17,222,152,0.6846846846846847
2012-07-18,222,150,0.6756756756756757
2012-07-19,222,169,0.7612612612612613
2012-07-20,222,164,0.7387387387387387
2012-07-23,221,148,0.669683257918552
2012-07-24,221,131,0.5927601809954751
2012-07-25,221,128,0.579185520361991
2012-07-26,219,131,0.5981735159817352
2012-07-27,218,123,0.5642201834862385
