regime,zone,horizon,n_entries,n_full,VNI_med,BAL_n,BAL_med,BAL_p_pos,BAL_p_beat,LAG_n,LAG_med,LAG_p_pos,LAG_p_beat,COMB_n,COMB_med,COMB_p_pos,COMB_p_beat,PARK_n,PARK_med,PARK_p_pos,PARK_p_beat
BEAR,*ALL*,60,11,11,0.007073557946727815,11,0.034189892868224714,0.5454545454545454,0.5454545454545454,11,0.025110236467958957,0.6363636363636364,0.6363636363636364,11,0.03400615529152673,0.6363636363636364,0.7272727272727273,11,0.027448075977620556,0.7272727272727273,0.7272727272727273
BEAR,*ALL*,120,11,11,0.049339045022825045,11,0.0676938020819986,0.7272727272727273,0.7272727272727273,11,0.01578300727099302,0.5454545454545454,0.45454545454545453,11,0.03955872134373495,0.6363636363636364,0.7272727272727273,11,0.11868257547214034,0.7272727272727273,0.8181818181818182
BEAR,*ALL*,250,11,11,0.08042379754205764,11,0.2869520551894522,0.9090909090909091,1.0,11,0.24974641494005834,1.0,0.5454545454545454,11,0.22677400074575482,0.9090909090909091,0.9090909090909091,11,0.13871957040193217,0.9090909090909091,0.7272727272727273
BEAR,DAT,60,1,1,0.07573397373488233,1,0.034189892868224714,1.0,0.0,1,0.015002449473194845,1.0,0.0,1,0.049122285763975704,1.0,0.0,1,0.021227524838830503,1.0,0.0
BEAR,DAT,120,1,1,0.049339045022825045,1,0.014252869170565674,1.0,0.0,1,0.01578300727099302,1.0,0.0,1,0.03956809698578745,1.0,0.0,1,0.0020389073880455744,1.0,0.0
BEAR,DAT,250,1,1,0.05617576426299742,1,0.10672234636035638,1.0,1.0,1,0.042272146078491835,1.0,0.0,1,0.10032518822527137,1.0,1.0,1,0.019047993782927986,1.0,0.0
BEAR,RE,60,6,6,0.005280242003006808,6,0.038967478594696625,0.5,0.5,6,0.045970918111893355,0.6666666666666666,0.8333333333333334,6,0.028191414419015293,0.6666666666666666,0.8333333333333334,6,0.03050291769334168,0.8333333333333334,0.8333333333333334
BEAR,RE,120,6,6,0.07590370326776286,6,0.08337443101017239,0.6666666666666666,0.6666666666666666,6,0.021163230532710298,0.5,0.6666666666666666,6,0.0323702732189276,0.6666666666666666,0.6666666666666666,6,0.13637345176974935,0.6666666666666666,0.8333333333333334
BEAR,RE,250,6,6,0.0711537799850619,6,0.23569259062843728,0.8333333333333334,1.0,6,0.2820292785451125,1.0,0.6666666666666666,6,0.19706385579762054,0.8333333333333334,0.8333333333333334,6,0.13597547093586138,0.8333333333333334,0.6666666666666666
BEAR,TRUNGTINH,60,4,4,-0.010561899435751088,4,0.031145411382546673,0.5,0.75,4,-0.0214238249692123,0.5,0.5,4,0.029352272959444092,0.5,0.75,4,0.02575399898045777,0.5,0.75
BEAR,TRUNGTINH,120,4,4,-0.012169348357990217,4,0.11081826151295959,0.75,1.0,4,0.05495865537820027,0.5,0.25,4,0.08601242941005838,0.5,1.0,4,0.08008152335327867,0.75,1.0
BEAR,TRUNGTINH,250,4,4,0.16612728363240203,4,0.5835404172823648,1.0,1.0,4,0.23545579279220374,1.0,0.5,4,0.35079236453579155,1.0,1.0,4,0.49580373527906296,1.0,1.0
BULL,*ALL*,60,24,24,0.03299662063704911,24,0.09618639465535395,0.9166666666666666,0.8333333333333334,24,0.1269710164178658,0.875,0.75,24,0.11340049109474126,0.8333333333333334,0.75,24,0.03836803457215643,0.7916666666666666,0.5833333333333334
BULL,*ALL*,120,24,23,0.0485667961699654,23,0.14287554365701371,1.0,1.0,23,0.20070893128881329,0.9565217391304348,0.9565217391304348,23,0.1569832222146792,0.9565217391304348,0.9565217391304348,23,0.08081568275759654,0.8695652173913043,0.8695652173913043
BULL,*ALL*,250,24,22,0.04320755565615464,22,0.25779445088065966,0.9545454545454546,1.0,22,0.35053305551162595,1.0,1.0,22,0.2948427958129515,1.0,1.0,22,0.10895773328928948,0.6363636363636364,0.8636363636363636
BULL,DAT,60,8,8,0.12135017909346446,8,0.2834359421799001,0.875,0.75,8,0.14218965088830704,0.875,0.875,8,0.19820619101004144,0.875,0.75,8,0.2283123565804851,0.875,0.875
BULL,DAT,120,8,8,0.13607124488364253,8,0.273482409283604,1.0,1.0,8,0.24747837866368605,1.0,1.0,8,0.269238117936484,1.0,1.0,8,0.1829181426527503,0.75,0.75
BULL,DAT,250,8,8,-0.024035794918914555,8,0.36351921337063453,1.0,1.0,8,0.38156200513168925,1.0,1.0,8,0.3278212262061374,1.0,1.0,8,-0.014542738176653802,0.375,0.75
BULL,RE,60,6,6,0.02815535888349774,6,0.08311151731378386,1.0,0.8333333333333334,6,0.12684636524104909,0.8333333333333334,0.8333333333333334,6,0.10859829915802599,0.8333333333333334,0.8333333333333334,6,0.02862150741718561,1.0,0.5
BULL,RE,120,6,6,0.03643284961214632,6,0.11596308920298992,1.0,1.0,6,0.20182850990321077,1.0,1.0,6,0.15306207238195413,1.0,1.0,6,0.07308612489481503,1.0,1.0
BULL,RE,250,6,6,0.06674432884981762,6,0.19052741894491676,0.8333333333333334,1.0,6,0.33573018583805914,1.0,1.0,6,0.2718877450909025,1.0,1.0,6,0.14198971877646926,0.8333333333333334,0.8333333333333334
BULL,TRUNGTINH,60,10,10,0.02189126021496446,10,0.07246337185757146,0.9,0.9,10,0.12442601729314529,0.9,0.6,10,0.1067282947154865,0.8,0.7,10,0.00841724635697716,0.6,0.4
BULL,TRUNGTINH,120,10,9,0.0485667961699654,9,0.10492584148256445,1.0,1.0,9,0.19295205500527146,0.8888888888888888,0.8888888888888888,9,0.13237384185719647,0.8888888888888888,0.8888888888888888,9,0.03007394073961711,0.8888888888888888,0.8888888888888888
BULL,TRUNGTINH,250,10,8,0.04320755565615464,8,0.27694010197669316,1.0,1.0,8,0.3668846490016926,1.0,1.0,8,0.28597437266613257,1.0,1.0,8,0.10895773328928948,0.75,1.0
CRISIS,*ALL*,60,38,38,-0.0008807247623838776,38,0.002159172582386515,0.5263157894736842,0.5263157894736842,38,-0.046852609369030185,0.42105263157894735,0.47368421052631576,38,-0.01761615920994808,0.4473684210526316,0.42105263157894735,35,-0.03544160398349194,0.37142857142857144,0.5142857142857142
CRISIS,*ALL*,120,38,38,0.0382810306260678,38,0.04289829959088687,0.7894736842105263,0.5263157894736842,38,0.08582695447581712,0.8421052631578947,0.8157894736842105,38,0.06345281093496391,0.8947368421052632,0.7631578947368421,35,0.017031073228949145,0.6,0.45714285714285713
CRISIS,*ALL*,250,38,38,0.17848137340232684,38,0.21227184637332397,0.8157894736842105,0.9473684210526315,38,0.30187135356963124,0.9473684210526315,0.868421052631579,38,0.26348108424771466,0.8157894736842105,0.9473684210526315,35,0.17989752146958415,0.7428571428571429,0.5714285714285714
CRISIS,DAT,60,10,10,-0.0010479884221371027,10,-0.0051591680424462605,0.4,0.5,10,-0.047609526978530825,0.4,0.4,10,-0.02297092347560209,0.3,0.3,10,-0.050647039093751234,0.3,0.2
CRISIS,DAT,120,10,10,0.04343106098642446,10,0.024596467366323815,0.9,0.3,10,0.08255235136014039,1.0,0.9,10,0.04988744596120409,1.0,0.8,10,-0.003751752825002619,0.5,0.3
CRISIS,DAT,250,10,10,0.18543021220186384,10,0.21819838187844842,0.9,0.9,10,0.2705897728867922,0.9,0.9,10,0.23405415691256937,0.9,0.9,10,0.13847689008061193,0.7,0.2
CRISIS,RE,60,12,12,0.028779886436965274,12,0.019476434521533692,0.6666666666666666,0.5,12,0.04496284285387642,0.5833333333333334,0.5833333333333334,12,0.03376071471409581,0.6666666666666666,0.5,11,0.0446744744534977,0.6363636363636364,0.9090909090909091
CRISIS,RE,120,12,12,0.013096119430738073,12,0.061966990632912,0.5833333333333334,0.6666666666666666,12,0.07995931280483382,0.6666666666666666,0.75,12,0.059000783008816504,0.8333333333333334,0.75,11,0.055163934960132055,0.7272727272727273,0.7272727272727273
CRISIS,RE,250,12,12,0.10921890985575411,12,0.23403333985757113,0.75,1.0,12,0.3698671045847063,1.0,0.8333333333333334,12,0.36875493828951345,0.75,0.9166666666666666,11,0.2912034421033556,0.7272727272727273,1.0
CRISIS,TRUNGTINH,60,16,16,-0.007633105618890135,16,0.0007953493062405892,0.5,0.5625,16,-0.04845029989343075,0.3125,0.4375,16,-0.023695485721603016,0.375,0.4375,14,-0.04626504356856259,0.21428571428571427,0.42857142857142855
CRISIS,TRUNGTINH,120,16,16,0.045897448604712454,16,0.04289829959088687,0.875,0.5625,16,0.0887734903038192,0.875,0.8125,16,0.06672289033533663,0.875,0.75,14,0.014365201707235875,0.5714285714285714,0.35714285714285715
CRISIS,TRUNGTINH,250,16,16,0.19124801768237143,16,0.21227184637332397,0.8125,0.9375,16,0.3020132700100181,0.9375,0.875,16,0.2637615503420083,0.8125,1.0,14,0.16577996341094237,0.7857142857142857,0.5
EXBULL,*ALL*,60,4,4,0.11025837613549139,4,0.16797266825841173,1.0,0.5,4,0.21110015954254313,0.75,0.75,4,0.1944748145495343,0.75,0.75,4,0.319735522512578,0.75,0.75
EXBULL,*ALL*,120,4,4,0.21484131205177748,4,0.31993381414617217,1.0,0.75,4,0.4262189401366151,0.75,0.75,4,0.3925482520049205,1.0,0.75,4,0.6231532130731844,1.0,0.75
EXBULL,*ALL*,250,4,3,0.369329167163003,3,1.0739291185816864,1.0,1.0,3,1.011028483314758,1.0,1.0,3,1.0222328515157675,1.0,1.0,3,0.8929219021986865,1.0,1.0
EXBULL,DAT,60,2,2,0.11025837613549139,2,0.16797266825841173,1.0,1.0,2,0.21110015954254313,1.0,1.0,2,0.1944748145495343,1.0,1.0,2,0.319735522512578,1.0,1.0
EXBULL,DAT,120,2,2,0.2281963990270952,2,0.321386282711435,1.0,1.0,2,0.43729529943869583,1.0,1.0,2,0.3927350743531016,1.0,1.0,2,0.6231532130731844,1.0,1.0
EXBULL,DAT,250,2,2,0.3626109342190489,2,1.0455163091568451,1.0,1.0,2,1.0076551255096535,1.0,1.0,2,1.014313409167988,1.0,1.0,2,0.880305517071523,1.0,1.0
