time,open,high,low,close,volume
2023-09-11 09:15:00,5.3,5.3,5.3,5.3,5300
2023-09-11 09:20:00,5.31,5.31,5.31,5.31,700
2023-09-11 09:21:00,5.36,5.36,5.36,5.36,1400
2023-09-11 09:22:00,5.3,5.3,5.3,5.3,7000
2023-09-11 09:23:00,5.36,5.36,5.36,5.36,1300
2023-09-11 09:24:00,5.36,5.4,5.36,5.4,10500
2023-09-11 09:25:00,5.4,5.4,5.4,5.4,1200
2023-09-11 09:26:00,5.4,5.4,5.4,5.4,15300
2023-09-11 09:27:00,5.4,5.4,5.39,5.39,1400
2023-09-11 09:29:00,5.39,5.39,5.39,5.39,2000
2023-09-11 09:30:00,5.38,5.39,5.38,5.39,500
2023-09-11 09:31:00,5.39,5.39,5.39,5.39,10000
2023-09-11 09:32:00,5.39,5.39,5.38,5.39,6500
2023-09-11 09:34:00,5.39,5.39,5.39,5.39,1000
2023-09-11 09:35:00,5.39,5.39,5.39,5.39,800
2023-09-11 09:42:00,5.38,5.38,5.38,5.38,300
2023-09-11 09:44:00,5.38,5.38,5.38,5.38,600
2023-09-11 09:45:00,5.38,5.38,5.38,5.38,400
2023-09-11 09:46:00,5.38,5.38,5.38,5.38,500
2023-09-11 09:47:00,5.33,5.33,5.33,5.33,2000
2023-09-11 09:50:00,5.33,5.33,5.33,5.33,5000
2023-09-11 09:54:00,5.38,5.38,5.38,5.38,500
2023-09-11 10:00:00,5.38,5.38,5.38,5.38,500
2023-09-11 10:01:00,5.33,5.33,5.33,5.33,20000
2023-09-11 10:02:00,5.33,5.33,5.33,5.33,2000
2023-09-11 10:03:00,5.33,5.33,5.33,5.33,200
2023-09-11 10:04:00,5.38,5.38,5.38,5.38,3300
2023-09-11 10:05:00,5.38,5.39,5.38,5.39,700
2023-09-11 10:08:00,5.38,5.38,5.33,5.33,1300
2023-09-11 10:11:00,5.33,5.33,5.33,5.33,1100
2023-09-11 10:12:00,5.34,5.34,5.34,5.34,100
2023-09-11 10:13:00,5.34,5.34,5.34,5.34,1700
2023-09-11 10:15:00,5.34,5.34,5.34,5.34,100
2023-09-11 10:16:00,5.32,5.32,5.32,5.32,6000
2023-09-11 10:19:00,5.32,5.32,5.32,5.32,100
2023-09-11 10:20:00,5.32,5.32,5.32,5.32,3000
2023-09-11 10:32:00,5.33,5.33,5.33,5.33,100
2023-09-11 10:43:00,5.33,5.33,5.33,5.33,200
2023-09-11 10:51:00,5.33,5.33,5.33,5.33,100
2023-09-11 11:03:00,5.35,5.35,5.35,5.35,300
2023-09-11 11:04:00,5.36,5.36,5.36,5.36,100
2023-09-11 11:08:00,5.36,5.36,5.36,5.36,1400
2023-09-11 11:17:00,5.33,5.33,5.33,5.33,9700
2023-09-11 11:18:00,5.32,5.32,5.32,5.32,5000
2023-09-11 11:19:00,5.32,5.32,5.32,5.32,100
2023-09-11 11:23:00,5.33,5.33,5.33,5.33,5000
2023-09-11 13:00:00,5.32,5.33,5.32,5.33,600
2023-09-11 13:02:00,5.32,5.32,5.32,5.32,200
2023-09-11 13:03:00,5.33,5.33,5.33,5.33,1700
2023-09-11 13:04:00,5.33,5.33,5.33,5.33,200
2023-09-11 13:05:00,5.33,5.33,5.33,5.33,100
