time,open,high,low,close,volume
2023-09-11 09:15:00,8.14,8.14,8.14,8.14,12100
2023-09-11 09:16:00,8.14,8.14,8.14,8.14,3000
2023-09-11 09:17:00,8.14,8.14,8.12,8.12,13600
2023-09-11 09:19:00,8.11,8.11,8.11,8.11,1800
2023-09-11 09:20:00,8.1,8.1,8.1,8.1,10500
2023-09-11 09:21:00,8.1,8.1,8.1,8.1,30700
2023-09-11 09:22:00,8.1,8.11,8.1,8.11,5700
2023-09-11 09:23:00,8.11,8.11,8.11,8.11,500
2023-09-11 09:24:00,8.11,8.11,8.11,8.11,2000
2023-09-11 09:25:00,8.11,8.11,8.09,8.09,7200
2023-09-11 09:26:00,8.1,8.1,8.09,8.1,4500
2023-09-11 09:27:00,8.1,8.1,8.08,8.08,5300
2023-09-11 09:28:00,8.09,8.09,8.09,8.09,700
2023-09-11 09:29:00,8.09,8.09,8.09,8.09,400
2023-09-11 09:31:00,8.1,8.1,8.08,8.08,15000
2023-09-11 09:33:00,8.09,8.09,8.09,8.09,1000
2023-09-11 09:34:00,8.09,8.09,8.09,8.09,22700
2023-09-11 09:35:00,8.12,8.12,8.12,8.12,16300
2023-09-11 09:36:00,8.13,8.13,8.13,8.13,5300
2023-09-11 09:37:00,8.13,8.13,8.13,8.13,300
2023-09-11 09:39:00,8.13,8.13,8.13,8.13,100
2023-09-11 09:40:00,8.11,8.11,8.11,8.11,300
2023-09-11 09:41:00,8.11,8.11,8.11,8.11,2000
2023-09-11 09:42:00,8.12,8.13,8.12,8.12,5000
2023-09-11 09:43:00,8.12,8.12,8.1,8.1,45900
2023-09-11 09:44:00,8.1,8.1,8.1,8.1,5100
2023-09-11 09:46:00,8.1,8.1,8.1,8.1,15800
2023-09-11 09:47:00,8.1,8.1,8.1,8.1,100
2023-09-11 09:48:00,8.12,8.12,8.1,8.1,40000
2023-09-11 09:49:00,8.1,8.1,8.1,8.1,8500
2023-09-11 09:50:00,8.1,8.1,8.1,8.1,7000
2023-09-11 09:52:00,8.1,8.1,8.1,8.1,2100
2023-09-11 09:53:00,8.1,8.1,8.1,8.1,400
2023-09-11 09:54:00,8.1,8.1,8.1,8.1,4500
2023-09-11 09:55:00,8.1,8.11,8.1,8.11,5000
2023-09-11 09:57:00,8.11,8.11,8.09,8.09,18600
2023-09-11 10:01:00,8.09,8.09,8.09,8.09,10000
2023-09-11 10:04:00,8.09,8.09,8.09,8.09,900
2023-09-11 10:05:00,8.1,8.1,8.1,8.1,800
2023-09-11 10:08:00,8.09,8.09,8.09,8.09,500
2023-09-11 10:09:00,8.09,8.09,8.09,8.09,16500
2023-09-11 10:10:00,8.09,8.1,8.09,8.1,2700
