time,open,high,low,close,volume
2023-09-11 09:15:00,29.49,29.49,29.28,29.32,742000
2023-09-11 09:16:00,29.32,29.4,29.32,29.4,177800
2023-09-11 09:17:00,29.45,29.57,29.4,29.57,225800
2023-09-11 09:18:00,29.57,29.74,29.57,29.74,231100
2023-09-11 09:19:00,29.74,29.79,29.7,29.74,220400
2023-09-11 09:20:00,29.79,29.79,29.62,29.62,212300
2023-09-11 09:21:00,29.66,29.7,29.62,29.66,122000
2023-09-11 09:22:00,29.66,29.66,29.57,29.57,78800
2023-09-11 09:23:00,29.62,29.62,29.53,29.53,152500
2023-09-11 09:24:00,29.57,29.57,29.53,29.53,96900
2023-09-11 09:25:00,29.53,29.53,29.49,29.53,128100
2023-09-11 09:26:00,29.49,29.53,29.49,29.49,82400
2023-09-11 09:27:00,29.49,29.53,29.49,29.49,38900
2023-09-11 09:28:00,29.49,29.53,29.45,29.45,31800
2023-09-11 09:29:00,29.45,29.49,29.4,29.45,73600
2023-09-11 09:30:00,29.45,29.45,29.4,29.45,17900
2023-09-11 09:31:00,29.4,29.45,29.4,29.45,56400
2023-09-11 09:32:00,29.4,29.49,29.4,29.45,45000
2023-09-11 09:33:00,29.45,29.49,29.45,29.49,93200
2023-09-11 09:34:00,29.49,29.53,29.45,29.49,38100
2023-09-11 09:35:00,29.49,29.53,29.49,29.53,34100
2023-09-11 09:36:00,29.53,29.53,29.53,29.53,51800
2023-09-11 09:37:00,29.57,29.62,29.53,29.57,71600
2023-09-11 09:38:00,29.57,29.57,29.53,29.53,7000
2023-09-11 09:39:00,29.57,29.62,29.57,29.62,47900
2023-09-11 09:40:00,29.57,29.62,29.57,29.57,28800
2023-09-11 09:41:00,29.57,29.62,29.57,29.57,37200
2023-09-11 09:42:00,29.57,29.57,29.57,29.57,70600
2023-09-11 09:43:00,29.57,29.57,29.53,29.53,19000
2023-09-11 09:44:00,29.53,29.57,29.53,29.53,20500
2023-09-11 09:45:00,29.57,29.57,29.53,29.53,12300
2023-09-11 09:46:00,29.57,29.57,29.53,29.53,28700
2023-09-11 09:47:00,29.53,29.53,29.53,29.53,7000
2023-09-11 09:48:00,29.49,29.53,29.49,29.53,6700
2023-09-11 09:49:00,29.49,29.53,29.49,29.49,10500
2023-09-11 09:50:00,29.49,29.53,29.49,29.49,79500
2023-09-11 09:51:00,29.45,29.49,29.45,29.45,17000
2023-09-11 09:52:00,29.45,29.45,29.45,29.45,88100
2023-09-11 09:53:00,29.45,29.45,29.4,29.4,22800
2023-09-11 09:54:00,29.4,29.45,29.4,29.4,62200
2023-09-11 09:55:00,29.45,29.45,29.32,29.4,93400
2023-09-11 09:56:00,29.32,29.4,29.32,29.36,16900
2023-09-11 09:57:00,29.32,29.36,29.32,29.32,6200
2023-09-11 09:58:00,29.32,29.32,29.28,29.28,64800
2023-09-11 09:59:00,29.32,29.32,29.23,29.28,32500
2023-09-11 10:00:00,29.23,29.28,29.23,29.28,32200
