ticker,adv_bn,px,n
MFS,0.25,33390.0,58
C47,0.251,9351.0,67
SAF,0.254,55739.0,64
HRC,0.259,41111.0,66
BCC,0.259,6770.0,67
DTP,0.26,77495.0,61
HCD,0.261,6602.0,67
TRA,0.261,38524.0,67
VTR,0.261,10399.0,67
L18,0.262,16751.0,67
SRF,0.264,7761.0,66
CKG,0.289,6780.0,67
MVC,0.29,13490.0,67
CHP,0.293,27656.0,67
SCI,0.293,11473.0,66
DBT,0.294,12395.0,67
NHT,0.297,11667.0,66
PDN,0.302,101287.0,64
IVS,0.305,6705.0,67
AVG,0.305,8997.0,67
SMB,0.311,38680.0,67
KDM,0.315,21721.0,67
PVG,0.319,5910.0,67
HAP,0.319,6947.0,67
MPC,0.326,15613.0,67
LGL,0.327,5308.0,67
AST,0.328,61024.0,66
HLD,0.33,15151.0,67
SGT,0.331,13386.0,66
ABI,0.348,19187.0,67
DHT,0.348,64282.0,67
ILB,0.349,21278.0,66
DSC,0.35,12391.0,67
TVD,0.356,9140.0,67
VCP,0.359,23652.0,67
PGB,0.37,10367.0,67
LBM,0.376,28505.0,67
PGC,0.382,12389.0,67
HVT,0.383,24931.0,67
NBC,0.385,7832.0,67
LLM,0.389,21961.0,62
ANT,0.393,25416.0,67
GDA,0.394,13309.0,67
SGN,0.4,54009.0,67
HGM,0.404,149854.0,65
SBB,0.406,19836.0,66
ABT,0.411,53404.0,67
LBE,0.415,16430.0,67
DDB,0.415,9282.0,66
SJE,0.417,12606.0,67
VFG,0.42,46699.0,67
CIG,0.421,6764.0,67
SLS,0.426,144673.0,66
TCL,0.429,30339.0,67
XMC,0.431,9805.0,62
LIX,0.437,27476.0,67
VIT,0.438,23292.0,62
VNP,0.441,17406.0,67
LSS,0.444,8206.0,67
PPH,0.447,25227.0,67
NHH,0.447,10126.0,67
SAM,0.449,5986.0,67
SKG,0.458,8339.0,67
VEF,0.469,85233.0,67
DVM,0.476,6366.0,67
TNT,0.478,10561.0,67
VGP,0.479,26597.0,67
HTI,0.484,20090.0,67
NAG,0.487,7618.0,67
PXL,0.489,12185.0,67
ILS,0.518,23185.0,67
CLX,0.528,13709.0,67
DP3,0.531,60758.0,67
VSF,0.532,26852.0,67
VTV,0.543,13843.0,67
NBB,0.55,17399.0,67
MCP,0.559,27569.0,67
DVN,0.573,20124.0,67
IMP,0.577,41883.0,67
S99,0.579,8790.0,67
GSP,0.586,10056.0,67
SGP,0.594,22169.0,67
CMS,0.609,6643.0,67
FMC,0.618,34903.0,67
MML,0.645,29501.0,67
PSD,0.649,13012.0,67
C32,0.651,15297.0,67
TIP,0.655,17784.0,67
G36,0.669,9915.0,67
THG,0.671,33937.0,67
CQN,0.7,30297.0,67
SJD,0.729,14044.0,67
SAS,0.734,32796.0,67
GCF,0.743,18976.0,67
MVN,0.755,58133.0,66
PAT,0.762,64762.0,65
IPA,0.774,15216.0,67
ODE,0.802,46141.0,58
HTN,0.803,7186.0,67
LDP,0.809,8248.0,67
