ticker,date,target,anchor,current_fill,current_cost,current_share,expected_floor_fill,expected_floor_cost,expected_floor_share,adv_only_fill,adv_only_cost,adv_only_share
BIC,2026-04-20,10600,23550.0,10330,244913200.0,0.06760471204188481,10314,244272000.0,0.0675,10328,244578100.0,0.06759162303664921
BIC,2026-04-21,10500,23550.0,10192,246315000.0,0.11426008968609866,10166,245811200.0,0.11396860986547085,10184,246289200.0,0.11417040358744394
BIC,2026-04-22,9900,23650.0,3382,80707550.0,0.20373493975903614,5644,134750500.0,0.34,5644,134750500.0,0.34
BIC,2026-04-23,9200,23650.0,8036,191557350.0,0.18389016018306636,8882,212182100.0,0.20324942791762013,8882,212182100.0,0.20324942791762013
BIC,2026-04-24,8800,23700.0,8538,205138700.0,0.05112574850299401,8558,205073250.0,0.05124550898203593,8558,205073250.0,0.05124550898203593
BIC,2026-04-28,9100,24250.0,8836,214809850.0,0.12137362637362638,8816,213874250.0,0.1210989010989011,8816,213874250.0,0.1210989010989011
BIC,2026-04-29,8800,24200.0,8500,202006050.0,0.07936507936507936,8500,201813550.0,0.07936507936507936,8548,202606300.0,0.07981325863678805
BIC,2026-05-04,9200,23750.0,8950,213639800.0,0.14161392405063292,8946,213375800.0,0.14155063291139242,8962,213275800.0,0.14180379746835442
BIC,2026-05-05,8400,23750.0,8174,194672600.0,0.1369179229480737,8222,195809600.0,0.1377219430485762,8206,195351000.0,0.13745393634840872
BIC,2026-05-06,7700,24350.0,7520,177973650.0,0.07712820512820513,7522,178257400.0,0.07714871794871794,7522,178257400.0,0.07714871794871794
BIC,2026-05-07,7500,24500.0,7306,173350900.0,0.07690526315789474,7234,171337300.0,0.07614736842105263,7296,172821700.0,0.0768
BIC,2026-05-08,7700,23950.0,7490,178120800.0,0.1330373001776199,7490,177795800.0,0.1330373001776199,7478,176886600.0,0.13282415630550623
BIC,2026-05-11,7700,23850.0,7426,173789700.0,0.05055139550714772,7442,174293300.0,0.05066031313818924,7460,175103250.0,0.05078284547311096
BIC,2026-05-12,7900,23700.0,7642,178310000.0,0.0500130890052356,7668,178873950.0,0.05018324607329843,7668,178873950.0,0.05018324607329843
BIC,2026-05-13,8300,23500.0,8118,187927450.0,0.14217162872154115,8106,187802500.0,0.1419614711033275,8126,188266500.0,0.14231173380035025
BIC,2026-05-14,8000,23700.0,7820,180963250.0,0.12715447154471546,7780,179941550.0,0.1265040650406504,7780,179941550.0,0.1265040650406504
BIC,2026-05-15,8100,23800.0,2652,61319000.0,0.24555555555555555,3672,85115600.0,0.34,3672,85115600.0,0.34
BIC,2026-05-18,8100,23600.0,7854,182089900.0,0.06712820512820512,7808,180539550.0,0.06673504273504273,7808,180539550.0,0.06673504273504273
BIC,2026-05-19,8300,23200.0,8012,186583750.0,0.14281639928698753,8088,188325450.0,0.1441711229946524,8088,188325450.0,0.1441711229946524
BIC,2026-05-20,8300,23100.0,8100,187789200.0,0.10785619174434088,8044,186813900.0,0.10711051930758989,8066,187606000.0,0.1074034620505992
BIC,2026-05-21,8700,23000.0,8500,195652500.0,0.07036423841059603,8436,194199300.0,0.06983443708609272,8436,194259300.0,0.06983443708609272
BIC,2026-05-22,8500,23150.0,8176,188973600.0,0.07494042163153071,8176,188946100.0,0.07494042163153071,8240,190094950.0,0.07552703941338222
BIC,2026-05-25,8500,23300.0,8240,193205900.0,0.09694117647058824,8274,193790700.0,0.09734117647058824,8194,191940200.0,0.0964
BIC,2026-05-26,8800,23300.0,8326,195819750.0,0.19776722090261284,8566,201121450.0,0.20346793349168646,8566,201121450.0,0.20346793349168646
BIC,2026-05-27,8800,23300.0,4790,113132400.0,0.2575268817204301,6324,149345000.0,0.34,6324,149345000.0,0.34
BIC,2026-05-28,8100,23150.0,4483,106757321.75,0.025270574971815108,6017,143142121.75,0.03391770011273957,7806,185487207.0,0.04400225479143179
BIC,2026-05-29,8600,23200.0,7671,182968015.0,0.06711286089238845,7743,184685215.0,0.06774278215223097,7743,184685215.0,0.06774278215223097
BIC,2026-06-01,8500,23450.0,406,9805075.0,0.001799645390070922,503,12147794.75,0.002229609929078014,503,12147794.75,0.002229609929078014
BIC,2026-06-02,9300,23600.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
BIC,2026-06-03,9500,23650.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
BIC,2026-06-04,9200,23850.0,8100,198715275.0,0.06688687035507845,8100,198715275.0,0.06688687035507845,8100,198715275.0,0.06688687035507845
BIC,2026-06-05,9300,24000.0,5968,147119300.0,0.25724137931034485,7830,193017150.0,0.3375,7888,194446850.0,0.34
BIC,2026-06-08,8900,24650.0,8660,213261600.0,0.05867208672086721,8660,213261600.0,0.05867208672086721,8646,213123900.0,0.058577235772357725
BIC,2026-06-09,8900,24650.0,8676,212700550.0,0.15861060329067642,8676,212700550.0,0.15861060329067642,8668,212377900.0,0.15846435100548445
BIC,2026-06-10,8500,24650.0,8262,203420000.0,0.13816053511705687,8204,201407600.0,0.137190635451505,8204,201407600.0,0.137190635451505
BIC,2026-06-11,8500,24600.0,8302,202195750.0,0.12597875569044006,8240,200828850.0,0.12503793626707133,8252,202058800.0,0.12522003034901366
BIC,2026-06-12,8600,24650.0,5852,143917100.0,0.23885714285714285,8296,203870800.0,0.33861224489795916,8296,203870800.0,0.33861224489795916
BIC,2026-06-15,8700,24500.0,8444,208494850.0,0.1127369826435247,8444,208467350.0,0.1127369826435247,8446,208625550.0,0.11276368491321763
BIC,2026-06-16,8400,24700.0,8170,201438100.0,0.08563941299790356,8158,201140600.0,0.08551362683438155,8226,202813300.0,0.08622641509433962
BIC,2026-06-17,8700,24700.0,8370,206384800.0,0.07473214285714286,8382,206638400.0,0.07483928571428572,8382,206638400.0,0.07483928571428572
BIC,2026-06-18,8900,24600.0,1768,43275200.0,0.19010752688172042,3162,77526800.0,0.34,3162,77526800.0,0.34
BIC,2026-06-19,8300,24700.0,2738,65741300.0,0.06070953436807095,8144,193808200.0,0.18057649667405765,8144,193808200.0,0.18057649667405765
BIC,2026-06-22,8000,24700.0,3336,79451950.0,0.2284931506849315,4964,118298750.0,0.34,4964,118298750.0,0.34
