ticker,date,adv20_vnd,ceiling,target,S0_current_filled,S0_current_shown,l1_avail,day_vol,S1_adv_only_filled,S1_adv_only_shown,S2_no_pacing_filled,S2_no_pacing_shown,S0_current_fr,S1_adv_only_fr,S2_no_pacing_fr
BIC,2026-04-20,2512306.5,23.7,31800,10346,3700,51000.0,152800,10512,10600,17340,31800,0.32534591194968554,0.3305660377358491,0.5452830188679245
BIC,2026-04-21,2484832.5,24.25,30700,10192,3400,88000.0,89200,10184,10200,29920,30700,0.3319869706840391,0.3317263843648208,0.9745928338762215
BIC,2026-04-22,2349073.25,24.2,29100,3382,1700,16600.0,16600,5644,9700,5644,29100,0.11621993127147766,0.19395189003436425,0.19395189003436425
BIC,2026-04-23,2185893.25,23.75,27600,4420,9200,13000.0,43700,4420,9200,4420,27600,0.16014492753623188,0.16014492753623188,0.16014492753623188
BIC,2026-04-24,2090174.5,23.75,26400,884,7900,7500.0,167000,2550,8800,2550,26400,0.033484848484848485,0.09659090909090909,0.09659090909090909
BIC,2026-04-28,2207402.25,24.35,27100,7305,3900,32093.333333333354,72800,9038,9000,10911,27100,0.26955719557195573,0.3335055350553506,0.402619926199262
BIC,2026-04-29,2141112.75,24.5,26200,8700,6600,107100.0,107100,8648,8700,26106,26200,0.3320610687022901,0.3300763358778626,0.996412213740458
BIC,2026-05-04,2192968.0,23.95,27400,9094,4600,59700.0,63200,9070,9100,20298,27400,0.33189781021897813,0.33102189781021896,0.7408029197080293
BIC,2026-05-05,2011910.0,23.85,25300,8374,2100,59700.0,59700,8406,8400,20298,25300,0.33098814229249013,0.33225296442687746,0.8022924901185771
BIC,2026-05-06,1886966.5,23.7,23800,7938,2500,92200.0,97500,7928,7900,23760,23800,0.3335294117647059,0.333109243697479,0.9983193277310924
BIC,2026-05-07,1845318.0,23.5,23500,0,7800,500.0,95000,170,7800,170,23500,0.0,0.00723404255319149,0.00723404255319149
BIC,2026-05-08,1850522.0,23.7,23400,2312,5400,15800.0,56300,5372,7800,5372,23400,0.09880341880341881,0.22957264957264958,0.22957264957264958
BIC,2026-05-11,1848380.0,23.8,23200,7726,5800,141750.0,146900,7760,7700,23165,23200,0.3330172413793103,0.33448275862068966,0.9984913793103448
BIC,2026-05-12,1874656.25,23.6,23800,7942,6400,152800.0,152800,7868,7900,23710,23800,0.33369747899159663,0.3305882352941176,0.996218487394958
BIC,2026-05-13,1972704.25,23.2,25500,8439,3500,55099.999999999956,57100,8458,8500,18733,25500,0.33094117647058824,0.3316862745098039,0.7346274509803922
BIC,2026-05-14,1911299.5,23.1,24800,8256,4700,27600.00000000025,61500,8202,8200,9384,24800,0.3329032258064516,0.3307258064516129,0.3783870967741935
BIC,2026-05-15,1932687.25,23.0,25200,102,2700,300.0,10800,102,8400,102,25200,0.004047619047619047,0.004047619047619047,0.004047619047619047
BIC,2026-05-18,1918576.75,23.15,24800,1942,6700,12400.0,117000,4216,8200,4216,24800,0.07830645161290323,0.17,0.17
BIC,2026-05-19,1937459.5,23.3,24900,8305,4700,35883.33333333333,56100,8314,8300,12200,24900,0.33353413654618475,0.33389558232931726,0.4899598393574297
BIC,2026-05-20,1935886.5,23.3,24900,8274,4400,60000.0,75100,8244,8300,20400,24900,0.33228915662650604,0.3310843373493976,0.8192771084337349
BIC,2026-05-21,2014727.5,23.3,25900,8600,6000,120800.0,120800,8636,8600,25838,25900,0.33204633204633205,0.33343629343629344,0.9976061776061776
BIC,2026-05-22,1969283.5,23.15,25500,8492,4900,105500.0,109100,8456,8500,25448,25500,0.3330196078431373,0.3316078431372549,0.9979607843137255
BIC,2026-05-25,1987907.5,23.2,25700,0,8500,2500.0,85000,850,8500,850,25700,0.0,0.033073929961089495,0.033073929961089495
BIC,2026-05-26,2067857.5,23.45,26400,3330,5400,14900.0,42100,5066,8800,5066,26400,0.12613636363636363,0.1918939393939394,0.1918939393939394
BIC,2026-05-27,2065641.75,23.6,26200,3022,2400,12800.0,18600,4352,8700,4352,26200,0.11534351145038169,0.16610687022900764,0.16610687022900764
BIC,2026-05-28,1884313.75,23.65,23900,0,7900,0.0,177400,0,7900,0,23900,0.0,0.0,0.0
BIC,2026-05-29,2006683.25,23.85,25200,3917,6700,11733.333333333358,114300,3989,8400,3989,25200,0.15543650793650793,0.1582936507936508,0.1582936507936508
BIC,2026-06-01,2015591.0,24.0,25100,0,8300,0.0,225600,0,8300,0,25100,0.0,0.0,0.0
BIC,2026-06-02,2218277.0,24.65,26900,8943,5700,53899.99999999987,88800,8961,8900,18325,26900,0.332453531598513,0.33312267657992567,0.6812267657992565
BIC,2026-06-03,2256978.5,24.65,27400,9142,3800,40700.0,54100,9096,9100,13838,27400,0.33364963503649636,0.33197080291970804,0.505036496350365
BIC,2026-06-04,2209094.25,24.65,26800,8908,4900,115400.0,121100,8950,8900,26750,26800,0.33238805970149254,0.333955223880597,0.9981343283582089
BIC,2026-06-05,2245472.25,24.6,27300,0,6000,0.0,23200,0,9100,0,27300,0.0,0.0,0.0
BIC,2026-06-08,2207069.25,24.65,26800,8860,5400,140600.0,147600,8946,8900,26746,26800,0.33059701492537313,0.33380597014925373,0.9979850746268657
BIC,2026-06-09,2214537.25,24.5,27100,8994,2800,50300.0,54700,9000,9000,17102,27100,0.3318819188191882,0.33210332103321033,0.631070110701107
BIC,2026-06-10,2104843.75,24.7,25500,8462,6800,59800.0,59800,8504,8500,20332,25500,0.33184313725490194,0.3334901960784314,0.7973333333333333
BIC,2026-06-11,2112746.25,24.7,25600,8502,3900,65900.0,65900,8552,8500,22406,25600,0.332109375,0.3340625,0.875234375
BIC,2026-06-12,2123078.25,24.6,25800,4824,2400,20400.0,24500,6936,8600,6936,25800,0.1869767441860465,0.2688372093023256,0.2688372093023256
BIC,2026-06-15,2140834.75,24.7,26000,8630,3800,72500.0,74900,8632,8600,24650,26000,0.33192307692307693,0.332,0.948076923076923
BIC,2026-06-16,2097031.25,24.7,25400,8470,3400,95400.0,95400,8432,8400,25384,25400,0.33346456692913384,0.3319685039370079,0.9993700787401575
BIC,2026-06-17,2149493.75,24.7,26100,8670,3500,110000.0,112000,8678,8700,26042,26100,0.332183908045977,0.3324904214559387,0.9977777777777778
BIC,2026-06-18,2200602.25,24.75,26600,1768,1200,9300.0,9300,3162,8800,3162,26600,0.06646616541353384,0.11887218045112782,0.11887218045112782
BIC,2026-06-19,2072168.75,24.5,25300,2738,6500,45100.0,45100,8444,8400,15334,25300,0.10822134387351778,0.33375494071146244,0.6060869565217392
BIC,2026-06-22,1999845.5,24.05,24900,3336,1100,14100.0,14600,4794,8300,4794,24900,0.13397590361445783,0.19253012048192772,0.19253012048192772
BIC,2026-06-23,1917557.0,23.8,24100,8018,1500,64200.0,64200,7960,8000,21828,24100,0.33269709543568465,0.33029045643153526,0.9057261410788382
BIC,2026-06-24,1943153.5,23.45,24800,5226,2900,25400.0,25400,8188,8200,8636,24800,0.2107258064516129,0.3301612903225806,0.3482258064516129
BIC,2026-06-25,1950496.0,23.1,25300,8162,3900,34500.0,52500,8358,8400,11730,25300,0.3226086956521739,0.33035573122529643,0.4636363636363636
BIC,2026-06-26,1801684.0,23.9,22600,7498,1000,50700.0,50700,7480,7500,17238,22600,0.33176991150442475,0.3309734513274336,0.7627433628318584
BIC,2026-06-29,1723336.0,23.2,22200,0,6700,0.0,23300,0,7400,0,22200,0.0,0.0,0.0
BIC,2026-06-30,1472778.0,23.6,18700,5888,700,22000.0,35100,6150,6200,7480,18700,0.3148663101604278,0.32887700534759357,0.4
BIC,2026-07-01,1405101.0,23.8,17700,5502,900,20200.0,20200,5880,5900,6868,17700,0.31084745762711863,0.33220338983050846,0.3880225988700565
BIC,2026-07-02,1362006.25,23.35,17400,5744,1200,40100.0,40100,5770,5800,13634,17400,0.33011494252873563,0.33160919540229883,0.7835632183908046
BIC,2026-07-03,1259769.75,23.3,16200,5310,3700,17020.000000000015,28600,5364,5400,5786,16200,0.3277777777777778,0.33111111111111113,0.3571604938271605
BIC,2026-07-06,1264423.25,23.25,16300,5430,2500,67900.0,67900,5432,5400,16286,16300,0.33312883435582824,0.3332515337423313,0.9991411042944786
BIC,2026-07-07,1161358.75,22.9,15200,5046,1900,57900.0,61900,5012,5000,15138,15200,0.3319736842105263,0.32973684210526316,0.9959210526315789
BIC,2026-07-08,1164370.25,22.8,15300,5100,600,20100.0,20300,5064,5100,6834,15300,0.3333333333333333,0.33098039215686276,0.44666666666666666
