ticker,date,adv20_vnd,ceiling,target,S0_current_filled,S0_current_shown,l1_avail,day_vol,S1_adv_only_filled,S1_adv_only_shown,S2_no_pacing_filled,S2_no_pacing_shown,S0_current_fr,S1_adv_only_fr,S2_no_pacing_fr
BIC,2026-04-20,2512306.5,23.55,5300,0,5300,0.0,152800,0,5300,0,5300,0.0,0.0,0.0
BIC,2026-04-21,2484832.5,23.55,5200,0,5200,0.0,89200,0,5200,0,5200,0.0,0.0,0.0
BIC,2026-04-22,2349073.25,23.65,4900,0,4800,0.0,16600,0,4900,0,4900,0.0,0.0,0.0
BIC,2026-04-23,2185893.25,23.65,4600,0,4600,0.0,43700,0,4600,0,4600,0.0,0.0,0.0
BIC,2026-04-24,2090174.5,23.7,4400,0,4400,0.0,167000,0,4400,0,4400,0.0,0.0,0.0
BIC,2026-04-28,2207402.25,24.25,4500,2531,3400,10020.000000000005,72800,3405,4500,3405,4500,0.5624444444444444,0.7566666666666667,0.7566666666666667
BIC,2026-04-29,2141112.75,24.2,4400,4400,4400,107100.0,107100,4400,4400,4400,4400,1.0,1.0,1.0
BIC,2026-05-04,2192968.0,23.75,4600,1020,4000,16400.0,63200,4556,4600,4556,4600,0.2217391304347826,0.9904347826086957,0.9904347826086957
BIC,2026-05-05,2011910.0,23.75,4200,4180,3500,28800.0,59700,4150,4200,4150,4200,0.9952380952380953,0.9880952380952381,0.9880952380952381
BIC,2026-05-06,1886966.5,24.35,3800,3712,1800,97500.0,97500,3768,3800,3768,3800,0.9768421052631578,0.991578947368421,0.991578947368421
BIC,2026-05-07,1845318.0,24.5,3700,3700,2100,95000.0,95000,3652,3700,3652,3700,1.0,0.987027027027027,0.987027027027027
BIC,2026-05-08,1850522.0,23.95,3800,3712,2700,56300.0,56300,3702,3800,3702,3800,0.9768421052631578,0.9742105263157895,0.9742105263157895
BIC,2026-05-11,1848380.0,23.85,3800,3744,2600,146900.0,146900,3760,3800,3760,3800,0.9852631578947368,0.9894736842105263,0.9894736842105263
BIC,2026-05-12,1874656.25,23.7,3900,3842,2300,152800.0,152800,3868,3900,3868,3900,0.9851282051282051,0.9917948717948718,0.9917948717948718
BIC,2026-05-13,1972704.25,23.5,4100,4048,1000,57100.0,57100,4024,4100,4024,4100,0.9873170731707317,0.9814634146341463,0.9814634146341463
BIC,2026-05-14,1911299.5,23.7,4000,3934,1100,61500.0,61500,3968,4000,3968,4000,0.9835,0.992,0.992
BIC,2026-05-15,1932687.25,23.8,4000,2652,900,10800.0,10800,3672,4000,3672,4000,0.663,0.918,0.918
BIC,2026-05-18,1918576.75,23.6,4000,3934,1800,117000.0,117000,3908,4000,3908,4000,0.9835,0.977,0.977
BIC,2026-05-19,1937459.5,23.2,4100,34,4000,200.0,56100,68,4100,68,4100,0.008292682926829269,0.016585365853658537,0.016585365853658537
BIC,2026-05-20,1935886.5,23.1,4100,4100,4100,31100.0,75100,4010,4100,4010,4100,1.0,0.9780487804878049,0.9780487804878049
BIC,2026-05-21,2014727.5,23.0,4300,4300,4300,51400.0,120800,4300,4300,4300,4300,1.0,1.0,1.0
BIC,2026-05-22,1969283.5,23.15,4200,4194,4200,105500.0,109100,4200,4200,4200,4200,0.9985714285714286,1.0,1.0
BIC,2026-05-25,1987907.5,23.3,4200,0,4200,2500.0,85000,850,4200,850,4200,0.0,0.20238095238095238,0.20238095238095238
BIC,2026-05-26,2067857.5,23.3,4400,0,4400,0.0,42100,0,4400,0,4400,0.0,0.0,0.0
BIC,2026-05-27,2065641.75,23.3,4400,0,4400,0.0,18600,0,4400,0,4400,0.0,0.0,0.0
BIC,2026-05-28,1884313.75,23.15,4000,0,4000,0.0,177400,0,4000,0,4000,0.0,0.0,0.0
BIC,2026-05-29,2006683.25,23.2,4300,0,4300,0.0,114300,0,4300,0,4300,0.0,0.0,0.0
BIC,2026-06-01,2015591.0,23.45,4200,0,4200,0.0,225600,0,4200,0,4200,0.0,0.0,0.0
BIC,2026-06-02,2218277.0,23.6,4600,0,4600,0.0,88800,0,4600,0,4600,0.0,0.0,0.0
BIC,2026-06-03,2256978.5,23.65,4700,0,4700,0.0,54100,0,4700,0,4700,0.0,0.0,0.0
BIC,2026-06-04,2209094.25,23.85,4600,0,4600,0.0,121100,0,4600,0,4600,0.0,0.0,0.0
BIC,2026-06-05,2245472.25,24.0,4600,0,4600,0.0,23200,0,4600,0,4600,0.0,0.0,0.0
BIC,2026-06-08,2207069.25,24.65,4400,4400,3500,140600.0,147600,4346,4400,4346,4400,1.0,0.9877272727272727,0.9877272727272727
BIC,2026-06-09,2214537.25,24.65,4400,4400,2000,52833.3333333333,54700,4346,4400,4346,4400,1.0,0.9877272727272727,0.9877272727272727
BIC,2026-06-10,2104843.75,24.65,4200,4148,2500,45600.0,59800,4126,4200,4126,4200,0.9876190476190476,0.9823809523809524,0.9823809523809524
BIC,2026-06-11,2112746.25,24.6,4200,4114,2700,65900.0,65900,4166,4200,4166,4200,0.9795238095238096,0.991904761904762,0.991904761904762
BIC,2026-06-12,2123078.25,24.65,4300,4238,1800,23600.0,24500,4268,4300,4268,4300,0.9855813953488373,0.9925581395348837,0.9925581395348837
BIC,2026-06-15,2140834.75,24.5,4300,0,4300,0.0,74900,0,4300,0,4300,0.0,0.0,0.0
BIC,2026-06-16,2097031.25,24.7,4200,4142,3400,95400.0,95400,4144,4200,4144,4200,0.9861904761904762,0.9866666666666667,0.9866666666666667
BIC,2026-06-17,2149493.75,24.7,4300,4276,2600,110000.0,112000,4268,4300,4268,4300,0.9944186046511628,0.9925581395348837,0.9925581395348837
BIC,2026-06-18,2200602.25,24.6,4400,1768,1200,9200.0,9300,3128,4400,3128,4400,0.4018181818181818,0.7109090909090909,0.7109090909090909
BIC,2026-06-19,2072168.75,24.7,4100,2738,2100,45100.0,45100,4044,4100,4044,4100,0.6678048780487805,0.9863414634146341,0.9863414634146341
BIC,2026-06-22,1999845.5,24.7,4000,3336,1100,14600.0,14600,3940,4000,3940,4000,0.834,0.985,0.985
BIC,2026-06-23,1917557.0,24.7,3800,3712,1400,64200.0,64200,3760,3800,3760,3800,0.9768421052631578,0.9894736842105263,0.9894736842105263
BIC,2026-06-24,1943153.5,24.75,3900,3864,2900,25400.0,25400,3814,3900,3814,3900,0.9907692307692307,0.977948717948718,0.977948717948718
BIC,2026-06-25,1950496.0,24.5,3900,3870,1400,52500.0,52500,3852,3900,3852,3900,0.9923076923076923,0.9876923076923076,0.9876923076923076
BIC,2026-06-26,1801684.0,24.05,3700,3668,900,50700.0,50700,3698,3700,3698,3700,0.9913513513513513,0.9994594594594595,0.9994594594594595
BIC,2026-06-29,1723336.0,23.8,3600,712,3500,6466.666666666678,23300,2198,3600,2198,3600,0.19777777777777777,0.6105555555555555,0.6105555555555555
BIC,2026-06-30,1472778.0,23.45,3100,3046,1200,18519.999999999993,35100,3020,3100,3020,3100,0.9825806451612903,0.9741935483870968,0.9741935483870968
BIC,2026-07-01,1405101.0,23.1,3000,0,3000,0.0,20200,0,3000,0,3000,0.0,0.0,0.0
BIC,2026-07-02,1362006.25,23.9,2800,2768,1100,40100.0,40100,2738,2800,2738,2800,0.9885714285714285,0.9778571428571429,0.9778571428571429
BIC,2026-07-03,1259769.75,23.2,2700,1666,2000,6300.0,28600,2142,2700,2142,2700,0.617037037037037,0.7933333333333333,0.7933333333333333
