ticker,date,adv20_vnd,ceiling,target,S0_current_filled,S0_current_shown,l1_avail,day_vol,S1_adv_only_filled,S1_adv_only_shown,S2_no_pacing_filled,S2_no_pacing_shown,S0_current_fr,S1_adv_only_fr,S2_no_pacing_fr
BIC,2026-04-20,2512306.5,23.7,10600,10580,3600,51000.0,152800,10560,10600,10560,10600,0.9981132075471698,0.9962264150943396,0.9962264150943396
BIC,2026-04-21,2484832.5,24.25,10200,10180,3400,88000.0,89200,10120,10200,10120,10200,0.9980392156862745,0.9921568627450981,0.9921568627450981
BIC,2026-04-22,2349073.25,24.2,9700,3900,1700,16600.0,16600,9660,9700,9660,9700,0.4020618556701031,0.9958762886597938,0.9958762886597938
BIC,2026-04-23,2185893.25,23.75,9200,7800,9200,13000.0,43700,7800,9200,7800,9200,0.8478260869565217,0.8478260869565217,0.8478260869565217
BIC,2026-04-24,2090174.5,23.75,8800,1560,7200,7500.0,167000,4500,8800,4500,8800,0.17727272727272728,0.5113636363636364,0.5113636363636364
BIC,2026-04-28,2207402.25,24.35,9000,8936,3800,32093.333333333354,72800,8920,9000,8920,9000,0.9928888888888889,0.9911111111111112,0.9911111111111112
BIC,2026-04-29,2141112.75,24.5,8700,8700,6600,107100.0,107100,8700,8700,8700,8700,1.0,1.0,1.0
BIC,2026-05-04,2192968.0,23.95,9100,9080,4100,59700.0,63200,9040,9100,9040,9100,0.9978021978021978,0.9934065934065934,0.9934065934065934
BIC,2026-05-05,2011910.0,23.85,8400,8320,2100,59700.0,59700,8380,8400,8380,8400,0.9904761904761905,0.9976190476190476,0.9976190476190476
BIC,2026-05-06,1886966.5,23.7,7900,7840,2400,92200.0,97500,7820,7900,7820,7900,0.9924050632911392,0.9898734177215189,0.9898734177215189
BIC,2026-05-07,1845318.0,23.5,7800,0,7800,500.0,95000,300,7800,300,7800,0.0,0.038461538461538464,0.038461538461538464
BIC,2026-05-08,1850522.0,23.7,7800,3080,4700,15800.0,56300,7780,7800,7780,7800,0.39487179487179486,0.9974358974358974,0.9974358974358974
BIC,2026-05-11,1848380.0,23.8,7700,7700,5700,141750.0,146900,7700,7700,7700,7700,1.0,1.0,1.0
BIC,2026-05-12,1874656.25,23.6,7900,7880,6300,152800.0,152800,7820,7900,7820,7900,0.9974683544303797,0.9898734177215189,0.9898734177215189
BIC,2026-05-13,1972704.25,23.2,8500,8499,3500,55099.999999999956,57100,8500,8500,8500,8500,0.9998823529411764,1.0,1.0
BIC,2026-05-14,1911299.5,23.1,8200,8160,4400,27600.00000000025,61500,8120,8200,8120,8200,0.9951219512195122,0.9902439024390244,0.9902439024390244
