DT5G,Radar,N,sleeve_mean%,excVNI_mean%,excVNI_med%,excVNI_win%,excSEC_mean%,excSEC_win%,seasons
BEAR,DAT,2,9.37,12.15,12.15,100.0,11.16,100.0,"2018Q1,2019Q1"
BEAR,RE,5,8.24,8.65,6.75,60.0,4.64,80.0,"2022Q2,2022Q3,2022Q4,2023Q3,2024Q2"
BEAR,TRUNG TINH,4,3.84,6.93,6.72,50.0,8.1,75.0,"2016Q3,2020Q1,2021Q4,2022Q1"
BULL,DAT,3,5.42,1.54,-2.82,33.0,0.83,67.0,"2017Q4,2021Q1,2021Q3"
BULL,RE,3,4.93,-3.76,-3.02,33.0,2.95,100.0,"2023Q4,2024Q1,2025Q1"
BULL,TRUNG TINH,2,17.02,2.12,2.12,50.0,7.83,100.0,"2020Q3,2025Q4"
EXBULL,DAT,1,39.63,30.95,30.95,100.0,15.88,100.0,2020Q4
NEUTRAL,DAT,10,6.49,2.0,2.84,60.0,1.36,50.0,"2016Q4,2017Q1,2017Q2,2017Q3,2018Q2,2018Q3,2018Q4,2019Q2,2019Q3,2021Q2"
NEUTRAL,RE,5,3.61,-0.72,-2.37,40.0,-0.03,80.0,"2015Q4,2023Q1,2023Q2,2024Q3,2024Q4"
NEUTRAL,TRUNG TINH,13,1.7,1.16,1.59,62.0,0.32,62.0,"2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2016Q1,2016Q2,2019Q4,2020Q2,2025Q2,2025Q3,2026Q1"
