config,lenses,n_top,weighting,CAGR,Sharpe,MaxDD,Calmar,exc_mean,exc_med,win,fees_vnd
ey+cfy|top15|score,ey+cfy,15,score,0.22142062310532706,1.073118150178413,-0.5624194796019251,0.3936930194203913,0.03522557652667769,0.03390176084186555,0.625,309201595.29309154
ey+cfy|top15|equal,ey+cfy,15,equal,0.21981172643355107,1.069733820295848,-0.5624553932606811,0.39080739391483615,0.03477754934235232,0.0352359603459073,0.625,303240486.45187765
ey+cfy|top10|equal,ey+cfy,10,equal,0.2290699029254908,1.0453706562082292,-0.5799455103096526,0.39498521646142687,0.038069025932230834,0.02206654196380334,0.625,377826397.53443235
ey+cfy|top10|score,ey+cfy,10,score,0.22923070442273907,1.0438264387272895,-0.5779641887073498,0.39661748755649856,0.038168337982896906,0.02331908147616851,0.625,379189658.5634892
ey+cfy+ps|top10|equal,ey+cfy+ps,10,equal,0.22660740427654158,1.0338225807411283,-0.6253640316811961,0.3623607895505951,0.03801492557891929,0.029102519136359944,0.6458333333333334,332503283.57712376
ey+cfy+ps|top10|score,ey+cfy+ps,10,score,0.22573706747756805,1.0266556195879524,-0.6243115874790865,0.3615775712077904,0.03794559690119085,0.026520567603529818,0.6458333333333334,332925448.36010945
ey+cfy+ps|top15|score,ey+cfy+ps,15,score,0.20539046452957987,1.0144480438273071,-0.6080478626338379,0.33778667297653925,0.03196662363797867,0.01975115060537901,0.6041666666666666,251207280.35372975
ey+cfy+ps|top15|equal,ey+cfy+ps,15,equal,0.20359349950690087,1.0116219791469885,-0.6090608514718991,0.3342744801523239,0.0314339167203684,0.018987194233812874,0.6041666666666666,245857449.98485115
ey+cfy|top5|equal,ey+cfy,5,equal,0.25279331980721986,1.0011592555255204,-0.5418290418604212,0.4665555004937168,0.046535632036364655,0.02223014127833687,0.625,505298827.6088781
ey+cfy|top5|score,ey+cfy,5,score,0.24935727425124377,0.9892805542221821,-0.5456540141969863,0.4569878856626965,0.04578982797930067,0.021736164968434606,0.625,495713118.4988848
ey+cfy+ps|top5|equal,ey+cfy+ps,5,equal,0.1842292612817995,0.781858597473926,-0.6143619103868012,0.29987090372482417,0.03234493935469657,0.02028318647479428,0.5625,345663911.33485085
ey+cfy+ps|top5|score,ey+cfy+ps,5,score,0.18339013018501693,0.7771661782484537,-0.6131302419255431,0.2991046887673946,0.032234673642023814,0.021016331787391297,0.5416666666666666,343936303.3878485
ey|top15|equal,ey,15,equal,0.14452925429364583,0.7658960045504909,-0.579136597041526,0.24955987073164124,0.016047612888659663,0.013051744108339215,0.5833333333333334,140552671.79078412
ey|top15|score,ey,15,score,0.14352959692210132,0.7609841235494863,-0.5796540480160448,0.24761251545357693,0.01580532502305923,0.012859508659131878,0.5833333333333334,139354220.61834493
ey|top10|equal,ey,10,equal,0.13543611349229367,0.6946827371029952,-0.5933563436238718,0.2282542606102928,0.014343710366305875,0.02221405564426182,0.6041666666666666,141336883.01573646
ey|top10|score,ey,10,score,0.13430085101533074,0.6897038655825964,-0.5936312960055699,0.22623613667105352,0.014072617361934719,0.02166899704712237,0.6041666666666666,140100590.70430177
ey+cfy+ps|top3|score,ey+cfy+ps,3,score,0.13999593833913293,0.5782832693930259,-0.626734784097742,0.223373493687084,0.02918471159968539,-0.006836863710903817,0.5,284550755.7407756
ey+cfy+ps|top3|equal,ey+cfy+ps,3,equal,0.13968238833511748,0.5778205130567531,-0.6272498909850757,0.22269017554670406,0.02924699786820815,-0.006303044036439533,0.5,283508939.3984432
ey+cfy|top3|score,ey+cfy,3,score,0.11680604064706945,0.5166353792103735,-0.6661618019621944,0.17534184683513024,0.019213991033033076,-0.0012076925136645586,0.5,282528502.9550207
ey+cfy|top3|equal,ey+cfy,3,equal,0.1167363530594685,0.5165977803403979,-0.6655042428357507,0.17541038140049775,0.019186290482615807,-0.0016511654926251312,0.5,281682878.08767706
ey|top5|equal,ey,5,equal,0.05565459645702564,0.342460467936314,-0.6887611511226722,0.08080391347030727,-0.002052277561218912,-0.012792088454962361,0.4791666666666667,101930676.88972792
ey|top5|score,ey,5,score,0.05489554148799969,0.33961937021581895,-0.6883203097870545,0.07975290094953424,-0.0022884653508876787,-0.012768748538297531,0.4791666666666667,101189075.07969613
ey|top3|equal,ey,3,equal,-0.017624984356227835,0.08336034862409533,-0.7192150189318587,-0.02450586249214256,-0.021031306106230743,-0.01980135323913601,0.4583333333333333,74312069.51908232
ey|top3|score,ey,3,score,-0.017625888560228176,0.08335445106688374,-0.7187242991414375,-0.024523852305095895,-0.021047112324505086,-0.020140008930923627,0.4583333333333333,74182748.18386793
