ticker,time,ta,fa_tier,pb_z,state5,play_baseline,play_tier_unlock,profit_2M
VIX,2022-08-19,102,C,-0.2481135545995325,3,PASS,PASS,-40.08152173913043
VIX,2022-08-22,102,C,-0.2332503770596869,3,PASS,PASS,-42.22520107238606
VIX,2022-08-23,102,C,-0.2221029939048032,3,PASS,PASS,-44.96021220159151
MSB,2021-05-11,111,C,,4,PASS,PASS,27.44827586206897
MSB,2021-05-12,111,C,,4,PASS,PASS,32.60572987721693
MSB,2021-05-13,111,C,,4,PASS,PASS,29.387755102040813
MSB,2021-05-14,111,C,,4,PASS,PASS,26.11637347767253
MSB,2021-05-19,111,C,,4,PASS,PASS,19.047619047619047
MSB,2021-05-20,116,C,,4,PASS,PASS,14.52229299363057
MSB,2021-05-21,116,C,,4,PASS,PASS,15.736040609137047
MSB,2021-05-24,116,C,,4,PASS,PASS,7.468354430379742
MSB,2021-05-26,116,C,,4,PASS,PASS,10.526315789473696
MSB,2021-05-27,121,C,,4,PASS,PASS,8.990147783251246
MSB,2021-05-28,121,C,,4,PASS,PASS,5.450236966824651
MSB,2021-05-31,121,C,,4,PASS,PASS,2.422145328719716
VIX,2018-09-17,120,B,-0.4776844225500904,3,COMPOUNDER_BUY,COMPOUNDER_BUY,18.5430463576159
VIX,2018-09-18,100,B,-0.4776844225500904,3,COMPOUNDER_BUY,COMPOUNDER_BUY,18.5430463576159
VIX,2018-09-19,100,B,-0.4665658384628631,3,COMPOUNDER_BUY,COMPOUNDER_BUY,15.686274509803932
VIX,2018-09-20,100,B,-0.499921590724545,3,COMPOUNDER_BUY,COMPOUNDER_BUY,19.594594594594604
VIX,2018-09-21,120,B,-0.4776844225500904,3,COMPOUNDER_BUY,COMPOUNDER_BUY,15.89403973509933
VIX,2018-09-24,100,B,-0.4885160938236776,3,COMPOUNDER_BUY,COMPOUNDER_BUY,16.666666666666675
VIX,2018-11-02,116,B,-0.4431826457928208,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-1.1494252873563204
VIX,2018-11-05,116,B,-0.4412734834857972,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-3.4482758620689613
VIX,2018-11-06,116,B,-0.4412734834857972,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-3.4482758620689613
VIX,2018-11-07,116,B,-0.4612530923414383,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-1.17647058823529
VIX,2018-11-08,116,B,-0.4312836790579766,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-4.000000000000004
VIX,2018-11-09,116,B,-0.4512632879136177,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-2.3255813953488413
VIX,2018-11-12,121,B,-0.4093195069377043,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-7.262569832402232
VIX,2018-11-13,136,B,-0.4093195069377043,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-8.37988826815642
VIX,2018-11-14,136,B,-0.4193058142275648,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-7.909604519774016
VIX,2018-11-15,121,B,-0.4193058142275648,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-11.299435028248585
VIX,2018-11-16,116,B,-0.4292921215174253,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-6.285714285714283
VIX,2018-11-20,116,B,-0.4075693872175704,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-8.93854748603352
VIX,2018-11-21,116,B,-0.4275344212191539,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-6.857142857142861
VIX,2018-11-22,116,B,-0.4175519042183623,2,AVOID_bear,COMPOUNDER_HOLD,-11.299435028248585
VIX,2018-11-19,116,B,-0.4275344212191539,3,COMPOUNDER_BUY,COMPOUNDER_BUY,-6.285714285714283
VIX,2018-11-23,116,B,-0.4075693872175704,2,AVOID_bear,COMPOUNDER_HOLD,-8.37988826815642
VIX,2018-11-26,116,B,-0.4164175897938264,2,AVOID_bear,COMPOUNDER_HOLD,-9.039548022598876
VIX,2018-11-27,116,B,-0.426397113832534,2,AVOID_bear,COMPOUNDER_HOLD,-6.857142857142861
VIX,2018-11-28,101,B,-0.426397113832534,2,AVOID_bear,COMPOUNDER_HOLD,-6.857142857142861
VIX,2018-11-29,116,B,-0.4164175897938264,2,AVOID_bear,COMPOUNDER_HOLD,-7.344632768361581
VIX,2018-11-30,101,B,-0.426397113832534,2,AVOID_bear,COMPOUNDER_HOLD,-7.9999999999999964
VIX,2020-11-02,106,C,3.2283425133250305,4,PASS,PASS,66.77018633540372
VIX,2020-11-03,121,C,3.1739150859018546,4,PASS,PASS,77.8125
VIX,2020-11-04,146,C,3.4506707469775666,4,MOMENTUM_S,MOMENTUM_S,71.513353115727
VIX,2020-11-05,126,C,3.397579486771242,4,MOMENTUM_A,MOMENTUM_A,75.74850299401197
VIX,2020-11-06,126,C,3.397579486771242,4,MOMENTUM_A,MOMENTUM_A,72.75449101796407
VIX,2020-11-09,146,C,4.140857129659778,4,MOMENTUM_S,MOMENTUM_S,59.945504087193456
VIX,2020-11-10,126,C,3.716127048009186,4,MOMENTUM_A,MOMENTUM_A,80.17241379310344
VIX,2020-11-11,126,C,3.452487034196769,4,MOMENTUM_A,MOMENTUM_A,96.7741935483871
VIX,2020-11-12,146,C,3.5042740805269093,4,MOMENTUM_S,MOMENTUM_S,83.72093023255813
VIX,2020-11-13,146,C,3.6078481731871888,4,MOMENTUM_S,MOMENTUM_S,82.75862068965519
VIX,2020-11-16,116,C,3.4006999878666284,4,PASS,PASS,90.26548672566372
VIX,2020-11-17,136,C,3.918570451168028,4,MOMENTUM_A,MOMENTUM_A,74.86187845303867
VIX,2020-11-18,141,C,3.877474969439113,4,MOMENTUM_S,MOMENTUM_S,66.7574931880109
VIX,2020-11-19,141,C,3.9276408399574567,4,MOMENTUM_S,MOMENTUM_S,56.63956639566396
VIX,2020-11-20,126,C,3.877474969439113,4,MOMENTUM_A,MOMENTUM_A,46.86648501362398
VIX,2020-11-23,146,C,4.629963027214262,4,MOMENTUM_S,MOMENTUM_S,24.626865671641784
VIX,2020-11-24,146,C,4.780460638769291,4,MOMENTUM_S,MOMENTUM_S,31.05134474327629
VIX,2020-11-25,126,C,4.329808456472192,4,MOMENTUM_A,MOMENTUM_A,34.76070528967254
VIX,2020-11-26,126,C,3.992574177849595,4,MOMENTUM_A,MOMENTUM_A,49.60629921259843
VIX,2020-11-27,146,C,4.185279479919651,4,MOMENTUM_S,MOMENTUM_S,56.41025641025641
VIX,2020-11-30,126,C,3.94439785233208,4,MOMENTUM_A,MOMENTUM_A,59.10290237467017
VIX,2015-02-02,106,D,1.5070886435907762,3,PASS,PASS,-37.94466403162056
VIX,2015-02-03,106,D,1.4508117187876413,3,PASS,PASS,-37.096774193548384
MSB,2022-12-05,100,C,,1,AVOID_bear,AVOID_bear,-9.664429530201346
MSB,2022-12-02,100,C,,1,AVOID_bear,AVOID_bear,-7.2972972972973
MSB,2025-04-23,116,C,-0.9883091002514636,4,PASS,PASS,5.710659898477166
MSB,2025-04-01,106,C,-0.8416547406607193,4,PASS,PASS,-5.312868949232586
MSB,2025-04-02,106,C,-0.870253324931819,4,PASS,PASS,-2.150537634408612
VHC,2015-02-02,108,B,2.17775296344104,3,COMPOUNDER_HOLD,COMPOUNDER_HOLD,-9.127301841473178
VHC,2015-02-03,108,B,1.7904672606433978,3,COMPOUNDER_HOLD,COMPOUNDER_HOLD,-2.7420736932305068
