ticker,eff_date,rating
AAA,2014-08-01,3
AAA,2014-11-03,4
AAA,2015-02-02,3
AAA,2015-05-04,3
AAA,2015-08-03,3
AAA,2015-10-23,3
AAA,2016-02-01,4
AAA,2016-04-25,3
AAA,2016-08-01,3
AAA,2016-10-28,3
AAA,2017-02-02,4
AAA,2017-05-03,4
AAA,2017-08-01,4
AAA,2017-11-01,4
AAA,2018-02-01,4
AAA,2018-05-02,4
AAA,2018-08-01,4
AAA,2018-10-29,4
AAA,2019-01-30,4
AAA,2019-05-02,4
AAA,2019-08-01,4
AAA,2019-10-28,4
AAA,2020-01-30,3
AAA,2020-05-04,4
AAA,2020-07-29,4
AAA,2020-10-30,3
AAA,2021-02-01,4
AAA,2021-05-04,4
AAA,2021-08-02,4
AAA,2021-10-29,4
AAA,2022-01-27,4
AAA,2022-04-26,4
AAA,2022-08-01,4
AAA,2022-10-28,4
AAA,2023-01-30,4
AAA,2023-04-27,4
AAA,2023-08-01,4
AAA,2023-10-30,3
AAA,2024-01-29,3
AAA,2024-04-26,3
AAA,2024-07-29,3
AAA,2024-10-29,4
AAA,2025-01-24,3
AAA,2025-04-29,4
AAA,2025-07-30,4
AAA,2025-10-29,4
AAA,2026-01-29,3
AAA,2026-04-29,4
AAA,2026-07-30,4
AAH,2024-01-23,4
AAH,2024-02-25,4
AAH,2024-04-23,4
AAH,2024-07-23,4
AAH,2024-10-22,4
AAH,2025-02-03,4
AAH,2025-04-21,4
AAH,2025-07-24,4
AAH,2025-10-21,4
AAH,2026-01-22,4
AAH,2026-04-23,4
AAH,2026-07-22,4
AAM,2014-08-01,2
AAM,2014-11-03,3
AAM,2015-02-02,3
AAM,2015-05-04,3
AAM,2015-08-03,3
AAM,2015-10-26,3
AAM,2016-01-20,3
AAM,2016-05-04,3
AAM,2016-07-15,2
AAM,2016-10-26,3
AAM,2017-02-02,4
AAM,2017-05-03,3
AAM,2017-08-01,3
AAM,2017-11-01,4
AAM,2018-02-01,3
AAM,2018-04-19,3
AAM,2018-08-01,3
AAM,2018-10-11,3
AAM,2019-01-15,3
AAM,2019-04-18,4
AAM,2019-08-01,4
AAM,2019-10-14,4
AAM,2020-01-13,4
AAM,2020-04-13,4
AAM,2020-08-03,4
AAM,2020-10-13,4
AAM,2021-01-15,4
AAM,2021-04-19,4
AAM,2021-08-02,4
AAM,2021-10-12,4
AAM,2022-01-14,3
AAM,2022-04-18,3
AAM,2022-08-01,3
AAM,2022-10-13,3
AAM,2023-01-11,4
AAM,2023-04-17,4
AAM,2023-08-01,4
AAM,2023-10-16,4
AAM,2024-01-11,4
AAM,2024-04-15,4
AAM,2024-07-11,4
AAM,2024-10-17,4
AAM,2025-01-17,4
AAM,2025-04-15,4
AAM,2025-07-17,4
AAM,2025-10-15,3
AAM,2026-01-16,3
AAM,2026-04-20,3
AAM,2026-07-14,3
AAS,2020-07-23,4
AAS,2020-08-03,5
AAS,2020-11-02,5
AAS,2021-01-21,5
AAS,2021-05-04,5
AAS,2021-08-02,5
AAS,2021-11-01,5
AAS,2022-01-27,2
AAS,2022-05-04,2
AAS,2022-08-01,2
AAS,2022-10-26,2
AAS,2023-02-01,2
AAS,2023-04-21,2
AAS,2023-08-01,3
AAS,2023-10-24,4
AAS,2024-01-24,5
AAS,2024-05-02,4
AAS,2024-07-23,5
AAS,2024-10-21,5
AAS,2025-01-20,5
AAS,2025-04-18,5
AAS,2025-07-18,5
AAS,2025-10-13,4
AAS,2026-01-22,4
AAS,2026-04-17,4
AAS,2026-07-20,5
AAT,2021-03-25,4
AAT,2021-05-04,3
AAT,2021-08-02,4
AAT,2021-10-19,3
AAT,2022-02-07,4
AAT,2022-04-20,4
AAT,2022-08-01,4
AAT,2022-11-01,4
AAT,2023-01-17,4
AAT,2023-04-25,3
AAT,2023-08-01,3
AAT,2023-10-20,3
AAT,2024-01-22,3
AAT,2024-04-22,3
AAT,2024-07-19,3
AAT,2024-10-21,3
AAT,2025-02-03,4
