time,n,n_os30
2022-04-15,585,67
2022-04-18,585,178
2022-04-19,585,234
2022-04-20,585,270
2022-04-21,585,306
2022-04-22,586,285
2022-04-25,586,358
2022-04-26,587,252
2022-04-27,587,148
2022-04-28,587,121
2022-04-29,587,59
2022-05-04,588,61
2022-05-05,586,69
2022-05-06,587,112
2022-05-09,585,275
2022-05-10,585,198
2022-05-11,585,135
2022-05-12,586,222
2022-05-13,586,331
2022-05-16,582,278
2022-05-17,582,93
2022-05-18,580,67
2022-05-19,579,69
2022-05-20,579,49
2022-05-23,575,66
2022-05-24,574,65
2022-05-25,574,27
2022-05-26,576,21
2022-05-27,576,16
2022-05-30,575,12
2022-05-31,574,15
2022-06-01,574,14
2022-06-02,574,14
2022-06-03,574,19
2022-06-06,571,24
2022-06-07,569,34
2022-06-08,569,21
2022-06-09,569,18
2022-06-10,567,22
2022-06-13,566,71
2022-06-14,563,94
2022-06-15,560,180
2022-06-16,559,157
2022-06-17,559,221
2022-06-20,558,261
2022-06-21,558,263
2022-06-22,556,206
2022-06-23,556,110
2022-06-24,555,81
2022-06-27,553,47
2022-06-28,551,30
2022-06-29,551,31
2022-06-30,551,37
2022-07-01,550,37
2022-07-04,550,35
2022-07-05,549,42
2022-07-06,545,59
2022-07-07,545,55
2022-07-08,544,28
2022-07-11,539,35
2022-07-12,539,18
2022-07-13,536,13
2022-07-14,536,10
2022-07-15,529,9
2022-07-18,521,9
2022-07-19,518,8
2022-07-20,517,6
2022-07-21,516,5
2022-07-22,516,4
2022-07-25,515,4
2022-07-26,513,6
2022-07-27,511,7
2022-07-28,509,5
2022-07-29,506,5
2022-08-01,505,5
2022-08-02,505,2
2022-08-03,505,1
2022-08-04,503,1
2022-08-05,503,3
2022-08-08,503,4
2022-08-09,503,4
2022-08-10,503,4
2022-08-11,503,3
2022-08-12,502,2
2022-08-15,502,3
2022-08-16,502,4
2022-08-17,502,4
2022-08-18,502,4
2022-08-19,502,5
2022-08-22,502,7
2022-08-23,502,4
2022-08-24,501,4
2022-08-25,502,4
2022-08-26,501,5
2022-08-29,500,5
2022-08-30,500,5
2022-08-31,499,6
2022-09-05,499,6
2022-09-06,498,9
2022-09-07,497,22
2022-09-08,497,25
2022-09-09,497,25
2022-09-12,498,21
2022-09-13,498,22
2022-09-14,498,20
2022-09-15,498,21
2022-09-16,496,42
2022-09-19,496,121
2022-09-20,495,62
2022-09-21,495,75
2022-09-22,495,48
2022-09-23,495,52
2022-09-26,494,119
2022-09-27,493,116
2022-09-28,492,153
2022-09-29,492,179
2022-09-30,492,171
2022-10-03,492,283
2022-10-04,492,288
2022-10-05,491,148
2022-10-06,489,237
2022-10-07,489,301
2022-10-10,490,251
2022-10-11,490,308
2022-10-12,491,226
2022-10-13,491,193
2022-10-14,490,124
2022-10-17,486,126
2022-10-18,486,74
2022-10-19,486,66
2022-10-20,485,77
2022-10-21,484,182
2022-10-24,484,272
2022-10-25,483,255
2022-10-26,482,256
2022-10-27,481,135
2022-10-28,481,113
2022-10-31,481,130
2022-11-01,481,113
2022-11-02,479,105
2022-11-03,479,112
2022-11-04,473,166
2022-11-07,473,237
2022-11-08,471,222
2022-11-09,467,193
2022-11-10,467,264
2022-11-11,467,262
2022-11-14,465,296
2022-11-15,464,340
2022-11-16,464,242
2022-11-17,463,142
2022-11-18,462,86
2022-11-21,461,55
2022-11-22,459,47
2022-11-23,457,55
2022-11-24,455,62
2022-11-25,453,34
2022-11-28,453,20
2022-11-29,452,16
2022-11-30,452,15
2022-12-01,452,14
2022-12-02,452,9
2022-12-05,452,10
2022-12-06,452,9
2022-12-07,452,13
2022-12-08,452,10
2022-12-09,451,7
2022-12-12,451,6
2022-12-13,450,7
2022-12-14,450,6
2022-12-15,448,5
