ticker,close_start,close_end,ret_ytd
AAA,7380.0,6850.0,-0.07181571815718157
ABB,12560.0,13300.0,0.05891719745222934
ABW,11700.0,10500.0,-0.10256410256410253
ACB,20680.0,19820.0,-0.0415860735009671
ACV,49600.0,45100.0,-0.09072580645161288
AGG,14150.0,12000.0,-0.15194346289752647
AGR,15350.0,14650.0,-0.0456026058631922
ANV,25350.0,22700.0,-0.10453648915187375
APG,10400.0,4780.0,-0.5403846153846155
APS,7300.0,7100.0,-0.0273972602739726
ASM,6400.0,5920.0,-0.07499999999999996
BCM,60060.0,56200.0,-0.06426906426906431
BFC,39980.0,59040.0,0.47673836918459234
BIC,22400.0,23300.0,0.0401785714285714
BID,35580.0,41910.0,0.1779089376053964
BMI,17300.0,14550.0,-0.15895953757225434
BMP,165060.0,146140.0,-0.11462498485399253
BMS,12040.0,13550.0,0.12541528239202648
BSI,34320.0,32270.000000000004,-0.05973193473193461
BSR,16070.0,33080.0,1.05849408836341
BVB,13100.0,12500.0,-0.04580152671755722
BVH,57300.0,71700.0,0.25130890052356025
BVS,28300.0,26200.0,-0.0742049469964664
BWE,43840.0,42960.0,-0.02007299270072993
C4G,8500.0,7000.0,-0.17647058823529416
CEO,19910.0,17050.0,-0.14364640883977897
CII,21000.0,18950.0,-0.0976190476190476
CMG,31680.0,28150.0,-0.11142676767676762
CRC,9280.0,8210.0,-0.11530172413793105
CRE,8450.0,7550.0,-0.10650887573964496
CSM,13150.0,11800.0,-0.1026615969581749
CSV,26800.0,26500.0,-0.011194029850746245
CTD,71040.0,73200.0,0.030405405405405483
CTG,34960.0,35750.0,0.022597254004576683
CTI,20090.0,19410.0,-0.03384768541562966
CTR,73070.0,76580.0,0.048036129738606714
CTS,24100.0,22350.0,-0.07261410788381739
D2D,35000.0,33550.0,-0.04142857142857148
DBC,23360.0,19660.0,-0.15839041095890416
DC4,9360.0,7850.0,-0.1613247863247863
DCL,42900.0,38300.0,-0.10722610722610726
DCM,31530.0,42540.0,0.3491912464319695
DDV,23920.0,25510.0,0.06647157190635444
DGC,65500.0,51600.0,-0.21221374045801522
DGW,40710.0,42000.0,0.0316875460574797
DHA,64099.99999999999,44610.0,-0.3040561622464898
DHC,30100.0,31730.0,0.05415282392026577
DHG,97000.0,96300.0,-0.007216494845360799
DIG,17300.0,14850.0,-0.14161849710982655
DL1,5100.0,5400.0,0.05882352941176472
DLG,2620.0,2690.0,0.026717557251908497
DPG,36890.0,40780.0,0.10544863106532931
DPM,21070.0,26360.0,0.2510678690080683
DPR,36750.0,43500.0,0.18367346938775508
DRC,14120.0,12100.0,-0.14305949008498586
DRI,12800.0,14900.0,0.1640625
DTD,13800.0,13010.0,-0.05724637681159417
DVM,5700.0,6900.0,0.21052631578947367
DXG,14940.0,13970.0,-0.06492637215528785
DXP,10700.0,13700.0,0.28037383177570097
E1VFVN30,36000.0,36420.0,0.011666666666666714
EIB,20950.0,21700.0,0.03579952267303099
ELC,24350.0,16149.999999999998,-0.33675564681724857
EVF,10750.0,13900.0,0.2930232558139534
EVG,7760.0,5970.0,-0.23067010309278346
FCN,14250.0,13000.0,-0.08771929824561409
FIT,4680.0,4080.0,-0.1282051282051282
FMC,33940.0,35000.0,0.03123158515026514
FPT,93710.0,73880.0,-0.21161028705581053
FTS,28370.0,24170.0,-0.14804370814240397
G36,10300.0,10900.0,0.058252427184465994
GAS,77400.0,93000.0,0.20155038759689914
GEE,128200.0,119180.0,-0.07035881435257407
GEG,14140.0,13480.0,-0.04667609618104662
GEX,28270.0,35000.0,0.23806154934559598
GIL,13600.0,12700.0,-0.06617647058823528
